cell_id,count
FP200000542BR_A5_14055,4
FP200000542BR_A5_14616,1
FP200000542BR_A5_14863,1
FP200000542BR_A5_14894,0
FP200000542BR_A5_15005,11
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,1
FP200000542BR_A5_16049,3
FP200000542BR_A5_16105,0
FP200000542BR_A5_16280,6
FP200000542BR_A5_16676,0
FP200000542BR_A5_16700,1
FP200000542BR_A5_16929,2
FP200000542BR_A5_17549,2
FP200000542BR_A5_17611,1
FP200000542BR_A5_17657,1
FP200000542BR_A5_17860,4
FP200000542BR_A5_17897,2
FP200000542BR_A5_17943,7
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,1
FP200000542BR_A5_18134,1
FP200000542BR_A5_18221,3
FP200000542BR_A5_18229,4
FP200000542BR_A5_18247,0
FP200000542BR_A5_18381,7
FP200000542BR_A5_18451,0
FP200000542BR_A5_18569,3
FP200000542BR_A5_18639,5
FP200000542BR_A5_18692,0
FP200000542BR_A5_18705,3
FP200000542BR_A5_18713,2
FP200000542BR_A5_18748,2
FP200000542BR_A5_18768,0
FP200000542BR_A5_18789,2
FP200000542BR_A5_18901,0
FP200000542BR_A5_19036,1
FP200000542BR_A5_19063,1
FP200000542BR_A5_19089,1
FP200000542BR_A5_19111,2
FP200000542BR_A5_19120,1
FP200000542BR_A5_19150,2
FP200000542BR_A5_19167,5
FP200000542BR_A5_19332,8
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,3
FP200000542BR_A5_19447,6
FP200000542BR_A5_19454,5
FP200000542BR_A5_19482,2
FP200000542BR_A5_19544,3
FP200000542BR_A5_19545,3
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,1
FP200000542BR_A5_19684,2
FP200000542BR_A5_19793,1
FP200000542BR_A5_19861,6
FP200000542BR_A5_19917,1
FP200000542BR_A5_19983,7
FP200000542BR_A5_20096,3
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,0
FP200000542BR_A5_20219,5
FP200000542BR_A5_20248,1
FP200000542BR_A5_20257,4
FP200000542BR_A5_20258,3
FP200000542BR_A5_20284,8
FP200000542BR_A5_20299,1
FP200000542BR_A5_20323,4
FP200000542BR_A5_20341,10
FP200000542BR_A5_20366,2
FP200000542BR_A5_20377,2
FP200000542BR_A5_20487,4
FP200000542BR_A5_20492,1
FP200000542BR_A5_20524,0
FP200000542BR_A5_20541,3
FP200000542BR_A5_20546,3
FP200000542BR_A5_20571,0
FP200000542BR_A5_20585,1
FP200000542BR_A5_20673,1
FP200000542BR_A5_20676,5
FP200000542BR_A5_20717,7
FP200000542BR_A5_20735,1
FP200000542BR_A5_20754,2
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,4
FP200000542BR_A5_20846,1
FP200000542BR_A5_20869,3
FP200000542BR_A5_20880,1
FP200000542BR_A5_21049,0
FP200000542BR_A5_21056,10
FP200000542BR_A5_21093,4
FP200000542BR_A5_21122,4
FP200000542BR_A5_21155,2
FP200000542BR_A5_21203,1
FP200000542BR_A5_21213,2
FP200000542BR_A5_21219,0
FP200000542BR_A5_21235,3
FP200000542BR_A5_21266,1
FP200000542BR_A5_21391,4
FP200000542BR_A5_21421,1
FP200000542BR_A5_21529,5
FP200000542BR_A5_21696,0
FP200000542BR_A5_21792,1
FP200000542BR_A5_21841,9
FP200000542BR_A5_21847,9
FP200000542BR_A5_21886,2
FP200000542BR_A5_21964,1
FP200000542BR_A5_21994,11
FP200000542BR_A5_22116,0
FP200000542BR_A5_22150,2
FP200000542BR_A5_22262,0
FP200000542BR_A5_22293,5
FP200000542BR_A5_22339,0
FP200000542BR_A5_22408,1
FP200000542BR_A5_22447,4
FP200000542BR_A5_22543,2
FP200000542BR_A5_22571,4
FP200000542BR_A5_22575,1
FP200000542BR_A5_22732,3
FP200000542BR_A5_22753,0
FP200000542BR_A5_22931,1
FP200000542BR_A5_23123,0
FP200000542BR_A5_23251,6
FP200000542BR_A5_23269,3
FP200000542BR_A5_23309,1
FP200000542BR_A5_23313,1
FP200000542BR_A5_23382,1
FP200000542BR_A5_23604,8
FP200000542BR_A5_23711,0
FP200000542BR_A5_23816,6
FP200000542BR_A5_23846,7
FP200000542BR_A5_23850,2
FP200000542BR_A5_24093,3
FP200000542BR_A5_24132,2
FP200000542BR_A5_24271,2
FP200000542BR_A5_24272,3
FP200000542BR_A5_24347,4
FP200000542BR_A5_24367,0
FP200000542BR_A5_24370,0
FP200000542BR_A5_24462,3
FP200000542BR_A5_24474,8
FP200000542BR_A5_24500,3
FP200000542BR_A5_24547,2
FP200000542BR_A5_24562,3
FP200000542BR_A5_24564,2
FP200000542BR_A5_24567,0
FP200000542BR_A5_24578,4
FP200000542BR_A5_24604,3
FP200000542BR_A5_24605,3
FP200000542BR_A5_24744,2
FP200000542BR_A5_24757,3
FP200000542BR_A5_24818,8
FP200000542BR_A5_24820,1
FP200000542BR_A5_24871,1
FP200000542BR_A5_24889,3
FP200000542BR_A5_24900,0
FP200000542BR_A5_24911,0
FP200000542BR_A5_24938,0
FP200000542BR_A5_24953,0
FP200000542BR_A5_24956,0
FP200000542BR_A5_25021,0
FP200000542BR_A5_25034,1
FP200000542BR_A5_25065,0
FP200000542BR_A5_25070,1
FP200000542BR_A5_25185,0
FP200000542BR_A5_25228,3
FP200000542BR_A5_25255,1
FP200000542BR_A5_25261,4
FP200000542BR_A5_25278,2
FP200000542BR_A5_25295,3
FP200000542BR_A5_25301,6
FP200000542BR_A5_25450,4
FP200000542BR_A5_25456,3
FP200000542BR_A5_25487,3
FP200000542BR_A5_25523,2
FP200000542BR_A5_25528,9
FP200000542BR_A5_25554,1
FP200000542BR_A5_25620,1
FP200000542BR_A5_25643,2
FP200000542BR_A5_25668,3
FP200000542BR_A5_25714,4
FP200000542BR_A5_25802,1
FP200000542BR_A5_25830,1
FP200000542BR_A5_25915,0
FP200000542BR_A5_26007,1
FP200000542BR_A5_26051,0
FP200000542BR_A5_26094,0
FP200000542BR_A5_26133,0
FP200000542BR_A5_26165,2
FP200000542BR_A5_26180,1
FP200000542BR_A5_26284,2
FP200000542BR_A5_26302,3
FP200000542BR_A5_26344,4
FP200000542BR_A5_26369,2
FP200000542BR_A5_26419,2
FP200000542BR_A5_26472,0
FP200000542BR_A5_26483,6
FP200000542BR_A5_26541,0
FP200000542BR_A5_26566,6
FP200000542BR_A5_26576,5
FP200000542BR_A5_26579,4
FP200000542BR_A5_26624,4
FP200000542BR_A5_26677,0
FP200000542BR_A5_26796,2
FP200000542BR_A5_26830,0
FP200000542BR_A5_26843,1
FP200000542BR_A5_26896,6
FP200000542BR_A5_26974,10
FP200000542BR_A5_27002,3
FP200000542BR_A5_27053,2
FP200000542BR_A5_27095,0
FP200000542BR_A5_27197,1
FP200000542BR_A5_27220,2
FP200000542BR_A5_27348,2
FP200000542BR_A5_27349,3
FP200000542BR_A5_27364,6
FP200000542BR_A5_27377,4
FP200000542BR_A5_27383,1
FP200000542BR_A5_27426,2
FP200000542BR_A5_27619,4
FP200000542BR_A5_27620,4
FP200000542BR_A5_27697,9
FP200000542BR_A5_27863,3
FP200000542BR_A5_27876,4
FP200000542BR_A5_27980,1
FP200000542BR_A5_27987,1
FP200000542BR_A5_28079,3
FP200000542BR_A5_28158,8
FP200000542BR_A5_28167,6
FP200000542BR_A5_28170,0
FP200000542BR_A5_28323,0
FP200000542BR_A5_28333,0
FP200000542BR_A5_28344,0
FP200000542BR_A5_28378,3
FP200000542BR_A5_28468,5
FP200000542BR_A5_28511,0
FP200000542BR_A5_28604,1
FP200000542BR_A5_28626,4
FP200000542BR_A5_28632,4
FP200000542BR_A5_28657,2
FP200000542BR_A5_28790,8
FP200000542BR_A5_28814,2
FP200000542BR_A5_28824,0
FP200000542BR_A5_28839,0
FP200000542BR_A5_28846,7
FP200000542BR_A5_28885,3
FP200000542BR_A5_28917,10
FP200000542BR_A5_29048,2
FP200000542BR_A5_29065,2
FP200000542BR_A5_29084,2
FP200000542BR_A5_29089,1
FP200000542BR_A5_29142,0
FP200000542BR_A5_29148,0
FP200000542BR_A5_29254,3
FP200000542BR_A5_29299,4
FP200000542BR_A5_29356,1
FP200000542BR_A5_29361,2
FP200000542BR_A5_29377,1
FP200000542BR_A5_29404,4
FP200000542BR_A5_29418,4
FP200000542BR_A5_29426,2
FP200000542BR_A5_29446,4
FP200000542BR_A5_29455,3
FP200000542BR_A5_29464,2
FP200000542BR_A5_29496,2
FP200000542BR_A5_29518,3
FP200000542BR_A5_29577,6
FP200000542BR_A5_29606,3
FP200000542BR_A5_29615,5
FP200000542BR_A5_29623,0
FP200000542BR_A5_29627,0
FP200000542BR_A5_29683,0
FP200000542BR_A5_29712,1
FP200000542BR_A5_29800,1
FP200000542BR_A5_29878,7
FP200000542BR_A5_29884,2
FP200000542BR_A5_29889,2
FP200000542BR_A5_29890,3
FP200000542BR_A5_29895,3
FP200000542BR_A5_29907,2
FP200000542BR_A5_30038,0
FP200000542BR_A5_30065,0
FP200000542BR_A5_30089,5
FP200000542BR_A5_30095,1
FP200000542BR_A5_30116,3
FP200000542BR_A5_30128,0
FP200000542BR_A5_30191,0
FP200000542BR_A5_30215,3
FP200000542BR_A5_30216,1
FP200000542BR_A5_30225,3
FP200000542BR_A5_30227,3
FP200000542BR_A5_30267,1
FP200000542BR_A5_30341,3
FP200000542BR_A5_30445,6
FP200000542BR_A5_30491,5
FP200000542BR_A5_30492,0
FP200000542BR_A5_30573,2
FP200000542BR_A5_30590,1
FP200000542BR_A5_30599,3
FP200000542BR_A5_30633,1
FP200000542BR_A5_30660,2
FP200000542BR_A5_30684,4
FP200000542BR_A5_30776,2
FP200000542BR_A5_30803,0
FP200000542BR_A5_30860,3
FP200000542BR_A5_30901,0
FP200000542BR_A5_31028,8
FP200000542BR_A5_31220,0
FP200000542BR_A5_31262,0
FP200000542BR_A5_31281,3
FP200000542BR_A5_31464,2
FP200000542BR_A5_31497,3
FP200000542BR_A5_31667,1
FP200000542BR_A5_31719,1
FP200000542BR_A5_31875,0
FP200000542BR_A5_32068,4
FP200000542BR_A5_32257,3
FP200000542BR_A5_32294,0
FP200000542BR_A5_32737,1
FP200000542BR_A5_32817,1
FP200000542BR_A5_32863,4
FP200000542BR_A5_32963,3
FP200000542BR_A5_33131,9
FP200000542BR_A5_33208,1
FP200000542BR_A5_33373,0
FP200000542BR_A5_33594,6
FP200000542BR_A5_34097,14
FP200000542BR_A5_34203,4
FP200000542BR_A5_34480,0
FP200000542BR_A5_34976,8
FP200000542BR_A5_35253,0
FP200000542BR_A5_35361,2
FP200000542BR_A5_35496,3
FP200000542BR_A5_35822,1
FP200000542BR_A3_14894,4
FP200000542BR_A3_14924,4
FP200000542BR_A3_14998,0
FP200000542BR_A3_15163,0
FP200000542BR_A3_15371,3
FP200000542BR_A3_16209,8
FP200000542BR_A3_17188,4
FP200000542BR_A3_17213,3
FP200000542BR_A3_17240,0
FP200000542BR_A3_17260,2
FP200000542BR_A3_17608,0
FP200000542BR_A3_17623,5
FP200000542BR_A3_17652,0
FP200000542BR_A3_17794,4
FP200000542BR_A3_17882,0
FP200000542BR_A3_17941,1
FP200000542BR_A3_17956,0
FP200000542BR_A3_17964,1
FP200000542BR_A3_17992,4
FP200000542BR_A3_18104,4
FP200000542BR_A3_18412,1
FP200000542BR_A3_18606,1
FP200000542BR_A3_18648,1
FP200000542BR_A3_18775,1
FP200000542BR_A3_19330,3
FP200000542BR_A3_19468,5
FP200000542BR_A3_19501,4
FP200000542BR_A3_19586,1
FP200000542BR_A3_19625,2
FP200000542BR_A3_19713,4
FP200000542BR_A3_19738,1
FP200000542BR_A3_19788,4
FP200000542BR_A3_19808,4
FP200000542BR_A3_19819,0
FP200000542BR_A3_19935,3
FP200000542BR_A3_20022,4
FP200000542BR_A3_20039,1
FP200000542BR_A3_20107,3
FP200000542BR_A3_20126,0
FP200000542BR_A3_20127,0
FP200000542BR_A3_20179,7
FP200000542BR_A3_20330,1
FP200000542BR_A3_20399,1
FP200000542BR_A3_20445,3
FP200000542BR_A3_20449,0
FP200000542BR_A3_20530,3
FP200000542BR_A3_20651,3
FP200000542BR_A3_20652,3
FP200000542BR_A3_20661,0
FP200000542BR_A3_20717,0
FP200000542BR_A3_20741,3
FP200000542BR_A3_20752,1
FP200000542BR_A3_20836,0
FP200000542BR_A3_20846,1
FP200000542BR_A3_20899,3
FP200000542BR_A3_21003,0
FP200000542BR_A3_21057,1
FP200000542BR_A3_21073,0
FP200000542BR_A3_21109,3
FP200000542BR_A3_21287,0
FP200000542BR_A3_21307,1
FP200000542BR_A3_21321,2
FP200000542BR_A3_21376,2
FP200000542BR_A3_21379,5
FP200000542BR_A3_21392,0
FP200000542BR_A3_21430,1
FP200000542BR_A3_21447,0
FP200000542BR_A3_21727,1
FP200000542BR_A3_21760,0
FP200000542BR_A3_21812,1
FP200000542BR_A3_21836,1
FP200000542BR_A3_21879,6
FP200000542BR_A3_21906,7
FP200000542BR_A3_21931,4
FP200000542BR_A3_21949,2
FP200000542BR_A3_22049,1
FP200000542BR_A3_22056,0
FP200000542BR_A3_22237,6
FP200000542BR_A3_22245,1
FP200000542BR_A3_22268,0
FP200000542BR_A3_22273,0
