cell_id,count
FP200000542BR_A5_14055,0
FP200000542BR_A5_14616,1
FP200000542BR_A5_14863,2
FP200000542BR_A5_14894,1
FP200000542BR_A5_15005,4
FP200000542BR_A5_15006,1
FP200000542BR_A5_15016,0
FP200000542BR_A5_16049,4
FP200000542BR_A5_16105,1
FP200000542BR_A5_16280,0
FP200000542BR_A5_16676,0
FP200000542BR_A5_16700,1
FP200000542BR_A5_16929,0
FP200000542BR_A5_17549,5
FP200000542BR_A5_17611,2
FP200000542BR_A5_17657,1
FP200000542BR_A5_17860,1
FP200000542BR_A5_17897,2
FP200000542BR_A5_17943,4
FP200000542BR_A5_18037,1
FP200000542BR_A5_18060,2
FP200000542BR_A5_18134,4
FP200000542BR_A5_18221,5
FP200000542BR_A5_18229,3
FP200000542BR_A5_18247,5
FP200000542BR_A5_18381,1
FP200000542BR_A5_18451,0
FP200000542BR_A5_18569,1
FP200000542BR_A5_18639,5
FP200000542BR_A5_18692,5
FP200000542BR_A5_18705,1
FP200000542BR_A5_18713,0
FP200000542BR_A5_18748,0
FP200000542BR_A5_18768,3
FP200000542BR_A5_18789,1
FP200000542BR_A5_18901,0
FP200000542BR_A5_19036,4
FP200000542BR_A5_19063,0
FP200000542BR_A5_19089,2
FP200000542BR_A5_19111,1
FP200000542BR_A5_19120,0
FP200000542BR_A5_19150,2
FP200000542BR_A5_19167,2
FP200000542BR_A5_19332,3
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,1
FP200000542BR_A5_19447,2
FP200000542BR_A5_19454,5
FP200000542BR_A5_19482,1
FP200000542BR_A5_19544,9
FP200000542BR_A5_19545,7
FP200000542BR_A5_19615,4
FP200000542BR_A5_19627,2
FP200000542BR_A5_19684,1
FP200000542BR_A5_19793,0
FP200000542BR_A5_19861,5
FP200000542BR_A5_19917,0
FP200000542BR_A5_19983,8
FP200000542BR_A5_20096,2
FP200000542BR_A5_20176,2
FP200000542BR_A5_20200,1
FP200000542BR_A5_20219,4
FP200000542BR_A5_20248,1
FP200000542BR_A5_20257,0
FP200000542BR_A5_20258,6
FP200000542BR_A5_20284,3
FP200000542BR_A5_20299,0
FP200000542BR_A5_20323,2
FP200000542BR_A5_20341,0
FP200000542BR_A5_20366,2
FP200000542BR_A5_20377,0
FP200000542BR_A5_20487,3
FP200000542BR_A5_20492,1
FP200000542BR_A5_20524,1
FP200000542BR_A5_20541,1
FP200000542BR_A5_20546,3
FP200000542BR_A5_20571,0
FP200000542BR_A5_20585,0
FP200000542BR_A5_20673,2
FP200000542BR_A5_20676,1
FP200000542BR_A5_20717,2
FP200000542BR_A5_20735,8
FP200000542BR_A5_20754,1
FP200000542BR_A5_20765,1
FP200000542BR_A5_20806,4
FP200000542BR_A5_20846,0
FP200000542BR_A5_20869,2
FP200000542BR_A5_20880,2
FP200000542BR_A5_21049,3
FP200000542BR_A5_21056,10
FP200000542BR_A5_21093,3
FP200000542BR_A5_21122,8
FP200000542BR_A5_21155,5
FP200000542BR_A5_21203,0
FP200000542BR_A5_21213,1
FP200000542BR_A5_21219,0
FP200000542BR_A5_21235,0
FP200000542BR_A5_21266,1
FP200000542BR_A5_21391,4
FP200000542BR_A5_21421,1
FP200000542BR_A5_21529,0
FP200000542BR_A5_21696,2
FP200000542BR_A5_21792,2
FP200000542BR_A5_21841,0
FP200000542BR_A5_21847,1
FP200000542BR_A5_21886,3
FP200000542BR_A5_21964,0
FP200000542BR_A5_21994,0
FP200000542BR_A5_22116,1
FP200000542BR_A5_22150,1
FP200000542BR_A5_22262,1
FP200000542BR_A5_22293,3
FP200000542BR_A5_22339,0
FP200000542BR_A5_22408,0
FP200000542BR_A5_22447,0
FP200000542BR_A5_22543,5
FP200000542BR_A5_22571,1
FP200000542BR_A5_22575,1
FP200000542BR_A5_22732,4
FP200000542BR_A5_22753,5
FP200000542BR_A5_22931,1
FP200000542BR_A5_23123,2
FP200000542BR_A5_23251,0
FP200000542BR_A5_23269,0
FP200000542BR_A5_23309,2
FP200000542BR_A5_23313,2
FP200000542BR_A5_23382,0
FP200000542BR_A5_23604,1
FP200000542BR_A5_23711,2
FP200000542BR_A5_23816,2
FP200000542BR_A5_23846,2
FP200000542BR_A5_23850,5
FP200000542BR_A5_24093,1
FP200000542BR_A5_24132,2
FP200000542BR_A5_24271,2
FP200000542BR_A5_24272,3
FP200000542BR_A5_24347,8
FP200000542BR_A5_24367,3
FP200000542BR_A5_24370,2
FP200000542BR_A5_24462,3
FP200000542BR_A5_24474,0
FP200000542BR_A5_24500,2
