cell_id,count
FP200000542BR_A5_14055,0
FP200000542BR_A5_14616,3
FP200000542BR_A5_14863,7
FP200000542BR_A5_14894,3
FP200000542BR_A5_15005,2
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,4
FP200000542BR_A5_16049,5
FP200000542BR_A5_16105,5
FP200000542BR_A5_16280,6
FP200000542BR_A5_16676,1
FP200000542BR_A5_16700,2
FP200000542BR_A5_16929,1
FP200000542BR_A5_17549,3
FP200000542BR_A5_17611,2
FP200000542BR_A5_17657,6
FP200000542BR_A5_17860,8
FP200000542BR_A5_17897,3
FP200000542BR_A5_17943,13
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,3
FP200000542BR_A5_18134,3
FP200000542BR_A5_18221,9
FP200000542BR_A5_18229,2
FP200000542BR_A5_18247,6
FP200000542BR_A5_18381,7
FP200000542BR_A5_18451,8
FP200000542BR_A5_18569,5
FP200000542BR_A5_18639,10
FP200000542BR_A5_18692,1
FP200000542BR_A5_18705,0
FP200000542BR_A5_18713,5
FP200000542BR_A5_18748,1
FP200000542BR_A5_18768,0
FP200000542BR_A5_18789,0
FP200000542BR_A5_18901,0
FP200000542BR_A5_19036,4
FP200000542BR_A5_19063,2
FP200000542BR_A5_19089,1
FP200000542BR_A5_19111,4
FP200000542BR_A5_19120,0
FP200000542BR_A5_19150,7
FP200000542BR_A5_19167,3
FP200000542BR_A5_19332,4
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,7
FP200000542BR_A5_19447,13
FP200000542BR_A5_19454,1
FP200000542BR_A5_19482,7
FP200000542BR_A5_19544,3
FP200000542BR_A5_19545,8
FP200000542BR_A5_19615,1
FP200000542BR_A5_19627,6
FP200000542BR_A5_19684,4
FP200000542BR_A5_19793,3
FP200000542BR_A5_19861,4
FP200000542BR_A5_19917,1
FP200000542BR_A5_19983,14
FP200000542BR_A5_20096,2
FP200000542BR_A5_20176,4
FP200000542BR_A5_20200,5
FP200000542BR_A5_20219,8
FP200000542BR_A5_20248,9
FP200000542BR_A5_20257,3
FP200000542BR_A5_20258,11
FP200000542BR_A5_20284,3
FP200000542BR_A5_20299,6
FP200000542BR_A5_20323,2
FP200000542BR_A5_20341,7
FP200000542BR_A5_20366,12
FP200000542BR_A5_20377,1
FP200000542BR_A5_20487,2
FP200000542BR_A5_20492,1
FP200000542BR_A5_20524,0
FP200000542BR_A5_20541,9
FP200000542BR_A5_20546,7
FP200000542BR_A5_20571,1
FP200000542BR_A5_20585,1
FP200000542BR_A5_20673,3
FP200000542BR_A5_20676,10
FP200000542BR_A5_20717,4
FP200000542BR_A5_20735,12
FP200000542BR_A5_20754,1
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,6
FP200000542BR_A5_20846,2
FP200000542BR_A5_20869,1
FP200000542BR_A5_20880,1
FP200000542BR_A5_21049,2
FP200000542BR_A5_21056,14
FP200000542BR_A5_21093,13
FP200000542BR_A5_21122,10
FP200000542BR_A5_21155,8
FP200000542BR_A5_21203,2
FP200000542BR_A5_21213,2
FP200000542BR_A5_21219,6
FP200000542BR_A5_21235,7
FP200000542BR_A5_21266,2
FP200000542BR_A5_21391,8
FP200000542BR_A5_21421,1
FP200000542BR_A5_21529,10
FP200000542BR_A5_21696,6
FP200000542BR_A5_21792,6
FP200000542BR_A5_21841,4
FP200000542BR_A5_21847,15
FP200000542BR_A5_21886,7
FP200000542BR_A5_21964,4
FP200000542BR_A5_21994,4
FP200000542BR_A5_22116,4
FP200000542BR_A5_22150,1
FP200000542BR_A5_22262,3
FP200000542BR_A5_22293,9
FP200000542BR_A5_22339,7
FP200000542BR_A5_22408,2
FP200000542BR_A5_22447,4
FP200000542BR_A5_22543,4
FP200000542BR_A5_22571,7
FP200000542BR_A5_22575,2
FP200000542BR_A5_22732,1
FP200000542BR_A5_22753,10
FP200000542BR_A5_22931,2
FP200000542BR_A5_23123,10
FP200000542BR_A5_23251,5
FP200000542BR_A5_23269,3
FP200000542BR_A5_23309,2
FP200000542BR_A5_23313,2
FP200000542BR_A5_23382,4
FP200000542BR_A5_23604,12
FP200000542BR_A5_23711,3
FP200000542BR_A5_23816,12
FP200000542BR_A5_23846,3
FP200000542BR_A5_23850,31
FP200000542BR_A5_24093,3
FP200000542BR_A5_24132,4
FP200000542BR_A5_24271,14
FP200000542BR_A5_24272,0
FP200000542BR_A5_24347,12
FP200000542BR_A5_24367,2
FP200000542BR_A5_24370,2
FP200000542BR_A5_24462,8
FP200000542BR_A5_24474,8
FP200000542BR_A5_24500,14
FP200000542BR_A5_24547,1
FP200000542BR_A5_24562,0
FP200000542BR_A5_24564,3
FP200000542BR_A5_24567,10
FP200000542BR_A5_24578,0
FP200000542BR_A5_24604,5
FP200000542BR_A5_24605,15
FP200000542BR_A5_24744,4
