cell_id,count
FP200000542BR_A5_14055,4
FP200000542BR_A5_14616,1
FP200000542BR_A5_14863,1
FP200000542BR_A5_14894,4
FP200000542BR_A5_15005,5
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,0
FP200000542BR_A5_16049,3
FP200000542BR_A5_16105,2
FP200000542BR_A5_16280,2
FP200000542BR_A5_16676,3
FP200000542BR_A5_16700,0
FP200000542BR_A5_16929,0
FP200000542BR_A5_17549,4
FP200000542BR_A5_17611,4
FP200000542BR_A5_17657,1
FP200000542BR_A5_17860,4
FP200000542BR_A5_17897,1
FP200000542BR_A5_17943,4
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,3
FP200000542BR_A5_18134,2
FP200000542BR_A5_18221,3
FP200000542BR_A5_18229,0
FP200000542BR_A5_18247,1
FP200000542BR_A5_18381,0
FP200000542BR_A5_18451,0
FP200000542BR_A5_18569,2
FP200000542BR_A5_18639,1
FP200000542BR_A5_18692,1
FP200000542BR_A5_18705,0
FP200000542BR_A5_18713,0
FP200000542BR_A5_18748,0
FP200000542BR_A5_18768,0
FP200000542BR_A5_18789,1
FP200000542BR_A5_18901,0
FP200000542BR_A5_19036,4
FP200000542BR_A5_19063,1
FP200000542BR_A5_19089,0
FP200000542BR_A5_19111,0
FP200000542BR_A5_19120,2
FP200000542BR_A5_19150,12
FP200000542BR_A5_19167,5
FP200000542BR_A5_19332,6
FP200000542BR_A5_19409,2
FP200000542BR_A5_19423,5
FP200000542BR_A5_19447,4
FP200000542BR_A5_19454,4
FP200000542BR_A5_19482,4
FP200000542BR_A5_19544,0
FP200000542BR_A5_19545,3
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,5
FP200000542BR_A5_19684,0
FP200000542BR_A5_19793,0
FP200000542BR_A5_19861,1
FP200000542BR_A5_19917,3
FP200000542BR_A5_19983,4
FP200000542BR_A5_20096,5
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,1
FP200000542BR_A5_20219,5
FP200000542BR_A5_20248,1
FP200000542BR_A5_20257,1
FP200000542BR_A5_20258,5
FP200000542BR_A5_20284,4
FP200000542BR_A5_20299,4
FP200000542BR_A5_20323,1
FP200000542BR_A5_20341,6
FP200000542BR_A5_20366,3
FP200000542BR_A5_20377,4
FP200000542BR_A5_20487,0
FP200000542BR_A5_20492,0
FP200000542BR_A5_20524,0
FP200000542BR_A5_20541,9
FP200000542BR_A5_20546,4
FP200000542BR_A5_20571,0
FP200000542BR_A5_20585,1
FP200000542BR_A5_20673,1
FP200000542BR_A5_20676,5
FP200000542BR_A5_20717,4
FP200000542BR_A5_20735,1
FP200000542BR_A5_20754,5
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,5
FP200000542BR_A5_20846,2
FP200000542BR_A5_20869,0
FP200000542BR_A5_20880,2
FP200000542BR_A5_21049,0
FP200000542BR_A5_21056,3
FP200000542BR_A5_21093,0
FP200000542BR_A5_21122,0
FP200000542BR_A5_21155,3
FP200000542BR_A5_21203,0
FP200000542BR_A5_21213,0
FP200000542BR_A5_21219,0
FP200000542BR_A5_21235,0
FP200000542BR_A5_21266,0
FP200000542BR_A5_21391,4
FP200000542BR_A5_21421,1
FP200000542BR_A5_21529,2
FP200000542BR_A5_21696,0
FP200000542BR_A5_21792,5
FP200000542BR_A5_21841,2
FP200000542BR_A5_21847,2
FP200000542BR_A5_21886,0
FP200000542BR_A5_21964,0
FP200000542BR_A5_21994,8
FP200000542BR_A5_22116,1
FP200000542BR_A5_22150,6
FP200000542BR_A5_22262,0
FP200000542BR_A5_22293,6
FP200000542BR_A5_22339,1
FP200000542BR_A5_22408,2
FP200000542BR_A5_22447,1
FP200000542BR_A5_22543,3
FP200000542BR_A5_22571,0
FP200000542BR_A5_22575,1
FP200000542BR_A5_22732,2
FP200000542BR_A5_22753,2
FP200000542BR_A5_22931,1
FP200000542BR_A5_23123,3
FP200000542BR_A5_23251,1
FP200000542BR_A5_23269,1
FP200000542BR_A5_23309,0
FP200000542BR_A5_23313,0
FP200000542BR_A5_23382,1
FP200000542BR_A5_23604,0
FP200000542BR_A5_23711,3
FP200000542BR_A5_23816,5
FP200000542BR_A5_23846,4
FP200000542BR_A5_23850,4
FP200000542BR_A5_24093,0
FP200000542BR_A5_24132,0
FP200000542BR_A5_24271,0
FP200000542BR_A5_24272,0
FP200000542BR_A5_24347,2
FP200000542BR_A5_24367,0
FP200000542BR_A5_24370,2
FP200000542BR_A5_24462,8
FP200000542BR_A5_24474,1
FP200000542BR_A5_24500,3
FP200000542BR_A5_24547,1
FP200000542BR_A5_24562,0
FP200000542BR_A5_24564,2
FP200000542BR_A5_24567,0
FP200000542BR_A5_24578,3
FP200000542BR_A5_24604,1
FP200000542BR_A5_24605,0
FP200000542BR_A5_24744,2
FP200000542BR_A5_24757,1
FP200000542BR_A5_24818,2
FP200000542BR_A5_24820,0
FP200000542BR_A5_24871,1
FP200000542BR_A5_24889,5
FP200000542BR_A5_24900,5
FP200000542BR_A5_24911,0
FP200000542BR_A5_24938,4
FP200000542BR_A5_24953,0
FP200000542BR_A5_24956,1
FP200000542BR_A5_25021,0
FP200000542BR_A5_25034,1
FP200000542BR_A5_25065,0
FP200000542BR_A5_25070,2
FP200000542BR_A5_25185,1
FP200000542BR_A5_25228,0
FP200000542BR_A5_25255,1
FP200000542BR_A5_25261,0
FP200000542BR_A5_25278,0
FP200000542BR_A5_25295,1
FP200000542BR_A5_25301,1
FP200000542BR_A5_25450,0
FP200000542BR_A5_25456,1
FP200000542BR_A5_25487,0
FP200000542BR_A5_25523,0
FP200000542BR_A5_25528,1
FP200000542BR_A5_25554,2
FP200000542BR_A5_25620,1
FP200000542BR_A5_25643,3
FP200000542BR_A5_25668,2
FP200000542BR_A5_25714,6
FP200000542BR_A5_25802,0
FP200000542BR_A5_25830,6
FP200000542BR_A5_25915,1
FP200000542BR_A5_26007,1
FP200000542BR_A5_26051,1
FP200000542BR_A5_26094,0
FP200000542BR_A5_26133,1
FP200000542BR_A5_26165,1
FP200000542BR_A5_26180,1
FP200000542BR_A5_26284,8
FP200000542BR_A5_26302,0
FP200000542BR_A5_26344,4
FP200000542BR_A5_26369,0
FP200000542BR_A5_26419,1
FP200000542BR_A5_26472,1
FP200000542BR_A5_26483,0
FP200000542BR_A5_26541,1
FP200000542BR_A5_26566,11
FP200000542BR_A5_26576,0
FP200000542BR_A5_26579,0
FP200000542BR_A5_26624,0
FP200000542BR_A5_26677,0
FP200000542BR_A5_26796,2
FP200000542BR_A5_26830,4
FP200000542BR_A5_26843,0
FP200000542BR_A5_26896,5
FP200000542BR_A5_26974,1
FP200000542BR_A5_27002,4
FP200000542BR_A5_27053,0
FP200000542BR_A5_27095,0
FP200000542BR_A5_27197,0
FP200000542BR_A5_27220,5
FP200000542BR_A5_27348,2
FP200000542BR_A5_27349,1
FP200000542BR_A5_27364,2
FP200000542BR_A5_27377,1
FP200000542BR_A5_27383,0
FP200000542BR_A5_27426,1
FP200000542BR_A5_27619,3
FP200000542BR_A5_27620,3
FP200000542BR_A5_27697,2
FP200000542BR_A5_27863,0
FP200000542BR_A5_27876,0
FP200000542BR_A5_27980,2
FP200000542BR_A5_27987,0
FP200000542BR_A5_28079,1
FP200000542BR_A5_28158,2
FP200000542BR_A5_28167,1
FP200000542BR_A5_28170,2
FP200000542BR_A5_28323,0
FP200000542BR_A5_28333,2
FP200000542BR_A5_28344,0
FP200000542BR_A5_28378,1
FP200000542BR_A5_28468,3
FP200000542BR_A5_28511,0
FP200000542BR_A5_28604,0
FP200000542BR_A5_28626,8
FP200000542BR_A5_28632,0
FP200000542BR_A5_28657,1
FP200000542BR_A5_28790,7
FP200000542BR_A5_28814,4
FP200000542BR_A5_28824,3
FP200000542BR_A5_28839,0
FP200000542BR_A5_28846,2
FP200000542BR_A5_28885,6
FP200000542BR_A5_28917,3
FP200000542BR_A5_29048,8
FP200000542BR_A5_29065,1
FP200000542BR_A5_29084,3
FP200000542BR_A5_29089,2
FP200000542BR_A5_29142,3
FP200000542BR_A5_29148,0
FP200000542BR_A5_29254,1
FP200000542BR_A5_29299,6
FP200000542BR_A5_29356,5
FP200000542BR_A5_29361,0
FP200000542BR_A5_29377,1
FP200000542BR_A5_29404,2
FP200000542BR_A5_29418,1
FP200000542BR_A5_29426,1
FP200000542BR_A5_29446,1
FP200000542BR_A5_29455,2
FP200000542BR_A5_29464,0
FP200000542BR_A5_29496,2
FP200000542BR_A5_29518,2
FP200000542BR_A5_29577,4
FP200000542BR_A5_29606,1
FP200000542BR_A5_29615,0
FP200000542BR_A5_29623,0
FP200000542BR_A5_29627,4
FP200000542BR_A5_29683,1
FP200000542BR_A5_29712,2
FP200000542BR_A5_29800,1
FP200000542BR_A5_29878,11
FP200000542BR_A5_29884,0
FP200000542BR_A5_29889,4
FP200000542BR_A5_29890,0
FP200000542BR_A5_29895,2
FP200000542BR_A5_29907,1
FP200000542BR_A5_30038,0
FP200000542BR_A5_30065,4
FP200000542BR_A5_30089,2
FP200000542BR_A5_30095,1
FP200000542BR_A5_30116,6
FP200000542BR_A5_30128,0
FP200000542BR_A5_30191,4
FP200000542BR_A5_30215,4
FP200000542BR_A5_30216,1
FP200000542BR_A5_30225,7
FP200000542BR_A5_30227,1
FP200000542BR_A5_30267,4
FP200000542BR_A5_30341,0
FP200000542BR_A5_30445,2
FP200000542BR_A5_30491,0
FP200000542BR_A5_30492,1
FP200000542BR_A5_30573,3
FP200000542BR_A5_30590,2
FP200000542BR_A5_30599,1
FP200000542BR_A5_30633,3
FP200000542BR_A5_30660,2
FP200000542BR_A5_30684,1
FP200000542BR_A5_30776,0
FP200000542BR_A5_30803,1
FP200000542BR_A5_30860,6
FP200000542BR_A5_30901,1
FP200000542BR_A5_31028,2
FP200000542BR_A5_31220,3
FP200000542BR_A5_31262,0
FP200000542BR_A5_31281,3
FP200000542BR_A5_31464,0
FP200000542BR_A5_31497,1
FP200000542BR_A5_31667,2
FP200000542BR_A5_31719,2
FP200000542BR_A5_31875,0
FP200000542BR_A5_32068,4
FP200000542BR_A5_32257,2
FP200000542BR_A5_32294,1
FP200000542BR_A5_32737,0
FP200000542BR_A5_32817,8
FP200000542BR_A5_32863,0
FP200000542BR_A5_32963,4
FP200000542BR_A5_33131,5
FP200000542BR_A5_33208,0
FP200000542BR_A5_33373,0
FP200000542BR_A5_33594,9
FP200000542BR_A5_34097,4
FP200000542BR_A5_34203,5
FP200000542BR_A5_34480,2
FP200000542BR_A5_34976,9
FP200000542BR_A5_35253,0
FP200000542BR_A5_35361,0
FP200000542BR_A5_35496,0
FP200000542BR_A5_35822,0
FP200000542BR_A3_14894,0
FP200000542BR_A3_14924,0
FP200000542BR_A3_14998,0
FP200000542BR_A3_15163,0
FP200000542BR_A3_15371,3
FP200000542BR_A3_16209,0
FP200000542BR_A3_17188,3
FP200000542BR_A3_17213,0
FP200000542BR_A3_17240,1
FP200000542BR_A3_17260,0
FP200000542BR_A3_17608,0
FP200000542BR_A3_17623,2
FP200000542BR_A3_17652,4
FP200000542BR_A3_17794,0
FP200000542BR_A3_17882,0
FP200000542BR_A3_17941,0
FP200000542BR_A3_17956,9
FP200000542BR_A3_17964,1
FP200000542BR_A3_17992,1
FP200000542BR_A3_18104,0
FP200000542BR_A3_18412,1
FP200000542BR_A3_18606,3
FP200000542BR_A3_18648,0
FP200000542BR_A3_18775,4
FP200000542BR_A3_19330,2
FP200000542BR_A3_19468,0
FP200000542BR_A3_19501,2
FP200000542BR_A3_19586,0
FP200000542BR_A3_19625,0
FP200000542BR_A3_19713,5
FP200000542BR_A3_19738,0
FP200000542BR_A3_19788,2
FP200000542BR_A3_19808,1
FP200000542BR_A3_19819,0
FP200000542BR_A3_19935,1
FP200000542BR_A3_20022,1
FP200000542BR_A3_20039,0
FP200000542BR_A3_20107,0
FP200000542BR_A3_20126,1
FP200000542BR_A3_20127,0
FP200000542BR_A3_20179,1
FP200000542BR_A3_20330,1
FP200000542BR_A3_20399,0
FP200000542BR_A3_20445,1
FP200000542BR_A3_20449,1
FP200000542BR_A3_20530,3
FP200000542BR_A3_20651,0
FP200000542BR_A3_20652,0
FP200000542BR_A3_20661,1
FP200000542BR_A3_20717,0
FP200000542BR_A3_20741,0
FP200000542BR_A3_20752,0
FP200000542BR_A3_20836,0
FP200000542BR_A3_20846,3
FP200000542BR_A3_20899,3
FP200000542BR_A3_21003,2
FP200000542BR_A3_21057,1
FP200000542BR_A3_21073,0
FP200000542BR_A3_21109,0
FP200000542BR_A3_21287,0
FP200000542BR_A3_21307,0
FP200000542BR_A3_21321,0
FP200000542BR_A3_21376,0
FP200000542BR_A3_21379,4
FP200000542BR_A3_21392,1
FP200000542BR_A3_21430,0
FP200000542BR_A3_21447,0
FP200000542BR_A3_21727,0
FP200000542BR_A3_21760,0
FP200000542BR_A3_21812,1
FP200000542BR_A3_21836,6
FP200000542BR_A3_21879,3
FP200000542BR_A3_21906,0
FP200000542BR_A3_21931,0
FP200000542BR_A3_21949,8
FP200000542BR_A3_22049,0
FP200000542BR_A3_22056,0
FP200000542BR_A3_22237,7
FP200000542BR_A3_22245,0
FP200000542BR_A3_22268,3
FP200000542BR_A3_22273,1
