cell_id,count
FP200000542BR_A5_14055,1
FP200000542BR_A5_14616,7
FP200000542BR_A5_14863,0
FP200000542BR_A5_14894,3
FP200000542BR_A5_15005,4
FP200000542BR_A5_15006,1
FP200000542BR_A5_15016,2
FP200000542BR_A5_16049,2
FP200000542BR_A5_16105,8
FP200000542BR_A5_16280,4
FP200000542BR_A5_16676,1
FP200000542BR_A5_16700,1
FP200000542BR_A5_16929,3
FP200000542BR_A5_17549,9
FP200000542BR_A5_17611,12
FP200000542BR_A5_17657,8
FP200000542BR_A5_17860,6
FP200000542BR_A5_17897,1
FP200000542BR_A5_17943,9
FP200000542BR_A5_18037,1
FP200000542BR_A5_18060,11
FP200000542BR_A5_18134,8
FP200000542BR_A5_18221,6
FP200000542BR_A5_18229,2
FP200000542BR_A5_18247,0
FP200000542BR_A5_18381,7
FP200000542BR_A5_18451,2
FP200000542BR_A5_18569,5
FP200000542BR_A5_18639,8
FP200000542BR_A5_18692,7
FP200000542BR_A5_18705,1
FP200000542BR_A5_18713,4
FP200000542BR_A5_18748,2
FP200000542BR_A5_18768,3
FP200000542BR_A5_18789,2
FP200000542BR_A5_18901,0
FP200000542BR_A5_19036,8
FP200000542BR_A5_19063,2
FP200000542BR_A5_19089,1
FP200000542BR_A5_19111,0
FP200000542BR_A5_19120,0
FP200000542BR_A5_19150,4
FP200000542BR_A5_19167,4
FP200000542BR_A5_19332,0
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,13
FP200000542BR_A5_19447,11
FP200000542BR_A5_19454,1
FP200000542BR_A5_19482,9
FP200000542BR_A5_19544,1
FP200000542BR_A5_19545,3
FP200000542BR_A5_19615,1
FP200000542BR_A5_19627,16
FP200000542BR_A5_19684,10
FP200000542BR_A5_19793,2
FP200000542BR_A5_19861,2
FP200000542BR_A5_19917,1
FP200000542BR_A5_19983,4
FP200000542BR_A5_20096,1
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,3
FP200000542BR_A5_20219,14
FP200000542BR_A5_20248,0
FP200000542BR_A5_20257,1
FP200000542BR_A5_20258,11
FP200000542BR_A5_20284,10
FP200000542BR_A5_20299,1
FP200000542BR_A5_20323,5
FP200000542BR_A5_20341,1
FP200000542BR_A5_20366,1
FP200000542BR_A5_20377,4
FP200000542BR_A5_20487,2
FP200000542BR_A5_20492,2
FP200000542BR_A5_20524,0
FP200000542BR_A5_20541,1
FP200000542BR_A5_20546,1
FP200000542BR_A5_20571,3
FP200000542BR_A5_20585,2
FP200000542BR_A5_20673,4
FP200000542BR_A5_20676,10
FP200000542BR_A5_20717,2
FP200000542BR_A5_20735,5
FP200000542BR_A5_20754,1
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,13
FP200000542BR_A5_20846,5
FP200000542BR_A5_20869,2
FP200000542BR_A5_20880,1
FP200000542BR_A5_21049,2
FP200000542BR_A5_21056,4
FP200000542BR_A5_21093,5
FP200000542BR_A5_21122,7
FP200000542BR_A5_21155,7
FP200000542BR_A5_21203,2
FP200000542BR_A5_21213,6
FP200000542BR_A5_21219,3
FP200000542BR_A5_21235,0
FP200000542BR_A5_21266,5
FP200000542BR_A5_21391,4
FP200000542BR_A5_21421,0
FP200000542BR_A5_21529,1
FP200000542BR_A5_21696,2
FP200000542BR_A5_21792,6
FP200000542BR_A5_21841,0
FP200000542BR_A5_21847,3
FP200000542BR_A5_21886,1
FP200000542BR_A5_21964,0
FP200000542BR_A5_21994,4
FP200000542BR_A5_22116,2
FP200000542BR_A5_22150,3
FP200000542BR_A5_22262,1
FP200000542BR_A5_22293,6
FP200000542BR_A5_22339,4
FP200000542BR_A5_22408,3
FP200000542BR_A5_22447,3
FP200000542BR_A5_22543,0
FP200000542BR_A5_22571,5
FP200000542BR_A5_22575,4
FP200000542BR_A5_22732,8
FP200000542BR_A5_22753,3
FP200000542BR_A5_22931,1
FP200000542BR_A5_23123,2
FP200000542BR_A5_23251,3
FP200000542BR_A5_23269,4
FP200000542BR_A5_23309,0
FP200000542BR_A5_23313,1
FP200000542BR_A5_23382,2
FP200000542BR_A5_23604,0
FP200000542BR_A5_23711,0
FP200000542BR_A5_23816,5
FP200000542BR_A5_23846,1
FP200000542BR_A5_23850,6
FP200000542BR_A5_24093,0
FP200000542BR_A5_24132,0
FP200000542BR_A5_24271,6
FP200000542BR_A5_24272,1
FP200000542BR_A5_24347,10
FP200000542BR_A5_24367,0
FP200000542BR_A5_24370,0
FP200000542BR_A5_24462,5
FP200000542BR_A5_24474,4
FP200000542BR_A5_24500,10
FP200000542BR_A5_24547,0
FP200000542BR_A5_24562,0
FP200000542BR_A5_24564,6
FP200000542BR_A5_24567,0
FP200000542BR_A5_24578,5
FP200000542BR_A5_24604,3
FP200000542BR_A5_24605,2
FP200000542BR_A5_24744,4
FP200000542BR_A5_24757,2
FP200000542BR_A5_24818,5
FP200000542BR_A5_24820,0
FP200000542BR_A5_24871,0
FP200000542BR_A5_24889,2
FP200000542BR_A5_24900,2
FP200000542BR_A5_24911,9
FP200000542BR_A5_24938,4
FP200000542BR_A5_24953,0
FP200000542BR_A5_24956,0
FP200000542BR_A5_25021,0
FP200000542BR_A5_25034,4
FP200000542BR_A5_25065,3
FP200000542BR_A5_25070,1
FP200000542BR_A5_25185,1
FP200000542BR_A5_25228,3
FP200000542BR_A5_25255,0
FP200000542BR_A5_25261,6
FP200000542BR_A5_25278,2
FP200000542BR_A5_25295,0
FP200000542BR_A5_25301,2
FP200000542BR_A5_25450,0
FP200000542BR_A5_25456,1
FP200000542BR_A5_25487,6
FP200000542BR_A5_25523,0
FP200000542BR_A5_25528,12
FP200000542BR_A5_25554,2
FP200000542BR_A5_25620,2
FP200000542BR_A5_25643,1
FP200000542BR_A5_25668,0
FP200000542BR_A5_25714,13
FP200000542BR_A5_25802,3
FP200000542BR_A5_25830,1
FP200000542BR_A5_25915,0
FP200000542BR_A5_26007,1
FP200000542BR_A5_26051,1
FP200000542BR_A5_26094,1
FP200000542BR_A5_26133,1
FP200000542BR_A5_26165,0
FP200000542BR_A5_26180,1
FP200000542BR_A5_26284,2
FP200000542BR_A5_26302,0
FP200000542BR_A5_26344,3
FP200000542BR_A5_26369,0
FP200000542BR_A5_26419,1
FP200000542BR_A5_26472,3
FP200000542BR_A5_26483,1
FP200000542BR_A5_26541,2
FP200000542BR_A5_26566,1
FP200000542BR_A5_26576,1
FP200000542BR_A5_26579,1
FP200000542BR_A5_26624,0
FP200000542BR_A5_26677,1
FP200000542BR_A5_26796,0
FP200000542BR_A5_26830,0
FP200000542BR_A5_26843,3
FP200000542BR_A5_26896,0
FP200000542BR_A5_26974,2
FP200000542BR_A5_27002,0
FP200000542BR_A5_27053,2
FP200000542BR_A5_27095,0
FP200000542BR_A5_27197,2
FP200000542BR_A5_27220,0
FP200000542BR_A5_27348,0
FP200000542BR_A5_27349,6
FP200000542BR_A5_27364,1
FP200000542BR_A5_27377,3
FP200000542BR_A5_27383,0
FP200000542BR_A5_27426,1
FP200000542BR_A5_27619,3
FP200000542BR_A5_27620,9
FP200000542BR_A5_27697,4
FP200000542BR_A5_27863,0
FP200000542BR_A5_27876,0
FP200000542BR_A5_27980,4
FP200000542BR_A5_27987,0
FP200000542BR_A5_28079,2
FP200000542BR_A5_28158,2
FP200000542BR_A5_28167,1
FP200000542BR_A5_28170,2
FP200000542BR_A5_28323,0
FP200000542BR_A5_28333,4
FP200000542BR_A5_28344,1
FP200000542BR_A5_28378,2
FP200000542BR_A5_28468,2
FP200000542BR_A5_28511,0
FP200000542BR_A5_28604,3
FP200000542BR_A5_28626,7
FP200000542BR_A5_28632,3
FP200000542BR_A5_28657,1
FP200000542BR_A5_28790,1
FP200000542BR_A5_28814,4
FP200000542BR_A5_28824,0
FP200000542BR_A5_28839,0
FP200000542BR_A5_28846,2
FP200000542BR_A5_28885,4
