cell_id,count
FP200000542BR_A5_14055,2
FP200000542BR_A5_14616,1
FP200000542BR_A5_14863,2
FP200000542BR_A5_14894,1
FP200000542BR_A5_15005,2
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,0
FP200000542BR_A5_16049,5
FP200000542BR_A5_16105,5
FP200000542BR_A5_16280,5
FP200000542BR_A5_16676,0
FP200000542BR_A5_16700,1
FP200000542BR_A5_16929,1
FP200000542BR_A5_17549,2
FP200000542BR_A5_17611,0
FP200000542BR_A5_17657,2
FP200000542BR_A5_17860,6
FP200000542BR_A5_17897,3
FP200000542BR_A5_17943,4
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,3
FP200000542BR_A5_18134,3
FP200000542BR_A5_18221,3
FP200000542BR_A5_18229,0
FP200000542BR_A5_18247,1
FP200000542BR_A5_18381,4
FP200000542BR_A5_18451,1
FP200000542BR_A5_18569,1
FP200000542BR_A5_18639,6
FP200000542BR_A5_18692,4
FP200000542BR_A5_18705,0
FP200000542BR_A5_18713,4
FP200000542BR_A5_18748,3
FP200000542BR_A5_18768,0
FP200000542BR_A5_18789,2
FP200000542BR_A5_18901,1
FP200000542BR_A5_19036,6
FP200000542BR_A5_19063,3
FP200000542BR_A5_19089,0
FP200000542BR_A5_19111,1
FP200000542BR_A5_19120,3
FP200000542BR_A5_19150,4
FP200000542BR_A5_19167,4
FP200000542BR_A5_19332,7
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,9
FP200000542BR_A5_19447,4
FP200000542BR_A5_19454,0
FP200000542BR_A5_19482,6
FP200000542BR_A5_19544,1
FP200000542BR_A5_19545,9
FP200000542BR_A5_19615,2
FP200000542BR_A5_19627,2
FP200000542BR_A5_19684,1
FP200000542BR_A5_19793,0
FP200000542BR_A5_19861,2
FP200000542BR_A5_19917,0
FP200000542BR_A5_19983,3
FP200000542BR_A5_20096,0
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,1
FP200000542BR_A5_20219,11
FP200000542BR_A5_20248,1
FP200000542BR_A5_20257,1
FP200000542BR_A5_20258,2
FP200000542BR_A5_20284,6
FP200000542BR_A5_20299,0
FP200000542BR_A5_20323,5
FP200000542BR_A5_20341,1
FP200000542BR_A5_20366,5
FP200000542BR_A5_20377,7
FP200000542BR_A5_20487,9
FP200000542BR_A5_20492,2
FP200000542BR_A5_20524,2
FP200000542BR_A5_20541,7
FP200000542BR_A5_20546,5
FP200000542BR_A5_20571,0
FP200000542BR_A5_20585,2
FP200000542BR_A5_20673,1
FP200000542BR_A5_20676,14
FP200000542BR_A5_20717,4
FP200000542BR_A5_20735,6
FP200000542BR_A5_20754,0
FP200000542BR_A5_20765,1
FP200000542BR_A5_20806,6
FP200000542BR_A5_20846,0
FP200000542BR_A5_20869,1
FP200000542BR_A5_20880,0
FP200000542BR_A5_21049,2
FP200000542BR_A5_21056,0
FP200000542BR_A5_21093,3
FP200000542BR_A5_21122,0
FP200000542BR_A5_21155,4
FP200000542BR_A5_21203,0
FP200000542BR_A5_21213,2
FP200000542BR_A5_21219,1
FP200000542BR_A5_21235,0
FP200000542BR_A5_21266,1
FP200000542BR_A5_21391,4
FP200000542BR_A5_21421,1
FP200000542BR_A5_21529,3
FP200000542BR_A5_21696,1
FP200000542BR_A5_21792,6
FP200000542BR_A5_21841,0
FP200000542BR_A5_21847,4
FP200000542BR_A5_21886,1
FP200000542BR_A5_21964,0
FP200000542BR_A5_21994,4
FP200000542BR_A5_22116,3
FP200000542BR_A5_22150,1
FP200000542BR_A5_22262,1
FP200000542BR_A5_22293,1
FP200000542BR_A5_22339,1
FP200000542BR_A5_22408,0
FP200000542BR_A5_22447,3
FP200000542BR_A5_22543,1
FP200000542BR_A5_22571,3
FP200000542BR_A5_22575,0
FP200000542BR_A5_22732,6
FP200000542BR_A5_22753,0
FP200000542BR_A5_22931,0
FP200000542BR_A5_23123,3
FP200000542BR_A5_23251,10
FP200000542BR_A5_23269,2
FP200000542BR_A5_23309,0
FP200000542BR_A5_23313,0
FP200000542BR_A5_23382,5
FP200000542BR_A5_23604,1
FP200000542BR_A5_23711,1
FP200000542BR_A5_23816,3
FP200000542BR_A5_23846,0
FP200000542BR_A5_23850,6
FP200000542BR_A5_24093,3
FP200000542BR_A5_24132,2
FP200000542BR_A5_24271,0
FP200000542BR_A5_24272,4
FP200000542BR_A5_24347,4
FP200000542BR_A5_24367,0
FP200000542BR_A5_24370,2
FP200000542BR_A5_24462,6
FP200000542BR_A5_24474,0
FP200000542BR_A5_24500,0
FP200000542BR_A5_24547,0
FP200000542BR_A5_24562,2
FP200000542BR_A5_24564,0
FP200000542BR_A5_24567,0
FP200000542BR_A5_24578,0
FP200000542BR_A5_24604,1
FP200000542BR_A5_24605,0
FP200000542BR_A5_24744,4
FP200000542BR_A5_24757,0
FP200000542BR_A5_24818,5
FP200000542BR_A5_24820,0
FP200000542BR_A5_24871,1
FP200000542BR_A5_24889,6
FP200000542BR_A5_24900,3
FP200000542BR_A5_24911,0
FP200000542BR_A5_24938,4
FP200000542BR_A5_24953,0
FP200000542BR_A5_24956,0
FP200000542BR_A5_25021,3
FP200000542BR_A5_25034,2
FP200000542BR_A5_25065,0
FP200000542BR_A5_25070,2
FP200000542BR_A5_25185,1
FP200000542BR_A5_25228,0
FP200000542BR_A5_25255,0
FP200000542BR_A5_25261,3
FP200000542BR_A5_25278,2
FP200000542BR_A5_25295,0
FP200000542BR_A5_25301,2
FP200000542BR_A5_25450,0
FP200000542BR_A5_25456,3
FP200000542BR_A5_25487,2
FP200000542BR_A5_25523,0
FP200000542BR_A5_25528,2
FP200000542BR_A5_25554,1
FP200000542BR_A5_25620,3
FP200000542BR_A5_25643,0
FP200000542BR_A5_25668,2
FP200000542BR_A5_25714,3
FP200000542BR_A5_25802,1
FP200000542BR_A5_25830,0
FP200000542BR_A5_25915,0
FP200000542BR_A5_26007,6
FP200000542BR_A5_26051,2
FP200000542BR_A5_26094,0
FP200000542BR_A5_26133,0
FP200000542BR_A5_26165,1
FP200000542BR_A5_26180,0
FP200000542BR_A5_26284,3
FP200000542BR_A5_26302,1
FP200000542BR_A5_26344,2
FP200000542BR_A5_26369,1
FP200000542BR_A5_26419,0
FP200000542BR_A5_26472,3
FP200000542BR_A5_26483,0
FP200000542BR_A5_26541,0
FP200000542BR_A5_26566,8
FP200000542BR_A5_26576,2
FP200000542BR_A5_26579,0
FP200000542BR_A5_26624,2
FP200000542BR_A5_26677,0
FP200000542BR_A5_26796,3
FP200000542BR_A5_26830,1
FP200000542BR_A5_26843,4
FP200000542BR_A5_26896,4
FP200000542BR_A5_26974,3
FP200000542BR_A5_27002,2
FP200000542BR_A5_27053,5
FP200000542BR_A5_27095,0
FP200000542BR_A5_27197,0
FP200000542BR_A5_27220,2
FP200000542BR_A5_27348,1
FP200000542BR_A5_27349,0
FP200000542BR_A5_27364,0
FP200000542BR_A5_27377,9
FP200000542BR_A5_27383,1
FP200000542BR_A5_27426,0
FP200000542BR_A5_27619,14
FP200000542BR_A5_27620,3
FP200000542BR_A5_27697,1
FP200000542BR_A5_27863,3
FP200000542BR_A5_27876,6
FP200000542BR_A5_27980,3
FP200000542BR_A5_27987,0
FP200000542BR_A5_28079,2
FP200000542BR_A5_28158,1
FP200000542BR_A5_28167,0
FP200000542BR_A5_28170,7
FP200000542BR_A5_28323,0
FP200000542BR_A5_28333,3
FP200000542BR_A5_28344,0
FP200000542BR_A5_28378,3
FP200000542BR_A5_28468,2
FP200000542BR_A5_28511,0
FP200000542BR_A5_28604,3
FP200000542BR_A5_28626,12
FP200000542BR_A5_28632,4
FP200000542BR_A5_28657,0
FP200000542BR_A5_28790,1
FP200000542BR_A5_28814,2
FP200000542BR_A5_28824,2
FP200000542BR_A5_28839,0
FP200000542BR_A5_28846,7
FP200000542BR_A5_28885,5
FP200000542BR_A5_28917,1
FP200000542BR_A5_29048,2
FP200000542BR_A5_29065,1
FP200000542BR_A5_29084,2
FP200000542BR_A5_29089,8
FP200000542BR_A5_29142,1
FP200000542BR_A5_29148,0
FP200000542BR_A5_29254,2
FP200000542BR_A5_29299,5
FP200000542BR_A5_29356,2
FP200000542BR_A5_29361,4
FP200000542BR_A5_29377,3
FP200000542BR_A5_29404,7
FP200000542BR_A5_29418,6
FP200000542BR_A5_29426,1
FP200000542BR_A5_29446,4
FP200000542BR_A5_29455,5
FP200000542BR_A5_29464,1
FP200000542BR_A5_29496,1
FP200000542BR_A5_29518,3
FP200000542BR_A5_29577,2
FP200000542BR_A5_29606,5
FP200000542BR_A5_29615,0
FP200000542BR_A5_29623,3
FP200000542BR_A5_29627,0
FP200000542BR_A5_29683,0
FP200000542BR_A5_29712,0
FP200000542BR_A5_29800,0
FP200000542BR_A5_29878,0
FP200000542BR_A5_29884,3
FP200000542BR_A5_29889,2
FP200000542BR_A5_29890,2
FP200000542BR_A5_29895,3
FP200000542BR_A5_29907,4
FP200000542BR_A5_30038,1
FP200000542BR_A5_30065,4
FP200000542BR_A5_30089,7
FP200000542BR_A5_30095,4
FP200000542BR_A5_30116,7
FP200000542BR_A5_30128,2
FP200000542BR_A5_30191,4
FP200000542BR_A5_30215,7
FP200000542BR_A5_30216,2
FP200000542BR_A5_30225,6
FP200000542BR_A5_30227,2
FP200000542BR_A5_30267,1
FP200000542BR_A5_30341,3
FP200000542BR_A5_30445,2
FP200000542BR_A5_30491,0
FP200000542BR_A5_30492,0
FP200000542BR_A5_30573,7
FP200000542BR_A5_30590,2
FP200000542BR_A5_30599,1
FP200000542BR_A5_30633,5
FP200000542BR_A5_30660,5
FP200000542BR_A5_30684,7
FP200000542BR_A5_30776,2
FP200000542BR_A5_30803,6
FP200000542BR_A5_30860,3
FP200000542BR_A5_30901,1
FP200000542BR_A5_31028,1
FP200000542BR_A5_31220,3
FP200000542BR_A5_31262,2
FP200000542BR_A5_31281,5
FP200000542BR_A5_31464,1
FP200000542BR_A5_31497,1
FP200000542BR_A5_31667,3
FP200000542BR_A5_31719,1
FP200000542BR_A5_31875,0
FP200000542BR_A5_32068,8
FP200000542BR_A5_32257,1
FP200000542BR_A5_32294,1
FP200000542BR_A5_32737,3
FP200000542BR_A5_32817,5
FP200000542BR_A5_32863,8
FP200000542BR_A5_32963,2
FP200000542BR_A5_33131,4
FP200000542BR_A5_33208,2
FP200000542BR_A5_33373,2
FP200000542BR_A5_33594,2
FP200000542BR_A5_34097,3
FP200000542BR_A5_34203,13
FP200000542BR_A5_34480,0
FP200000542BR_A5_34976,9
FP200000542BR_A5_35253,2
FP200000542BR_A5_35361,1
FP200000542BR_A5_35496,0
FP200000542BR_A5_35822,5
FP200000542BR_A3_14894,1
FP200000542BR_A3_14924,4
FP200000542BR_A3_14998,4
FP200000542BR_A3_15163,1
FP200000542BR_A3_15371,1
FP200000542BR_A3_16209,2
FP200000542BR_A3_17188,5
FP200000542BR_A3_17213,0
FP200000542BR_A3_17240,0
FP200000542BR_A3_17260,2
FP200000542BR_A3_17608,1
FP200000542BR_A3_17623,3
FP200000542BR_A3_17652,1
FP200000542BR_A3_17794,5
FP200000542BR_A3_17882,0
FP200000542BR_A3_17941,0
FP200000542BR_A3_17956,0
FP200000542BR_A3_17964,0
FP200000542BR_A3_17992,4
FP200000542BR_A3_18104,0
FP200000542BR_A3_18412,0
FP200000542BR_A3_18606,1
FP200000542BR_A3_18648,3
FP200000542BR_A3_18775,1
FP200000542BR_A3_19330,1
FP200000542BR_A3_19468,2
FP200000542BR_A3_19501,1
FP200000542BR_A3_19586,0
FP200000542BR_A3_19625,3
FP200000542BR_A3_19713,2
FP200000542BR_A3_19738,4
FP200000542BR_A3_19788,1
FP200000542BR_A3_19808,1
FP200000542BR_A3_19819,3
FP200000542BR_A3_19935,0
FP200000542BR_A3_20022,0
FP200000542BR_A3_20039,1
FP200000542BR_A3_20107,2
FP200000542BR_A3_20126,3
FP200000542BR_A3_20127,1
FP200000542BR_A3_20179,0
FP200000542BR_A3_20330,0
FP200000542BR_A3_20399,1
FP200000542BR_A3_20445,0
FP200000542BR_A3_20449,1
FP200000542BR_A3_20530,1
FP200000542BR_A3_20651,4
FP200000542BR_A3_20652,2
FP200000542BR_A3_20661,4
FP200000542BR_A3_20717,0
FP200000542BR_A3_20741,0
FP200000542BR_A3_20752,1
FP200000542BR_A3_20836,1
FP200000542BR_A3_20846,0
FP200000542BR_A3_20899,3
FP200000542BR_A3_21003,2
FP200000542BR_A3_21057,0
FP200000542BR_A3_21073,1
FP200000542BR_A3_21109,0
FP200000542BR_A3_21287,2
FP200000542BR_A3_21307,1
FP200000542BR_A3_21321,2
FP200000542BR_A3_21376,1
FP200000542BR_A3_21379,4
FP200000542BR_A3_21392,0
FP200000542BR_A3_21430,3
FP200000542BR_A3_21447,2
FP200000542BR_A3_21727,7
FP200000542BR_A3_21760,0
FP200000542BR_A3_21812,1
FP200000542BR_A3_21836,5
FP200000542BR_A3_21879,0
FP200000542BR_A3_21906,1
FP200000542BR_A3_21931,3
FP200000542BR_A3_21949,0
FP200000542BR_A3_22049,0
FP200000542BR_A3_22056,1
FP200000542BR_A3_22237,5
FP200000542BR_A3_22245,2
FP200000542BR_A3_22268,0
FP200000542BR_A3_22273,0
FP200000542BR_A3_22378,4
FP200000542BR_A3_22429,0
