cell_id,count
FP200000542BR_A5_14055,3
FP200000542BR_A5_14616,3
FP200000542BR_A5_14863,5
FP200000542BR_A5_14894,11
FP200000542BR_A5_15005,1
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,2
FP200000542BR_A5_16049,2
FP200000542BR_A5_16105,3
FP200000542BR_A5_16280,4
FP200000542BR_A5_16676,2
FP200000542BR_A5_16700,6
FP200000542BR_A5_16929,0
FP200000542BR_A5_17549,0
FP200000542BR_A5_17611,3
FP200000542BR_A5_17657,0
FP200000542BR_A5_17860,4
FP200000542BR_A5_17897,1
FP200000542BR_A5_17943,9
FP200000542BR_A5_18037,1
FP200000542BR_A5_18060,2
FP200000542BR_A5_18134,5
FP200000542BR_A5_18221,6
FP200000542BR_A5_18229,3
FP200000542BR_A5_18247,7
FP200000542BR_A5_18381,6
FP200000542BR_A5_18451,2
FP200000542BR_A5_18569,0
FP200000542BR_A5_18639,4
FP200000542BR_A5_18692,5
FP200000542BR_A5_18705,3
FP200000542BR_A5_18713,2
FP200000542BR_A5_18748,1
FP200000542BR_A5_18768,0
FP200000542BR_A5_18789,9
FP200000542BR_A5_18901,0
FP200000542BR_A5_19036,5
FP200000542BR_A5_19063,3
FP200000542BR_A5_19089,1
FP200000542BR_A5_19111,2
FP200000542BR_A5_19120,3
FP200000542BR_A5_19150,5
FP200000542BR_A5_19167,4
FP200000542BR_A5_19332,5
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,5
FP200000542BR_A5_19447,4
FP200000542BR_A5_19454,1
FP200000542BR_A5_19482,3
FP200000542BR_A5_19544,4
FP200000542BR_A5_19545,10
FP200000542BR_A5_19615,3
FP200000542BR_A5_19627,6
FP200000542BR_A5_19684,2
FP200000542BR_A5_19793,0
FP200000542BR_A5_19861,1
FP200000542BR_A5_19917,0
FP200000542BR_A5_19983,1
FP200000542BR_A5_20096,3
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,1
FP200000542BR_A5_20219,5
FP200000542BR_A5_20248,0
FP200000542BR_A5_20257,2
FP200000542BR_A5_20258,2
FP200000542BR_A5_20284,11
FP200000542BR_A5_20299,4
FP200000542BR_A5_20323,2
FP200000542BR_A5_20341,5
FP200000542BR_A5_20366,3
FP200000542BR_A5_20377,3
FP200000542BR_A5_20487,3
FP200000542BR_A5_20492,1
FP200000542BR_A5_20524,0
FP200000542BR_A5_20541,5
FP200000542BR_A5_20546,2
FP200000542BR_A5_20571,0
FP200000542BR_A5_20585,0
FP200000542BR_A5_20673,2
FP200000542BR_A5_20676,9
FP200000542BR_A5_20717,2
FP200000542BR_A5_20735,2
FP200000542BR_A5_20754,0
FP200000542BR_A5_20765,2
FP200000542BR_A5_20806,8
FP200000542BR_A5_20846,4
FP200000542BR_A5_20869,4
FP200000542BR_A5_20880,2
FP200000542BR_A5_21049,1
FP200000542BR_A5_21056,6
FP200000542BR_A5_21093,5
FP200000542BR_A5_21122,1
FP200000542BR_A5_21155,8
FP200000542BR_A5_21203,1
FP200000542BR_A5_21213,9
FP200000542BR_A5_21219,2
FP200000542BR_A5_21235,1
FP200000542BR_A5_21266,7
FP200000542BR_A5_21391,9
FP200000542BR_A5_21421,0
FP200000542BR_A5_21529,3
FP200000542BR_A5_21696,2
FP200000542BR_A5_21792,4
FP200000542BR_A5_21841,7
FP200000542BR_A5_21847,1
FP200000542BR_A5_21886,1
FP200000542BR_A5_21964,0
FP200000542BR_A5_21994,7
FP200000542BR_A5_22116,6
FP200000542BR_A5_22150,1
FP200000542BR_A5_22262,2
FP200000542BR_A5_22293,10
FP200000542BR_A5_22339,3
FP200000542BR_A5_22408,1
FP200000542BR_A5_22447,8
FP200000542BR_A5_22543,2
FP200000542BR_A5_22571,3
FP200000542BR_A5_22575,1
FP200000542BR_A5_22732,13
FP200000542BR_A5_22753,7
FP200000542BR_A5_22931,3
FP200000542BR_A5_23123,1
FP200000542BR_A5_23251,2
FP200000542BR_A5_23269,0
FP200000542BR_A5_23309,0
FP200000542BR_A5_23313,0
FP200000542BR_A5_23382,1
FP200000542BR_A5_23604,0
FP200000542BR_A5_23711,0
FP200000542BR_A5_23816,7
FP200000542BR_A5_23846,3
FP200000542BR_A5_23850,1
FP200000542BR_A5_24093,3
FP200000542BR_A5_24132,4
FP200000542BR_A5_24271,3
FP200000542BR_A5_24272,2
FP200000542BR_A5_24347,7
FP200000542BR_A5_24367,0
FP200000542BR_A5_24370,4
FP200000542BR_A5_24462,7
FP200000542BR_A5_24474,4
FP200000542BR_A5_24500,6
FP200000542BR_A5_24547,1
FP200000542BR_A5_24562,2
FP200000542BR_A5_24564,3
FP200000542BR_A5_24567,1
FP200000542BR_A5_24578,0
FP200000542BR_A5_24604,2
FP200000542BR_A5_24605,1
FP200000542BR_A5_24744,0
FP200000542BR_A5_24757,2
FP200000542BR_A5_24818,2
FP200000542BR_A5_24820,0
FP200000542BR_A5_24871,0
FP200000542BR_A5_24889,3
FP200000542BR_A5_24900,0
FP200000542BR_A5_24911,0
FP200000542BR_A5_24938,5
FP200000542BR_A5_24953,4
FP200000542BR_A5_24956,2
FP200000542BR_A5_25021,1
FP200000542BR_A5_25034,2
FP200000542BR_A5_25065,1
FP200000542BR_A5_25070,3
FP200000542BR_A5_25185,4
FP200000542BR_A5_25228,6
FP200000542BR_A5_25255,0
FP200000542BR_A5_25261,3
FP200000542BR_A5_25278,2
FP200000542BR_A5_25295,2
FP200000542BR_A5_25301,0
FP200000542BR_A5_25450,4
FP200000542BR_A5_25456,0
FP200000542BR_A5_25487,4
FP200000542BR_A5_25523,2
FP200000542BR_A5_25528,5
FP200000542BR_A5_25554,4
FP200000542BR_A5_25620,0
FP200000542BR_A5_25643,0
FP200000542BR_A5_25668,5
FP200000542BR_A5_25714,1
FP200000542BR_A5_25802,1
FP200000542BR_A5_25830,3
FP200000542BR_A5_25915,2
FP200000542BR_A5_26007,2
FP200000542BR_A5_26051,0
FP200000542BR_A5_26094,0
FP200000542BR_A5_26133,1
FP200000542BR_A5_26165,2
FP200000542BR_A5_26180,0
FP200000542BR_A5_26284,4
FP200000542BR_A5_26302,4
FP200000542BR_A5_26344,3
FP200000542BR_A5_26369,0
FP200000542BR_A5_26419,0
FP200000542BR_A5_26472,2
FP200000542BR_A5_26483,0
FP200000542BR_A5_26541,1
FP200000542BR_A5_26566,2
FP200000542BR_A5_26576,0
FP200000542BR_A5_26579,3
FP200000542BR_A5_26624,2
FP200000542BR_A5_26677,0
FP200000542BR_A5_26796,2
FP200000542BR_A5_26830,0
FP200000542BR_A5_26843,7
FP200000542BR_A5_26896,2
FP200000542BR_A5_26974,0
FP200000542BR_A5_27002,1
FP200000542BR_A5_27053,5
FP200000542BR_A5_27095,0
FP200000542BR_A5_27197,3
FP200000542BR_A5_27220,1
FP200000542BR_A5_27348,2
FP200000542BR_A5_27349,3
FP200000542BR_A5_27364,1
FP200000542BR_A5_27377,4
FP200000542BR_A5_27383,0
FP200000542BR_A5_27426,6
FP200000542BR_A5_27619,1
FP200000542BR_A5_27620,1
FP200000542BR_A5_27697,7
FP200000542BR_A5_27863,2
FP200000542BR_A5_27876,9
FP200000542BR_A5_27980,0
FP200000542BR_A5_27987,0
FP200000542BR_A5_28079,1
FP200000542BR_A5_28158,4
FP200000542BR_A5_28167,2
FP200000542BR_A5_28170,4
FP200000542BR_A5_28323,4
FP200000542BR_A5_28333,1
FP200000542BR_A5_28344,2
FP200000542BR_A5_28378,1
FP200000542BR_A5_28468,2
FP200000542BR_A5_28511,0
FP200000542BR_A5_28604,4
FP200000542BR_A5_28626,7
FP200000542BR_A5_28632,1
FP200000542BR_A5_28657,0
FP200000542BR_A5_28790,7
FP200000542BR_A5_28814,2
FP200000542BR_A5_28824,1
FP200000542BR_A5_28839,0
FP200000542BR_A5_28846,0
FP200000542BR_A5_28885,0
FP200000542BR_A5_28917,2
FP200000542BR_A5_29048,1
FP200000542BR_A5_29065,2
FP200000542BR_A5_29084,2
FP200000542BR_A5_29089,6
FP200000542BR_A5_29142,9
FP200000542BR_A5_29148,0
FP200000542BR_A5_29254,0
FP200000542BR_A5_29299,1
FP200000542BR_A5_29356,0
FP200000542BR_A5_29361,3
FP200000542BR_A5_29377,2
FP200000542BR_A5_29404,9
FP200000542BR_A5_29418,1
FP200000542BR_A5_29426,4
FP200000542BR_A5_29446,1
FP200000542BR_A5_29455,0
FP200000542BR_A5_29464,3
FP200000542BR_A5_29496,4
FP200000542BR_A5_29518,2
FP200000542BR_A5_29577,0
FP200000542BR_A5_29606,4
FP200000542BR_A5_29615,1
FP200000542BR_A5_29623,2
FP200000542BR_A5_29627,3
FP200000542BR_A5_29683,0
FP200000542BR_A5_29712,3
