cell_id,count
FP200000542BR_A5_14055,3
FP200000542BR_A5_14616,10
FP200000542BR_A5_14863,0
FP200000542BR_A5_14894,3
FP200000542BR_A5_15005,9
FP200000542BR_A5_15006,1
FP200000542BR_A5_15016,0
FP200000542BR_A5_16049,4
FP200000542BR_A5_16105,4
FP200000542BR_A5_16280,3
FP200000542BR_A5_16676,0
FP200000542BR_A5_16700,1
FP200000542BR_A5_16929,2
FP200000542BR_A5_17549,3
FP200000542BR_A5_17611,1
FP200000542BR_A5_17657,1
FP200000542BR_A5_17860,0
FP200000542BR_A5_17897,3
FP200000542BR_A5_17943,4
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,6
FP200000542BR_A5_18134,4
FP200000542BR_A5_18221,9
FP200000542BR_A5_18229,0
FP200000542BR_A5_18247,3
FP200000542BR_A5_18381,5
FP200000542BR_A5_18451,4
FP200000542BR_A5_18569,0
FP200000542BR_A5_18639,4
FP200000542BR_A5_18692,5
FP200000542BR_A5_18705,0
FP200000542BR_A5_18713,1
FP200000542BR_A5_18748,2
FP200000542BR_A5_18768,3
FP200000542BR_A5_18789,3
FP200000542BR_A5_18901,0
FP200000542BR_A5_19036,1
FP200000542BR_A5_19063,0
FP200000542BR_A5_19089,1
FP200000542BR_A5_19111,3
FP200000542BR_A5_19120,1
FP200000542BR_A5_19150,2
FP200000542BR_A5_19167,5
FP200000542BR_A5_19332,0
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,5
FP200000542BR_A5_19447,9
FP200000542BR_A5_19454,3
FP200000542BR_A5_19482,3
FP200000542BR_A5_19544,3
FP200000542BR_A5_19545,2
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,7
FP200000542BR_A5_19684,0
FP200000542BR_A5_19793,3
FP200000542BR_A5_19861,7
FP200000542BR_A5_19917,0
FP200000542BR_A5_19983,4
FP200000542BR_A5_20096,3
FP200000542BR_A5_20176,1
FP200000542BR_A5_20200,0
FP200000542BR_A5_20219,3
FP200000542BR_A5_20248,4
FP200000542BR_A5_20257,1
FP200000542BR_A5_20258,4
FP200000542BR_A5_20284,4
FP200000542BR_A5_20299,0
FP200000542BR_A5_20323,7
FP200000542BR_A5_20341,3
FP200000542BR_A5_20366,6
FP200000542BR_A5_20377,0
FP200000542BR_A5_20487,2
FP200000542BR_A5_20492,0
FP200000542BR_A5_20524,1
FP200000542BR_A5_20541,6
FP200000542BR_A5_20546,0
FP200000542BR_A5_20571,1
FP200000542BR_A5_20585,1
FP200000542BR_A5_20673,2
FP200000542BR_A5_20676,4
FP200000542BR_A5_20717,4
FP200000542BR_A5_20735,2
FP200000542BR_A5_20754,4
FP200000542BR_A5_20765,1
FP200000542BR_A5_20806,9
FP200000542BR_A5_20846,1
FP200000542BR_A5_20869,5
FP200000542BR_A5_20880,1
FP200000542BR_A5_21049,0
FP200000542BR_A5_21056,5
FP200000542BR_A5_21093,4
FP200000542BR_A5_21122,6
FP200000542BR_A5_21155,2
FP200000542BR_A5_21203,2
FP200000542BR_A5_21213,3
FP200000542BR_A5_21219,3
FP200000542BR_A5_21235,2
FP200000542BR_A5_21266,3
FP200000542BR_A5_21391,4
FP200000542BR_A5_21421,0
FP200000542BR_A5_21529,6
FP200000542BR_A5_21696,0
FP200000542BR_A5_21792,6
FP200000542BR_A5_21841,3
FP200000542BR_A5_21847,2
FP200000542BR_A5_21886,1
FP200000542BR_A5_21964,0
FP200000542BR_A5_21994,3
FP200000542BR_A5_22116,5
FP200000542BR_A5_22150,1
FP200000542BR_A5_22262,0
FP200000542BR_A5_22293,6
FP200000542BR_A5_22339,0
FP200000542BR_A5_22408,1
FP200000542BR_A5_22447,5
FP200000542BR_A5_22543,2
FP200000542BR_A5_22571,6
FP200000542BR_A5_22575,4
FP200000542BR_A5_22732,3
FP200000542BR_A5_22753,2
FP200000542BR_A5_22931,1
FP200000542BR_A5_23123,4
FP200000542BR_A5_23251,2
FP200000542BR_A5_23269,0
FP200000542BR_A5_23309,0
FP200000542BR_A5_23313,2
FP200000542BR_A5_23382,1
FP200000542BR_A5_23604,0
FP200000542BR_A5_23711,2
FP200000542BR_A5_23816,7
FP200000542BR_A5_23846,1
FP200000542BR_A5_23850,1
FP200000542BR_A5_24093,6
FP200000542BR_A5_24132,6
FP200000542BR_A5_24271,0
FP200000542BR_A5_24272,0
FP200000542BR_A5_24347,4
FP200000542BR_A5_24367,2
FP200000542BR_A5_24370,0
FP200000542BR_A5_24462,5
FP200000542BR_A5_24474,2
FP200000542BR_A5_24500,6
FP200000542BR_A5_24547,0
FP200000542BR_A5_24562,1
FP200000542BR_A5_24564,1
FP200000542BR_A5_24567,0
FP200000542BR_A5_24578,2
FP200000542BR_A5_24604,3
FP200000542BR_A5_24605,0
FP200000542BR_A5_24744,2
FP200000542BR_A5_24757,1
FP200000542BR_A5_24818,10
FP200000542BR_A5_24820,3
FP200000542BR_A5_24871,0
FP200000542BR_A5_24889,12
FP200000542BR_A5_24900,2
FP200000542BR_A5_24911,0
FP200000542BR_A5_24938,4
FP200000542BR_A5_24953,1
FP200000542BR_A5_24956,1
FP200000542BR_A5_25021,1
FP200000542BR_A5_25034,4
FP200000542BR_A5_25065,0
FP200000542BR_A5_25070,0
FP200000542BR_A5_25185,0
FP200000542BR_A5_25228,3
FP200000542BR_A5_25255,4
FP200000542BR_A5_25261,1
FP200000542BR_A5_25278,0
FP200000542BR_A5_25295,4
FP200000542BR_A5_25301,3
FP200000542BR_A5_25450,0
FP200000542BR_A5_25456,0
