cell_id,count
FP200000542BR_A5_14055,0
FP200000542BR_A5_14616,2
FP200000542BR_A5_14863,1
FP200000542BR_A5_14894,4
FP200000542BR_A5_15005,8
FP200000542BR_A5_15006,1
FP200000542BR_A5_15016,0
FP200000542BR_A5_16049,4
FP200000542BR_A5_16105,3
FP200000542BR_A5_16280,4
FP200000542BR_A5_16676,0
FP200000542BR_A5_16700,0
FP200000542BR_A5_16929,1
FP200000542BR_A5_17549,2
FP200000542BR_A5_17611,3
FP200000542BR_A5_17657,10
FP200000542BR_A5_17860,4
FP200000542BR_A5_17897,1
FP200000542BR_A5_17943,2
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,3
FP200000542BR_A5_18134,4
FP200000542BR_A5_18221,4
FP200000542BR_A5_18229,2
FP200000542BR_A5_18247,3
FP200000542BR_A5_18381,2
FP200000542BR_A5_18451,1
FP200000542BR_A5_18569,0
FP200000542BR_A5_18639,5
FP200000542BR_A5_18692,7
FP200000542BR_A5_18705,0
FP200000542BR_A5_18713,5
FP200000542BR_A5_18748,2
FP200000542BR_A5_18768,1
FP200000542BR_A5_18789,4
FP200000542BR_A5_18901,0
FP200000542BR_A5_19036,2
FP200000542BR_A5_19063,1
FP200000542BR_A5_19089,1
FP200000542BR_A5_19111,2
FP200000542BR_A5_19120,0
FP200000542BR_A5_19150,5
FP200000542BR_A5_19167,3
FP200000542BR_A5_19332,3
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,5
FP200000542BR_A5_19447,6
FP200000542BR_A5_19454,1
FP200000542BR_A5_19482,5
FP200000542BR_A5_19544,0
FP200000542BR_A5_19545,4
FP200000542BR_A5_19615,1
FP200000542BR_A5_19627,8
FP200000542BR_A5_19684,1
FP200000542BR_A5_19793,2
FP200000542BR_A5_19861,2
FP200000542BR_A5_19917,0
FP200000542BR_A5_19983,2
FP200000542BR_A5_20096,0
FP200000542BR_A5_20176,1
FP200000542BR_A5_20200,0
FP200000542BR_A5_20219,6
FP200000542BR_A5_20248,0
FP200000542BR_A5_20257,0
FP200000542BR_A5_20258,1
FP200000542BR_A5_20284,2
FP200000542BR_A5_20299,4
FP200000542BR_A5_20323,0
FP200000542BR_A5_20341,5
FP200000542BR_A5_20366,6
FP200000542BR_A5_20377,1
FP200000542BR_A5_20487,0
FP200000542BR_A5_20492,2
FP200000542BR_A5_20524,1
FP200000542BR_A5_20541,6
FP200000542BR_A5_20546,5
FP200000542BR_A5_20571,0
FP200000542BR_A5_20585,0
FP200000542BR_A5_20673,0
FP200000542BR_A5_20676,11
FP200000542BR_A5_20717,5
FP200000542BR_A5_20735,2
FP200000542BR_A5_20754,1
FP200000542BR_A5_20765,1
FP200000542BR_A5_20806,3
FP200000542BR_A5_20846,1
FP200000542BR_A5_20869,3
FP200000542BR_A5_20880,3
FP200000542BR_A5_21049,2
FP200000542BR_A5_21056,6
FP200000542BR_A5_21093,2
FP200000542BR_A5_21122,2
FP200000542BR_A5_21155,11
FP200000542BR_A5_21203,2
FP200000542BR_A5_21213,1
FP200000542BR_A5_21219,0
FP200000542BR_A5_21235,1
FP200000542BR_A5_21266,2
FP200000542BR_A5_21391,2
FP200000542BR_A5_21421,1
FP200000542BR_A5_21529,2
FP200000542BR_A5_21696,0
FP200000542BR_A5_21792,5
FP200000542BR_A5_21841,3
FP200000542BR_A5_21847,3
FP200000542BR_A5_21886,1
FP200000542BR_A5_21964,1
FP200000542BR_A5_21994,3
FP200000542BR_A5_22116,2
FP200000542BR_A5_22150,7
FP200000542BR_A5_22262,2
FP200000542BR_A5_22293,6
FP200000542BR_A5_22339,1
FP200000542BR_A5_22408,1
FP200000542BR_A5_22447,0
FP200000542BR_A5_22543,0
FP200000542BR_A5_22571,4
FP200000542BR_A5_22575,2
FP200000542BR_A5_22732,9
FP200000542BR_A5_22753,1
FP200000542BR_A5_22931,2
FP200000542BR_A5_23123,1
FP200000542BR_A5_23251,1
FP200000542BR_A5_23269,0
FP200000542BR_A5_23309,0
FP200000542BR_A5_23313,0
FP200000542BR_A5_23382,0
FP200000542BR_A5_23604,1
FP200000542BR_A5_23711,1
FP200000542BR_A5_23816,2
FP200000542BR_A5_23846,3
FP200000542BR_A5_23850,4
FP200000542BR_A5_24093,0
FP200000542BR_A5_24132,3
FP200000542BR_A5_24271,0
FP200000542BR_A5_24272,0
FP200000542BR_A5_24347,10
FP200000542BR_A5_24367,1
FP200000542BR_A5_24370,3
FP200000542BR_A5_24462,4
FP200000542BR_A5_24474,4
FP200000542BR_A5_24500,6
FP200000542BR_A5_24547,0
FP200000542BR_A5_24562,0
FP200000542BR_A5_24564,1
FP200000542BR_A5_24567,2
FP200000542BR_A5_24578,0
FP200000542BR_A5_24604,1
FP200000542BR_A5_24605,4
FP200000542BR_A5_24744,0
FP200000542BR_A5_24757,6
FP200000542BR_A5_24818,3
FP200000542BR_A5_24820,1
FP200000542BR_A5_24871,0
FP200000542BR_A5_24889,2
FP200000542BR_A5_24900,1
FP200000542BR_A5_24911,0
FP200000542BR_A5_24938,2
FP200000542BR_A5_24953,3
FP200000542BR_A5_24956,0
FP200000542BR_A5_25021,2
FP200000542BR_A5_25034,0
FP200000542BR_A5_25065,3
FP200000542BR_A5_25070,3
FP200000542BR_A5_25185,0
FP200000542BR_A5_25228,9
FP200000542BR_A5_25255,1
FP200000542BR_A5_25261,0
FP200000542BR_A5_25278,0
FP200000542BR_A5_25295,2
FP200000542BR_A5_25301,1
FP200000542BR_A5_25450,1
FP200000542BR_A5_25456,1
FP200000542BR_A5_25487,7
FP200000542BR_A5_25523,2
FP200000542BR_A5_25528,1
FP200000542BR_A5_25554,3
FP200000542BR_A5_25620,2
FP200000542BR_A5_25643,0
FP200000542BR_A5_25668,3
FP200000542BR_A5_25714,3
FP200000542BR_A5_25802,0
FP200000542BR_A5_25830,2
FP200000542BR_A5_25915,0
FP200000542BR_A5_26007,2
FP200000542BR_A5_26051,0
FP200000542BR_A5_26094,0
FP200000542BR_A5_26133,1
FP200000542BR_A5_26165,1
FP200000542BR_A5_26180,2
FP200000542BR_A5_26284,3
FP200000542BR_A5_26302,4
FP200000542BR_A5_26344,1
FP200000542BR_A5_26369,0
FP200000542BR_A5_26419,0
FP200000542BR_A5_26472,1
FP200000542BR_A5_26483,0
FP200000542BR_A5_26541,3
FP200000542BR_A5_26566,3
FP200000542BR_A5_26576,2
FP200000542BR_A5_26579,0
FP200000542BR_A5_26624,0
FP200000542BR_A5_26677,1
FP200000542BR_A5_26796,1
FP200000542BR_A5_26830,2
FP200000542BR_A5_26843,0
FP200000542BR_A5_26896,0
FP200000542BR_A5_26974,0
FP200000542BR_A5_27002,2
FP200000542BR_A5_27053,2
FP200000542BR_A5_27095,0
FP200000542BR_A5_27197,1
FP200000542BR_A5_27220,0
FP200000542BR_A5_27348,2
FP200000542BR_A5_27349,7
FP200000542BR_A5_27364,2
FP200000542BR_A5_27377,1
FP200000542BR_A5_27383,3
FP200000542BR_A5_27426,2
FP200000542BR_A5_27619,2
FP200000542BR_A5_27620,4
FP200000542BR_A5_27697,2
FP200000542BR_A5_27863,1
FP200000542BR_A5_27876,4
FP200000542BR_A5_27980,2
FP200000542BR_A5_27987,0
FP200000542BR_A5_28079,0
FP200000542BR_A5_28158,2
FP200000542BR_A5_28167,2
FP200000542BR_A5_28170,5
FP200000542BR_A5_28323,6
FP200000542BR_A5_28333,1
FP200000542BR_A5_28344,3
FP200000542BR_A5_28378,5
FP200000542BR_A5_28468,4
FP200000542BR_A5_28511,1
FP200000542BR_A5_28604,3
FP200000542BR_A5_28626,5
FP200000542BR_A5_28632,1
FP200000542BR_A5_28657,0
FP200000542BR_A5_28790,7
FP200000542BR_A5_28814,5
FP200000542BR_A5_28824,1
FP200000542BR_A5_28839,0
FP200000542BR_A5_28846,4
FP200000542BR_A5_28885,4
FP200000542BR_A5_28917,1
FP200000542BR_A5_29048,2
FP200000542BR_A5_29065,4
FP200000542BR_A5_29084,0
FP200000542BR_A5_29089,4
FP200000542BR_A5_29142,2
FP200000542BR_A5_29148,0
FP200000542BR_A5_29254,0
FP200000542BR_A5_29299,1
FP200000542BR_A5_29356,2
FP200000542BR_A5_29361,4
FP200000542BR_A5_29377,0
FP200000542BR_A5_29404,8
FP200000542BR_A5_29418,4
FP200000542BR_A5_29426,2
FP200000542BR_A5_29446,4
FP200000542BR_A5_29455,3
FP200000542BR_A5_29464,0
FP200000542BR_A5_29496,3
FP200000542BR_A5_29518,9
