cell_id,count
FP200000542BR_A5_14055,5
FP200000542BR_A5_14616,3
FP200000542BR_A5_14863,2
FP200000542BR_A5_14894,7
FP200000542BR_A5_15005,7
FP200000542BR_A5_15006,2
FP200000542BR_A5_15016,5
FP200000542BR_A5_16049,6
FP200000542BR_A5_16105,3
FP200000542BR_A5_16280,7
FP200000542BR_A5_16676,0
FP200000542BR_A5_16700,3
FP200000542BR_A5_16929,7
FP200000542BR_A5_17549,3
FP200000542BR_A5_17611,1
FP200000542BR_A5_17657,7
FP200000542BR_A5_17860,5
FP200000542BR_A5_17897,4
FP200000542BR_A5_17943,5
FP200000542BR_A5_18037,4
FP200000542BR_A5_18060,4
FP200000542BR_A5_18134,1
FP200000542BR_A5_18221,7
FP200000542BR_A5_18229,6
FP200000542BR_A5_18247,2
FP200000542BR_A5_18381,4
FP200000542BR_A5_18451,2
FP200000542BR_A5_18569,2
FP200000542BR_A5_18639,8
FP200000542BR_A5_18692,5
FP200000542BR_A5_18705,1
FP200000542BR_A5_18713,3
FP200000542BR_A5_18748,3
FP200000542BR_A5_18768,2
FP200000542BR_A5_18789,5
FP200000542BR_A5_18901,0
FP200000542BR_A5_19036,4
FP200000542BR_A5_19063,8
FP200000542BR_A5_19089,1
FP200000542BR_A5_19111,0
FP200000542BR_A5_19120,1
FP200000542BR_A5_19150,4
FP200000542BR_A5_19167,6
FP200000542BR_A5_19332,2
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,5
FP200000542BR_A5_19447,3
FP200000542BR_A5_19454,3
FP200000542BR_A5_19482,7
FP200000542BR_A5_19544,0
FP200000542BR_A5_19545,6
FP200000542BR_A5_19615,1
FP200000542BR_A5_19627,10
FP200000542BR_A5_19684,3
FP200000542BR_A5_19793,3
FP200000542BR_A5_19861,3
FP200000542BR_A5_19917,4
FP200000542BR_A5_19983,9
FP200000542BR_A5_20096,5
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,1
FP200000542BR_A5_20219,9
FP200000542BR_A5_20248,4
FP200000542BR_A5_20257,0
FP200000542BR_A5_20258,5
FP200000542BR_A5_20284,3
FP200000542BR_A5_20299,2
FP200000542BR_A5_20323,4
FP200000542BR_A5_20341,6
FP200000542BR_A5_20366,2
FP200000542BR_A5_20377,3
FP200000542BR_A5_20487,3
FP200000542BR_A5_20492,2
