cell_id,count
FP200000542BR_A5_14055,3
FP200000542BR_A5_14616,1
FP200000542BR_A5_14863,2
FP200000542BR_A5_14894,4
FP200000542BR_A5_15005,10
FP200000542BR_A5_15006,1
FP200000542BR_A5_15016,3
FP200000542BR_A5_16049,2
FP200000542BR_A5_16105,6
FP200000542BR_A5_16280,7
FP200000542BR_A5_16676,1
FP200000542BR_A5_16700,5
FP200000542BR_A5_16929,4
FP200000542BR_A5_17549,2
FP200000542BR_A5_17611,6
FP200000542BR_A5_17657,7
FP200000542BR_A5_17860,4
FP200000542BR_A5_17897,7
FP200000542BR_A5_17943,8
FP200000542BR_A5_18037,1
FP200000542BR_A5_18060,2
FP200000542BR_A5_18134,4
FP200000542BR_A5_18221,6
FP200000542BR_A5_18229,1
FP200000542BR_A5_18247,2
FP200000542BR_A5_18381,6
FP200000542BR_A5_18451,5
FP200000542BR_A5_18569,4
FP200000542BR_A5_18639,5
FP200000542BR_A5_18692,3
FP200000542BR_A5_18705,2
FP200000542BR_A5_18713,3
FP200000542BR_A5_18748,0
FP200000542BR_A5_18768,1
FP200000542BR_A5_18789,9
FP200000542BR_A5_18901,3
FP200000542BR_A5_19036,4
FP200000542BR_A5_19063,1
FP200000542BR_A5_19089,0
FP200000542BR_A5_19111,1
FP200000542BR_A5_19120,0
FP200000542BR_A5_19150,9
FP200000542BR_A5_19167,2
FP200000542BR_A5_19332,8
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,11
FP200000542BR_A5_19447,9
FP200000542BR_A5_19454,4
FP200000542BR_A5_19482,1
FP200000542BR_A5_19544,3
FP200000542BR_A5_19545,6
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,8
FP200000542BR_A5_19684,1
FP200000542BR_A5_19793,5
FP200000542BR_A5_19861,5
FP200000542BR_A5_19917,1
FP200000542BR_A5_19983,8
FP200000542BR_A5_20096,6
FP200000542BR_A5_20176,3
FP200000542BR_A5_20200,0
FP200000542BR_A5_20219,9
FP200000542BR_A5_20248,0
FP200000542BR_A5_20257,1
FP200000542BR_A5_20258,5
FP200000542BR_A5_20284,10
FP200000542BR_A5_20299,3
FP200000542BR_A5_20323,2
FP200000542BR_A5_20341,5
FP200000542BR_A5_20366,6
FP200000542BR_A5_20377,8
FP200000542BR_A5_20487,5
FP200000542BR_A5_20492,0
FP200000542BR_A5_20524,3
FP200000542BR_A5_20541,6
FP200000542BR_A5_20546,13
FP200000542BR_A5_20571,0
FP200000542BR_A5_20585,1
FP200000542BR_A5_20673,8
FP200000542BR_A5_20676,10
FP200000542BR_A5_20717,0
FP200000542BR_A5_20735,13
FP200000542BR_A5_20754,2
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,17
FP200000542BR_A5_20846,4
FP200000542BR_A5_20869,6
FP200000542BR_A5_20880,4
FP200000542BR_A5_21049,2
FP200000542BR_A5_21056,4
FP200000542BR_A5_21093,3
FP200000542BR_A5_21122,6
FP200000542BR_A5_21155,8
FP200000542BR_A5_21203,7
FP200000542BR_A5_21213,12
FP200000542BR_A5_21219,5
FP200000542BR_A5_21235,1
FP200000542BR_A5_21266,6
FP200000542BR_A5_21391,9
FP200000542BR_A5_21421,6
FP200000542BR_A5_21529,11
FP200000542BR_A5_21696,1
FP200000542BR_A5_21792,11
FP200000542BR_A5_21841,6
FP200000542BR_A5_21847,5
FP200000542BR_A5_21886,2
FP200000542BR_A5_21964,2
FP200000542BR_A5_21994,7
FP200000542BR_A5_22116,3
FP200000542BR_A5_22150,5
FP200000542BR_A5_22262,2
FP200000542BR_A5_22293,2
FP200000542BR_A5_22339,5
FP200000542BR_A5_22408,4
