cell_id,count
FP200000542BR_A5_14055,7
FP200000542BR_A5_14616,3
FP200000542BR_A5_14863,3
FP200000542BR_A5_14894,2
FP200000542BR_A5_15005,9
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,6
FP200000542BR_A5_16049,7
FP200000542BR_A5_16105,6
FP200000542BR_A5_16280,6
FP200000542BR_A5_16676,4
FP200000542BR_A5_16700,4
FP200000542BR_A5_16929,2
FP200000542BR_A5_17549,9
FP200000542BR_A5_17611,1
FP200000542BR_A5_17657,5
FP200000542BR_A5_17860,2
FP200000542BR_A5_17897,2
FP200000542BR_A5_17943,8
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,9
FP200000542BR_A5_18134,4
FP200000542BR_A5_18221,11
FP200000542BR_A5_18229,2
FP200000542BR_A5_18247,5
FP200000542BR_A5_18381,3
FP200000542BR_A5_18451,6
FP200000542BR_A5_18569,1
FP200000542BR_A5_18639,4
FP200000542BR_A5_18692,6
FP200000542BR_A5_18705,12
FP200000542BR_A5_18713,7
FP200000542BR_A5_18748,8
FP200000542BR_A5_18768,5
FP200000542BR_A5_18789,10
FP200000542BR_A5_18901,1
FP200000542BR_A5_19036,13
FP200000542BR_A5_19063,0
FP200000542BR_A5_19089,3
FP200000542BR_A5_19111,4
FP200000542BR_A5_19120,2
FP200000542BR_A5_19150,9
FP200000542BR_A5_19167,9
FP200000542BR_A5_19332,3
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,10
FP200000542BR_A5_19447,6
FP200000542BR_A5_19454,5
FP200000542BR_A5_19482,9
FP200000542BR_A5_19544,4
FP200000542BR_A5_19545,21
FP200000542BR_A5_19615,1
FP200000542BR_A5_19627,10
FP200000542BR_A5_19684,4
FP200000542BR_A5_19793,3
FP200000542BR_A5_19861,12
FP200000542BR_A5_19917,10
FP200000542BR_A5_19983,5
FP200000542BR_A5_20096,3
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,3
FP200000542BR_A5_20219,2
FP200000542BR_A5_20248,6
FP200000542BR_A5_20257,0
FP200000542BR_A5_20258,12
FP200000542BR_A5_20284,11
FP200000542BR_A5_20299,7
FP200000542BR_A5_20323,6
FP200000542BR_A5_20341,2
FP200000542BR_A5_20366,4
FP200000542BR_A5_20377,0
FP200000542BR_A5_20487,6
FP200000542BR_A5_20492,5
FP200000542BR_A5_20524,1
FP200000542BR_A5_20541,4
FP200000542BR_A5_20546,5
FP200000542BR_A5_20571,1
FP200000542BR_A5_20585,1
FP200000542BR_A5_20673,5
FP200000542BR_A5_20676,15
FP200000542BR_A5_20717,7
FP200000542BR_A5_20735,16
FP200000542BR_A5_20754,2
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,9
FP200000542BR_A5_20846,5
FP200000542BR_A5_20869,7
FP200000542BR_A5_20880,1
FP200000542BR_A5_21049,2
FP200000542BR_A5_21056,8
FP200000542BR_A5_21093,6
FP200000542BR_A5_21122,5
FP200000542BR_A5_21155,16
FP200000542BR_A5_21203,7
FP200000542BR_A5_21213,2
FP200000542BR_A5_21219,3
FP200000542BR_A5_21235,0
FP200000542BR_A5_21266,3
FP200000542BR_A5_21391,11
FP200000542BR_A5_21421,3
FP200000542BR_A5_21529,1
FP200000542BR_A5_21696,1
FP200000542BR_A5_21792,10
FP200000542BR_A5_21841,2
FP200000542BR_A5_21847,8
FP200000542BR_A5_21886,1
FP200000542BR_A5_21964,11
FP200000542BR_A5_21994,3
FP200000542BR_A5_22116,8
FP200000542BR_A5_22150,5
FP200000542BR_A5_22262,3
FP200000542BR_A5_22293,8
FP200000542BR_A5_22339,5
FP200000542BR_A5_22408,1
FP200000542BR_A5_22447,9
FP200000542BR_A5_22543,2
FP200000542BR_A5_22571,6
FP200000542BR_A5_22575,3
FP200000542BR_A5_22732,3
FP200000542BR_A5_22753,3
FP200000542BR_A5_22931,5
FP200000542BR_A5_23123,8
FP200000542BR_A5_23251,12
FP200000542BR_A5_23269,2
FP200000542BR_A5_23309,1
FP200000542BR_A5_23313,0
FP200000542BR_A5_23382,1
FP200000542BR_A5_23604,6
FP200000542BR_A5_23711,0
FP200000542BR_A5_23816,9
FP200000542BR_A5_23846,1
FP200000542BR_A5_23850,8
FP200000542BR_A5_24093,13
FP200000542BR_A5_24132,14
FP200000542BR_A5_24271,6
FP200000542BR_A5_24272,13
FP200000542BR_A5_24347,22
FP200000542BR_A5_24367,4
FP200000542BR_A5_24370,0
FP200000542BR_A5_24462,12
FP200000542BR_A5_24474,8
FP200000542BR_A5_24500,12
FP200000542BR_A5_24547,1
FP200000542BR_A5_24562,0
FP200000542BR_A5_24564,4
FP200000542BR_A5_24567,4
FP200000542BR_A5_24578,3
FP200000542BR_A5_24604,0
FP200000542BR_A5_24605,3
FP200000542BR_A5_24744,3
FP200000542BR_A5_24757,8
FP200000542BR_A5_24818,5
FP200000542BR_A5_24820,1
FP200000542BR_A5_24871,4
FP200000542BR_A5_24889,9
FP200000542BR_A5_24900,2
FP200000542BR_A5_24911,4
FP200000542BR_A5_24938,7
FP200000542BR_A5_24953,3
FP200000542BR_A5_24956,3
FP200000542BR_A5_25021,1
FP200000542BR_A5_25034,5
FP200000542BR_A5_25065,2
FP200000542BR_A5_25070,3
FP200000542BR_A5_25185,1
FP200000542BR_A5_25228,9
FP200000542BR_A5_25255,5
FP200000542BR_A5_25261,0
FP200000542BR_A5_25278,4
FP200000542BR_A5_25295,1
FP200000542BR_A5_25301,6
FP200000542BR_A5_25450,4
FP200000542BR_A5_25456,5
FP200000542BR_A5_25487,7
FP200000542BR_A5_25523,2
FP200000542BR_A5_25528,7
FP200000542BR_A5_25554,5
FP200000542BR_A5_25620,0
FP200000542BR_A5_25643,2
FP200000542BR_A5_25668,3
FP200000542BR_A5_25714,8
FP200000542BR_A5_25802,4
FP200000542BR_A5_25830,3
FP200000542BR_A5_25915,5
FP200000542BR_A5_26007,8
FP200000542BR_A5_26051,0
FP200000542BR_A5_26094,0
FP200000542BR_A5_26133,6
FP200000542BR_A5_26165,1
FP200000542BR_A5_26180,6
FP200000542BR_A5_26284,12
FP200000542BR_A5_26302,4
FP200000542BR_A5_26344,12
FP200000542BR_A5_26369,0
FP200000542BR_A5_26419,6
FP200000542BR_A5_26472,5
FP200000542BR_A5_26483,4
FP200000542BR_A5_26541,9
FP200000542BR_A5_26566,3
FP200000542BR_A5_26576,4
FP200000542BR_A5_26579,4
FP200000542BR_A5_26624,0
FP200000542BR_A5_26677,3
FP200000542BR_A5_26796,1
FP200000542BR_A5_26830,9
FP200000542BR_A5_26843,3
FP200000542BR_A5_26896,13
FP200000542BR_A5_26974,13
FP200000542BR_A5_27002,8
FP200000542BR_A5_27053,9
FP200000542BR_A5_27095,1
FP200000542BR_A5_27197,2
FP200000542BR_A5_27220,7
FP200000542BR_A5_27348,3
FP200000542BR_A5_27349,7
FP200000542BR_A5_27364,0
FP200000542BR_A5_27377,4
FP200000542BR_A5_27383,4
FP200000542BR_A5_27426,5
FP200000542BR_A5_27619,11
FP200000542BR_A5_27620,18
FP200000542BR_A5_27697,9
FP200000542BR_A5_27863,4
FP200000542BR_A5_27876,4
FP200000542BR_A5_27980,5
FP200000542BR_A5_27987,4
FP200000542BR_A5_28079,2
FP200000542BR_A5_28158,4
FP200000542BR_A5_28167,4
FP200000542BR_A5_28170,7
FP200000542BR_A5_28323,4
FP200000542BR_A5_28333,4
FP200000542BR_A5_28344,5
FP200000542BR_A5_28378,4
FP200000542BR_A5_28468,3
FP200000542BR_A5_28511,0
FP200000542BR_A5_28604,7
FP200000542BR_A5_28626,14
FP200000542BR_A5_28632,11
FP200000542BR_A5_28657,3
FP200000542BR_A5_28790,13
FP200000542BR_A5_28814,5
FP200000542BR_A5_28824,3
FP200000542BR_A5_28839,3
FP200000542BR_A5_28846,9
FP200000542BR_A5_28885,20
FP200000542BR_A5_28917,5
FP200000542BR_A5_29048,8
FP200000542BR_A5_29065,8
FP200000542BR_A5_29084,8
FP200000542BR_A5_29089,14
FP200000542BR_A5_29142,4
FP200000542BR_A5_29148,4
FP200000542BR_A5_29254,3
FP200000542BR_A5_29299,1
FP200000542BR_A5_29356,0
FP200000542BR_A5_29361,9
FP200000542BR_A5_29377,7
FP200000542BR_A5_29404,10
FP200000542BR_A5_29418,3
FP200000542BR_A5_29426,9
FP200000542BR_A5_29446,8
FP200000542BR_A5_29455,3
FP200000542BR_A5_29464,1
FP200000542BR_A5_29496,5
FP200000542BR_A5_29518,13
FP200000542BR_A5_29577,1
FP200000542BR_A5_29606,8
FP200000542BR_A5_29615,1
FP200000542BR_A5_29623,0
FP200000542BR_A5_29627,8
FP200000542BR_A5_29683,0
FP200000542BR_A5_29712,5
FP200000542BR_A5_29800,2
FP200000542BR_A5_29878,14
FP200000542BR_A5_29884,13
FP200000542BR_A5_29889,8
FP200000542BR_A5_29890,0
FP200000542BR_A5_29895,4
FP200000542BR_A5_29907,5
FP200000542BR_A5_30038,0
FP200000542BR_A5_30065,0
FP200000542BR_A5_30089,1
FP200000542BR_A5_30095,2
FP200000542BR_A5_30116,1
FP200000542BR_A5_30128,7
FP200000542BR_A5_30191,4
FP200000542BR_A5_30215,5
FP200000542BR_A5_30216,5
FP200000542BR_A5_30225,20
FP200000542BR_A5_30227,7
FP200000542BR_A5_30267,4
FP200000542BR_A5_30341,7
FP200000542BR_A5_30445,5
FP200000542BR_A5_30491,4
FP200000542BR_A5_30492,1
FP200000542BR_A5_30573,5
FP200000542BR_A5_30590,6
FP200000542BR_A5_30599,2
FP200000542BR_A5_30633,6
FP200000542BR_A5_30660,9
FP200000542BR_A5_30684,7
FP200000542BR_A5_30776,3
FP200000542BR_A5_30803,4
FP200000542BR_A5_30860,8
FP200000542BR_A5_30901,1
FP200000542BR_A5_31028,7
FP200000542BR_A5_31220,2
FP200000542BR_A5_31262,0
FP200000542BR_A5_31281,8
FP200000542BR_A5_31464,2
FP200000542BR_A5_31497,8
FP200000542BR_A5_31667,2
FP200000542BR_A5_31719,1
FP200000542BR_A5_31875,1
FP200000542BR_A5_32068,7
FP200000542BR_A5_32257,4
FP200000542BR_A5_32294,2
FP200000542BR_A5_32737,2
FP200000542BR_A5_32817,9
FP200000542BR_A5_32863,6
FP200000542BR_A5_32963,5
FP200000542BR_A5_33131,4
FP200000542BR_A5_33208,1
FP200000542BR_A5_33373,4
FP200000542BR_A5_33594,4
FP200000542BR_A5_34097,12
FP200000542BR_A5_34203,13
FP200000542BR_A5_34480,7
FP200000542BR_A5_34976,6
FP200000542BR_A5_35253,1
FP200000542BR_A5_35361,4
FP200000542BR_A5_35496,7
FP200000542BR_A5_35822,14
FP200000542BR_A3_14894,4
FP200000542BR_A3_14924,4
FP200000542BR_A3_14998,5
FP200000542BR_A3_15163,4
FP200000542BR_A3_15371,4
FP200000542BR_A3_16209,4
FP200000542BR_A3_17188,4
FP200000542BR_A3_17213,3
FP200000542BR_A3_17240,0
FP200000542BR_A3_17260,4
FP200000542BR_A3_17608,2
FP200000542BR_A3_17623,4
FP200000542BR_A3_17652,2
FP200000542BR_A3_17794,3
FP200000542BR_A3_17882,3
FP200000542BR_A3_17941,2
FP200000542BR_A3_17956,1
FP200000542BR_A3_17964,4
FP200000542BR_A3_17992,2
FP200000542BR_A3_18104,12
FP200000542BR_A3_18412,3
FP200000542BR_A3_18606,1
FP200000542BR_A3_18648,0
FP200000542BR_A3_18775,1
FP200000542BR_A3_19330,9
FP200000542BR_A3_19468,7
FP200000542BR_A3_19501,8
FP200000542BR_A3_19586,0
FP200000542BR_A3_19625,3
FP200000542BR_A3_19713,2
FP200000542BR_A3_19738,1
FP200000542BR_A3_19788,0
FP200000542BR_A3_19808,1
FP200000542BR_A3_19819,3
FP200000542BR_A3_19935,3
FP200000542BR_A3_20022,4
FP200000542BR_A3_20039,2
FP200000542BR_A3_20107,0
FP200000542BR_A3_20126,4
FP200000542BR_A3_20127,4
FP200000542BR_A3_20179,0
FP200000542BR_A3_20330,3
FP200000542BR_A3_20399,1
FP200000542BR_A3_20445,4
FP200000542BR_A3_20449,5
FP200000542BR_A3_20530,11
FP200000542BR_A3_20651,2
FP200000542BR_A3_20652,5
FP200000542BR_A3_20661,7
FP200000542BR_A3_20717,1
FP200000542BR_A3_20741,2
FP200000542BR_A3_20752,2
FP200000542BR_A3_20836,0
FP200000542BR_A3_20846,19
FP200000542BR_A3_20899,6
FP200000542BR_A3_21003,6
FP200000542BR_A3_21057,4
FP200000542BR_A3_21073,1
FP200000542BR_A3_21109,0
FP200000542BR_A3_21287,1
FP200000542BR_A3_21307,0
FP200000542BR_A3_21321,5
FP200000542BR_A3_21376,1
FP200000542BR_A3_21379,3
