cell_id,count
FP200000542BR_A5_14055,0
FP200000542BR_A5_14616,0
FP200000542BR_A5_14863,0
FP200000542BR_A5_14894,0
FP200000542BR_A5_15005,0
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,1
FP200000542BR_A5_16049,0
FP200000542BR_A5_16105,0
FP200000542BR_A5_16280,3
FP200000542BR_A5_16676,0
FP200000542BR_A5_16700,0
FP200000542BR_A5_16929,1
FP200000542BR_A5_17549,0
FP200000542BR_A5_17611,0
FP200000542BR_A5_17657,0
FP200000542BR_A5_17860,1
FP200000542BR_A5_17897,0
FP200000542BR_A5_17943,0
FP200000542BR_A5_18037,1
FP200000542BR_A5_18060,0
FP200000542BR_A5_18134,0
FP200000542BR_A5_18221,2
FP200000542BR_A5_18229,2
FP200000542BR_A5_18247,0
FP200000542BR_A5_18381,0
FP200000542BR_A5_18451,0
FP200000542BR_A5_18569,2
FP200000542BR_A5_18639,1
FP200000542BR_A5_18692,1
FP200000542BR_A5_18705,0
FP200000542BR_A5_18713,0
FP200000542BR_A5_18748,2
FP200000542BR_A5_18768,0
FP200000542BR_A5_18789,0
FP200000542BR_A5_18901,0
FP200000542BR_A5_19036,3
FP200000542BR_A5_19063,0
FP200000542BR_A5_19089,1
FP200000542BR_A5_19111,0
FP200000542BR_A5_19120,0
FP200000542BR_A5_19150,1
FP200000542BR_A5_19167,0
FP200000542BR_A5_19332,3
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,1
FP200000542BR_A5_19447,0
FP200000542BR_A5_19454,1
FP200000542BR_A5_19482,0
FP200000542BR_A5_19544,0
FP200000542BR_A5_19545,2
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,0
FP200000542BR_A5_19684,1
FP200000542BR_A5_19793,0
FP200000542BR_A5_19861,0
FP200000542BR_A5_19917,1
FP200000542BR_A5_19983,0
FP200000542BR_A5_20096,1
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,0
FP200000542BR_A5_20219,3
FP200000542BR_A5_20248,1
FP200000542BR_A5_20257,0
FP200000542BR_A5_20258,2
FP200000542BR_A5_20284,1
FP200000542BR_A5_20299,0
FP200000542BR_A5_20323,0
FP200000542BR_A5_20341,0
FP200000542BR_A5_20366,0
FP200000542BR_A5_20377,0
FP200000542BR_A5_20487,1
FP200000542BR_A5_20492,1
FP200000542BR_A5_20524,0
FP200000542BR_A5_20541,0
FP200000542BR_A5_20546,6
FP200000542BR_A5_20571,0
FP200000542BR_A5_20585,0
FP200000542BR_A5_20673,0
FP200000542BR_A5_20676,3
FP200000542BR_A5_20717,0
FP200000542BR_A5_20735,1
FP200000542BR_A5_20754,0
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,2
FP200000542BR_A5_20846,0
FP200000542BR_A5_20869,0
FP200000542BR_A5_20880,1
FP200000542BR_A5_21049,0
FP200000542BR_A5_21056,2
FP200000542BR_A5_21093,0
FP200000542BR_A5_21122,0
FP200000542BR_A5_21155,1
FP200000542BR_A5_21203,0
FP200000542BR_A5_21213,0
FP200000542BR_A5_21219,1
FP200000542BR_A5_21235,1
FP200000542BR_A5_21266,4
FP200000542BR_A5_21391,0
FP200000542BR_A5_21421,0
FP200000542BR_A5_21529,3
FP200000542BR_A5_21696,1
FP200000542BR_A5_21792,3
FP200000542BR_A5_21841,0
FP200000542BR_A5_21847,3
FP200000542BR_A5_21886,0
FP200000542BR_A5_21964,0
FP200000542BR_A5_21994,1
FP200000542BR_A5_22116,5
FP200000542BR_A5_22150,1
FP200000542BR_A5_22262,0
FP200000542BR_A5_22293,0
FP200000542BR_A5_22339,2
FP200000542BR_A5_22408,1
FP200000542BR_A5_22447,3
FP200000542BR_A5_22543,0
FP200000542BR_A5_22571,5
FP200000542BR_A5_22575,2
FP200000542BR_A5_22732,0
FP200000542BR_A5_22753,0
FP200000542BR_A5_22931,0
FP200000542BR_A5_23123,0
FP200000542BR_A5_23251,5
FP200000542BR_A5_23269,0
FP200000542BR_A5_23309,2
FP200000542BR_A5_23313,1
FP200000542BR_A5_23382,1
FP200000542BR_A5_23604,6
FP200000542BR_A5_23711,2
FP200000542BR_A5_23816,1
FP200000542BR_A5_23846,1
FP200000542BR_A5_23850,1
FP200000542BR_A5_24093,5
FP200000542BR_A5_24132,4
FP200000542BR_A5_24271,3
FP200000542BR_A5_24272,0
FP200000542BR_A5_24347,8
FP200000542BR_A5_24367,0
FP200000542BR_A5_24370,1
FP200000542BR_A5_24462,3
FP200000542BR_A5_24474,1
FP200000542BR_A5_24500,2
FP200000542BR_A5_24547,0
FP200000542BR_A5_24562,1
FP200000542BR_A5_24564,0
FP200000542BR_A5_24567,2
FP200000542BR_A5_24578,0
FP200000542BR_A5_24604,5
FP200000542BR_A5_24605,0
FP200000542BR_A5_24744,1
FP200000542BR_A5_24757,2
FP200000542BR_A5_24818,0
FP200000542BR_A5_24820,0
FP200000542BR_A5_24871,1
FP200000542BR_A5_24889,7
FP200000542BR_A5_24900,0
FP200000542BR_A5_24911,0
FP200000542BR_A5_24938,7
FP200000542BR_A5_24953,1
FP200000542BR_A5_24956,0
FP200000542BR_A5_25021,0
FP200000542BR_A5_25034,1
FP200000542BR_A5_25065,0
FP200000542BR_A5_25070,0
FP200000542BR_A5_25185,0
FP200000542BR_A5_25228,0
FP200000542BR_A5_25255,0
FP200000542BR_A5_25261,0
FP200000542BR_A5_25278,2
FP200000542BR_A5_25295,0
FP200000542BR_A5_25301,1
FP200000542BR_A5_25450,1
FP200000542BR_A5_25456,0
FP200000542BR_A5_25487,7
FP200000542BR_A5_25523,1
FP200000542BR_A5_25528,3
FP200000542BR_A5_25554,2
FP200000542BR_A5_25620,2
FP200000542BR_A5_25643,1
FP200000542BR_A5_25668,1
FP200000542BR_A5_25714,0
FP200000542BR_A5_25802,0
FP200000542BR_A5_25830,0
FP200000542BR_A5_25915,1
FP200000542BR_A5_26007,0
FP200000542BR_A5_26051,0
FP200000542BR_A5_26094,0
FP200000542BR_A5_26133,1
FP200000542BR_A5_26165,0
FP200000542BR_A5_26180,0
FP200000542BR_A5_26284,7
FP200000542BR_A5_26302,7
FP200000542BR_A5_26344,1
FP200000542BR_A5_26369,0
FP200000542BR_A5_26419,0
FP200000542BR_A5_26472,3
FP200000542BR_A5_26483,1
FP200000542BR_A5_26541,2
FP200000542BR_A5_26566,2
FP200000542BR_A5_26576,1
FP200000542BR_A5_26579,6
FP200000542BR_A5_26624,3
FP200000542BR_A5_26677,0
FP200000542BR_A5_26796,0
FP200000542BR_A5_26830,3
FP200000542BR_A5_26843,2
FP200000542BR_A5_26896,0
FP200000542BR_A5_26974,1
FP200000542BR_A5_27002,0
FP200000542BR_A5_27053,2
FP200000542BR_A5_27095,0
FP200000542BR_A5_27197,5
FP200000542BR_A5_27220,0
FP200000542BR_A5_27348,0
FP200000542BR_A5_27349,2
FP200000542BR_A5_27364,2
FP200000542BR_A5_27377,3
FP200000542BR_A5_27383,0
FP200000542BR_A5_27426,3
FP200000542BR_A5_27619,4
FP200000542BR_A5_27620,2
FP200000542BR_A5_27697,1
FP200000542BR_A5_27863,1
FP200000542BR_A5_27876,1
FP200000542BR_A5_27980,1
FP200000542BR_A5_27987,0
FP200000542BR_A5_28079,0
FP200000542BR_A5_28158,0
FP200000542BR_A5_28167,1
FP200000542BR_A5_28170,4
FP200000542BR_A5_28323,3
FP200000542BR_A5_28333,0
FP200000542BR_A5_28344,0
FP200000542BR_A5_28378,3
FP200000542BR_A5_28468,4
FP200000542BR_A5_28511,0
FP200000542BR_A5_28604,4
FP200000542BR_A5_28626,3
FP200000542BR_A5_28632,0
FP200000542BR_A5_28657,0
FP200000542BR_A5_28790,3
FP200000542BR_A5_28814,2
FP200000542BR_A5_28824,1
FP200000542BR_A5_28839,0
FP200000542BR_A5_28846,0
FP200000542BR_A5_28885,2
FP200000542BR_A5_28917,0
FP200000542BR_A5_29048,2
FP200000542BR_A5_29065,0
FP200000542BR_A5_29084,0
FP200000542BR_A5_29089,0
FP200000542BR_A5_29142,0
FP200000542BR_A5_29148,0
FP200000542BR_A5_29254,0
FP200000542BR_A5_29299,3
FP200000542BR_A5_29356,0
FP200000542BR_A5_29361,2
FP200000542BR_A5_29377,1
FP200000542BR_A5_29404,1
FP200000542BR_A5_29418,5
FP200000542BR_A5_29426,2
FP200000542BR_A5_29446,1
FP200000542BR_A5_29455,0
FP200000542BR_A5_29464,0
FP200000542BR_A5_29496,1
FP200000542BR_A5_29518,2
FP200000542BR_A5_29577,0
FP200000542BR_A5_29606,1
FP200000542BR_A5_29615,0
FP200000542BR_A5_29623,0
FP200000542BR_A5_29627,2
FP200000542BR_A5_29683,0
FP200000542BR_A5_29712,2
FP200000542BR_A5_29800,0
FP200000542BR_A5_29878,5
FP200000542BR_A5_29884,1
FP200000542BR_A5_29889,0
FP200000542BR_A5_29890,0
FP200000542BR_A5_29895,0
FP200000542BR_A5_29907,1
FP200000542BR_A5_30038,0
FP200000542BR_A5_30065,0
FP200000542BR_A5_30089,1
FP200000542BR_A5_30095,4
FP200000542BR_A5_30116,1
FP200000542BR_A5_30128,2
FP200000542BR_A5_30191,0
FP200000542BR_A5_30215,0
FP200000542BR_A5_30216,0
FP200000542BR_A5_30225,0
FP200000542BR_A5_30227,2
FP200000542BR_A5_30267,0
FP200000542BR_A5_30341,3
FP200000542BR_A5_30445,1
FP200000542BR_A5_30491,0
FP200000542BR_A5_30492,2
FP200000542BR_A5_30573,0
FP200000542BR_A5_30590,1
FP200000542BR_A5_30599,0
FP200000542BR_A5_30633,1
FP200000542BR_A5_30660,0
FP200000542BR_A5_30684,2
FP200000542BR_A5_30776,0
FP200000542BR_A5_30803,1
FP200000542BR_A5_30860,0
FP200000542BR_A5_30901,1
FP200000542BR_A5_31028,3
FP200000542BR_A5_31220,2
FP200000542BR_A5_31262,0
FP200000542BR_A5_31281,2
FP200000542BR_A5_31464,1
FP200000542BR_A5_31497,1
FP200000542BR_A5_31667,0
FP200000542BR_A5_31719,0
FP200000542BR_A5_31875,0
FP200000542BR_A5_32068,4
FP200000542BR_A5_32257,0
FP200000542BR_A5_32294,0
FP200000542BR_A5_32737,0
FP200000542BR_A5_32817,0
FP200000542BR_A5_32863,0
FP200000542BR_A5_32963,0
FP200000542BR_A5_33131,2
FP200000542BR_A5_33208,0
FP200000542BR_A5_33373,0
FP200000542BR_A5_33594,2
FP200000542BR_A5_34097,1
FP200000542BR_A5_34203,3
FP200000542BR_A5_34480,0
FP200000542BR_A5_34976,5
FP200000542BR_A5_35253,1
FP200000542BR_A5_35361,0
FP200000542BR_A5_35496,0
FP200000542BR_A5_35822,0
FP200000542BR_A3_14894,2
FP200000542BR_A3_14924,0
FP200000542BR_A3_14998,1
FP200000542BR_A3_15163,2
FP200000542BR_A3_15371,0
FP200000542BR_A3_16209,3
FP200000542BR_A3_17188,4
FP200000542BR_A3_17213,0
FP200000542BR_A3_17240,1
FP200000542BR_A3_17260,2
FP200000542BR_A3_17608,0
FP200000542BR_A3_17623,0
FP200000542BR_A3_17652,0
FP200000542BR_A3_17794,0
FP200000542BR_A3_17882,1
FP200000542BR_A3_17941,0
FP200000542BR_A3_17956,0
FP200000542BR_A3_17964,3
FP200000542BR_A3_17992,0
FP200000542BR_A3_18104,0
FP200000542BR_A3_18412,2
FP200000542BR_A3_18606,1
FP200000542BR_A3_18648,0
FP200000542BR_A3_18775,0
FP200000542BR_A3_19330,0
FP200000542BR_A3_19468,0
FP200000542BR_A3_19501,0
FP200000542BR_A3_19586,0
FP200000542BR_A3_19625,0
FP200000542BR_A3_19713,0
FP200000542BR_A3_19738,0
FP200000542BR_A3_19788,0
FP200000542BR_A3_19808,0
FP200000542BR_A3_19819,1
FP200000542BR_A3_19935,3
FP200000542BR_A3_20022,0
FP200000542BR_A3_20039,0
FP200000542BR_A3_20107,0
FP200000542BR_A3_20126,0
FP200000542BR_A3_20127,0
FP200000542BR_A3_20179,0
FP200000542BR_A3_20330,0
FP200000542BR_A3_20399,3
FP200000542BR_A3_20445,1
FP200000542BR_A3_20449,0
FP200000542BR_A3_20530,1
FP200000542BR_A3_20651,2
FP200000542BR_A3_20652,0
FP200000542BR_A3_20661,0
FP200000542BR_A3_20717,0
FP200000542BR_A3_20741,2
FP200000542BR_A3_20752,0
FP200000542BR_A3_20836,0
FP200000542BR_A3_20846,0
FP200000542BR_A3_20899,0
FP200000542BR_A3_21003,0
FP200000542BR_A3_21057,0
FP200000542BR_A3_21073,0
FP200000542BR_A3_21109,0
FP200000542BR_A3_21287,1
FP200000542BR_A3_21307,0
FP200000542BR_A3_21321,0
FP200000542BR_A3_21376,0
FP200000542BR_A3_21379,0
FP200000542BR_A3_21392,0
FP200000542BR_A3_21430,0
FP200000542BR_A3_21447,0
FP200000542BR_A3_21727,0
FP200000542BR_A3_21760,1
FP200000542BR_A3_21812,0
FP200000542BR_A3_21836,2
FP200000542BR_A3_21879,0
FP200000542BR_A3_21906,0
FP200000542BR_A3_21931,0
FP200000542BR_A3_21949,0
FP200000542BR_A3_22049,0
FP200000542BR_A3_22056,0
FP200000542BR_A3_22237,1
FP200000542BR_A3_22245,0
FP200000542BR_A3_22268,0
FP200000542BR_A3_22273,1
FP200000542BR_A3_22378,0
FP200000542BR_A3_22429,1
FP200000542BR_A3_22434,0
FP200000542BR_A3_22478,2
