cell_id,count
FP200000542BR_A5_14055,1
FP200000542BR_A5_14616,4
FP200000542BR_A5_14863,0
FP200000542BR_A5_14894,2
FP200000542BR_A5_15005,2
FP200000542BR_A5_15006,3
FP200000542BR_A5_15016,2
FP200000542BR_A5_16049,3
FP200000542BR_A5_16105,1
FP200000542BR_A5_16280,1
FP200000542BR_A5_16676,2
FP200000542BR_A5_16700,2
FP200000542BR_A5_16929,1
FP200000542BR_A5_17549,1
FP200000542BR_A5_17611,4
FP200000542BR_A5_17657,0
FP200000542BR_A5_17860,3
FP200000542BR_A5_17897,2
FP200000542BR_A5_17943,4
FP200000542BR_A5_18037,1
FP200000542BR_A5_18060,2
FP200000542BR_A5_18134,0
FP200000542BR_A5_18221,5
FP200000542BR_A5_18229,0
FP200000542BR_A5_18247,0
FP200000542BR_A5_18381,0
FP200000542BR_A5_18451,0
FP200000542BR_A5_18569,3
FP200000542BR_A5_18639,2
FP200000542BR_A5_18692,3
FP200000542BR_A5_18705,2
FP200000542BR_A5_18713,0
FP200000542BR_A5_18748,2
FP200000542BR_A5_18768,1
FP200000542BR_A5_18789,5
FP200000542BR_A5_18901,0
FP200000542BR_A5_19036,2
FP200000542BR_A5_19063,2
FP200000542BR_A5_19089,3
FP200000542BR_A5_19111,2
FP200000542BR_A5_19120,0
FP200000542BR_A5_19150,3
FP200000542BR_A5_19167,0
FP200000542BR_A5_19332,1
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,2
FP200000542BR_A5_19447,4
FP200000542BR_A5_19454,1
FP200000542BR_A5_19482,2
FP200000542BR_A5_19544,4
FP200000542BR_A5_19545,5
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,2
FP200000542BR_A5_19684,2
FP200000542BR_A5_19793,2
FP200000542BR_A5_19861,2
FP200000542BR_A5_19917,2
FP200000542BR_A5_19983,4
FP200000542BR_A5_20096,0
FP200000542BR_A5_20176,1
FP200000542BR_A5_20200,3
FP200000542BR_A5_20219,2
FP200000542BR_A5_20248,1
FP200000542BR_A5_20257,5
FP200000542BR_A5_20258,4
FP200000542BR_A5_20284,1
FP200000542BR_A5_20299,3
FP200000542BR_A5_20323,4
FP200000542BR_A5_20341,3
FP200000542BR_A5_20366,0
FP200000542BR_A5_20377,4
FP200000542BR_A5_20487,4
FP200000542BR_A5_20492,3
FP200000542BR_A5_20524,2
FP200000542BR_A5_20541,2
FP200000542BR_A5_20546,0
FP200000542BR_A5_20571,0
FP200000542BR_A5_20585,0
FP200000542BR_A5_20673,2
FP200000542BR_A5_20676,7
FP200000542BR_A5_20717,0
FP200000542BR_A5_20735,3
FP200000542BR_A5_20754,0
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,4
FP200000542BR_A5_20846,1
FP200000542BR_A5_20869,4
FP200000542BR_A5_20880,1
FP200000542BR_A5_21049,0
FP200000542BR_A5_21056,6
FP200000542BR_A5_21093,2
FP200000542BR_A5_21122,1
FP200000542BR_A5_21155,6
FP200000542BR_A5_21203,2
FP200000542BR_A5_21213,1
FP200000542BR_A5_21219,1
FP200000542BR_A5_21235,1
FP200000542BR_A5_21266,0
FP200000542BR_A5_21391,4
FP200000542BR_A5_21421,5
FP200000542BR_A5_21529,8
FP200000542BR_A5_21696,0
FP200000542BR_A5_21792,3
FP200000542BR_A5_21841,1
FP200000542BR_A5_21847,4
FP200000542BR_A5_21886,6
FP200000542BR_A5_21964,2
FP200000542BR_A5_21994,6
FP200000542BR_A5_22116,2
FP200000542BR_A5_22150,3
FP200000542BR_A5_22262,2
FP200000542BR_A5_22293,6
FP200000542BR_A5_22339,3
FP200000542BR_A5_22408,2
FP200000542BR_A5_22447,2
FP200000542BR_A5_22543,1
FP200000542BR_A5_22571,8
FP200000542BR_A5_22575,3
FP200000542BR_A5_22732,7
FP200000542BR_A5_22753,4
FP200000542BR_A5_22931,5
FP200000542BR_A5_23123,1
FP200000542BR_A5_23251,6
FP200000542BR_A5_23269,1
FP200000542BR_A5_23309,2
FP200000542BR_A5_23313,1
FP200000542BR_A5_23382,2
FP200000542BR_A5_23604,4
FP200000542BR_A5_23711,1
FP200000542BR_A5_23816,11
FP200000542BR_A5_23846,1
FP200000542BR_A5_23850,8
FP200000542BR_A5_24093,4
FP200000542BR_A5_24132,5
FP200000542BR_A5_24271,2
FP200000542BR_A5_24272,1
FP200000542BR_A5_24347,4
FP200000542BR_A5_24367,2
FP200000542BR_A5_24370,2
FP200000542BR_A5_24462,4
FP200000542BR_A5_24474,5
FP200000542BR_A5_24500,0
FP200000542BR_A5_24547,0
FP200000542BR_A5_24562,0
FP200000542BR_A5_24564,4
FP200000542BR_A5_24567,1
FP200000542BR_A5_24578,1
FP200000542BR_A5_24604,3
FP200000542BR_A5_24605,6
FP200000542BR_A5_24744,3
FP200000542BR_A5_24757,3
FP200000542BR_A5_24818,6
FP200000542BR_A5_24820,1
FP200000542BR_A5_24871,3
FP200000542BR_A5_24889,5
FP200000542BR_A5_24900,1
FP200000542BR_A5_24911,2
FP200000542BR_A5_24938,3
FP200000542BR_A5_24953,3
FP200000542BR_A5_24956,3
FP200000542BR_A5_25021,0
FP200000542BR_A5_25034,0
FP200000542BR_A5_25065,3
FP200000542BR_A5_25070,2
FP200000542BR_A5_25185,0
FP200000542BR_A5_25228,0
FP200000542BR_A5_25255,2
FP200000542BR_A5_25261,5
FP200000542BR_A5_25278,3
FP200000542BR_A5_25295,4
FP200000542BR_A5_25301,2
FP200000542BR_A5_25450,0
FP200000542BR_A5_25456,1
FP200000542BR_A5_25487,3
FP200000542BR_A5_25523,4
FP200000542BR_A5_25528,2
FP200000542BR_A5_25554,1
FP200000542BR_A5_25620,2
FP200000542BR_A5_25643,0
FP200000542BR_A5_25668,7
FP200000542BR_A5_25714,4
FP200000542BR_A5_25802,0
FP200000542BR_A5_25830,0
FP200000542BR_A5_25915,1
FP200000542BR_A5_26007,3
FP200000542BR_A5_26051,2
FP200000542BR_A5_26094,0
FP200000542BR_A5_26133,2
FP200000542BR_A5_26165,4
FP200000542BR_A5_26180,1
