cell_id,count
FP200000542BR_A5_14055,21
FP200000542BR_A5_14616,32
FP200000542BR_A5_14863,14
FP200000542BR_A5_14894,21
FP200000542BR_A5_15005,41
FP200000542BR_A5_15006,6
FP200000542BR_A5_15016,17
FP200000542BR_A5_16049,27
FP200000542BR_A5_16105,23
FP200000542BR_A5_16280,37
FP200000542BR_A5_16676,7
FP200000542BR_A5_16700,20
FP200000542BR_A5_16929,2
FP200000542BR_A5_17549,24
FP200000542BR_A5_17611,8
FP200000542BR_A5_17657,15
FP200000542BR_A5_17860,27
FP200000542BR_A5_17897,12
FP200000542BR_A5_17943,20
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,9
FP200000542BR_A5_18134,6
FP200000542BR_A5_18221,44
FP200000542BR_A5_18229,5
FP200000542BR_A5_18247,10
FP200000542BR_A5_18381,8
FP200000542BR_A5_18451,17
FP200000542BR_A5_18569,19
FP200000542BR_A5_18639,15
FP200000542BR_A5_18692,15
FP200000542BR_A5_18705,11
FP200000542BR_A5_18713,14
FP200000542BR_A5_18748,31
FP200000542BR_A5_18768,8
FP200000542BR_A5_18789,31
FP200000542BR_A5_18901,3
FP200000542BR_A5_19036,29
FP200000542BR_A5_19063,9
FP200000542BR_A5_19089,10
FP200000542BR_A5_19111,17
FP200000542BR_A5_19120,5
FP200000542BR_A5_19150,21
FP200000542BR_A5_19167,13
FP200000542BR_A5_19332,29
FP200000542BR_A5_19409,5
FP200000542BR_A5_19423,28
FP200000542BR_A5_19447,15
FP200000542BR_A5_19454,15
FP200000542BR_A5_19482,23
FP200000542BR_A5_19544,3
FP200000542BR_A5_19545,26
FP200000542BR_A5_19615,5
FP200000542BR_A5_19627,36
FP200000542BR_A5_19684,9
FP200000542BR_A5_19793,27
FP200000542BR_A5_19861,28
FP200000542BR_A5_19917,13
FP200000542BR_A5_19983,24
FP200000542BR_A5_20096,5
FP200000542BR_A5_20176,2
FP200000542BR_A5_20200,4
FP200000542BR_A5_20219,31
FP200000542BR_A5_20248,13
FP200000542BR_A5_20257,25
FP200000542BR_A5_20258,35
FP200000542BR_A5_20284,36
FP200000542BR_A5_20299,27
FP200000542BR_A5_20323,20
FP200000542BR_A5_20341,25
FP200000542BR_A5_20366,15
FP200000542BR_A5_20377,17
FP200000542BR_A5_20487,25
FP200000542BR_A5_20492,15
FP200000542BR_A5_20524,11
FP200000542BR_A5_20541,22
FP200000542BR_A5_20546,28
FP200000542BR_A5_20571,9
FP200000542BR_A5_20585,5
FP200000542BR_A5_20673,21
FP200000542BR_A5_20676,40
FP200000542BR_A5_20717,21
FP200000542BR_A5_20735,68
FP200000542BR_A5_20754,13
FP200000542BR_A5_20765,4
FP200000542BR_A5_20806,45
FP200000542BR_A5_20846,17
FP200000542BR_A5_20869,11
FP200000542BR_A5_20880,3
FP200000542BR_A5_21049,9
FP200000542BR_A5_21056,23
FP200000542BR_A5_21093,28
FP200000542BR_A5_21122,23
FP200000542BR_A5_21155,55
FP200000542BR_A5_21203,33
FP200000542BR_A5_21213,32
FP200000542BR_A5_21219,15
FP200000542BR_A5_21235,11
FP200000542BR_A5_21266,10
FP200000542BR_A5_21391,46
FP200000542BR_A5_21421,24
FP200000542BR_A5_21529,31
FP200000542BR_A5_21696,14
FP200000542BR_A5_21792,40
FP200000542BR_A5_21841,24
FP200000542BR_A5_21847,42
FP200000542BR_A5_21886,37
FP200000542BR_A5_21964,20
FP200000542BR_A5_21994,32
FP200000542BR_A5_22116,9
FP200000542BR_A5_22150,19
FP200000542BR_A5_22262,7
FP200000542BR_A5_22293,27
FP200000542BR_A5_22339,46
FP200000542BR_A5_22408,20
FP200000542BR_A5_22447,37
FP200000542BR_A5_22543,21
FP200000542BR_A5_22571,68
FP200000542BR_A5_22575,20
FP200000542BR_A5_22732,40
FP200000542BR_A5_22753,28
FP200000542BR_A5_22931,25
FP200000542BR_A5_23123,12
FP200000542BR_A5_23251,44
FP200000542BR_A5_23269,19
FP200000542BR_A5_23309,10
FP200000542BR_A5_23313,9
FP200000542BR_A5_23382,29
FP200000542BR_A5_23604,37
FP200000542BR_A5_23711,6
FP200000542BR_A5_23816,76
FP200000542BR_A5_23846,24
FP200000542BR_A5_23850,37
FP200000542BR_A5_24093,16
FP200000542BR_A5_24132,27
FP200000542BR_A5_24271,8
FP200000542BR_A5_24272,14
FP200000542BR_A5_24347,60
FP200000542BR_A5_24367,20
FP200000542BR_A5_24370,27
FP200000542BR_A5_24462,26
FP200000542BR_A5_24474,26
FP200000542BR_A5_24500,30
FP200000542BR_A5_24547,13
FP200000542BR_A5_24562,2
FP200000542BR_A5_24564,22
FP200000542BR_A5_24567,10
FP200000542BR_A5_24578,19
FP200000542BR_A5_24604,30
FP200000542BR_A5_24605,13
FP200000542BR_A5_24744,22
FP200000542BR_A5_24757,17
FP200000542BR_A5_24818,30
FP200000542BR_A5_24820,4
FP200000542BR_A5_24871,21
FP200000542BR_A5_24889,31
FP200000542BR_A5_24900,6
FP200000542BR_A5_24911,12
FP200000542BR_A5_24938,15
FP200000542BR_A5_24953,15
FP200000542BR_A5_24956,10
FP200000542BR_A5_25021,16
FP200000542BR_A5_25034,11
FP200000542BR_A5_25065,17
FP200000542BR_A5_25070,20
FP200000542BR_A5_25185,15
FP200000542BR_A5_25228,34
FP200000542BR_A5_25255,21
FP200000542BR_A5_25261,15
FP200000542BR_A5_25278,14
FP200000542BR_A5_25295,30
FP200000542BR_A5_25301,25
FP200000542BR_A5_25450,6
FP200000542BR_A5_25456,3
FP200000542BR_A5_25487,17
FP200000542BR_A5_25523,11
FP200000542BR_A5_25528,38
FP200000542BR_A5_25554,13
FP200000542BR_A5_25620,9
FP200000542BR_A5_25643,3
FP200000542BR_A5_25668,27
FP200000542BR_A5_25714,26
FP200000542BR_A5_25802,4
FP200000542BR_A5_25830,9
FP200000542BR_A5_25915,25
FP200000542BR_A5_26007,25
FP200000542BR_A5_26051,15
FP200000542BR_A5_26094,2
FP200000542BR_A5_26133,33
FP200000542BR_A5_26165,12
FP200000542BR_A5_26180,16
FP200000542BR_A5_26284,28
FP200000542BR_A5_26302,30
FP200000542BR_A5_26344,21
FP200000542BR_A5_26369,11
FP200000542BR_A5_26419,7
FP200000542BR_A5_26472,19
FP200000542BR_A5_26483,22
FP200000542BR_A5_26541,11
FP200000542BR_A5_26566,26
FP200000542BR_A5_26576,34
FP200000542BR_A5_26579,3
FP200000542BR_A5_26624,7
FP200000542BR_A5_26677,1
FP200000542BR_A5_26796,7
FP200000542BR_A5_26830,24
FP200000542BR_A5_26843,16
FP200000542BR_A5_26896,36
