cell_id,count
FP200000542BR_A5_14055,2
FP200000542BR_A5_14616,2
FP200000542BR_A5_14863,3
FP200000542BR_A5_14894,1
FP200000542BR_A5_15005,3
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,2
FP200000542BR_A5_16049,2
FP200000542BR_A5_16105,3
FP200000542BR_A5_16280,0
FP200000542BR_A5_16676,0
FP200000542BR_A5_16700,5
FP200000542BR_A5_16929,2
FP200000542BR_A5_17549,2
FP200000542BR_A5_17611,0
FP200000542BR_A5_17657,4
FP200000542BR_A5_17860,2
FP200000542BR_A5_17897,0
FP200000542BR_A5_17943,0
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,1
FP200000542BR_A5_18134,0
FP200000542BR_A5_18221,5
FP200000542BR_A5_18229,0
FP200000542BR_A5_18247,0
FP200000542BR_A5_18381,2
FP200000542BR_A5_18451,2
FP200000542BR_A5_18569,3
FP200000542BR_A5_18639,1
FP200000542BR_A5_18692,0
FP200000542BR_A5_18705,1
FP200000542BR_A5_18713,3
FP200000542BR_A5_18748,1
FP200000542BR_A5_18768,0
FP200000542BR_A5_18789,1
FP200000542BR_A5_18901,0
FP200000542BR_A5_19036,2
FP200000542BR_A5_19063,0
FP200000542BR_A5_19089,1
FP200000542BR_A5_19111,0
FP200000542BR_A5_19120,1
FP200000542BR_A5_19150,1
FP200000542BR_A5_19167,0
FP200000542BR_A5_19332,4
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,0
FP200000542BR_A5_19447,2
FP200000542BR_A5_19454,3
FP200000542BR_A5_19482,4
FP200000542BR_A5_19544,5
FP200000542BR_A5_19545,5
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,0
FP200000542BR_A5_19684,3
FP200000542BR_A5_19793,0
FP200000542BR_A5_19861,9
FP200000542BR_A5_19917,2
FP200000542BR_A5_19983,4
FP200000542BR_A5_20096,1
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,2
FP200000542BR_A5_20219,1
FP200000542BR_A5_20248,1
FP200000542BR_A5_20257,1
FP200000542BR_A5_20258,1
FP200000542BR_A5_20284,4
FP200000542BR_A5_20299,2
FP200000542BR_A5_20323,2
FP200000542BR_A5_20341,5
FP200000542BR_A5_20366,0
