cell_id,count
FP200000542BR_A5_14055,3
FP200000542BR_A5_14616,6
FP200000542BR_A5_14863,5
FP200000542BR_A5_14894,5
FP200000542BR_A5_15005,1
FP200000542BR_A5_15006,1
FP200000542BR_A5_15016,4
FP200000542BR_A5_16049,7
FP200000542BR_A5_16105,3
FP200000542BR_A5_16280,6
FP200000542BR_A5_16676,0
FP200000542BR_A5_16700,0
FP200000542BR_A5_16929,5
FP200000542BR_A5_17549,1
FP200000542BR_A5_17611,2
FP200000542BR_A5_17657,2
FP200000542BR_A5_17860,9
FP200000542BR_A5_17897,2
FP200000542BR_A5_17943,3
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,6
FP200000542BR_A5_18134,2
FP200000542BR_A5_18221,7
FP200000542BR_A5_18229,1
FP200000542BR_A5_18247,0
FP200000542BR_A5_18381,2
FP200000542BR_A5_18451,5
FP200000542BR_A5_18569,2
FP200000542BR_A5_18639,4
FP200000542BR_A5_18692,11
FP200000542BR_A5_18705,0
FP200000542BR_A5_18713,3
FP200000542BR_A5_18748,4
FP200000542BR_A5_18768,3
FP200000542BR_A5_18789,8
FP200000542BR_A5_18901,1
FP200000542BR_A5_19036,5
FP200000542BR_A5_19063,0
FP200000542BR_A5_19089,2
FP200000542BR_A5_19111,2
FP200000542BR_A5_19120,0
FP200000542BR_A5_19150,5
FP200000542BR_A5_19167,2
FP200000542BR_A5_19332,6
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,10
FP200000542BR_A5_19447,11
FP200000542BR_A5_19454,6
FP200000542BR_A5_19482,1
FP200000542BR_A5_19544,3
FP200000542BR_A5_19545,5
FP200000542BR_A5_19615,2
FP200000542BR_A5_19627,10
FP200000542BR_A5_19684,3
FP200000542BR_A5_19793,0
FP200000542BR_A5_19861,6
FP200000542BR_A5_19917,2
FP200000542BR_A5_19983,3
FP200000542BR_A5_20096,3
FP200000542BR_A5_20176,1
FP200000542BR_A5_20200,2
FP200000542BR_A5_20219,11
FP200000542BR_A5_20248,5
FP200000542BR_A5_20257,6
FP200000542BR_A5_20258,4
FP200000542BR_A5_20284,8
FP200000542BR_A5_20299,2
FP200000542BR_A5_20323,2
FP200000542BR_A5_20341,6
FP200000542BR_A5_20366,2
FP200000542BR_A5_20377,6
FP200000542BR_A5_20487,1
FP200000542BR_A5_20492,0
FP200000542BR_A5_20524,0
FP200000542BR_A5_20541,4
FP200000542BR_A5_20546,5
FP200000542BR_A5_20571,4
FP200000542BR_A5_20585,0
FP200000542BR_A5_20673,1
FP200000542BR_A5_20676,7
FP200000542BR_A5_20717,6
FP200000542BR_A5_20735,2
FP200000542BR_A5_20754,4
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,8
FP200000542BR_A5_20846,1
FP200000542BR_A5_20869,2
FP200000542BR_A5_20880,1
FP200000542BR_A5_21049,0
FP200000542BR_A5_21056,6
FP200000542BR_A5_21093,4
FP200000542BR_A5_21122,1
FP200000542BR_A5_21155,6
FP200000542BR_A5_21203,5
FP200000542BR_A5_21213,1
FP200000542BR_A5_21219,1
FP200000542BR_A5_21235,1
FP200000542BR_A5_21266,7
FP200000542BR_A5_21391,5
FP200000542BR_A5_21421,5
FP200000542BR_A5_21529,4
FP200000542BR_A5_21696,0
FP200000542BR_A5_21792,6
FP200000542BR_A5_21841,3
FP200000542BR_A5_21847,6
FP200000542BR_A5_21886,1
FP200000542BR_A5_21964,1
FP200000542BR_A5_21994,4
FP200000542BR_A5_22116,0
FP200000542BR_A5_22150,6
FP200000542BR_A5_22262,1
FP200000542BR_A5_22293,7
FP200000542BR_A5_22339,4
FP200000542BR_A5_22408,2
FP200000542BR_A5_22447,1
FP200000542BR_A5_22543,3
FP200000542BR_A5_22571,5
FP200000542BR_A5_22575,6
FP200000542BR_A5_22732,3
FP200000542BR_A5_22753,8
FP200000542BR_A5_22931,5
FP200000542BR_A5_23123,1
FP200000542BR_A5_23251,8
FP200000542BR_A5_23269,2
FP200000542BR_A5_23309,0
FP200000542BR_A5_23313,2
FP200000542BR_A5_23382,1
FP200000542BR_A5_23604,2
FP200000542BR_A5_23711,0
FP200000542BR_A5_23816,1
FP200000542BR_A5_23846,5
FP200000542BR_A5_23850,5
FP200000542BR_A5_24093,5
FP200000542BR_A5_24132,5
FP200000542BR_A5_24271,1
FP200000542BR_A5_24272,0
FP200000542BR_A5_24347,4
FP200000542BR_A5_24367,0
FP200000542BR_A5_24370,0
FP200000542BR_A5_24462,5
FP200000542BR_A5_24474,6
FP200000542BR_A5_24500,5
FP200000542BR_A5_24547,1
FP200000542BR_A5_24562,0
FP200000542BR_A5_24564,2
FP200000542BR_A5_24567,0
FP200000542BR_A5_24578,6
FP200000542BR_A5_24604,1
FP200000542BR_A5_24605,4
FP200000542BR_A5_24744,0
FP200000542BR_A5_24757,1
FP200000542BR_A5_24818,3
FP200000542BR_A5_24820,3
FP200000542BR_A5_24871,3
FP200000542BR_A5_24889,2
FP200000542BR_A5_24900,1
FP200000542BR_A5_24911,5
FP200000542BR_A5_24938,2
FP200000542BR_A5_24953,5
FP200000542BR_A5_24956,3
FP200000542BR_A5_25021,0
FP200000542BR_A5_25034,1
FP200000542BR_A5_25065,2
FP200000542BR_A5_25070,2
FP200000542BR_A5_25185,4
FP200000542BR_A5_25228,7
FP200000542BR_A5_25255,0
FP200000542BR_A5_25261,2
FP200000542BR_A5_25278,2
FP200000542BR_A5_25295,2
FP200000542BR_A5_25301,0
FP200000542BR_A5_25450,3
FP200000542BR_A5_25456,2
FP200000542BR_A5_25487,2
FP200000542BR_A5_25523,2
FP200000542BR_A5_25528,3
FP200000542BR_A5_25554,4
FP200000542BR_A5_25620,2
FP200000542BR_A5_25643,0
FP200000542BR_A5_25668,0
FP200000542BR_A5_25714,9
FP200000542BR_A5_25802,2
FP200000542BR_A5_25830,5
FP200000542BR_A5_25915,1
FP200000542BR_A5_26007,0
FP200000542BR_A5_26051,0
FP200000542BR_A5_26094,0
FP200000542BR_A5_26133,0
FP200000542BR_A5_26165,0
FP200000542BR_A5_26180,2
FP200000542BR_A5_26284,8
FP200000542BR_A5_26302,5
FP200000542BR_A5_26344,3
FP200000542BR_A5_26369,5
FP200000542BR_A5_26419,0
FP200000542BR_A5_26472,2
FP200000542BR_A5_26483,6
FP200000542BR_A5_26541,4
FP200000542BR_A5_26566,7
FP200000542BR_A5_26576,3
FP200000542BR_A5_26579,3
FP200000542BR_A5_26624,0
FP200000542BR_A5_26677,1
FP200000542BR_A5_26796,2
FP200000542BR_A5_26830,1
FP200000542BR_A5_26843,0
FP200000542BR_A5_26896,3
FP200000542BR_A5_26974,4
FP200000542BR_A5_27002,3
FP200000542BR_A5_27053,5
FP200000542BR_A5_27095,3
FP200000542BR_A5_27197,1
FP200000542BR_A5_27220,2
FP200000542BR_A5_27348,4
FP200000542BR_A5_27349,5
FP200000542BR_A5_27364,2
FP200000542BR_A5_27377,3
FP200000542BR_A5_27383,3
FP200000542BR_A5_27426,12
FP200000542BR_A5_27619,10
FP200000542BR_A5_27620,8
FP200000542BR_A5_27697,2
FP200000542BR_A5_27863,3
FP200000542BR_A5_27876,0
FP200000542BR_A5_27980,2
FP200000542BR_A5_27987,4
FP200000542BR_A5_28079,5
FP200000542BR_A5_28158,8
FP200000542BR_A5_28167,4
FP200000542BR_A5_28170,6
FP200000542BR_A5_28323,3
FP200000542BR_A5_28333,5
FP200000542BR_A5_28344,1
FP200000542BR_A5_28378,4
FP200000542BR_A5_28468,7
FP200000542BR_A5_28511,0
FP200000542BR_A5_28604,2
FP200000542BR_A5_28626,3
FP200000542BR_A5_28632,4
FP200000542BR_A5_28657,1
FP200000542BR_A5_28790,1
FP200000542BR_A5_28814,3
FP200000542BR_A5_28824,3
FP200000542BR_A5_28839,0
FP200000542BR_A5_28846,2
FP200000542BR_A5_28885,4
FP200000542BR_A5_28917,4
FP200000542BR_A5_29048,3
FP200000542BR_A5_29065,0
FP200000542BR_A5_29084,3
FP200000542BR_A5_29089,2
FP200000542BR_A5_29142,7
FP200000542BR_A5_29148,1
FP200000542BR_A5_29254,0
FP200000542BR_A5_29299,3
FP200000542BR_A5_29356,0
FP200000542BR_A5_29361,3
FP200000542BR_A5_29377,4
FP200000542BR_A5_29404,7
FP200000542BR_A5_29418,4
FP200000542BR_A5_29426,1
FP200000542BR_A5_29446,3
FP200000542BR_A5_29455,2
FP200000542BR_A5_29464,4
FP200000542BR_A5_29496,6
FP200000542BR_A5_29518,4
FP200000542BR_A5_29577,3
FP200000542BR_A5_29606,3
FP200000542BR_A5_29615,1
FP200000542BR_A5_29623,4
FP200000542BR_A5_29627,4
FP200000542BR_A5_29683,0
FP200000542BR_A5_29712,1
FP200000542BR_A5_29800,2
FP200000542BR_A5_29878,9
FP200000542BR_A5_29884,2
FP200000542BR_A5_29889,1
FP200000542BR_A5_29890,2
FP200000542BR_A5_29895,4
FP200000542BR_A5_29907,0
FP200000542BR_A5_30038,3
FP200000542BR_A5_30065,2
FP200000542BR_A5_30089,5
FP200000542BR_A5_30095,2
FP200000542BR_A5_30116,2
FP200000542BR_A5_30128,4
FP200000542BR_A5_30191,0
FP200000542BR_A5_30215,4
FP200000542BR_A5_30216,4
FP200000542BR_A5_30225,5
FP200000542BR_A5_30227,1
FP200000542BR_A5_30267,3
FP200000542BR_A5_30341,4
FP200000542BR_A5_30445,2
FP200000542BR_A5_30491,1
FP200000542BR_A5_30492,2
FP200000542BR_A5_30573,1
FP200000542BR_A5_30590,5
FP200000542BR_A5_30599,10
FP200000542BR_A5_30633,5
FP200000542BR_A5_30660,7
FP200000542BR_A5_30684,11
FP200000542BR_A5_30776,1
FP200000542BR_A5_30803,5
FP200000542BR_A5_30860,3
FP200000542BR_A5_30901,0
FP200000542BR_A5_31028,7
FP200000542BR_A5_31220,6
FP200000542BR_A5_31262,1
FP200000542BR_A5_31281,0
FP200000542BR_A5_31464,1
FP200000542BR_A5_31497,5
FP200000542BR_A5_31667,1
FP200000542BR_A5_31719,1
FP200000542BR_A5_31875,1
FP200000542BR_A5_32068,4
FP200000542BR_A5_32257,5
FP200000542BR_A5_32294,0
FP200000542BR_A5_32737,5
FP200000542BR_A5_32817,5
FP200000542BR_A5_32863,1
FP200000542BR_A5_32963,0
FP200000542BR_A5_33131,9
FP200000542BR_A5_33208,0
FP200000542BR_A5_33373,0
FP200000542BR_A5_33594,4
FP200000542BR_A5_34097,5
FP200000542BR_A5_34203,9
FP200000542BR_A5_34480,2
FP200000542BR_A5_34976,10
FP200000542BR_A5_35253,1
FP200000542BR_A5_35361,3
FP200000542BR_A5_35496,1
FP200000542BR_A5_35822,3
FP200000542BR_A3_14894,4
FP200000542BR_A3_14924,3
FP200000542BR_A3_14998,1
FP200000542BR_A3_15163,0
FP200000542BR_A3_15371,2
FP200000542BR_A3_16209,0
FP200000542BR_A3_17188,9
FP200000542BR_A3_17213,4
FP200000542BR_A3_17240,2
FP200000542BR_A3_17260,3
FP200000542BR_A3_17608,0
FP200000542BR_A3_17623,4
FP200000542BR_A3_17652,0
FP200000542BR_A3_17794,0
FP200000542BR_A3_17882,0
FP200000542BR_A3_17941,1
FP200000542BR_A3_17956,4
FP200000542BR_A3_17964,0
FP200000542BR_A3_17992,1
FP200000542BR_A3_18104,1
FP200000542BR_A3_18412,7
FP200000542BR_A3_18606,1
FP200000542BR_A3_18648,0
FP200000542BR_A3_18775,3
FP200000542BR_A3_19330,4
FP200000542BR_A3_19468,2
FP200000542BR_A3_19501,0
FP200000542BR_A3_19586,3
FP200000542BR_A3_19625,1
FP200000542BR_A3_19713,2
FP200000542BR_A3_19738,0
FP200000542BR_A3_19788,2
FP200000542BR_A3_19808,17
FP200000542BR_A3_19819,2
FP200000542BR_A3_19935,0
FP200000542BR_A3_20022,1
FP200000542BR_A3_20039,2
