cell_id,count
FP200000542BR_A5_14055,11
FP200000542BR_A5_14616,5
FP200000542BR_A5_14863,5
FP200000542BR_A5_14894,3
FP200000542BR_A5_15005,15
FP200000542BR_A5_15006,3
FP200000542BR_A5_15016,7
FP200000542BR_A5_16049,8
FP200000542BR_A5_16105,6
FP200000542BR_A5_16280,3
FP200000542BR_A5_16676,2
FP200000542BR_A5_16700,7
FP200000542BR_A5_16929,2
FP200000542BR_A5_17549,9
FP200000542BR_A5_17611,4
FP200000542BR_A5_17657,12
FP200000542BR_A5_17860,4
FP200000542BR_A5_17897,5
FP200000542BR_A5_17943,21
FP200000542BR_A5_18037,5
FP200000542BR_A5_18060,6
FP200000542BR_A5_18134,4
FP200000542BR_A5_18221,15
FP200000542BR_A5_18229,4
FP200000542BR_A5_18247,1
FP200000542BR_A5_18381,2
FP200000542BR_A5_18451,10
FP200000542BR_A5_18569,10
FP200000542BR_A5_18639,2
FP200000542BR_A5_18692,7
FP200000542BR_A5_18705,5
FP200000542BR_A5_18713,5
FP200000542BR_A5_18748,6
FP200000542BR_A5_18768,2
FP200000542BR_A5_18789,6
FP200000542BR_A5_18901,2
FP200000542BR_A5_19036,8
FP200000542BR_A5_19063,2
FP200000542BR_A5_19089,4
FP200000542BR_A5_19111,1
FP200000542BR_A5_19120,3
FP200000542BR_A5_19150,9
FP200000542BR_A5_19167,8
FP200000542BR_A5_19332,11
FP200000542BR_A5_19409,2
FP200000542BR_A5_19423,4
FP200000542BR_A5_19447,6
FP200000542BR_A5_19454,6
FP200000542BR_A5_19482,13
FP200000542BR_A5_19544,7
FP200000542BR_A5_19545,14
FP200000542BR_A5_19615,1
FP200000542BR_A5_19627,10
FP200000542BR_A5_19684,7
FP200000542BR_A5_19793,5
FP200000542BR_A5_19861,9
FP200000542BR_A5_19917,3
FP200000542BR_A5_19983,16
FP200000542BR_A5_20096,1
FP200000542BR_A5_20176,5
FP200000542BR_A5_20200,3
FP200000542BR_A5_20219,8
FP200000542BR_A5_20248,8
FP200000542BR_A5_20257,9
FP200000542BR_A5_20258,16
FP200000542BR_A5_20284,6
FP200000542BR_A5_20299,14
FP200000542BR_A5_20323,17
FP200000542BR_A5_20341,10
FP200000542BR_A5_20366,4
FP200000542BR_A5_20377,9
FP200000542BR_A5_20487,9
FP200000542BR_A5_20492,4
FP200000542BR_A5_20524,3
FP200000542BR_A5_20541,12
FP200000542BR_A5_20546,9
FP200000542BR_A5_20571,3
FP200000542BR_A5_20585,10
FP200000542BR_A5_20673,2
FP200000542BR_A5_20676,28
FP200000542BR_A5_20717,5
FP200000542BR_A5_20735,15
FP200000542BR_A5_20754,7
FP200000542BR_A5_20765,1
FP200000542BR_A5_20806,26
FP200000542BR_A5_20846,2
FP200000542BR_A5_20869,10
FP200000542BR_A5_20880,1
FP200000542BR_A5_21049,3
FP200000542BR_A5_21056,9
FP200000542BR_A5_21093,13
FP200000542BR_A5_21122,11
FP200000542BR_A5_21155,12
FP200000542BR_A5_21203,14
FP200000542BR_A5_21213,9
FP200000542BR_A5_21219,5
FP200000542BR_A5_21235,5
FP200000542BR_A5_21266,4
FP200000542BR_A5_21391,26
FP200000542BR_A5_21421,9
FP200000542BR_A5_21529,12
FP200000542BR_A5_21696,4
FP200000542BR_A5_21792,12
FP200000542BR_A5_21841,5
FP200000542BR_A5_21847,9
FP200000542BR_A5_21886,9
FP200000542BR_A5_21964,4
FP200000542BR_A5_21994,18
FP200000542BR_A5_22116,5
FP200000542BR_A5_22150,12
FP200000542BR_A5_22262,5
FP200000542BR_A5_22293,6
FP200000542BR_A5_22339,11
FP200000542BR_A5_22408,12
FP200000542BR_A5_22447,9
FP200000542BR_A5_22543,5
FP200000542BR_A5_22571,33
FP200000542BR_A5_22575,11
FP200000542BR_A5_22732,16
FP200000542BR_A5_22753,16
FP200000542BR_A5_22931,9
FP200000542BR_A5_23123,8
FP200000542BR_A5_23251,15
FP200000542BR_A5_23269,9
FP200000542BR_A5_23309,4
FP200000542BR_A5_23313,4
FP200000542BR_A5_23382,5
FP200000542BR_A5_23604,23
FP200000542BR_A5_23711,8
FP200000542BR_A5_23816,21
FP200000542BR_A5_23846,9
FP200000542BR_A5_23850,9
FP200000542BR_A5_24093,7
FP200000542BR_A5_24132,6
FP200000542BR_A5_24271,6
FP200000542BR_A5_24272,8
FP200000542BR_A5_24347,21
FP200000542BR_A5_24367,8
FP200000542BR_A5_24370,10
FP200000542BR_A5_24462,12
FP200000542BR_A5_24474,11
FP200000542BR_A5_24500,12
FP200000542BR_A5_24547,9
FP200000542BR_A5_24562,3
FP200000542BR_A5_24564,9
FP200000542BR_A5_24567,4
FP200000542BR_A5_24578,3
FP200000542BR_A5_24604,15
FP200000542BR_A5_24605,7
FP200000542BR_A5_24744,4
FP200000542BR_A5_24757,8
FP200000542BR_A5_24818,15
FP200000542BR_A5_24820,2
FP200000542BR_A5_24871,10
FP200000542BR_A5_24889,14
FP200000542BR_A5_24900,4
FP200000542BR_A5_24911,8
FP200000542BR_A5_24938,9
FP200000542BR_A5_24953,16
FP200000542BR_A5_24956,7
FP200000542BR_A5_25021,3
FP200000542BR_A5_25034,2
FP200000542BR_A5_25065,5
FP200000542BR_A5_25070,12
FP200000542BR_A5_25185,1
FP200000542BR_A5_25228,15
FP200000542BR_A5_25255,2
FP200000542BR_A5_25261,2
FP200000542BR_A5_25278,10
FP200000542BR_A5_25295,13
FP200000542BR_A5_25301,4
FP200000542BR_A5_25450,5
FP200000542BR_A5_25456,1
FP200000542BR_A5_25487,2
FP200000542BR_A5_25523,2
FP200000542BR_A5_25528,14
FP200000542BR_A5_25554,9
FP200000542BR_A5_25620,2
FP200000542BR_A5_25643,2
FP200000542BR_A5_25668,17
FP200000542BR_A5_25714,11
FP200000542BR_A5_25802,4
FP200000542BR_A5_25830,4
FP200000542BR_A5_25915,8
FP200000542BR_A5_26007,12
FP200000542BR_A5_26051,2
FP200000542BR_A5_26094,2
FP200000542BR_A5_26133,12
FP200000542BR_A5_26165,10
FP200000542BR_A5_26180,9
FP200000542BR_A5_26284,9
FP200000542BR_A5_26302,6
FP200000542BR_A5_26344,9
FP200000542BR_A5_26369,5
FP200000542BR_A5_26419,0
FP200000542BR_A5_26472,7
FP200000542BR_A5_26483,6
FP200000542BR_A5_26541,8
FP200000542BR_A5_26566,11
FP200000542BR_A5_26576,6
FP200000542BR_A5_26579,4
FP200000542BR_A5_26624,0
FP200000542BR_A5_26677,0
FP200000542BR_A5_26796,2
FP200000542BR_A5_26830,7
FP200000542BR_A5_26843,4
FP200000542BR_A5_26896,20
FP200000542BR_A5_26974,9
FP200000542BR_A5_27002,15
FP200000542BR_A5_27053,17
FP200000542BR_A5_27095,7
FP200000542BR_A5_27197,7
FP200000542BR_A5_27220,18
FP200000542BR_A5_27348,4
FP200000542BR_A5_27349,14
FP200000542BR_A5_27364,5
FP200000542BR_A5_27377,13
FP200000542BR_A5_27383,15
FP200000542BR_A5_27426,13
FP200000542BR_A5_27619,26
FP200000542BR_A5_27620,27
FP200000542BR_A5_27697,7
FP200000542BR_A5_27863,3
FP200000542BR_A5_27876,3
FP200000542BR_A5_27980,10
FP200000542BR_A5_27987,5
