cell_id,count
FP200000542BR_A5_14055,2
FP200000542BR_A5_14616,1
FP200000542BR_A5_14863,0
FP200000542BR_A5_14894,2
FP200000542BR_A5_15005,5
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,2
FP200000542BR_A5_16049,2
FP200000542BR_A5_16105,1
FP200000542BR_A5_16280,3
FP200000542BR_A5_16676,0
FP200000542BR_A5_16700,0
FP200000542BR_A5_16929,6
FP200000542BR_A5_17549,2
FP200000542BR_A5_17611,0
FP200000542BR_A5_17657,1
FP200000542BR_A5_17860,2
FP200000542BR_A5_17897,5
FP200000542BR_A5_17943,4
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,1
FP200000542BR_A5_18134,6
FP200000542BR_A5_18221,6
FP200000542BR_A5_18229,3
FP200000542BR_A5_18247,4
FP200000542BR_A5_18381,2
FP200000542BR_A5_18451,2
FP200000542BR_A5_18569,0
FP200000542BR_A5_18639,5
FP200000542BR_A5_18692,1
FP200000542BR_A5_18705,0
FP200000542BR_A5_18713,5
FP200000542BR_A5_18748,1
FP200000542BR_A5_18768,0
FP200000542BR_A5_18789,1
FP200000542BR_A5_18901,1
FP200000542BR_A5_19036,7
FP200000542BR_A5_19063,3
FP200000542BR_A5_19089,1
FP200000542BR_A5_19111,7
FP200000542BR_A5_19120,1
FP200000542BR_A5_19150,7
FP200000542BR_A5_19167,9
FP200000542BR_A5_19332,4
FP200000542BR_A5_19409,1
FP200000542BR_A5_19423,1
FP200000542BR_A5_19447,0
FP200000542BR_A5_19454,0
FP200000542BR_A5_19482,1
FP200000542BR_A5_19544,3
FP200000542BR_A5_19545,3
FP200000542BR_A5_19615,1
FP200000542BR_A5_19627,5
FP200000542BR_A5_19684,1
FP200000542BR_A5_19793,1
FP200000542BR_A5_19861,4
FP200000542BR_A5_19917,0
FP200000542BR_A5_19983,0
FP200000542BR_A5_20096,0
FP200000542BR_A5_20176,1
FP200000542BR_A5_20200,3
FP200000542BR_A5_20219,2
FP200000542BR_A5_20248,1
FP200000542BR_A5_20257,0
FP200000542BR_A5_20258,0
FP200000542BR_A5_20284,4
FP200000542BR_A5_20299,1
FP200000542BR_A5_20323,3
FP200000542BR_A5_20341,2
FP200000542BR_A5_20366,3
FP200000542BR_A5_20377,2
FP200000542BR_A5_20487,2
FP200000542BR_A5_20492,1
FP200000542BR_A5_20524,0
FP200000542BR_A5_20541,1
FP200000542BR_A5_20546,10
FP200000542BR_A5_20571,5
FP200000542BR_A5_20585,1
FP200000542BR_A5_20673,2
FP200000542BR_A5_20676,7
FP200000542BR_A5_20717,1
FP200000542BR_A5_20735,0
FP200000542BR_A5_20754,1
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,8
FP200000542BR_A5_20846,7
FP200000542BR_A5_20869,3
FP200000542BR_A5_20880,1
FP200000542BR_A5_21049,1
FP200000542BR_A5_21056,1
FP200000542BR_A5_21093,0
FP200000542BR_A5_21122,0
FP200000542BR_A5_21155,0
FP200000542BR_A5_21203,1
FP200000542BR_A5_21213,0
FP200000542BR_A5_21219,1
FP200000542BR_A5_21235,0
FP200000542BR_A5_21266,1
FP200000542BR_A5_21391,0
FP200000542BR_A5_21421,1
FP200000542BR_A5_21529,1
FP200000542BR_A5_21696,0
FP200000542BR_A5_21792,2
FP200000542BR_A5_21841,0
FP200000542BR_A5_21847,3
FP200000542BR_A5_21886,4
FP200000542BR_A5_21964,3
FP200000542BR_A5_21994,2
FP200000542BR_A5_22116,0
FP200000542BR_A5_22150,9
FP200000542BR_A5_22262,2
FP200000542BR_A5_22293,1
FP200000542BR_A5_22339,4
FP200000542BR_A5_22408,0
FP200000542BR_A5_22447,1
FP200000542BR_A5_22543,1
FP200000542BR_A5_22571,4
FP200000542BR_A5_22575,1
FP200000542BR_A5_22732,3
FP200000542BR_A5_22753,1
FP200000542BR_A5_22931,3
FP200000542BR_A5_23123,0
FP200000542BR_A5_23251,3
FP200000542BR_A5_23269,1
FP200000542BR_A5_23309,1
FP200000542BR_A5_23313,0
FP200000542BR_A5_23382,3
FP200000542BR_A5_23604,6
FP200000542BR_A5_23711,0
FP200000542BR_A5_23816,5
FP200000542BR_A5_23846,5
FP200000542BR_A5_23850,2
FP200000542BR_A5_24093,4
FP200000542BR_A5_24132,1
FP200000542BR_A5_24271,7
FP200000542BR_A5_24272,0
FP200000542BR_A5_24347,1
FP200000542BR_A5_24367,3
FP200000542BR_A5_24370,1
FP200000542BR_A5_24462,4
FP200000542BR_A5_24474,4
FP200000542BR_A5_24500,3
FP200000542BR_A5_24547,0
FP200000542BR_A5_24562,0
FP200000542BR_A5_24564,0
FP200000542BR_A5_24567,0
FP200000542BR_A5_24578,1
FP200000542BR_A5_24604,0
FP200000542BR_A5_24605,1
FP200000542BR_A5_24744,0
FP200000542BR_A5_24757,5
FP200000542BR_A5_24818,2
FP200000542BR_A5_24820,0
FP200000542BR_A5_24871,0
FP200000542BR_A5_24889,3
FP200000542BR_A5_24900,0
FP200000542BR_A5_24911,0
FP200000542BR_A5_24938,0
FP200000542BR_A5_24953,0
FP200000542BR_A5_24956,0
FP200000542BR_A5_25021,2
FP200000542BR_A5_25034,0
FP200000542BR_A5_25065,1
FP200000542BR_A5_25070,1
FP200000542BR_A5_25185,3
FP200000542BR_A5_25228,1
FP200000542BR_A5_25255,0
FP200000542BR_A5_25261,0
FP200000542BR_A5_25278,0
FP200000542BR_A5_25295,1
FP200000542BR_A5_25301,1
FP200000542BR_A5_25450,0
FP200000542BR_A5_25456,0
FP200000542BR_A5_25487,4
FP200000542BR_A5_25523,4
FP200000542BR_A5_25528,3
FP200000542BR_A5_25554,4
FP200000542BR_A5_25620,1
FP200000542BR_A5_25643,0
FP200000542BR_A5_25668,1
FP200000542BR_A5_25714,3
FP200000542BR_A5_25802,0
FP200000542BR_A5_25830,0
FP200000542BR_A5_25915,1
FP200000542BR_A5_26007,0
FP200000542BR_A5_26051,1
FP200000542BR_A5_26094,0
FP200000542BR_A5_26133,0
FP200000542BR_A5_26165,0
FP200000542BR_A5_26180,0
FP200000542BR_A5_26284,5
FP200000542BR_A5_26302,1
FP200000542BR_A5_26344,8
FP200000542BR_A5_26369,0
FP200000542BR_A5_26419,4
FP200000542BR_A5_26472,0
FP200000542BR_A5_26483,3
FP200000542BR_A5_26541,1
FP200000542BR_A5_26566,1
FP200000542BR_A5_26576,2
FP200000542BR_A5_26579,0
FP200000542BR_A5_26624,0
FP200000542BR_A5_26677,0
FP200000542BR_A5_26796,1
FP200000542BR_A5_26830,0
FP200000542BR_A5_26843,1
FP200000542BR_A5_26896,2
FP200000542BR_A5_26974,2
FP200000542BR_A5_27002,4
FP200000542BR_A5_27053,2
FP200000542BR_A5_27095,0
FP200000542BR_A5_27197,1
FP200000542BR_A5_27220,1
FP200000542BR_A5_27348,1
FP200000542BR_A5_27349,2
FP200000542BR_A5_27364,1
FP200000542BR_A5_27377,6
FP200000542BR_A5_27383,1
FP200000542BR_A5_27426,2
FP200000542BR_A5_27619,6
FP200000542BR_A5_27620,7
FP200000542BR_A5_27697,4
FP200000542BR_A5_27863,0
FP200000542BR_A5_27876,1
FP200000542BR_A5_27980,1
FP200000542BR_A5_27987,0
FP200000542BR_A5_28079,1
FP200000542BR_A5_28158,14
FP200000542BR_A5_28167,2
FP200000542BR_A5_28170,0
FP200000542BR_A5_28323,0
FP200000542BR_A5_28333,7
FP200000542BR_A5_28344,0
FP200000542BR_A5_28378,1
FP200000542BR_A5_28468,0
FP200000542BR_A5_28511,3
FP200000542BR_A5_28604,2
FP200000542BR_A5_28626,5
FP200000542BR_A5_28632,0
FP200000542BR_A5_28657,1
FP200000542BR_A5_28790,2
FP200000542BR_A5_28814,1
FP200000542BR_A5_28824,1
FP200000542BR_A5_28839,1
FP200000542BR_A5_28846,0
FP200000542BR_A5_28885,4
FP200000542BR_A5_28917,0
FP200000542BR_A5_29048,7
FP200000542BR_A5_29065,1
FP200000542BR_A5_29084,2
FP200000542BR_A5_29089,1
FP200000542BR_A5_29142,2
FP200000542BR_A5_29148,2
FP200000542BR_A5_29254,0
FP200000542BR_A5_29299,1
FP200000542BR_A5_29356,1
FP200000542BR_A5_29361,1
FP200000542BR_A5_29377,3
FP200000542BR_A5_29404,5
FP200000542BR_A5_29418,0
FP200000542BR_A5_29426,0
FP200000542BR_A5_29446,3
FP200000542BR_A5_29455,0
FP200000542BR_A5_29464,2
FP200000542BR_A5_29496,3
FP200000542BR_A5_29518,6
FP200000542BR_A5_29577,7
FP200000542BR_A5_29606,3
FP200000542BR_A5_29615,2
FP200000542BR_A5_29623,1
FP200000542BR_A5_29627,0
FP200000542BR_A5_29683,0
FP200000542BR_A5_29712,0
FP200000542BR_A5_29800,2
FP200000542BR_A5_29878,7
FP200000542BR_A5_29884,4
FP200000542BR_A5_29889,4
FP200000542BR_A5_29890,4
FP200000542BR_A5_29895,4
FP200000542BR_A5_29907,1
FP200000542BR_A5_30038,0
FP200000542BR_A5_30065,2
FP200000542BR_A5_30089,3
FP200000542BR_A5_30095,0
FP200000542BR_A5_30116,4
FP200000542BR_A5_30128,1
FP200000542BR_A5_30191,1
FP200000542BR_A5_30215,6
FP200000542BR_A5_30216,0
FP200000542BR_A5_30225,1
FP200000542BR_A5_30227,2
FP200000542BR_A5_30267,0
FP200000542BR_A5_30341,7
FP200000542BR_A5_30445,2
FP200000542BR_A5_30491,0
FP200000542BR_A5_30492,1
FP200000542BR_A5_30573,2
FP200000542BR_A5_30590,5
FP200000542BR_A5_30599,1
FP200000542BR_A5_30633,2
FP200000542BR_A5_30660,0
FP200000542BR_A5_30684,6
FP200000542BR_A5_30776,0
FP200000542BR_A5_30803,9
FP200000542BR_A5_30860,1
FP200000542BR_A5_30901,0
FP200000542BR_A5_31028,8
FP200000542BR_A5_31220,1
FP200000542BR_A5_31262,4
FP200000542BR_A5_31281,7
FP200000542BR_A5_31464,5
FP200000542BR_A5_31497,1
FP200000542BR_A5_31667,1
FP200000542BR_A5_31719,0
FP200000542BR_A5_31875,2
FP200000542BR_A5_32068,3
FP200000542BR_A5_32257,3
FP200000542BR_A5_32294,2
FP200000542BR_A5_32737,0
FP200000542BR_A5_32817,2
FP200000542BR_A5_32863,0
FP200000542BR_A5_32963,2
FP200000542BR_A5_33131,7
FP200000542BR_A5_33208,0
FP200000542BR_A5_33373,0
FP200000542BR_A5_33594,3
FP200000542BR_A5_34097,1
FP200000542BR_A5_34203,6
FP200000542BR_A5_34480,2
FP200000542BR_A5_34976,4
FP200000542BR_A5_35253,4
FP200000542BR_A5_35361,1
FP200000542BR_A5_35496,0
FP200000542BR_A5_35822,0
FP200000542BR_A3_14894,2
FP200000542BR_A3_14924,0
FP200000542BR_A3_14998,0
FP200000542BR_A3_15163,3
FP200000542BR_A3_15371,0
FP200000542BR_A3_16209,1
FP200000542BR_A3_17188,8
FP200000542BR_A3_17213,3
FP200000542BR_A3_17240,0
FP200000542BR_A3_17260,1
FP200000542BR_A3_17608,0
FP200000542BR_A3_17623,6
FP200000542BR_A3_17652,0
FP200000542BR_A3_17794,0
FP200000542BR_A3_17882,0
FP200000542BR_A3_17941,0
FP200000542BR_A3_17956,0
FP200000542BR_A3_17964,0
FP200000542BR_A3_17992,3
FP200000542BR_A3_18104,0
FP200000542BR_A3_18412,0
FP200000542BR_A3_18606,0
FP200000542BR_A3_18648,1
FP200000542BR_A3_18775,4
FP200000542BR_A3_19330,4
FP200000542BR_A3_19468,3
FP200000542BR_A3_19501,4
FP200000542BR_A3_19586,6
FP200000542BR_A3_19625,0
FP200000542BR_A3_19713,4
FP200000542BR_A3_19738,1
FP200000542BR_A3_19788,0
FP200000542BR_A3_19808,2
FP200000542BR_A3_19819,0
FP200000542BR_A3_19935,1
FP200000542BR_A3_20022,0
FP200000542BR_A3_20039,0
FP200000542BR_A3_20107,0
FP200000542BR_A3_20126,0
FP200000542BR_A3_20127,1
FP200000542BR_A3_20179,0
FP200000542BR_A3_20330,0
FP200000542BR_A3_20399,1
FP200000542BR_A3_20445,1
FP200000542BR_A3_20449,2
FP200000542BR_A3_20530,5
FP200000542BR_A3_20651,4
FP200000542BR_A3_20652,4
FP200000542BR_A3_20661,0
FP200000542BR_A3_20717,0
FP200000542BR_A3_20741,0
FP200000542BR_A3_20752,2
FP200000542BR_A3_20836,1
FP200000542BR_A3_20846,0
FP200000542BR_A3_20899,7
FP200000542BR_A3_21003,1
FP200000542BR_A3_21057,0
FP200000542BR_A3_21073,0
FP200000542BR_A3_21109,4
FP200000542BR_A3_21287,0
FP200000542BR_A3_21307,1
FP200000542BR_A3_21321,3
FP200000542BR_A3_21376,0
FP200000542BR_A3_21379,0
FP200000542BR_A3_21392,1
FP200000542BR_A3_21430,1
FP200000542BR_A3_21447,0
FP200000542BR_A3_21727,1
FP200000542BR_A3_21760,0
FP200000542BR_A3_21812,2
FP200000542BR_A3_21836,3
FP200000542BR_A3_21879,5
FP200000542BR_A3_21906,3
FP200000542BR_A3_21931,1
FP200000542BR_A3_21949,1
FP200000542BR_A3_22049,1
FP200000542BR_A3_22056,0
FP200000542BR_A3_22237,2
FP200000542BR_A3_22245,2
FP200000542BR_A3_22268,1
FP200000542BR_A3_22273,0
FP200000542BR_A3_22378,0
FP200000542BR_A3_22429,0
