cell_id,count
FP200000542BR_A5_14055,1
FP200000542BR_A5_14616,3
FP200000542BR_A5_14863,1
FP200000542BR_A5_14894,4
FP200000542BR_A5_15005,8
FP200000542BR_A5_15006,1
FP200000542BR_A5_15016,11
FP200000542BR_A5_16049,20
FP200000542BR_A5_16105,13
FP200000542BR_A5_16280,15
FP200000542BR_A5_16676,3
FP200000542BR_A5_16700,3
FP200000542BR_A5_16929,4
FP200000542BR_A5_17549,12
FP200000542BR_A5_17611,10
FP200000542BR_A5_17657,6
FP200000542BR_A5_17860,10
FP200000542BR_A5_17897,2
FP200000542BR_A5_17943,19
FP200000542BR_A5_18037,4
FP200000542BR_A5_18060,6
FP200000542BR_A5_18134,6
FP200000542BR_A5_18221,7
FP200000542BR_A5_18229,3
FP200000542BR_A5_18247,11
FP200000542BR_A5_18381,12
FP200000542BR_A5_18451,3
FP200000542BR_A5_18569,7
FP200000542BR_A5_18639,9
FP200000542BR_A5_18692,4
FP200000542BR_A5_18705,4
FP200000542BR_A5_18713,4
FP200000542BR_A5_18748,9
FP200000542BR_A5_18768,1
FP200000542BR_A5_18789,11
FP200000542BR_A5_18901,2
FP200000542BR_A5_19036,14
FP200000542BR_A5_19063,5
FP200000542BR_A5_19089,0
FP200000542BR_A5_19111,5
FP200000542BR_A5_19120,2
FP200000542BR_A5_19150,7
FP200000542BR_A5_19167,9
FP200000542BR_A5_19332,8
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,18
FP200000542BR_A5_19447,5
FP200000542BR_A5_19454,15
FP200000542BR_A5_19482,7
FP200000542BR_A5_19544,2
FP200000542BR_A5_19545,16
FP200000542BR_A5_19615,1
FP200000542BR_A5_19627,11
FP200000542BR_A5_19684,2
FP200000542BR_A5_19793,1
FP200000542BR_A5_19861,3
FP200000542BR_A5_19917,4
FP200000542BR_A5_19983,10
FP200000542BR_A5_20096,10
FP200000542BR_A5_20176,2
FP200000542BR_A5_20200,2
FP200000542BR_A5_20219,12
FP200000542BR_A5_20248,3
FP200000542BR_A5_20257,6
FP200000542BR_A5_20258,10
FP200000542BR_A5_20284,18
FP200000542BR_A5_20299,13
FP200000542BR_A5_20323,6
FP200000542BR_A5_20341,10
FP200000542BR_A5_20366,2
FP200000542BR_A5_20377,10
FP200000542BR_A5_20487,11
FP200000542BR_A5_20492,5
FP200000542BR_A5_20524,2
FP200000542BR_A5_20541,6
FP200000542BR_A5_20546,13
FP200000542BR_A5_20571,3
FP200000542BR_A5_20585,2
FP200000542BR_A5_20673,9
FP200000542BR_A5_20676,16
FP200000542BR_A5_20717,8
FP200000542BR_A5_20735,9
FP200000542BR_A5_20754,2
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,4
FP200000542BR_A5_20846,5
FP200000542BR_A5_20869,6
FP200000542BR_A5_20880,1
FP200000542BR_A5_21049,3
FP200000542BR_A5_21056,25
FP200000542BR_A5_21093,4
FP200000542BR_A5_21122,6
FP200000542BR_A5_21155,11
FP200000542BR_A5_21203,4
FP200000542BR_A5_21213,8
FP200000542BR_A5_21219,4
FP200000542BR_A5_21235,1
FP200000542BR_A5_21266,1
FP200000542BR_A5_21391,7
FP200000542BR_A5_21421,1
FP200000542BR_A5_21529,4
FP200000542BR_A5_21696,0
FP200000542BR_A5_21792,16
FP200000542BR_A5_21841,14
FP200000542BR_A5_21847,10
FP200000542BR_A5_21886,2
FP200000542BR_A5_21964,7
FP200000542BR_A5_21994,10
FP200000542BR_A5_22116,15
FP200000542BR_A5_22150,16
FP200000542BR_A5_22262,5
FP200000542BR_A5_22293,19
FP200000542BR_A5_22339,2
FP200000542BR_A5_22408,1
FP200000542BR_A5_22447,5
FP200000542BR_A5_22543,3
FP200000542BR_A5_22571,3
FP200000542BR_A5_22575,3
FP200000542BR_A5_22732,3
FP200000542BR_A5_22753,1
FP200000542BR_A5_22931,12
FP200000542BR_A5_23123,2
FP200000542BR_A5_23251,11
FP200000542BR_A5_23269,1
FP200000542BR_A5_23309,2
FP200000542BR_A5_23313,1
FP200000542BR_A5_23382,6
FP200000542BR_A5_23604,13
FP200000542BR_A5_23711,0
FP200000542BR_A5_23816,9
FP200000542BR_A5_23846,10
FP200000542BR_A5_23850,2
FP200000542BR_A5_24093,3
FP200000542BR_A5_24132,9
FP200000542BR_A5_24271,2
FP200000542BR_A5_24272,8
FP200000542BR_A5_24347,10
