cell_id,count
FP200000542BR_A5_14055,1
FP200000542BR_A5_14616,7
FP200000542BR_A5_14863,4
FP200000542BR_A5_14894,1
FP200000542BR_A5_15005,6
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,3
FP200000542BR_A5_16049,10
FP200000542BR_A5_16105,3
FP200000542BR_A5_16280,11
FP200000542BR_A5_16676,0
FP200000542BR_A5_16700,2
FP200000542BR_A5_16929,3
FP200000542BR_A5_17549,14
FP200000542BR_A5_17611,5
FP200000542BR_A5_17657,1
FP200000542BR_A5_17860,0
FP200000542BR_A5_17897,1
FP200000542BR_A5_17943,11
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,5
FP200000542BR_A5_18134,1
FP200000542BR_A5_18221,3
FP200000542BR_A5_18229,1
FP200000542BR_A5_18247,0
FP200000542BR_A5_18381,1
FP200000542BR_A5_18451,3
FP200000542BR_A5_18569,2
FP200000542BR_A5_18639,2
FP200000542BR_A5_18692,4
FP200000542BR_A5_18705,1
FP200000542BR_A5_18713,2
FP200000542BR_A5_18748,9
FP200000542BR_A5_18768,1
FP200000542BR_A5_18789,9
FP200000542BR_A5_18901,1
FP200000542BR_A5_19036,3
FP200000542BR_A5_19063,1
FP200000542BR_A5_19089,8
FP200000542BR_A5_19111,4
FP200000542BR_A5_19120,4
FP200000542BR_A5_19150,6
FP200000542BR_A5_19167,5
FP200000542BR_A5_19332,0
FP200000542BR_A5_19409,1
FP200000542BR_A5_19423,4
FP200000542BR_A5_19447,4
FP200000542BR_A5_19454,2
FP200000542BR_A5_19482,4
FP200000542BR_A5_19544,0
FP200000542BR_A5_19545,12
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,6
FP200000542BR_A5_19684,2
FP200000542BR_A5_19793,0
FP200000542BR_A5_19861,7
FP200000542BR_A5_19917,3
FP200000542BR_A5_19983,2
FP200000542BR_A5_20096,3
FP200000542BR_A5_20176,2
FP200000542BR_A5_20200,0
FP200000542BR_A5_20219,7
FP200000542BR_A5_20248,2
FP200000542BR_A5_20257,2
FP200000542BR_A5_20258,5
FP200000542BR_A5_20284,6
FP200000542BR_A5_20299,0
FP200000542BR_A5_20323,2
FP200000542BR_A5_20341,0
FP200000542BR_A5_20366,5
FP200000542BR_A5_20377,4
FP200000542BR_A5_20487,4
FP200000542BR_A5_20492,1
FP200000542BR_A5_20524,0
FP200000542BR_A5_20541,6
FP200000542BR_A5_20546,16
FP200000542BR_A5_20571,2
FP200000542BR_A5_20585,2
FP200000542BR_A5_20673,4
FP200000542BR_A5_20676,5
FP200000542BR_A5_20717,2
FP200000542BR_A5_20735,5
FP200000542BR_A5_20754,1
FP200000542BR_A5_20765,1
FP200000542BR_A5_20806,13
FP200000542BR_A5_20846,3
FP200000542BR_A5_20869,7
FP200000542BR_A5_20880,2
FP200000542BR_A5_21049,4
FP200000542BR_A5_21056,4
FP200000542BR_A5_21093,8
FP200000542BR_A5_21122,3
FP200000542BR_A5_21155,5
FP200000542BR_A5_21203,0
FP200000542BR_A5_21213,3
FP200000542BR_A5_21219,8
FP200000542BR_A5_21235,0
FP200000542BR_A5_21266,0
FP200000542BR_A5_21391,6
FP200000542BR_A5_21421,3
FP200000542BR_A5_21529,3
FP200000542BR_A5_21696,1
FP200000542BR_A5_21792,7
FP200000542BR_A5_21841,7
FP200000542BR_A5_21847,0
FP200000542BR_A5_21886,2
FP200000542BR_A5_21964,4
FP200000542BR_A5_21994,4
FP200000542BR_A5_22116,0
FP200000542BR_A5_22150,4
FP200000542BR_A5_22262,0
FP200000542BR_A5_22293,3
FP200000542BR_A5_22339,6
FP200000542BR_A5_22408,8
FP200000542BR_A5_22447,1
FP200000542BR_A5_22543,1
FP200000542BR_A5_22571,4
FP200000542BR_A5_22575,1
FP200000542BR_A5_22732,6
FP200000542BR_A5_22753,3
FP200000542BR_A5_22931,2
FP200000542BR_A5_23123,0
FP200000542BR_A5_23251,8
FP200000542BR_A5_23269,0
FP200000542BR_A5_23309,2
FP200000542BR_A5_23313,0
FP200000542BR_A5_23382,2
FP200000542BR_A5_23604,0
FP200000542BR_A5_23711,1
FP200000542BR_A5_23816,2
FP200000542BR_A5_23846,0
FP200000542BR_A5_23850,5
FP200000542BR_A5_24093,1
FP200000542BR_A5_24132,1
FP200000542BR_A5_24271,0
FP200000542BR_A5_24272,1
FP200000542BR_A5_24347,10
FP200000542BR_A5_24367,0
FP200000542BR_A5_24370,3
FP200000542BR_A5_24462,2
FP200000542BR_A5_24474,2
FP200000542BR_A5_24500,4
FP200000542BR_A5_24547,4
FP200000542BR_A5_24562,0
FP200000542BR_A5_24564,6
FP200000542BR_A5_24567,0
FP200000542BR_A5_24578,3
FP200000542BR_A5_24604,8
FP200000542BR_A5_24605,0
FP200000542BR_A5_24744,0
FP200000542BR_A5_24757,3
FP200000542BR_A5_24818,4
FP200000542BR_A5_24820,0
FP200000542BR_A5_24871,0
FP200000542BR_A5_24889,8
FP200000542BR_A5_24900,3
FP200000542BR_A5_24911,3
FP200000542BR_A5_24938,1
FP200000542BR_A5_24953,4
FP200000542BR_A5_24956,1
FP200000542BR_A5_25021,1
FP200000542BR_A5_25034,0
FP200000542BR_A5_25065,2
FP200000542BR_A5_25070,3
FP200000542BR_A5_25185,4
FP200000542BR_A5_25228,3
FP200000542BR_A5_25255,0
FP200000542BR_A5_25261,1
FP200000542BR_A5_25278,2
FP200000542BR_A5_25295,0
FP200000542BR_A5_25301,2
FP200000542BR_A5_25450,4
FP200000542BR_A5_25456,1
FP200000542BR_A5_25487,4
FP200000542BR_A5_25523,1
FP200000542BR_A5_25528,12
FP200000542BR_A5_25554,4
FP200000542BR_A5_25620,0
FP200000542BR_A5_25643,7
FP200000542BR_A5_25668,7
FP200000542BR_A5_25714,2
FP200000542BR_A5_25802,1
FP200000542BR_A5_25830,1
FP200000542BR_A5_25915,1
FP200000542BR_A5_26007,7
FP200000542BR_A5_26051,0
FP200000542BR_A5_26094,0
FP200000542BR_A5_26133,2
FP200000542BR_A5_26165,0
FP200000542BR_A5_26180,0
FP200000542BR_A5_26284,8
FP200000542BR_A5_26302,3
FP200000542BR_A5_26344,2
FP200000542BR_A5_26369,3
FP200000542BR_A5_26419,0
FP200000542BR_A5_26472,0
FP200000542BR_A5_26483,2
FP200000542BR_A5_26541,0
FP200000542BR_A5_26566,4
FP200000542BR_A5_26576,2
FP200000542BR_A5_26579,4
FP200000542BR_A5_26624,0
FP200000542BR_A5_26677,0
FP200000542BR_A5_26796,0
FP200000542BR_A5_26830,0
FP200000542BR_A5_26843,6
FP200000542BR_A5_26896,4
FP200000542BR_A5_26974,1
FP200000542BR_A5_27002,1
FP200000542BR_A5_27053,4
FP200000542BR_A5_27095,1
FP200000542BR_A5_27197,1
FP200000542BR_A5_27220,5
FP200000542BR_A5_27348,1
FP200000542BR_A5_27349,4
FP200000542BR_A5_27364,2
FP200000542BR_A5_27377,3
FP200000542BR_A5_27383,2
FP200000542BR_A5_27426,5
FP200000542BR_A5_27619,4
FP200000542BR_A5_27620,3
FP200000542BR_A5_27697,8
FP200000542BR_A5_27863,0
FP200000542BR_A5_27876,4
FP200000542BR_A5_27980,2
FP200000542BR_A5_27987,1
FP200000542BR_A5_28079,1
FP200000542BR_A5_28158,5
FP200000542BR_A5_28167,2
FP200000542BR_A5_28170,4
FP200000542BR_A5_28323,6
FP200000542BR_A5_28333,2
FP200000542BR_A5_28344,3
FP200000542BR_A5_28378,6
FP200000542BR_A5_28468,2
FP200000542BR_A5_28511,0
FP200000542BR_A5_28604,3
FP200000542BR_A5_28626,6
FP200000542BR_A5_28632,1
FP200000542BR_A5_28657,1
FP200000542BR_A5_28790,7
FP200000542BR_A5_28814,6
FP200000542BR_A5_28824,0
FP200000542BR_A5_28839,0
FP200000542BR_A5_28846,5
FP200000542BR_A5_28885,6
