cell_id,count
FP200000542BR_A5_14055,1
FP200000542BR_A5_14616,6
FP200000542BR_A5_14863,1
FP200000542BR_A5_14894,4
FP200000542BR_A5_15005,6
FP200000542BR_A5_15006,1
FP200000542BR_A5_15016,5
FP200000542BR_A5_16049,9
FP200000542BR_A5_16105,6
FP200000542BR_A5_16280,2
FP200000542BR_A5_16676,2
FP200000542BR_A5_16700,1
FP200000542BR_A5_16929,1
FP200000542BR_A5_17549,3
FP200000542BR_A5_17611,6
FP200000542BR_A5_17657,5
FP200000542BR_A5_17860,1
FP200000542BR_A5_17897,4
FP200000542BR_A5_17943,10
FP200000542BR_A5_18037,2
FP200000542BR_A5_18060,1
FP200000542BR_A5_18134,8
FP200000542BR_A5_18221,7
FP200000542BR_A5_18229,4
FP200000542BR_A5_18247,9
FP200000542BR_A5_18381,6
FP200000542BR_A5_18451,1
FP200000542BR_A5_18569,0
FP200000542BR_A5_18639,6
FP200000542BR_A5_18692,6
FP200000542BR_A5_18705,1
FP200000542BR_A5_18713,5
FP200000542BR_A5_18748,2
FP200000542BR_A5_18768,2
FP200000542BR_A5_18789,7
FP200000542BR_A5_18901,1
FP200000542BR_A5_19036,4
FP200000542BR_A5_19063,0
FP200000542BR_A5_19089,2
FP200000542BR_A5_19111,3
FP200000542BR_A5_19120,1
FP200000542BR_A5_19150,4
FP200000542BR_A5_19167,8
FP200000542BR_A5_19332,6
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,11
FP200000542BR_A5_19447,6
FP200000542BR_A5_19454,4
FP200000542BR_A5_19482,7
FP200000542BR_A5_19544,2
FP200000542BR_A5_19545,10
FP200000542BR_A5_19615,2
FP200000542BR_A5_19627,7
FP200000542BR_A5_19684,2
FP200000542BR_A5_19793,3
FP200000542BR_A5_19861,7
FP200000542BR_A5_19917,1
FP200000542BR_A5_19983,7
FP200000542BR_A5_20096,5
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,4
FP200000542BR_A5_20219,13
FP200000542BR_A5_20248,2
FP200000542BR_A5_20257,1
FP200000542BR_A5_20258,9
FP200000542BR_A5_20284,9
FP200000542BR_A5_20299,2
FP200000542BR_A5_20323,1
FP200000542BR_A5_20341,3
FP200000542BR_A5_20366,7
FP200000542BR_A5_20377,1
FP200000542BR_A5_20487,3
FP200000542BR_A5_20492,0
FP200000542BR_A5_20524,1
FP200000542BR_A5_20541,4
FP200000542BR_A5_20546,7
FP200000542BR_A5_20571,1
FP200000542BR_A5_20585,2
FP200000542BR_A5_20673,1
FP200000542BR_A5_20676,6
FP200000542BR_A5_20717,2
FP200000542BR_A5_20735,3
FP200000542BR_A5_20754,2
FP200000542BR_A5_20765,2
FP200000542BR_A5_20806,5
FP200000542BR_A5_20846,4
FP200000542BR_A5_20869,2
FP200000542BR_A5_20880,2
FP200000542BR_A5_21049,0
FP200000542BR_A5_21056,5
FP200000542BR_A5_21093,3
FP200000542BR_A5_21122,4
FP200000542BR_A5_21155,4
FP200000542BR_A5_21203,0
FP200000542BR_A5_21213,1
FP200000542BR_A5_21219,7
FP200000542BR_A5_21235,2
FP200000542BR_A5_21266,0
FP200000542BR_A5_21391,7
FP200000542BR_A5_21421,4
FP200000542BR_A5_21529,7
FP200000542BR_A5_21696,4
FP200000542BR_A5_21792,6
FP200000542BR_A5_21841,2
FP200000542BR_A5_21847,8
FP200000542BR_A5_21886,4
FP200000542BR_A5_21964,1
FP200000542BR_A5_21994,4
FP200000542BR_A5_22116,7
FP200000542BR_A5_22150,8
FP200000542BR_A5_22262,0
FP200000542BR_A5_22293,6
FP200000542BR_A5_22339,5
FP200000542BR_A5_22408,3
FP200000542BR_A5_22447,9
FP200000542BR_A5_22543,5
FP200000542BR_A5_22571,5
FP200000542BR_A5_22575,2
FP200000542BR_A5_22732,7
FP200000542BR_A5_22753,0
FP200000542BR_A5_22931,4
FP200000542BR_A5_23123,1
FP200000542BR_A5_23251,6
FP200000542BR_A5_23269,0
FP200000542BR_A5_23309,4
FP200000542BR_A5_23313,0
FP200000542BR_A5_23382,3
FP200000542BR_A5_23604,9
FP200000542BR_A5_23711,1
FP200000542BR_A5_23816,5
FP200000542BR_A5_23846,1
FP200000542BR_A5_23850,3
FP200000542BR_A5_24093,4
FP200000542BR_A5_24132,1
FP200000542BR_A5_24271,1
FP200000542BR_A5_24272,1
FP200000542BR_A5_24347,15
FP200000542BR_A5_24367,0
FP200000542BR_A5_24370,4
FP200000542BR_A5_24462,4
FP200000542BR_A5_24474,7
FP200000542BR_A5_24500,10
FP200000542BR_A5_24547,3
FP200000542BR_A5_24562,0
FP200000542BR_A5_24564,1
FP200000542BR_A5_24567,0
FP200000542BR_A5_24578,4
FP200000542BR_A5_24604,3
FP200000542BR_A5_24605,3
FP200000542BR_A5_24744,1
FP200000542BR_A5_24757,1
FP200000542BR_A5_24818,4
FP200000542BR_A5_24820,0
FP200000542BR_A5_24871,3
FP200000542BR_A5_24889,2
FP200000542BR_A5_24900,2
FP200000542BR_A5_24911,1
FP200000542BR_A5_24938,5
FP200000542BR_A5_24953,2
FP200000542BR_A5_24956,7
FP200000542BR_A5_25021,0
FP200000542BR_A5_25034,3
FP200000542BR_A5_25065,3
FP200000542BR_A5_25070,0
FP200000542BR_A5_25185,1
FP200000542BR_A5_25228,1
FP200000542BR_A5_25255,0
FP200000542BR_A5_25261,0
FP200000542BR_A5_25278,1
FP200000542BR_A5_25295,1
FP200000542BR_A5_25301,0
FP200000542BR_A5_25450,1
FP200000542BR_A5_25456,0
FP200000542BR_A5_25487,4
FP200000542BR_A5_25523,2
FP200000542BR_A5_25528,4
FP200000542BR_A5_25554,0
FP200000542BR_A5_25620,2
FP200000542BR_A5_25643,2
FP200000542BR_A5_25668,4
FP200000542BR_A5_25714,6
FP200000542BR_A5_25802,2
FP200000542BR_A5_25830,0
FP200000542BR_A5_25915,0
FP200000542BR_A5_26007,5
FP200000542BR_A5_26051,0
FP200000542BR_A5_26094,1
FP200000542BR_A5_26133,0
FP200000542BR_A5_26165,2
FP200000542BR_A5_26180,2
