cell_id,count
FP200000542BR_A5_14055,0
FP200000542BR_A5_14616,2
FP200000542BR_A5_14863,2
FP200000542BR_A5_14894,6
FP200000542BR_A5_15005,1
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,2
FP200000542BR_A5_16049,9
FP200000542BR_A5_16105,5
FP200000542BR_A5_16280,16
FP200000542BR_A5_16676,1
FP200000542BR_A5_16700,4
FP200000542BR_A5_16929,5
FP200000542BR_A5_17549,4
FP200000542BR_A5_17611,7
FP200000542BR_A5_17657,2
FP200000542BR_A5_17860,10
FP200000542BR_A5_17897,4
FP200000542BR_A5_17943,0
FP200000542BR_A5_18037,3
FP200000542BR_A5_18060,4
FP200000542BR_A5_18134,7
FP200000542BR_A5_18221,3
FP200000542BR_A5_18229,4
FP200000542BR_A5_18247,3
FP200000542BR_A5_18381,11
FP200000542BR_A5_18451,2
FP200000542BR_A5_18569,8
FP200000542BR_A5_18639,11
FP200000542BR_A5_18692,3
FP200000542BR_A5_18705,1
FP200000542BR_A5_18713,4
FP200000542BR_A5_18748,5
FP200000542BR_A5_18768,0
FP200000542BR_A5_18789,6
FP200000542BR_A5_18901,1
FP200000542BR_A5_19036,8
FP200000542BR_A5_19063,2
FP200000542BR_A5_19089,0
FP200000542BR_A5_19111,3
FP200000542BR_A5_19120,1
FP200000542BR_A5_19150,2
FP200000542BR_A5_19167,5
FP200000542BR_A5_19332,5
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,4
FP200000542BR_A5_19447,10
FP200000542BR_A5_19454,1
FP200000542BR_A5_19482,9
FP200000542BR_A5_19544,5
FP200000542BR_A5_19545,4
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,4
FP200000542BR_A5_19684,3
FP200000542BR_A5_19793,0
FP200000542BR_A5_19861,3
FP200000542BR_A5_19917,1
FP200000542BR_A5_19983,5
FP200000542BR_A5_20096,1
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,1
FP200000542BR_A5_20219,7
FP200000542BR_A5_20248,0
FP200000542BR_A5_20257,1
FP200000542BR_A5_20258,4
FP200000542BR_A5_20284,12
FP200000542BR_A5_20299,1
FP200000542BR_A5_20323,0
FP200000542BR_A5_20341,6
FP200000542BR_A5_20366,6
FP200000542BR_A5_20377,1
FP200000542BR_A5_20487,3
FP200000542BR_A5_20492,0
FP200000542BR_A5_20524,0
FP200000542BR_A5_20541,4
FP200000542BR_A5_20546,0
FP200000542BR_A5_20571,4
FP200000542BR_A5_20585,0
FP200000542BR_A5_20673,3
FP200000542BR_A5_20676,7
FP200000542BR_A5_20717,8
FP200000542BR_A5_20735,6
FP200000542BR_A5_20754,2
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,9
FP200000542BR_A5_20846,2
FP200000542BR_A5_20869,3
FP200000542BR_A5_20880,1
FP200000542BR_A5_21049,1
FP200000542BR_A5_21056,2
FP200000542BR_A5_21093,3
FP200000542BR_A5_21122,1
FP200000542BR_A5_21155,14
FP200000542BR_A5_21203,3
FP200000542BR_A5_21213,1
FP200000542BR_A5_21219,3
FP200000542BR_A5_21235,6
FP200000542BR_A5_21266,2
FP200000542BR_A5_21391,4
FP200000542BR_A5_21421,1
FP200000542BR_A5_21529,8
FP200000542BR_A5_21696,1
FP200000542BR_A5_21792,7
FP200000542BR_A5_21841,6
FP200000542BR_A5_21847,1
FP200000542BR_A5_21886,4
FP200000542BR_A5_21964,4
FP200000542BR_A5_21994,5
FP200000542BR_A5_22116,5
FP200000542BR_A5_22150,6
FP200000542BR_A5_22262,0
FP200000542BR_A5_22293,5
FP200000542BR_A5_22339,2
FP200000542BR_A5_22408,1
FP200000542BR_A5_22447,3
FP200000542BR_A5_22543,1
FP200000542BR_A5_22571,7
FP200000542BR_A5_22575,0
FP200000542BR_A5_22732,9
FP200000542BR_A5_22753,5
FP200000542BR_A5_22931,5
FP200000542BR_A5_23123,4
FP200000542BR_A5_23251,3
FP200000542BR_A5_23269,1
FP200000542BR_A5_23309,2
FP200000542BR_A5_23313,0
FP200000542BR_A5_23382,1
FP200000542BR_A5_23604,12
FP200000542BR_A5_23711,0
FP200000542BR_A5_23816,10
FP200000542BR_A5_23846,2
FP200000542BR_A5_23850,1
FP200000542BR_A5_24093,2
FP200000542BR_A5_24132,6
FP200000542BR_A5_24271,2
FP200000542BR_A5_24272,3
FP200000542BR_A5_24347,3
FP200000542BR_A5_24367,1
FP200000542BR_A5_24370,1
FP200000542BR_A5_24462,3
FP200000542BR_A5_24474,8
FP200000542BR_A5_24500,2
FP200000542BR_A5_24547,2
FP200000542BR_A5_24562,5
FP200000542BR_A5_24564,7
FP200000542BR_A5_24567,1
FP200000542BR_A5_24578,0
FP200000542BR_A5_24604,0
FP200000542BR_A5_24605,2
FP200000542BR_A5_24744,1
FP200000542BR_A5_24757,1
FP200000542BR_A5_24818,2
FP200000542BR_A5_24820,3
FP200000542BR_A5_24871,1
FP200000542BR_A5_24889,3
FP200000542BR_A5_24900,1
FP200000542BR_A5_24911,2
FP200000542BR_A5_24938,1
FP200000542BR_A5_24953,0
FP200000542BR_A5_24956,1
FP200000542BR_A5_25021,0
FP200000542BR_A5_25034,2
FP200000542BR_A5_25065,0
FP200000542BR_A5_25070,0
FP200000542BR_A5_25185,1
FP200000542BR_A5_25228,4
FP200000542BR_A5_25255,0
FP200000542BR_A5_25261,6
FP200000542BR_A5_25278,3
FP200000542BR_A5_25295,0
FP200000542BR_A5_25301,4
FP200000542BR_A5_25450,2
FP200000542BR_A5_25456,0
FP200000542BR_A5_25487,1
FP200000542BR_A5_25523,0
FP200000542BR_A5_25528,2
FP200000542BR_A5_25554,0
FP200000542BR_A5_25620,0
FP200000542BR_A5_25643,2
FP200000542BR_A5_25668,6
FP200000542BR_A5_25714,4
FP200000542BR_A5_25802,0
FP200000542BR_A5_25830,0
FP200000542BR_A5_25915,3
FP200000542BR_A5_26007,1
FP200000542BR_A5_26051,0
FP200000542BR_A5_26094,0
FP200000542BR_A5_26133,1
FP200000542BR_A5_26165,0
FP200000542BR_A5_26180,2
FP200000542BR_A5_26284,8
FP200000542BR_A5_26302,3
FP200000542BR_A5_26344,2
FP200000542BR_A5_26369,0
FP200000542BR_A5_26419,0
FP200000542BR_A5_26472,0
FP200000542BR_A5_26483,0
FP200000542BR_A5_26541,7
FP200000542BR_A5_26566,3
FP200000542BR_A5_26576,2
FP200000542BR_A5_26579,0
FP200000542BR_A5_26624,0
FP200000542BR_A5_26677,0
FP200000542BR_A5_26796,1
FP200000542BR_A5_26830,0
FP200000542BR_A5_26843,4
FP200000542BR_A5_26896,3
FP200000542BR_A5_26974,2
FP200000542BR_A5_27002,2
FP200000542BR_A5_27053,1
FP200000542BR_A5_27095,2
FP200000542BR_A5_27197,0
FP200000542BR_A5_27220,4
FP200000542BR_A5_27348,4
FP200000542BR_A5_27349,4
FP200000542BR_A5_27364,2
FP200000542BR_A5_27377,5
FP200000542BR_A5_27383,3
FP200000542BR_A5_27426,0
FP200000542BR_A5_27619,5
FP200000542BR_A5_27620,8
FP200000542BR_A5_27697,6
FP200000542BR_A5_27863,0
FP200000542BR_A5_27876,3
FP200000542BR_A5_27980,3
FP200000542BR_A5_27987,2
FP200000542BR_A5_28079,0
FP200000542BR_A5_28158,7
FP200000542BR_A5_28167,4
FP200000542BR_A5_28170,2
FP200000542BR_A5_28323,3
FP200000542BR_A5_28333,4
FP200000542BR_A5_28344,2
FP200000542BR_A5_28378,2
FP200000542BR_A5_28468,2
FP200000542BR_A5_28511,1
FP200000542BR_A5_28604,4
FP200000542BR_A5_28626,12
FP200000542BR_A5_28632,6
FP200000542BR_A5_28657,0
FP200000542BR_A5_28790,6
FP200000542BR_A5_28814,0
FP200000542BR_A5_28824,1
FP200000542BR_A5_28839,0
FP200000542BR_A5_28846,3
FP200000542BR_A5_28885,1
FP200000542BR_A5_28917,2
FP200000542BR_A5_29048,3
FP200000542BR_A5_29065,10
FP200000542BR_A5_29084,1
FP200000542BR_A5_29089,5
FP200000542BR_A5_29142,3
FP200000542BR_A5_29148,2
FP200000542BR_A5_29254,1
FP200000542BR_A5_29299,3
FP200000542BR_A5_29356,5
FP200000542BR_A5_29361,4
FP200000542BR_A5_29377,4
FP200000542BR_A5_29404,12
FP200000542BR_A5_29418,1
FP200000542BR_A5_29426,3
FP200000542BR_A5_29446,4
FP200000542BR_A5_29455,5
FP200000542BR_A5_29464,0
FP200000542BR_A5_29496,3
FP200000542BR_A5_29518,3
