cell_id,count
FP200000542BR_A5_14055,0
FP200000542BR_A5_14616,0
FP200000542BR_A5_14863,6
FP200000542BR_A5_14894,2
FP200000542BR_A5_15005,9
FP200000542BR_A5_15006,4
FP200000542BR_A5_15016,17
FP200000542BR_A5_16049,9
FP200000542BR_A5_16105,2
FP200000542BR_A5_16280,3
FP200000542BR_A5_16676,0
FP200000542BR_A5_16700,1
FP200000542BR_A5_16929,8
FP200000542BR_A5_17549,4
FP200000542BR_A5_17611,2
FP200000542BR_A5_17657,4
FP200000542BR_A5_17860,6
FP200000542BR_A5_17897,7
FP200000542BR_A5_17943,2
FP200000542BR_A5_18037,1
FP200000542BR_A5_18060,7
FP200000542BR_A5_18134,12
FP200000542BR_A5_18221,9
FP200000542BR_A5_18229,4
FP200000542BR_A5_18247,4
FP200000542BR_A5_18381,5
FP200000542BR_A5_18451,1
FP200000542BR_A5_18569,7
FP200000542BR_A5_18639,5
FP200000542BR_A5_18692,2
FP200000542BR_A5_18705,4
FP200000542BR_A5_18713,4
FP200000542BR_A5_18748,5
FP200000542BR_A5_18768,0
FP200000542BR_A5_18789,6
FP200000542BR_A5_18901,1
FP200000542BR_A5_19036,10
FP200000542BR_A5_19063,0
FP200000542BR_A5_19089,0
FP200000542BR_A5_19111,5
FP200000542BR_A5_19120,2
FP200000542BR_A5_19150,7
FP200000542BR_A5_19167,7
FP200000542BR_A5_19332,10
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,10
FP200000542BR_A5_19447,11
FP200000542BR_A5_19454,0
FP200000542BR_A5_19482,5
FP200000542BR_A5_19544,5
FP200000542BR_A5_19545,7
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,8
FP200000542BR_A5_19684,11
FP200000542BR_A5_19793,1
FP200000542BR_A5_19861,12
FP200000542BR_A5_19917,7
FP200000542BR_A5_19983,10
FP200000542BR_A5_20096,4
FP200000542BR_A5_20176,3
FP200000542BR_A5_20200,3
FP200000542BR_A5_20219,14
FP200000542BR_A5_20248,4
FP200000542BR_A5_20257,10
FP200000542BR_A5_20258,6
FP200000542BR_A5_20284,7
FP200000542BR_A5_20299,0
FP200000542BR_A5_20323,3
FP200000542BR_A5_20341,7
FP200000542BR_A5_20366,10
FP200000542BR_A5_20377,7
FP200000542BR_A5_20487,9
FP200000542BR_A5_20492,2
FP200000542BR_A5_20524,1
FP200000542BR_A5_20541,3
FP200000542BR_A5_20546,7
FP200000542BR_A5_20571,6
FP200000542BR_A5_20585,2
FP200000542BR_A5_20673,4
FP200000542BR_A5_20676,9
FP200000542BR_A5_20717,5
FP200000542BR_A5_20735,5
FP200000542BR_A5_20754,1
FP200000542BR_A5_20765,1
FP200000542BR_A5_20806,15
FP200000542BR_A5_20846,6
FP200000542BR_A5_20869,3
FP200000542BR_A5_20880,2
FP200000542BR_A5_21049,6
FP200000542BR_A5_21056,14
FP200000542BR_A5_21093,3
FP200000542BR_A5_21122,3
FP200000542BR_A5_21155,8
FP200000542BR_A5_21203,4
FP200000542BR_A5_21213,1
FP200000542BR_A5_21219,5
FP200000542BR_A5_21235,1
FP200000542BR_A5_21266,4
FP200000542BR_A5_21391,8
FP200000542BR_A5_21421,10
FP200000542BR_A5_21529,12
FP200000542BR_A5_21696,7
FP200000542BR_A5_21792,15
FP200000542BR_A5_21841,0
FP200000542BR_A5_21847,13
FP200000542BR_A5_21886,2
FP200000542BR_A5_21964,7
FP200000542BR_A5_21994,7
FP200000542BR_A5_22116,1
FP200000542BR_A5_22150,3
FP200000542BR_A5_22262,2
FP200000542BR_A5_22293,16
FP200000542BR_A5_22339,9
FP200000542BR_A5_22408,0
FP200000542BR_A5_22447,6
FP200000542BR_A5_22543,2
FP200000542BR_A5_22571,4
FP200000542BR_A5_22575,0
FP200000542BR_A5_22732,10
FP200000542BR_A5_22753,2
FP200000542BR_A5_22931,8
FP200000542BR_A5_23123,6
FP200000542BR_A5_23251,6
FP200000542BR_A5_23269,2
FP200000542BR_A5_23309,1
FP200000542BR_A5_23313,2
FP200000542BR_A5_23382,7
FP200000542BR_A5_23604,11
FP200000542BR_A5_23711,4
FP200000542BR_A5_23816,4
FP200000542BR_A5_23846,1
FP200000542BR_A5_23850,8
FP200000542BR_A5_24093,2
FP200000542BR_A5_24132,6
FP200000542BR_A5_24271,2
FP200000542BR_A5_24272,3
FP200000542BR_A5_24347,13
FP200000542BR_A5_24367,0
FP200000542BR_A5_24370,3
FP200000542BR_A5_24462,13
FP200000542BR_A5_24474,16
FP200000542BR_A5_24500,3
FP200000542BR_A5_24547,0
FP200000542BR_A5_24562,1
FP200000542BR_A5_24564,5
FP200000542BR_A5_24567,2
FP200000542BR_A5_24578,1
FP200000542BR_A5_24604,3
FP200000542BR_A5_24605,4
FP200000542BR_A5_24744,2
FP200000542BR_A5_24757,6
FP200000542BR_A5_24818,4
FP200000542BR_A5_24820,0
FP200000542BR_A5_24871,1
FP200000542BR_A5_24889,3
FP200000542BR_A5_24900,2
FP200000542BR_A5_24911,0
FP200000542BR_A5_24938,3
FP200000542BR_A5_24953,5
FP200000542BR_A5_24956,2
FP200000542BR_A5_25021,0
FP200000542BR_A5_25034,4
FP200000542BR_A5_25065,2
FP200000542BR_A5_25070,3
FP200000542BR_A5_25185,1
FP200000542BR_A5_25228,2
FP200000542BR_A5_25255,1
FP200000542BR_A5_25261,1
FP200000542BR_A5_25278,6
FP200000542BR_A5_25295,0
FP200000542BR_A5_25301,0
FP200000542BR_A5_25450,2
FP200000542BR_A5_25456,0
FP200000542BR_A5_25487,5
FP200000542BR_A5_25523,0
FP200000542BR_A5_25528,11
FP200000542BR_A5_25554,4
FP200000542BR_A5_25620,1
FP200000542BR_A5_25643,4
FP200000542BR_A5_25668,7
FP200000542BR_A5_25714,5
FP200000542BR_A5_25802,2
FP200000542BR_A5_25830,1
FP200000542BR_A5_25915,4
FP200000542BR_A5_26007,4
FP200000542BR_A5_26051,1
FP200000542BR_A5_26094,0
FP200000542BR_A5_26133,2
FP200000542BR_A5_26165,0
FP200000542BR_A5_26180,3
FP200000542BR_A5_26284,8
FP200000542BR_A5_26302,2
FP200000542BR_A5_26344,9
FP200000542BR_A5_26369,5
FP200000542BR_A5_26419,1
FP200000542BR_A5_26472,1
FP200000542BR_A5_26483,2
FP200000542BR_A5_26541,4
FP200000542BR_A5_26566,6
FP200000542BR_A5_26576,1
FP200000542BR_A5_26579,1
FP200000542BR_A5_26624,2
FP200000542BR_A5_26677,2
FP200000542BR_A5_26796,7
FP200000542BR_A5_26830,2
FP200000542BR_A5_26843,4
FP200000542BR_A5_26896,15
FP200000542BR_A5_26974,1
FP200000542BR_A5_27002,1
FP200000542BR_A5_27053,11
FP200000542BR_A5_27095,0
FP200000542BR_A5_27197,0
FP200000542BR_A5_27220,4
FP200000542BR_A5_27348,3
FP200000542BR_A5_27349,9
FP200000542BR_A5_27364,0
FP200000542BR_A5_27377,6
FP200000542BR_A5_27383,2
FP200000542BR_A5_27426,7
FP200000542BR_A5_27619,7
FP200000542BR_A5_27620,8
FP200000542BR_A5_27697,13
FP200000542BR_A5_27863,0
FP200000542BR_A5_27876,7
FP200000542BR_A5_27980,3
FP200000542BR_A5_27987,2
FP200000542BR_A5_28079,0
FP200000542BR_A5_28158,7
FP200000542BR_A5_28167,6
FP200000542BR_A5_28170,3
FP200000542BR_A5_28323,1
FP200000542BR_A5_28333,5
FP200000542BR_A5_28344,4
FP200000542BR_A5_28378,3
FP200000542BR_A5_28468,10
FP200000542BR_A5_28511,1
FP200000542BR_A5_28604,3
FP200000542BR_A5_28626,15
FP200000542BR_A5_28632,10
FP200000542BR_A5_28657,3
FP200000542BR_A5_28790,13
FP200000542BR_A5_28814,5
FP200000542BR_A5_28824,1
FP200000542BR_A5_28839,0
FP200000542BR_A5_28846,7
FP200000542BR_A5_28885,7
FP200000542BR_A5_28917,2
FP200000542BR_A5_29048,8
FP200000542BR_A5_29065,3
FP200000542BR_A5_29084,5
FP200000542BR_A5_29089,9
FP200000542BR_A5_29142,1
FP200000542BR_A5_29148,2
FP200000542BR_A5_29254,0
FP200000542BR_A5_29299,1
FP200000542BR_A5_29356,1
FP200000542BR_A5_29361,9
FP200000542BR_A5_29377,16
FP200000542BR_A5_29404,8
FP200000542BR_A5_29418,3
FP200000542BR_A5_29426,4
FP200000542BR_A5_29446,1
FP200000542BR_A5_29455,6
FP200000542BR_A5_29464,0
FP200000542BR_A5_29496,9
FP200000542BR_A5_29518,1
FP200000542BR_A5_29577,5
FP200000542BR_A5_29606,6
FP200000542BR_A5_29615,2
FP200000542BR_A5_29623,1
FP200000542BR_A5_29627,3
FP200000542BR_A5_29683,1
FP200000542BR_A5_29712,0
FP200000542BR_A5_29800,1
FP200000542BR_A5_29878,11
FP200000542BR_A5_29884,3
FP200000542BR_A5_29889,5
FP200000542BR_A5_29890,2
FP200000542BR_A5_29895,14
FP200000542BR_A5_29907,3
FP200000542BR_A5_30038,1
FP200000542BR_A5_30065,2
FP200000542BR_A5_30089,6
FP200000542BR_A5_30095,4
FP200000542BR_A5_30116,15
FP200000542BR_A5_30128,3
FP200000542BR_A5_30191,2
FP200000542BR_A5_30215,7
FP200000542BR_A5_30216,6
FP200000542BR_A5_30225,12
FP200000542BR_A5_30227,1
FP200000542BR_A5_30267,2
FP200000542BR_A5_30341,2
FP200000542BR_A5_30445,6
FP200000542BR_A5_30491,5
FP200000542BR_A5_30492,0
FP200000542BR_A5_30573,2
FP200000542BR_A5_30590,8
FP200000542BR_A5_30599,3
FP200000542BR_A5_30633,2
FP200000542BR_A5_30660,1
FP200000542BR_A5_30684,4
FP200000542BR_A5_30776,4
FP200000542BR_A5_30803,8
FP200000542BR_A5_30860,4
FP200000542BR_A5_30901,3
FP200000542BR_A5_31028,17
FP200000542BR_A5_31220,2
FP200000542BR_A5_31262,2
FP200000542BR_A5_31281,4
FP200000542BR_A5_31464,8
FP200000542BR_A5_31497,7
FP200000542BR_A5_31667,8
FP200000542BR_A5_31719,0
FP200000542BR_A5_31875,1
FP200000542BR_A5_32068,5
FP200000542BR_A5_32257,2
FP200000542BR_A5_32294,0
FP200000542BR_A5_32737,6
FP200000542BR_A5_32817,4
FP200000542BR_A5_32863,2
FP200000542BR_A5_32963,4
FP200000542BR_A5_33131,6
FP200000542BR_A5_33208,2
FP200000542BR_A5_33373,1
FP200000542BR_A5_33594,9
FP200000542BR_A5_34097,11
FP200000542BR_A5_34203,7
FP200000542BR_A5_34480,7
FP200000542BR_A5_34976,10
FP200000542BR_A5_35253,3
FP200000542BR_A5_35361,4
FP200000542BR_A5_35496,0
FP200000542BR_A5_35822,8
FP200000542BR_A3_14894,2
FP200000542BR_A3_14924,6
FP200000542BR_A3_14998,2
FP200000542BR_A3_15163,3
FP200000542BR_A3_15371,8
FP200000542BR_A3_16209,0
FP200000542BR_A3_17188,2
FP200000542BR_A3_17213,1
FP200000542BR_A3_17240,1
FP200000542BR_A3_17260,1
FP200000542BR_A3_17608,0
FP200000542BR_A3_17623,0
FP200000542BR_A3_17652,1
FP200000542BR_A3_17794,2
FP200000542BR_A3_17882,0
FP200000542BR_A3_17941,4
FP200000542BR_A3_17956,0
FP200000542BR_A3_17964,2
FP200000542BR_A3_17992,5
FP200000542BR_A3_18104,1
FP200000542BR_A3_18412,1
FP200000542BR_A3_18606,1
FP200000542BR_A3_18648,3
FP200000542BR_A3_18775,2
FP200000542BR_A3_19330,1
FP200000542BR_A3_19468,0
FP200000542BR_A3_19501,0
FP200000542BR_A3_19586,5
FP200000542BR_A3_19625,2
FP200000542BR_A3_19713,0
FP200000542BR_A3_19738,2
FP200000542BR_A3_19788,4
FP200000542BR_A3_19808,0
FP200000542BR_A3_19819,6
FP200000542BR_A3_19935,4
FP200000542BR_A3_20022,2
FP200000542BR_A3_20039,0
FP200000542BR_A3_20107,4
FP200000542BR_A3_20126,0
FP200000542BR_A3_20127,0
FP200000542BR_A3_20179,1
FP200000542BR_A3_20330,2
FP200000542BR_A3_20399,0
FP200000542BR_A3_20445,5
FP200000542BR_A3_20449,0
FP200000542BR_A3_20530,0
FP200000542BR_A3_20651,0
FP200000542BR_A3_20652,1
FP200000542BR_A3_20661,1
FP200000542BR_A3_20717,1
FP200000542BR_A3_20741,1
FP200000542BR_A3_20752,3
FP200000542BR_A3_20836,0
FP200000542BR_A3_20846,2
FP200000542BR_A3_20899,2
FP200000542BR_A3_21003,6
FP200000542BR_A3_21057,1
FP200000542BR_A3_21073,3
FP200000542BR_A3_21109,0
FP200000542BR_A3_21287,1
FP200000542BR_A3_21307,0
FP200000542BR_A3_21321,2
FP200000542BR_A3_21376,2
FP200000542BR_A3_21379,2
FP200000542BR_A3_21392,6
FP200000542BR_A3_21430,0
FP200000542BR_A3_21447,5
FP200000542BR_A3_21727,3
FP200000542BR_A3_21760,1
FP200000542BR_A3_21812,1
FP200000542BR_A3_21836,4
FP200000542BR_A3_21879,4
FP200000542BR_A3_21906,5
FP200000542BR_A3_21931,1
FP200000542BR_A3_21949,1
FP200000542BR_A3_22049,2
FP200000542BR_A3_22056,1
FP200000542BR_A3_22237,4
FP200000542BR_A3_22245,2
FP200000542BR_A3_22268,1
FP200000542BR_A3_22273,0
FP200000542BR_A3_22378,1
FP200000542BR_A3_22429,1
FP200000542BR_A3_22434,0
FP200000542BR_A3_22478,1
