cell_id,count
FP200000542BR_A5_14055,3
FP200000542BR_A5_14616,3
FP200000542BR_A5_14863,4
FP200000542BR_A5_14894,1
FP200000542BR_A5_15005,3
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,5
FP200000542BR_A5_16049,4
FP200000542BR_A5_16105,9
FP200000542BR_A5_16280,8
FP200000542BR_A5_16676,0
FP200000542BR_A5_16700,2
FP200000542BR_A5_16929,3
FP200000542BR_A5_17549,5
FP200000542BR_A5_17611,0
FP200000542BR_A5_17657,1
FP200000542BR_A5_17860,4
FP200000542BR_A5_17897,1
FP200000542BR_A5_17943,3
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,2
FP200000542BR_A5_18134,7
FP200000542BR_A5_18221,6
FP200000542BR_A5_18229,1
FP200000542BR_A5_18247,4
FP200000542BR_A5_18381,0
FP200000542BR_A5_18451,0
FP200000542BR_A5_18569,1
FP200000542BR_A5_18639,5
FP200000542BR_A5_18692,1
FP200000542BR_A5_18705,2
FP200000542BR_A5_18713,1
FP200000542BR_A5_18748,4
FP200000542BR_A5_18768,0
FP200000542BR_A5_18789,4
FP200000542BR_A5_18901,0
FP200000542BR_A5_19036,4
FP200000542BR_A5_19063,1
FP200000542BR_A5_19089,6
FP200000542BR_A5_19111,2
FP200000542BR_A5_19120,0
FP200000542BR_A5_19150,5
FP200000542BR_A5_19167,0
FP200000542BR_A5_19332,3
FP200000542BR_A5_19409,1
FP200000542BR_A5_19423,4
FP200000542BR_A5_19447,2
FP200000542BR_A5_19454,1
FP200000542BR_A5_19482,5
FP200000542BR_A5_19544,1
FP200000542BR_A5_19545,1
FP200000542BR_A5_19615,1
FP200000542BR_A5_19627,4
FP200000542BR_A5_19684,2
FP200000542BR_A5_19793,2
FP200000542BR_A5_19861,2
FP200000542BR_A5_19917,1
FP200000542BR_A5_19983,3
FP200000542BR_A5_20096,4
FP200000542BR_A5_20176,1
FP200000542BR_A5_20200,0
FP200000542BR_A5_20219,5
FP200000542BR_A5_20248,0
FP200000542BR_A5_20257,0
FP200000542BR_A5_20258,5
FP200000542BR_A5_20284,7
FP200000542BR_A5_20299,1
FP200000542BR_A5_20323,5
FP200000542BR_A5_20341,3
FP200000542BR_A5_20366,3
FP200000542BR_A5_20377,0
FP200000542BR_A5_20487,1
FP200000542BR_A5_20492,0
FP200000542BR_A5_20524,0
FP200000542BR_A5_20541,3
FP200000542BR_A5_20546,3
FP200000542BR_A5_20571,0
FP200000542BR_A5_20585,1
FP200000542BR_A5_20673,2
FP200000542BR_A5_20676,6
FP200000542BR_A5_20717,0
FP200000542BR_A5_20735,3
FP200000542BR_A5_20754,1
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,5
FP200000542BR_A5_20846,1
FP200000542BR_A5_20869,1
FP200000542BR_A5_20880,0
FP200000542BR_A5_21049,0
FP200000542BR_A5_21056,2
FP200000542BR_A5_21093,5
FP200000542BR_A5_21122,0
FP200000542BR_A5_21155,5
FP200000542BR_A5_21203,1
FP200000542BR_A5_21213,2
FP200000542BR_A5_21219,1
FP200000542BR_A5_21235,1
FP200000542BR_A5_21266,1
FP200000542BR_A5_21391,3
FP200000542BR_A5_21421,2
FP200000542BR_A5_21529,1
FP200000542BR_A5_21696,0
FP200000542BR_A5_21792,1
FP200000542BR_A5_21841,0
FP200000542BR_A5_21847,0
FP200000542BR_A5_21886,0
FP200000542BR_A5_21964,1
FP200000542BR_A5_21994,4
FP200000542BR_A5_22116,0
FP200000542BR_A5_22150,1
FP200000542BR_A5_22262,0
FP200000542BR_A5_22293,2
FP200000542BR_A5_22339,5
FP200000542BR_A5_22408,0
FP200000542BR_A5_22447,2
FP200000542BR_A5_22543,0
FP200000542BR_A5_22571,6
FP200000542BR_A5_22575,0
FP200000542BR_A5_22732,0
FP200000542BR_A5_22753,8
FP200000542BR_A5_22931,2
FP200000542BR_A5_23123,1
FP200000542BR_A5_23251,8
FP200000542BR_A5_23269,2
FP200000542BR_A5_23309,0
FP200000542BR_A5_23313,0
FP200000542BR_A5_23382,4
FP200000542BR_A5_23604,3
FP200000542BR_A5_23711,0
FP200000542BR_A5_23816,2
FP200000542BR_A5_23846,2
FP200000542BR_A5_23850,10
FP200000542BR_A5_24093,2
FP200000542BR_A5_24132,7
FP200000542BR_A5_24271,0
FP200000542BR_A5_24272,5
FP200000542BR_A5_24347,6
FP200000542BR_A5_24367,0
FP200000542BR_A5_24370,7
FP200000542BR_A5_24462,0
FP200000542BR_A5_24474,4
FP200000542BR_A5_24500,2
FP200000542BR_A5_24547,1
FP200000542BR_A5_24562,1
FP200000542BR_A5_24564,1
FP200000542BR_A5_24567,0
FP200000542BR_A5_24578,1
FP200000542BR_A5_24604,2
FP200000542BR_A5_24605,3
FP200000542BR_A5_24744,1
FP200000542BR_A5_24757,4
FP200000542BR_A5_24818,2
FP200000542BR_A5_24820,1
FP200000542BR_A5_24871,0
FP200000542BR_A5_24889,7
FP200000542BR_A5_24900,1
FP200000542BR_A5_24911,4
FP200000542BR_A5_24938,2
FP200000542BR_A5_24953,0
FP200000542BR_A5_24956,1
FP200000542BR_A5_25021,1
FP200000542BR_A5_25034,1
FP200000542BR_A5_25065,4
FP200000542BR_A5_25070,2
FP200000542BR_A5_25185,0
FP200000542BR_A5_25228,0
FP200000542BR_A5_25255,2
FP200000542BR_A5_25261,1
FP200000542BR_A5_25278,0
FP200000542BR_A5_25295,6
FP200000542BR_A5_25301,0
FP200000542BR_A5_25450,4
FP200000542BR_A5_25456,2
FP200000542BR_A5_25487,7
FP200000542BR_A5_25523,0
FP200000542BR_A5_25528,4
FP200000542BR_A5_25554,2
FP200000542BR_A5_25620,2
FP200000542BR_A5_25643,1
FP200000542BR_A5_25668,4
FP200000542BR_A5_25714,7
FP200000542BR_A5_25802,4
FP200000542BR_A5_25830,4
FP200000542BR_A5_25915,3
FP200000542BR_A5_26007,0
FP200000542BR_A5_26051,0
FP200000542BR_A5_26094,0
FP200000542BR_A5_26133,1
FP200000542BR_A5_26165,0
FP200000542BR_A5_26180,2
FP200000542BR_A5_26284,6
FP200000542BR_A5_26302,0
FP200000542BR_A5_26344,1
FP200000542BR_A5_26369,1
FP200000542BR_A5_26419,2
FP200000542BR_A5_26472,0
FP200000542BR_A5_26483,1
FP200000542BR_A5_26541,6
FP200000542BR_A5_26566,6
FP200000542BR_A5_26576,0
FP200000542BR_A5_26579,2
FP200000542BR_A5_26624,2
FP200000542BR_A5_26677,0
FP200000542BR_A5_26796,0
FP200000542BR_A5_26830,0
FP200000542BR_A5_26843,3
FP200000542BR_A5_26896,3
FP200000542BR_A5_26974,1
FP200000542BR_A5_27002,1
FP200000542BR_A5_27053,3
FP200000542BR_A5_27095,0
FP200000542BR_A5_27197,2
FP200000542BR_A5_27220,6
FP200000542BR_A5_27348,0
FP200000542BR_A5_27349,3
FP200000542BR_A5_27364,0
FP200000542BR_A5_27377,0
FP200000542BR_A5_27383,0
FP200000542BR_A5_27426,0
FP200000542BR_A5_27619,3
FP200000542BR_A5_27620,6
FP200000542BR_A5_27697,5
FP200000542BR_A5_27863,1
FP200000542BR_A5_27876,1
FP200000542BR_A5_27980,3
FP200000542BR_A5_27987,0
FP200000542BR_A5_28079,0
FP200000542BR_A5_28158,1
FP200000542BR_A5_28167,3
FP200000542BR_A5_28170,9
FP200000542BR_A5_28323,1
FP200000542BR_A5_28333,3
FP200000542BR_A5_28344,4
FP200000542BR_A5_28378,1
FP200000542BR_A5_28468,4
FP200000542BR_A5_28511,0
FP200000542BR_A5_28604,5
FP200000542BR_A5_28626,3
FP200000542BR_A5_28632,2
FP200000542BR_A5_28657,1
FP200000542BR_A5_28790,10
FP200000542BR_A5_28814,1
FP200000542BR_A5_28824,1
FP200000542BR_A5_28839,0
FP200000542BR_A5_28846,1
FP200000542BR_A5_28885,3
FP200000542BR_A5_28917,1
FP200000542BR_A5_29048,2
FP200000542BR_A5_29065,3
FP200000542BR_A5_29084,2
FP200000542BR_A5_29089,7
FP200000542BR_A5_29142,0
FP200000542BR_A5_29148,0
FP200000542BR_A5_29254,1
FP200000542BR_A5_29299,1
FP200000542BR_A5_29356,2
FP200000542BR_A5_29361,1
FP200000542BR_A5_29377,3
FP200000542BR_A5_29404,3
FP200000542BR_A5_29418,1
FP200000542BR_A5_29426,0
FP200000542BR_A5_29446,4
FP200000542BR_A5_29455,3
FP200000542BR_A5_29464,0
FP200000542BR_A5_29496,4
FP200000542BR_A5_29518,3
FP200000542BR_A5_29577,7
FP200000542BR_A5_29606,0
FP200000542BR_A5_29615,3
FP200000542BR_A5_29623,0
FP200000542BR_A5_29627,0
FP200000542BR_A5_29683,0
FP200000542BR_A5_29712,4
