cell_id,count
FP200000542BR_A5_14055,1
FP200000542BR_A5_14616,0
FP200000542BR_A5_14863,0
FP200000542BR_A5_14894,0
FP200000542BR_A5_15005,5
FP200000542BR_A5_15006,2
FP200000542BR_A5_15016,0
FP200000542BR_A5_16049,17
FP200000542BR_A5_16105,8
FP200000542BR_A5_16280,17
FP200000542BR_A5_16676,5
FP200000542BR_A5_16700,3
FP200000542BR_A5_16929,0
FP200000542BR_A5_17549,6
FP200000542BR_A5_17611,4
FP200000542BR_A5_17657,4
FP200000542BR_A5_17860,8
FP200000542BR_A5_17897,3
FP200000542BR_A5_17943,13
FP200000542BR_A5_18037,6
FP200000542BR_A5_18060,9
FP200000542BR_A5_18134,10
FP200000542BR_A5_18221,6
FP200000542BR_A5_18229,1
FP200000542BR_A5_18247,2
FP200000542BR_A5_18381,5
FP200000542BR_A5_18451,9
FP200000542BR_A5_18569,2
FP200000542BR_A5_18639,5
FP200000542BR_A5_18692,4
FP200000542BR_A5_18705,1
FP200000542BR_A5_18713,8
FP200000542BR_A5_18748,9
FP200000542BR_A5_18768,7
FP200000542BR_A5_18789,7
FP200000542BR_A5_18901,2
FP200000542BR_A5_19036,15
FP200000542BR_A5_19063,3
FP200000542BR_A5_19089,1
FP200000542BR_A5_19111,16
FP200000542BR_A5_19120,5
FP200000542BR_A5_19150,15
FP200000542BR_A5_19167,6
FP200000542BR_A5_19332,12
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,14
FP200000542BR_A5_19447,13
FP200000542BR_A5_19454,5
FP200000542BR_A5_19482,18
FP200000542BR_A5_19544,2
FP200000542BR_A5_19545,14
FP200000542BR_A5_19615,3
FP200000542BR_A5_19627,10
FP200000542BR_A5_19684,9
FP200000542BR_A5_19793,4
FP200000542BR_A5_19861,4
FP200000542BR_A5_19917,2
FP200000542BR_A5_19983,6
FP200000542BR_A5_20096,2
FP200000542BR_A5_20176,3
FP200000542BR_A5_20200,3
FP200000542BR_A5_20219,6
FP200000542BR_A5_20248,8
FP200000542BR_A5_20257,5
FP200000542BR_A5_20258,14
FP200000542BR_A5_20284,16
FP200000542BR_A5_20299,0
FP200000542BR_A5_20323,7
FP200000542BR_A5_20341,16
FP200000542BR_A5_20366,13
FP200000542BR_A5_20377,5
FP200000542BR_A5_20487,9
FP200000542BR_A5_20492,4
FP200000542BR_A5_20524,1
FP200000542BR_A5_20541,19
FP200000542BR_A5_20546,17
FP200000542BR_A5_20571,3
FP200000542BR_A5_20585,6
FP200000542BR_A5_20673,1
FP200000542BR_A5_20676,24
FP200000542BR_A5_20717,2
FP200000542BR_A5_20735,6
FP200000542BR_A5_20754,0
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,16
FP200000542BR_A5_20846,11
FP200000542BR_A5_20869,0
FP200000542BR_A5_20880,13
FP200000542BR_A5_21049,0
FP200000542BR_A5_21056,8
FP200000542BR_A5_21093,14
FP200000542BR_A5_21122,1
FP200000542BR_A5_21155,16
FP200000542BR_A5_21203,3
FP200000542BR_A5_21213,16
FP200000542BR_A5_21219,9
FP200000542BR_A5_21235,10
FP200000542BR_A5_21266,5
FP200000542BR_A5_21391,12
FP200000542BR_A5_21421,2
FP200000542BR_A5_21529,4
FP200000542BR_A5_21696,3
FP200000542BR_A5_21792,4
FP200000542BR_A5_21841,1
FP200000542BR_A5_21847,4
FP200000542BR_A5_21886,2
FP200000542BR_A5_21964,1
FP200000542BR_A5_21994,0
FP200000542BR_A5_22116,1
FP200000542BR_A5_22150,1
FP200000542BR_A5_22262,4
FP200000542BR_A5_22293,16
FP200000542BR_A5_22339,6
FP200000542BR_A5_22408,3
FP200000542BR_A5_22447,1
FP200000542BR_A5_22543,1
FP200000542BR_A5_22571,11
FP200000542BR_A5_22575,1
FP200000542BR_A5_22732,19
FP200000542BR_A5_22753,1
FP200000542BR_A5_22931,7
FP200000542BR_A5_23123,1
FP200000542BR_A5_23251,3
FP200000542BR_A5_23269,0
FP200000542BR_A5_23309,0
FP200000542BR_A5_23313,1
FP200000542BR_A5_23382,1
FP200000542BR_A5_23604,0
FP200000542BR_A5_23711,0
FP200000542BR_A5_23816,1
FP200000542BR_A5_23846,3
FP200000542BR_A5_23850,0
FP200000542BR_A5_24093,0
FP200000542BR_A5_24132,0
FP200000542BR_A5_24271,0
FP200000542BR_A5_24272,2
FP200000542BR_A5_24347,4
FP200000542BR_A5_24367,0
FP200000542BR_A5_24370,0
FP200000542BR_A5_24462,0
FP200000542BR_A5_24474,2
FP200000542BR_A5_24500,1
FP200000542BR_A5_24547,1
FP200000542BR_A5_24562,0
FP200000542BR_A5_24564,0
FP200000542BR_A5_24567,0
FP200000542BR_A5_24578,5
FP200000542BR_A5_24604,1
FP200000542BR_A5_24605,2
FP200000542BR_A5_24744,1
FP200000542BR_A5_24757,2
FP200000542BR_A5_24818,0
FP200000542BR_A5_24820,0
FP200000542BR_A5_24871,0
FP200000542BR_A5_24889,1
FP200000542BR_A5_24900,0
FP200000542BR_A5_24911,0
FP200000542BR_A5_24938,1
FP200000542BR_A5_24953,0
FP200000542BR_A5_24956,1
FP200000542BR_A5_25021,0
FP200000542BR_A5_25034,1
FP200000542BR_A5_25065,0
FP200000542BR_A5_25070,0
FP200000542BR_A5_25185,0
FP200000542BR_A5_25228,1
FP200000542BR_A5_25255,0
FP200000542BR_A5_25261,1
FP200000542BR_A5_25278,0
FP200000542BR_A5_25295,2
FP200000542BR_A5_25301,0
FP200000542BR_A5_25450,0
FP200000542BR_A5_25456,2
FP200000542BR_A5_25487,1
FP200000542BR_A5_25523,0
FP200000542BR_A5_25528,4
FP200000542BR_A5_25554,0
