cell_id,count
FP200000542BR_A5_14055,5
FP200000542BR_A5_14616,7
FP200000542BR_A5_14863,6
FP200000542BR_A5_14894,5
FP200000542BR_A5_15005,6
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,0
FP200000542BR_A5_16049,9
FP200000542BR_A5_16105,8
FP200000542BR_A5_16280,6
FP200000542BR_A5_16676,1
FP200000542BR_A5_16700,4
FP200000542BR_A5_16929,5
FP200000542BR_A5_17549,7
FP200000542BR_A5_17611,9
FP200000542BR_A5_17657,2
FP200000542BR_A5_17860,8
FP200000542BR_A5_17897,0
FP200000542BR_A5_17943,13
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,3
FP200000542BR_A5_18134,5
FP200000542BR_A5_18221,14
FP200000542BR_A5_18229,1
FP200000542BR_A5_18247,7
FP200000542BR_A5_18381,9
FP200000542BR_A5_18451,19
FP200000542BR_A5_18569,2
FP200000542BR_A5_18639,7
FP200000542BR_A5_18692,7
FP200000542BR_A5_18705,6
FP200000542BR_A5_18713,2
FP200000542BR_A5_18748,10
FP200000542BR_A5_18768,2
FP200000542BR_A5_18789,7
FP200000542BR_A5_18901,1
FP200000542BR_A5_19036,12
FP200000542BR_A5_19063,1
FP200000542BR_A5_19089,3
FP200000542BR_A5_19111,1
FP200000542BR_A5_19120,0
FP200000542BR_A5_19150,8
FP200000542BR_A5_19167,4
FP200000542BR_A5_19332,8
FP200000542BR_A5_19409,1
FP200000542BR_A5_19423,5
FP200000542BR_A5_19447,8
FP200000542BR_A5_19454,3
FP200000542BR_A5_19482,15
FP200000542BR_A5_19544,8
FP200000542BR_A5_19545,8
FP200000542BR_A5_19615,2
FP200000542BR_A5_19627,18
FP200000542BR_A5_19684,0
FP200000542BR_A5_19793,4
FP200000542BR_A5_19861,18
FP200000542BR_A5_19917,3
FP200000542BR_A5_19983,12
FP200000542BR_A5_20096,2
FP200000542BR_A5_20176,2
FP200000542BR_A5_20200,1
FP200000542BR_A5_20219,19
FP200000542BR_A5_20248,8
FP200000542BR_A5_20257,5
FP200000542BR_A5_20258,9
FP200000542BR_A5_20284,9
FP200000542BR_A5_20299,3
FP200000542BR_A5_20323,3
FP200000542BR_A5_20341,4
FP200000542BR_A5_20366,17
FP200000542BR_A5_20377,6
FP200000542BR_A5_20487,3
FP200000542BR_A5_20492,1
FP200000542BR_A5_20524,2
FP200000542BR_A5_20541,4
FP200000542BR_A5_20546,4
FP200000542BR_A5_20571,4
FP200000542BR_A5_20585,2
FP200000542BR_A5_20673,8
FP200000542BR_A5_20676,8
FP200000542BR_A5_20717,10
FP200000542BR_A5_20735,29
FP200000542BR_A5_20754,6
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,8
FP200000542BR_A5_20846,10
FP200000542BR_A5_20869,8
FP200000542BR_A5_20880,4
FP200000542BR_A5_21049,2
FP200000542BR_A5_21056,12
FP200000542BR_A5_21093,8
FP200000542BR_A5_21122,8
FP200000542BR_A5_21155,6
FP200000542BR_A5_21203,3
FP200000542BR_A5_21213,10
FP200000542BR_A5_21219,4
FP200000542BR_A5_21235,6
FP200000542BR_A5_21266,1
FP200000542BR_A5_21391,12
FP200000542BR_A5_21421,4
FP200000542BR_A5_21529,3
FP200000542BR_A5_21696,2
FP200000542BR_A5_21792,17
FP200000542BR_A5_21841,4
FP200000542BR_A5_21847,5
FP200000542BR_A5_21886,2
FP200000542BR_A5_21964,3
FP200000542BR_A5_21994,20
FP200000542BR_A5_22116,7
FP200000542BR_A5_22150,7
FP200000542BR_A5_22262,1
FP200000542BR_A5_22293,8
FP200000542BR_A5_22339,1
FP200000542BR_A5_22408,3
FP200000542BR_A5_22447,4
FP200000542BR_A5_22543,3
FP200000542BR_A5_22571,7
FP200000542BR_A5_22575,1
FP200000542BR_A5_22732,6
FP200000542BR_A5_22753,3
FP200000542BR_A5_22931,3
FP200000542BR_A5_23123,13
FP200000542BR_A5_23251,10
FP200000542BR_A5_23269,1
FP200000542BR_A5_23309,7
FP200000542BR_A5_23313,1
FP200000542BR_A5_23382,6
FP200000542BR_A5_23604,7
FP200000542BR_A5_23711,2
FP200000542BR_A5_23816,12
FP200000542BR_A5_23846,4
FP200000542BR_A5_23850,18
FP200000542BR_A5_24093,21
FP200000542BR_A5_24132,7
FP200000542BR_A5_24271,8
FP200000542BR_A5_24272,7
FP200000542BR_A5_24347,11
FP200000542BR_A5_24367,5
FP200000542BR_A5_24370,6
FP200000542BR_A5_24462,9
FP200000542BR_A5_24474,11
FP200000542BR_A5_24500,15
FP200000542BR_A5_24547,2
FP200000542BR_A5_24562,1
FP200000542BR_A5_24564,3
FP200000542BR_A5_24567,11
FP200000542BR_A5_24578,2
FP200000542BR_A5_24604,2
FP200000542BR_A5_24605,10
FP200000542BR_A5_24744,3
FP200000542BR_A5_24757,6
FP200000542BR_A5_24818,9
FP200000542BR_A5_24820,2
FP200000542BR_A5_24871,1
FP200000542BR_A5_24889,20
FP200000542BR_A5_24900,3
FP200000542BR_A5_24911,6
FP200000542BR_A5_24938,14
FP200000542BR_A5_24953,2
FP200000542BR_A5_24956,0
FP200000542BR_A5_25021,4
FP200000542BR_A5_25034,2
FP200000542BR_A5_25065,4
FP200000542BR_A5_25070,1
FP200000542BR_A5_25185,5
FP200000542BR_A5_25228,2
FP200000542BR_A5_25255,3
FP200000542BR_A5_25261,4
FP200000542BR_A5_25278,6
FP200000542BR_A5_25295,8
FP200000542BR_A5_25301,0
FP200000542BR_A5_25450,8
FP200000542BR_A5_25456,3
FP200000542BR_A5_25487,3
FP200000542BR_A5_25523,2
FP200000542BR_A5_25528,14
FP200000542BR_A5_25554,1
FP200000542BR_A5_25620,7
FP200000542BR_A5_25643,2
FP200000542BR_A5_25668,21
FP200000542BR_A5_25714,15
FP200000542BR_A5_25802,8
FP200000542BR_A5_25830,9
FP200000542BR_A5_25915,2
FP200000542BR_A5_26007,3
FP200000542BR_A5_26051,1
FP200000542BR_A5_26094,0
FP200000542BR_A5_26133,5
FP200000542BR_A5_26165,3
FP200000542BR_A5_26180,6
FP200000542BR_A5_26284,12
FP200000542BR_A5_26302,5
FP200000542BR_A5_26344,2
FP200000542BR_A5_26369,1
FP200000542BR_A5_26419,4
FP200000542BR_A5_26472,12
FP200000542BR_A5_26483,5
FP200000542BR_A5_26541,5
FP200000542BR_A5_26566,11
FP200000542BR_A5_26576,2
FP200000542BR_A5_26579,1
FP200000542BR_A5_26624,1
FP200000542BR_A5_26677,2
FP200000542BR_A5_26796,12
FP200000542BR_A5_26830,10
FP200000542BR_A5_26843,4
FP200000542BR_A5_26896,19
FP200000542BR_A5_26974,1
FP200000542BR_A5_27002,10
FP200000542BR_A5_27053,12
FP200000542BR_A5_27095,0
FP200000542BR_A5_27197,11
FP200000542BR_A5_27220,3
FP200000542BR_A5_27348,7
FP200000542BR_A5_27349,8
FP200000542BR_A5_27364,2
FP200000542BR_A5_27377,4
FP200000542BR_A5_27383,2
FP200000542BR_A5_27426,9
FP200000542BR_A5_27619,8
FP200000542BR_A5_27620,13
FP200000542BR_A5_27697,7
FP200000542BR_A5_27863,7
FP200000542BR_A5_27876,4
FP200000542BR_A5_27980,9
FP200000542BR_A5_27987,3
FP200000542BR_A5_28079,0
FP200000542BR_A5_28158,10
FP200000542BR_A5_28167,11
FP200000542BR_A5_28170,1
FP200000542BR_A5_28323,5
FP200000542BR_A5_28333,8
FP200000542BR_A5_28344,1
FP200000542BR_A5_28378,3
FP200000542BR_A5_28468,4
FP200000542BR_A5_28511,9
FP200000542BR_A5_28604,3
FP200000542BR_A5_28626,11
FP200000542BR_A5_28632,3
FP200000542BR_A5_28657,6
FP200000542BR_A5_28790,8
FP200000542BR_A5_28814,5
FP200000542BR_A5_28824,8
FP200000542BR_A5_28839,0
FP200000542BR_A5_28846,16
FP200000542BR_A5_28885,16
FP200000542BR_A5_28917,7
FP200000542BR_A5_29048,3
FP200000542BR_A5_29065,6
FP200000542BR_A5_29084,6
FP200000542BR_A5_29089,11
FP200000542BR_A5_29142,10
FP200000542BR_A5_29148,5
FP200000542BR_A5_29254,2
FP200000542BR_A5_29299,3
FP200000542BR_A5_29356,7
FP200000542BR_A5_29361,2
FP200000542BR_A5_29377,6
FP200000542BR_A5_29404,10
FP200000542BR_A5_29418,10
FP200000542BR_A5_29426,4
FP200000542BR_A5_29446,9
FP200000542BR_A5_29455,1
FP200000542BR_A5_29464,1
FP200000542BR_A5_29496,6
FP200000542BR_A5_29518,18
FP200000542BR_A5_29577,14
FP200000542BR_A5_29606,1
FP200000542BR_A5_29615,6
FP200000542BR_A5_29623,3
FP200000542BR_A5_29627,14
FP200000542BR_A5_29683,0
FP200000542BR_A5_29712,5
FP200000542BR_A5_29800,4
FP200000542BR_A5_29878,12
FP200000542BR_A5_29884,1
FP200000542BR_A5_29889,3
FP200000542BR_A5_29890,4
FP200000542BR_A5_29895,3
FP200000542BR_A5_29907,4
FP200000542BR_A5_30038,0
FP200000542BR_A5_30065,4
FP200000542BR_A5_30089,8
FP200000542BR_A5_30095,5
FP200000542BR_A5_30116,11
FP200000542BR_A5_30128,6
FP200000542BR_A5_30191,7
FP200000542BR_A5_30215,9
FP200000542BR_A5_30216,8
FP200000542BR_A5_30225,9
FP200000542BR_A5_30227,2
FP200000542BR_A5_30267,13
FP200000542BR_A5_30341,11
FP200000542BR_A5_30445,4
FP200000542BR_A5_30491,2
FP200000542BR_A5_30492,1
FP200000542BR_A5_30573,3
FP200000542BR_A5_30590,6
FP200000542BR_A5_30599,2
FP200000542BR_A5_30633,9
FP200000542BR_A5_30660,5
FP200000542BR_A5_30684,9
FP200000542BR_A5_30776,3
FP200000542BR_A5_30803,10
FP200000542BR_A5_30860,8
FP200000542BR_A5_30901,5
FP200000542BR_A5_31028,14
FP200000542BR_A5_31220,4
FP200000542BR_A5_31262,2
FP200000542BR_A5_31281,8
FP200000542BR_A5_31464,10
FP200000542BR_A5_31497,13
FP200000542BR_A5_31667,8
FP200000542BR_A5_31719,3
FP200000542BR_A5_31875,0
FP200000542BR_A5_32068,26
FP200000542BR_A5_32257,19
FP200000542BR_A5_32294,6
FP200000542BR_A5_32737,3
FP200000542BR_A5_32817,4
FP200000542BR_A5_32863,9
FP200000542BR_A5_32963,5
FP200000542BR_A5_33131,10
FP200000542BR_A5_33208,2
FP200000542BR_A5_33373,6
FP200000542BR_A5_33594,4
FP200000542BR_A5_34097,11
FP200000542BR_A5_34203,7
FP200000542BR_A5_34480,2
FP200000542BR_A5_34976,6
FP200000542BR_A5_35253,2
FP200000542BR_A5_35361,2
FP200000542BR_A5_35496,7
FP200000542BR_A5_35822,21
FP200000542BR_A3_14894,5
FP200000542BR_A3_14924,5
FP200000542BR_A3_14998,4
FP200000542BR_A3_15163,0
FP200000542BR_A3_15371,11
FP200000542BR_A3_16209,6
FP200000542BR_A3_17188,0
FP200000542BR_A3_17213,8
FP200000542BR_A3_17240,1
FP200000542BR_A3_17260,8
FP200000542BR_A3_17608,0
FP200000542BR_A3_17623,14
FP200000542BR_A3_17652,7
FP200000542BR_A3_17794,1
FP200000542BR_A3_17882,1
FP200000542BR_A3_17941,9
FP200000542BR_A3_17956,4
FP200000542BR_A3_17964,2
FP200000542BR_A3_17992,7
FP200000542BR_A3_18104,10
FP200000542BR_A3_18412,2
FP200000542BR_A3_18606,1
FP200000542BR_A3_18648,3
FP200000542BR_A3_18775,5
FP200000542BR_A3_19330,3
FP200000542BR_A3_19468,1
FP200000542BR_A3_19501,2
FP200000542BR_A3_19586,0
FP200000542BR_A3_19625,1
FP200000542BR_A3_19713,7
FP200000542BR_A3_19738,2
FP200000542BR_A3_19788,5
FP200000542BR_A3_19808,7
FP200000542BR_A3_19819,3
FP200000542BR_A3_19935,0
FP200000542BR_A3_20022,5
FP200000542BR_A3_20039,0
FP200000542BR_A3_20107,2
FP200000542BR_A3_20126,0
FP200000542BR_A3_20127,2
FP200000542BR_A3_20179,7
FP200000542BR_A3_20330,1
FP200000542BR_A3_20399,1
FP200000542BR_A3_20445,1
FP200000542BR_A3_20449,4
FP200000542BR_A3_20530,18
FP200000542BR_A3_20651,3
FP200000542BR_A3_20652,2
FP200000542BR_A3_20661,6
FP200000542BR_A3_20717,0
