cell_id,count
FP200000542BR_A5_14055,0
FP200000542BR_A5_14616,1
FP200000542BR_A5_14863,2
FP200000542BR_A5_14894,0
FP200000542BR_A5_15005,1
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,0
FP200000542BR_A5_16049,0
FP200000542BR_A5_16105,0
FP200000542BR_A5_16280,2
FP200000542BR_A5_16676,1
FP200000542BR_A5_16700,0
FP200000542BR_A5_16929,0
FP200000542BR_A5_17549,1
FP200000542BR_A5_17611,0
FP200000542BR_A5_17657,2
FP200000542BR_A5_17860,2
FP200000542BR_A5_17897,0
FP200000542BR_A5_17943,1
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,0
FP200000542BR_A5_18134,0
FP200000542BR_A5_18221,2
FP200000542BR_A5_18229,1
FP200000542BR_A5_18247,0
FP200000542BR_A5_18381,0
FP200000542BR_A5_18451,0
FP200000542BR_A5_18569,3
FP200000542BR_A5_18639,0
FP200000542BR_A5_18692,0
FP200000542BR_A5_18705,1
FP200000542BR_A5_18713,1
FP200000542BR_A5_18748,3
FP200000542BR_A5_18768,0
FP200000542BR_A5_18789,2
FP200000542BR_A5_18901,0
FP200000542BR_A5_19036,0
FP200000542BR_A5_19063,0
FP200000542BR_A5_19089,0
FP200000542BR_A5_19111,0
FP200000542BR_A5_19120,0
FP200000542BR_A5_19150,0
FP200000542BR_A5_19167,1
FP200000542BR_A5_19332,1
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,0
FP200000542BR_A5_19447,2
FP200000542BR_A5_19454,2
FP200000542BR_A5_19482,1
FP200000542BR_A5_19544,0
FP200000542BR_A5_19545,1
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,3
FP200000542BR_A5_19684,1
FP200000542BR_A5_19793,2
FP200000542BR_A5_19861,1
FP200000542BR_A5_19917,0
FP200000542BR_A5_19983,1
FP200000542BR_A5_20096,0
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,0
FP200000542BR_A5_20219,1
FP200000542BR_A5_20248,1
FP200000542BR_A5_20257,0
FP200000542BR_A5_20258,2
FP200000542BR_A5_20284,1
FP200000542BR_A5_20299,1
FP200000542BR_A5_20323,1
FP200000542BR_A5_20341,2
FP200000542BR_A5_20366,2
FP200000542BR_A5_20377,1
FP200000542BR_A5_20487,1
FP200000542BR_A5_20492,0
FP200000542BR_A5_20524,0
FP200000542BR_A5_20541,0
FP200000542BR_A5_20546,1
FP200000542BR_A5_20571,0
FP200000542BR_A5_20585,0
FP200000542BR_A5_20673,0
FP200000542BR_A5_20676,1
FP200000542BR_A5_20717,2
FP200000542BR_A5_20735,1
FP200000542BR_A5_20754,0
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,1
FP200000542BR_A5_20846,0
FP200000542BR_A5_20869,0
FP200000542BR_A5_20880,0
FP200000542BR_A5_21049,0
FP200000542BR_A5_21056,2
FP200000542BR_A5_21093,1
FP200000542BR_A5_21122,0
FP200000542BR_A5_21155,0
FP200000542BR_A5_21203,4
FP200000542BR_A5_21213,0
FP200000542BR_A5_21219,1
FP200000542BR_A5_21235,0
FP200000542BR_A5_21266,1
FP200000542BR_A5_21391,0
FP200000542BR_A5_21421,1
FP200000542BR_A5_21529,2
FP200000542BR_A5_21696,2
FP200000542BR_A5_21792,1
FP200000542BR_A5_21841,0
FP200000542BR_A5_21847,3
FP200000542BR_A5_21886,4
FP200000542BR_A5_21964,1
FP200000542BR_A5_21994,0
FP200000542BR_A5_22116,0
FP200000542BR_A5_22150,3
FP200000542BR_A5_22262,0
FP200000542BR_A5_22293,3
FP200000542BR_A5_22339,0
FP200000542BR_A5_22408,1
FP200000542BR_A5_22447,0
FP200000542BR_A5_22543,6
FP200000542BR_A5_22571,4
FP200000542BR_A5_22575,0
FP200000542BR_A5_22732,0
FP200000542BR_A5_22753,1
FP200000542BR_A5_22931,0
FP200000542BR_A5_23123,1
FP200000542BR_A5_23251,2
FP200000542BR_A5_23269,0
FP200000542BR_A5_23309,0
FP200000542BR_A5_23313,0
FP200000542BR_A5_23382,1
FP200000542BR_A5_23604,0
FP200000542BR_A5_23711,0
FP200000542BR_A5_23816,5
FP200000542BR_A5_23846,1
FP200000542BR_A5_23850,0
FP200000542BR_A5_24093,5
FP200000542BR_A5_24132,0
FP200000542BR_A5_24271,1
FP200000542BR_A5_24272,0
FP200000542BR_A5_24347,0
FP200000542BR_A5_24367,0
FP200000542BR_A5_24370,1
FP200000542BR_A5_24462,1
FP200000542BR_A5_24474,0
FP200000542BR_A5_24500,0
