cell_id,count
FP200000542BR_A5_14055,3
FP200000542BR_A5_14616,3
FP200000542BR_A5_14863,4
FP200000542BR_A5_14894,0
FP200000542BR_A5_15005,8
FP200000542BR_A5_15006,1
FP200000542BR_A5_15016,0
FP200000542BR_A5_16049,2
FP200000542BR_A5_16105,5
FP200000542BR_A5_16280,5
FP200000542BR_A5_16676,3
FP200000542BR_A5_16700,0
FP200000542BR_A5_16929,0
FP200000542BR_A5_17549,2
FP200000542BR_A5_17611,1
FP200000542BR_A5_17657,4
FP200000542BR_A5_17860,2
FP200000542BR_A5_17897,7
FP200000542BR_A5_17943,5
FP200000542BR_A5_18037,1
FP200000542BR_A5_18060,0
FP200000542BR_A5_18134,0
FP200000542BR_A5_18221,9
FP200000542BR_A5_18229,5
FP200000542BR_A5_18247,1
FP200000542BR_A5_18381,0
FP200000542BR_A5_18451,4
FP200000542BR_A5_18569,1
FP200000542BR_A5_18639,2
FP200000542BR_A5_18692,3
FP200000542BR_A5_18705,2
FP200000542BR_A5_18713,4
FP200000542BR_A5_18748,0
FP200000542BR_A5_18768,1
FP200000542BR_A5_18789,3
FP200000542BR_A5_18901,0
FP200000542BR_A5_19036,3
FP200000542BR_A5_19063,0
FP200000542BR_A5_19089,3
FP200000542BR_A5_19111,3
FP200000542BR_A5_19120,0
FP200000542BR_A5_19150,4
FP200000542BR_A5_19167,3
FP200000542BR_A5_19332,5
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,0
FP200000542BR_A5_19447,8
FP200000542BR_A5_19454,3
FP200000542BR_A5_19482,3
FP200000542BR_A5_19544,1
FP200000542BR_A5_19545,10
FP200000542BR_A5_19615,1
FP200000542BR_A5_19627,5
FP200000542BR_A5_19684,4
FP200000542BR_A5_19793,3
FP200000542BR_A5_19861,2
FP200000542BR_A5_19917,3
FP200000542BR_A5_19983,1
FP200000542BR_A5_20096,0
FP200000542BR_A5_20176,1
FP200000542BR_A5_20200,1
FP200000542BR_A5_20219,4
FP200000542BR_A5_20248,2
FP200000542BR_A5_20257,5
FP200000542BR_A5_20258,10
FP200000542BR_A5_20284,1
FP200000542BR_A5_20299,2
FP200000542BR_A5_20323,3
FP200000542BR_A5_20341,4
FP200000542BR_A5_20366,2
FP200000542BR_A5_20377,7
FP200000542BR_A5_20487,2
FP200000542BR_A5_20492,5
FP200000542BR_A5_20524,5
FP200000542BR_A5_20541,2
FP200000542BR_A5_20546,3
FP200000542BR_A5_20571,0
FP200000542BR_A5_20585,3
FP200000542BR_A5_20673,3
FP200000542BR_A5_20676,11
FP200000542BR_A5_20717,4
FP200000542BR_A5_20735,6
FP200000542BR_A5_20754,6
FP200000542BR_A5_20765,2
FP200000542BR_A5_20806,14
FP200000542BR_A5_20846,5
FP200000542BR_A5_20869,2
FP200000542BR_A5_20880,1
FP200000542BR_A5_21049,2
FP200000542BR_A5_21056,3
FP200000542BR_A5_21093,5
FP200000542BR_A5_21122,1
FP200000542BR_A5_21155,11
FP200000542BR_A5_21203,2
FP200000542BR_A5_21213,6
FP200000542BR_A5_21219,2
FP200000542BR_A5_21235,4
FP200000542BR_A5_21266,2
FP200000542BR_A5_21391,13
FP200000542BR_A5_21421,2
FP200000542BR_A5_21529,8
FP200000542BR_A5_21696,2
FP200000542BR_A5_21792,5
FP200000542BR_A5_21841,3
FP200000542BR_A5_21847,11
FP200000542BR_A5_21886,7
FP200000542BR_A5_21964,2
FP200000542BR_A5_21994,4
FP200000542BR_A5_22116,3
FP200000542BR_A5_22150,7
FP200000542BR_A5_22262,2
FP200000542BR_A5_22293,1
FP200000542BR_A5_22339,4
FP200000542BR_A5_22408,3
FP200000542BR_A5_22447,4
FP200000542BR_A5_22543,4
FP200000542BR_A5_22571,15
FP200000542BR_A5_22575,6
FP200000542BR_A5_22732,6
FP200000542BR_A5_22753,7
FP200000542BR_A5_22931,6
FP200000542BR_A5_23123,2
FP200000542BR_A5_23251,9
FP200000542BR_A5_23269,2
FP200000542BR_A5_23309,5
FP200000542BR_A5_23313,0
FP200000542BR_A5_23382,6
FP200000542BR_A5_23604,6
FP200000542BR_A5_23711,0
FP200000542BR_A5_23816,15
FP200000542BR_A5_23846,1
FP200000542BR_A5_23850,6
FP200000542BR_A5_24093,1
FP200000542BR_A5_24132,6
FP200000542BR_A5_24271,3
FP200000542BR_A5_24272,2
FP200000542BR_A5_24347,10
FP200000542BR_A5_24367,1
FP200000542BR_A5_24370,5
FP200000542BR_A5_24462,12
FP200000542BR_A5_24474,3
FP200000542BR_A5_24500,7
FP200000542BR_A5_24547,3
FP200000542BR_A5_24562,3
FP200000542BR_A5_24564,3
FP200000542BR_A5_24567,3
FP200000542BR_A5_24578,2
FP200000542BR_A5_24604,6
FP200000542BR_A5_24605,3
FP200000542BR_A5_24744,2
FP200000542BR_A5_24757,4
FP200000542BR_A5_24818,5
FP200000542BR_A5_24820,2
FP200000542BR_A5_24871,0
FP200000542BR_A5_24889,6
FP200000542BR_A5_24900,5
FP200000542BR_A5_24911,2
FP200000542BR_A5_24938,7
FP200000542BR_A5_24953,4
FP200000542BR_A5_24956,5
FP200000542BR_A5_25021,1
FP200000542BR_A5_25034,5
FP200000542BR_A5_25065,3
FP200000542BR_A5_25070,4
FP200000542BR_A5_25185,2
FP200000542BR_A5_25228,2
FP200000542BR_A5_25255,2
FP200000542BR_A5_25261,6
FP200000542BR_A5_25278,4
FP200000542BR_A5_25295,9
FP200000542BR_A5_25301,4
FP200000542BR_A5_25450,1
FP200000542BR_A5_25456,2
FP200000542BR_A5_25487,4
FP200000542BR_A5_25523,1
FP200000542BR_A5_25528,6
FP200000542BR_A5_25554,2
FP200000542BR_A5_25620,0
FP200000542BR_A5_25643,1
FP200000542BR_A5_25668,3
FP200000542BR_A5_25714,1
FP200000542BR_A5_25802,1
FP200000542BR_A5_25830,1
FP200000542BR_A5_25915,3
FP200000542BR_A5_26007,5
FP200000542BR_A5_26051,1
FP200000542BR_A5_26094,1
FP200000542BR_A5_26133,5
FP200000542BR_A5_26165,5
FP200000542BR_A5_26180,2
FP200000542BR_A5_26284,5
FP200000542BR_A5_26302,2
FP200000542BR_A5_26344,7
FP200000542BR_A5_26369,0
FP200000542BR_A5_26419,1
FP200000542BR_A5_26472,3
FP200000542BR_A5_26483,2
FP200000542BR_A5_26541,1
FP200000542BR_A5_26566,11
FP200000542BR_A5_26576,2
FP200000542BR_A5_26579,1
FP200000542BR_A5_26624,0
FP200000542BR_A5_26677,1
FP200000542BR_A5_26796,1
FP200000542BR_A5_26830,7
FP200000542BR_A5_26843,2
FP200000542BR_A5_26896,7
FP200000542BR_A5_26974,8
FP200000542BR_A5_27002,8
FP200000542BR_A5_27053,6
FP200000542BR_A5_27095,0
FP200000542BR_A5_27197,1
FP200000542BR_A5_27220,4
FP200000542BR_A5_27348,3
FP200000542BR_A5_27349,8
FP200000542BR_A5_27364,1
FP200000542BR_A5_27377,7
FP200000542BR_A5_27383,7
FP200000542BR_A5_27426,9
FP200000542BR_A5_27619,5
FP200000542BR_A5_27620,14
FP200000542BR_A5_27697,4
FP200000542BR_A5_27863,5
FP200000542BR_A5_27876,6
FP200000542BR_A5_27980,5
FP200000542BR_A5_27987,2
FP200000542BR_A5_28079,3
FP200000542BR_A5_28158,4
FP200000542BR_A5_28167,6
FP200000542BR_A5_28170,4
FP200000542BR_A5_28323,5
FP200000542BR_A5_28333,3
FP200000542BR_A5_28344,1
FP200000542BR_A5_28378,5
FP200000542BR_A5_28468,3
FP200000542BR_A5_28511,2
FP200000542BR_A5_28604,5
FP200000542BR_A5_28626,12
FP200000542BR_A5_28632,4
FP200000542BR_A5_28657,1
FP200000542BR_A5_28790,5
FP200000542BR_A5_28814,10
FP200000542BR_A5_28824,6
FP200000542BR_A5_28839,0
FP200000542BR_A5_28846,11
FP200000542BR_A5_28885,6
FP200000542BR_A5_28917,2
FP200000542BR_A5_29048,5
FP200000542BR_A5_29065,5
FP200000542BR_A5_29084,5
FP200000542BR_A5_29089,12
FP200000542BR_A5_29142,5
FP200000542BR_A5_29148,1
FP200000542BR_A5_29254,3
FP200000542BR_A5_29299,10
FP200000542BR_A5_29356,5
FP200000542BR_A5_29361,3
FP200000542BR_A5_29377,7
FP200000542BR_A5_29404,13
FP200000542BR_A5_29418,6
FP200000542BR_A5_29426,3
FP200000542BR_A5_29446,4
FP200000542BR_A5_29455,4
FP200000542BR_A5_29464,2
FP200000542BR_A5_29496,4
FP200000542BR_A5_29518,13
FP200000542BR_A5_29577,9
FP200000542BR_A5_29606,6
FP200000542BR_A5_29615,4
FP200000542BR_A5_29623,0
FP200000542BR_A5_29627,6
FP200000542BR_A5_29683,0
FP200000542BR_A5_29712,5
