cell_id,count
FP200000542BR_A5_14055,2
FP200000542BR_A5_14616,1
FP200000542BR_A5_14863,1
FP200000542BR_A5_14894,3
FP200000542BR_A5_15005,7
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,0
FP200000542BR_A5_16049,7
FP200000542BR_A5_16105,8
FP200000542BR_A5_16280,2
FP200000542BR_A5_16676,1
FP200000542BR_A5_16700,1
FP200000542BR_A5_16929,3
FP200000542BR_A5_17549,9
FP200000542BR_A5_17611,5
FP200000542BR_A5_17657,4
FP200000542BR_A5_17860,8
FP200000542BR_A5_17897,6
FP200000542BR_A5_17943,6
FP200000542BR_A5_18037,1
FP200000542BR_A5_18060,5
FP200000542BR_A5_18134,5
FP200000542BR_A5_18221,6
FP200000542BR_A5_18229,5
FP200000542BR_A5_18247,3
FP200000542BR_A5_18381,5
FP200000542BR_A5_18451,3
FP200000542BR_A5_18569,0
FP200000542BR_A5_18639,11
FP200000542BR_A5_18692,2
FP200000542BR_A5_18705,8
FP200000542BR_A5_18713,2
FP200000542BR_A5_18748,4
FP200000542BR_A5_18768,2
FP200000542BR_A5_18789,6
FP200000542BR_A5_18901,0
FP200000542BR_A5_19036,9
FP200000542BR_A5_19063,2
FP200000542BR_A5_19089,1
FP200000542BR_A5_19111,3
FP200000542BR_A5_19120,0
FP200000542BR_A5_19150,7
FP200000542BR_A5_19167,11
FP200000542BR_A5_19332,3
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,7
FP200000542BR_A5_19447,4
FP200000542BR_A5_19454,0
FP200000542BR_A5_19482,8
FP200000542BR_A5_19544,6
FP200000542BR_A5_19545,7
FP200000542BR_A5_19615,3
FP200000542BR_A5_19627,10
FP200000542BR_A5_19684,4
FP200000542BR_A5_19793,6
FP200000542BR_A5_19861,1
FP200000542BR_A5_19917,2
FP200000542BR_A5_19983,8
FP200000542BR_A5_20096,5
FP200000542BR_A5_20176,3
FP200000542BR_A5_20200,4
FP200000542BR_A5_20219,8
FP200000542BR_A5_20248,4
FP200000542BR_A5_20257,2
FP200000542BR_A5_20258,11
FP200000542BR_A5_20284,4
FP200000542BR_A5_20299,1
FP200000542BR_A5_20323,7
FP200000542BR_A5_20341,8
FP200000542BR_A5_20366,13
FP200000542BR_A5_20377,3
FP200000542BR_A5_20487,4
FP200000542BR_A5_20492,0
FP200000542BR_A5_20524,0
FP200000542BR_A5_20541,6
FP200000542BR_A5_20546,6
FP200000542BR_A5_20571,1
FP200000542BR_A5_20585,3
FP200000542BR_A5_20673,4
FP200000542BR_A5_20676,8
FP200000542BR_A5_20717,2
FP200000542BR_A5_20735,9
FP200000542BR_A5_20754,2
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,5
FP200000542BR_A5_20846,5
FP200000542BR_A5_20869,2
FP200000542BR_A5_20880,1
FP200000542BR_A5_21049,2
FP200000542BR_A5_21056,4
FP200000542BR_A5_21093,8
FP200000542BR_A5_21122,4
FP200000542BR_A5_21155,6
FP200000542BR_A5_21203,1
FP200000542BR_A5_21213,7
FP200000542BR_A5_21219,9
FP200000542BR_A5_21235,4
FP200000542BR_A5_21266,2
FP200000542BR_A5_21391,1
FP200000542BR_A5_21421,5
FP200000542BR_A5_21529,4
FP200000542BR_A5_21696,3
FP200000542BR_A5_21792,11
FP200000542BR_A5_21841,9
FP200000542BR_A5_21847,1
FP200000542BR_A5_21886,4
FP200000542BR_A5_21964,0
FP200000542BR_A5_21994,1
FP200000542BR_A5_22116,3
FP200000542BR_A5_22150,11
FP200000542BR_A5_22262,0
FP200000542BR_A5_22293,5
FP200000542BR_A5_22339,3
FP200000542BR_A5_22408,7
FP200000542BR_A5_22447,5
FP200000542BR_A5_22543,3
FP200000542BR_A5_22571,13
FP200000542BR_A5_22575,6
FP200000542BR_A5_22732,8
FP200000542BR_A5_22753,0
FP200000542BR_A5_22931,6
FP200000542BR_A5_23123,4
FP200000542BR_A5_23251,9
FP200000542BR_A5_23269,3
FP200000542BR_A5_23309,0
FP200000542BR_A5_23313,1
FP200000542BR_A5_23382,2
FP200000542BR_A5_23604,1
FP200000542BR_A5_23711,1
FP200000542BR_A5_23816,0
FP200000542BR_A5_23846,6
FP200000542BR_A5_23850,1
FP200000542BR_A5_24093,4
FP200000542BR_A5_24132,0
FP200000542BR_A5_24271,1
FP200000542BR_A5_24272,2
FP200000542BR_A5_24347,6
FP200000542BR_A5_24367,1
FP200000542BR_A5_24370,2
FP200000542BR_A5_24462,5
FP200000542BR_A5_24474,2
FP200000542BR_A5_24500,2
FP200000542BR_A5_24547,1
FP200000542BR_A5_24562,3
FP200000542BR_A5_24564,5
FP200000542BR_A5_24567,2
FP200000542BR_A5_24578,1
FP200000542BR_A5_24604,1
FP200000542BR_A5_24605,2
FP200000542BR_A5_24744,1
FP200000542BR_A5_24757,1
FP200000542BR_A5_24818,2
FP200000542BR_A5_24820,0
FP200000542BR_A5_24871,0
FP200000542BR_A5_24889,6
FP200000542BR_A5_24900,3
FP200000542BR_A5_24911,2
FP200000542BR_A5_24938,1
FP200000542BR_A5_24953,3
FP200000542BR_A5_24956,3
FP200000542BR_A5_25021,0
FP200000542BR_A5_25034,1
FP200000542BR_A5_25065,0
FP200000542BR_A5_25070,2
FP200000542BR_A5_25185,1
FP200000542BR_A5_25228,2
FP200000542BR_A5_25255,1
FP200000542BR_A5_25261,1
FP200000542BR_A5_25278,4
FP200000542BR_A5_25295,3
FP200000542BR_A5_25301,0
FP200000542BR_A5_25450,1
FP200000542BR_A5_25456,0
FP200000542BR_A5_25487,0
FP200000542BR_A5_25523,2
FP200000542BR_A5_25528,9
FP200000542BR_A5_25554,1
FP200000542BR_A5_25620,1
FP200000542BR_A5_25643,1
FP200000542BR_A5_25668,2
FP200000542BR_A5_25714,3
FP200000542BR_A5_25802,0
FP200000542BR_A5_25830,5
FP200000542BR_A5_25915,4
FP200000542BR_A5_26007,3
FP200000542BR_A5_26051,2
FP200000542BR_A5_26094,0
FP200000542BR_A5_26133,1
FP200000542BR_A5_26165,0
FP200000542BR_A5_26180,3
FP200000542BR_A5_26284,11
FP200000542BR_A5_26302,7
FP200000542BR_A5_26344,3
FP200000542BR_A5_26369,2
FP200000542BR_A5_26419,3
FP200000542BR_A5_26472,3
FP200000542BR_A5_26483,0
FP200000542BR_A5_26541,6
FP200000542BR_A5_26566,3
FP200000542BR_A5_26576,0
FP200000542BR_A5_26579,3
FP200000542BR_A5_26624,5
FP200000542BR_A5_26677,0
FP200000542BR_A5_26796,2
FP200000542BR_A5_26830,1
FP200000542BR_A5_26843,3
FP200000542BR_A5_26896,2
FP200000542BR_A5_26974,3
FP200000542BR_A5_27002,3
FP200000542BR_A5_27053,8
FP200000542BR_A5_27095,0
FP200000542BR_A5_27197,3
FP200000542BR_A5_27220,4
FP200000542BR_A5_27348,3
FP200000542BR_A5_27349,8
FP200000542BR_A5_27364,1
FP200000542BR_A5_27377,11
FP200000542BR_A5_27383,1
FP200000542BR_A5_27426,1
FP200000542BR_A5_27619,4
FP200000542BR_A5_27620,13
FP200000542BR_A5_27697,5
FP200000542BR_A5_27863,0
FP200000542BR_A5_27876,4
FP200000542BR_A5_27980,7
FP200000542BR_A5_27987,10
FP200000542BR_A5_28079,1
FP200000542BR_A5_28158,11
FP200000542BR_A5_28167,10
FP200000542BR_A5_28170,7
FP200000542BR_A5_28323,2
FP200000542BR_A5_28333,1
FP200000542BR_A5_28344,0
FP200000542BR_A5_28378,6
FP200000542BR_A5_28468,8
FP200000542BR_A5_28511,0
FP200000542BR_A5_28604,0
FP200000542BR_A5_28626,17
FP200000542BR_A5_28632,0
FP200000542BR_A5_28657,3
FP200000542BR_A5_28790,3
FP200000542BR_A5_28814,5
FP200000542BR_A5_28824,5
FP200000542BR_A5_28839,0
FP200000542BR_A5_28846,9
FP200000542BR_A5_28885,6
FP200000542BR_A5_28917,4
FP200000542BR_A5_29048,11
FP200000542BR_A5_29065,9
FP200000542BR_A5_29084,3
FP200000542BR_A5_29089,3
FP200000542BR_A5_29142,7
FP200000542BR_A5_29148,4
FP200000542BR_A5_29254,1
FP200000542BR_A5_29299,4
FP200000542BR_A5_29356,4
FP200000542BR_A5_29361,2
FP200000542BR_A5_29377,5
FP200000542BR_A5_29404,14
FP200000542BR_A5_29418,4
FP200000542BR_A5_29426,6
FP200000542BR_A5_29446,5
FP200000542BR_A5_29455,1
FP200000542BR_A5_29464,1
FP200000542BR_A5_29496,2
FP200000542BR_A5_29518,6
FP200000542BR_A5_29577,4
FP200000542BR_A5_29606,3
FP200000542BR_A5_29615,0
FP200000542BR_A5_29623,1
FP200000542BR_A5_29627,0
FP200000542BR_A5_29683,1
FP200000542BR_A5_29712,3
FP200000542BR_A5_29800,0
FP200000542BR_A5_29878,7
FP200000542BR_A5_29884,1
FP200000542BR_A5_29889,2
FP200000542BR_A5_29890,2
FP200000542BR_A5_29895,5
FP200000542BR_A5_29907,2
FP200000542BR_A5_30038,1
FP200000542BR_A5_30065,2
FP200000542BR_A5_30089,2
FP200000542BR_A5_30095,13
FP200000542BR_A5_30116,8
FP200000542BR_A5_30128,5
FP200000542BR_A5_30191,5
FP200000542BR_A5_30215,10
FP200000542BR_A5_30216,7
FP200000542BR_A5_30225,13
FP200000542BR_A5_30227,4
FP200000542BR_A5_30267,1
FP200000542BR_A5_30341,3
FP200000542BR_A5_30445,9
FP200000542BR_A5_30491,0
FP200000542BR_A5_30492,0
FP200000542BR_A5_30573,1
FP200000542BR_A5_30590,5
FP200000542BR_A5_30599,5
FP200000542BR_A5_30633,9
FP200000542BR_A5_30660,3
FP200000542BR_A5_30684,7
FP200000542BR_A5_30776,0
FP200000542BR_A5_30803,5
FP200000542BR_A5_30860,8
FP200000542BR_A5_30901,1
FP200000542BR_A5_31028,9
FP200000542BR_A5_31220,5
FP200000542BR_A5_31262,0
FP200000542BR_A5_31281,7
FP200000542BR_A5_31464,3
FP200000542BR_A5_31497,5
FP200000542BR_A5_31667,6
FP200000542BR_A5_31719,2
FP200000542BR_A5_31875,0
FP200000542BR_A5_32068,7
FP200000542BR_A5_32257,1
FP200000542BR_A5_32294,1
FP200000542BR_A5_32737,1
FP200000542BR_A5_32817,8
FP200000542BR_A5_32863,4
FP200000542BR_A5_32963,9
FP200000542BR_A5_33131,1
FP200000542BR_A5_33208,3
FP200000542BR_A5_33373,1
FP200000542BR_A5_33594,3
FP200000542BR_A5_34097,5
FP200000542BR_A5_34203,8
FP200000542BR_A5_34480,6
FP200000542BR_A5_34976,8
FP200000542BR_A5_35253,0
FP200000542BR_A5_35361,3
FP200000542BR_A5_35496,6
FP200000542BR_A5_35822,3
FP200000542BR_A3_14894,0
FP200000542BR_A3_14924,6
FP200000542BR_A3_14998,0
FP200000542BR_A3_15163,4
FP200000542BR_A3_15371,3
FP200000542BR_A3_16209,4
FP200000542BR_A3_17188,11
FP200000542BR_A3_17213,7
FP200000542BR_A3_17240,2
FP200000542BR_A3_17260,5
FP200000542BR_A3_17608,0
FP200000542BR_A3_17623,3
FP200000542BR_A3_17652,2
FP200000542BR_A3_17794,1
FP200000542BR_A3_17882,2
FP200000542BR_A3_17941,2
FP200000542BR_A3_17956,7
FP200000542BR_A3_17964,2
FP200000542BR_A3_17992,7
FP200000542BR_A3_18104,10
FP200000542BR_A3_18412,0
FP200000542BR_A3_18606,0
FP200000542BR_A3_18648,1
FP200000542BR_A3_18775,3
FP200000542BR_A3_19330,3
FP200000542BR_A3_19468,5
FP200000542BR_A3_19501,3
FP200000542BR_A3_19586,0
FP200000542BR_A3_19625,4
FP200000542BR_A3_19713,2
FP200000542BR_A3_19738,1
FP200000542BR_A3_19788,5
FP200000542BR_A3_19808,9
FP200000542BR_A3_19819,4
FP200000542BR_A3_19935,7
FP200000542BR_A3_20022,5
FP200000542BR_A3_20039,3
FP200000542BR_A3_20107,1
FP200000542BR_A3_20126,2
FP200000542BR_A3_20127,6
FP200000542BR_A3_20179,4
FP200000542BR_A3_20330,0
FP200000542BR_A3_20399,1
FP200000542BR_A3_20445,10
FP200000542BR_A3_20449,7
FP200000542BR_A3_20530,5
FP200000542BR_A3_20651,7
FP200000542BR_A3_20652,1
FP200000542BR_A3_20661,4
FP200000542BR_A3_20717,3
FP200000542BR_A3_20741,5
FP200000542BR_A3_20752,1
FP200000542BR_A3_20836,1
FP200000542BR_A3_20846,10
FP200000542BR_A3_20899,12
FP200000542BR_A3_21003,8
FP200000542BR_A3_21057,3
FP200000542BR_A3_21073,1
FP200000542BR_A3_21109,4
FP200000542BR_A3_21287,4
FP200000542BR_A3_21307,5
FP200000542BR_A3_21321,2
FP200000542BR_A3_21376,6
FP200000542BR_A3_21379,7
FP200000542BR_A3_21392,6
FP200000542BR_A3_21430,1
FP200000542BR_A3_21447,7
FP200000542BR_A3_21727,9
FP200000542BR_A3_21760,8
FP200000542BR_A3_21812,3
FP200000542BR_A3_21836,4
FP200000542BR_A3_21879,7
FP200000542BR_A3_21906,1
FP200000542BR_A3_21931,2
FP200000542BR_A3_21949,6
FP200000542BR_A3_22049,3
FP200000542BR_A3_22056,0
FP200000542BR_A3_22237,12
FP200000542BR_A3_22245,4
FP200000542BR_A3_22268,3
FP200000542BR_A3_22273,0
FP200000542BR_A3_22378,2
FP200000542BR_A3_22429,1
