cell_id,count
FP200000542BR_A5_14055,1
FP200000542BR_A5_14616,0
FP200000542BR_A5_14863,0
FP200000542BR_A5_14894,0
FP200000542BR_A5_15005,2
FP200000542BR_A5_15006,2
FP200000542BR_A5_15016,1
FP200000542BR_A5_16049,2
FP200000542BR_A5_16105,1
FP200000542BR_A5_16280,2
FP200000542BR_A5_16676,0
FP200000542BR_A5_16700,0
FP200000542BR_A5_16929,2
FP200000542BR_A5_17549,8
FP200000542BR_A5_17611,1
FP200000542BR_A5_17657,2
FP200000542BR_A5_17860,5
FP200000542BR_A5_17897,1
FP200000542BR_A5_17943,0
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,2
FP200000542BR_A5_18134,1
FP200000542BR_A5_18221,5
FP200000542BR_A5_18229,1
FP200000542BR_A5_18247,0
FP200000542BR_A5_18381,2
FP200000542BR_A5_18451,2
FP200000542BR_A5_18569,3
FP200000542BR_A5_18639,0
FP200000542BR_A5_18692,3
FP200000542BR_A5_18705,0
FP200000542BR_A5_18713,2
FP200000542BR_A5_18748,2
FP200000542BR_A5_18768,2
FP200000542BR_A5_18789,4
FP200000542BR_A5_18901,1
FP200000542BR_A5_19036,3
FP200000542BR_A5_19063,0
FP200000542BR_A5_19089,1
FP200000542BR_A5_19111,1
FP200000542BR_A5_19120,1
FP200000542BR_A5_19150,5
FP200000542BR_A5_19167,4
FP200000542BR_A5_19332,0
FP200000542BR_A5_19409,3
FP200000542BR_A5_19423,2
FP200000542BR_A5_19447,2
FP200000542BR_A5_19454,1
FP200000542BR_A5_19482,2
FP200000542BR_A5_19544,0
FP200000542BR_A5_19545,3
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,6
FP200000542BR_A5_19684,5
FP200000542BR_A5_19793,0
FP200000542BR_A5_19861,4
FP200000542BR_A5_19917,0
FP200000542BR_A5_19983,1
FP200000542BR_A5_20096,1
FP200000542BR_A5_20176,3
FP200000542BR_A5_20200,0
FP200000542BR_A5_20219,4
FP200000542BR_A5_20248,0
FP200000542BR_A5_20257,4
FP200000542BR_A5_20258,4
FP200000542BR_A5_20284,7
FP200000542BR_A5_20299,1
FP200000542BR_A5_20323,1
FP200000542BR_A5_20341,5
FP200000542BR_A5_20366,4
FP200000542BR_A5_20377,6
FP200000542BR_A5_20487,3
FP200000542BR_A5_20492,4
FP200000542BR_A5_20524,0
FP200000542BR_A5_20541,6
FP200000542BR_A5_20546,4
FP200000542BR_A5_20571,3
FP200000542BR_A5_20585,0
FP200000542BR_A5_20673,2
FP200000542BR_A5_20676,3
FP200000542BR_A5_20717,2
FP200000542BR_A5_20735,7
FP200000542BR_A5_20754,0
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,2
FP200000542BR_A5_20846,2
FP200000542BR_A5_20869,2
FP200000542BR_A5_20880,3
FP200000542BR_A5_21049,0
FP200000542BR_A5_21056,2
FP200000542BR_A5_21093,4
FP200000542BR_A5_21122,2
FP200000542BR_A5_21155,5
FP200000542BR_A5_21203,2
FP200000542BR_A5_21213,5
FP200000542BR_A5_21219,3
FP200000542BR_A5_21235,1
FP200000542BR_A5_21266,3
FP200000542BR_A5_21391,5
FP200000542BR_A5_21421,2
FP200000542BR_A5_21529,1
FP200000542BR_A5_21696,0
FP200000542BR_A5_21792,4
FP200000542BR_A5_21841,2
FP200000542BR_A5_21847,6
FP200000542BR_A5_21886,2
FP200000542BR_A5_21964,4
FP200000542BR_A5_21994,15
FP200000542BR_A5_22116,1
FP200000542BR_A5_22150,6
FP200000542BR_A5_22262,1
FP200000542BR_A5_22293,5
FP200000542BR_A5_22339,6
FP200000542BR_A5_22408,0
FP200000542BR_A5_22447,1
FP200000542BR_A5_22543,0
FP200000542BR_A5_22571,9
FP200000542BR_A5_22575,0
FP200000542BR_A5_22732,0
FP200000542BR_A5_22753,1
FP200000542BR_A5_22931,3
FP200000542BR_A5_23123,1
FP200000542BR_A5_23251,3
FP200000542BR_A5_23269,0
FP200000542BR_A5_23309,1
FP200000542BR_A5_23313,0
FP200000542BR_A5_23382,1
FP200000542BR_A5_23604,1
FP200000542BR_A5_23711,0
FP200000542BR_A5_23816,5
FP200000542BR_A5_23846,2
FP200000542BR_A5_23850,1
FP200000542BR_A5_24093,0
FP200000542BR_A5_24132,3
FP200000542BR_A5_24271,1
FP200000542BR_A5_24272,1
FP200000542BR_A5_24347,3
FP200000542BR_A5_24367,3
FP200000542BR_A5_24370,1
FP200000542BR_A5_24462,6
FP200000542BR_A5_24474,6
FP200000542BR_A5_24500,1
FP200000542BR_A5_24547,3
FP200000542BR_A5_24562,0
FP200000542BR_A5_24564,3
FP200000542BR_A5_24567,1
FP200000542BR_A5_24578,2
FP200000542BR_A5_24604,1
FP200000542BR_A5_24605,1
FP200000542BR_A5_24744,2
FP200000542BR_A5_24757,0
FP200000542BR_A5_24818,4
FP200000542BR_A5_24820,0
FP200000542BR_A5_24871,1
FP200000542BR_A5_24889,3
FP200000542BR_A5_24900,2
FP200000542BR_A5_24911,0
FP200000542BR_A5_24938,4
FP200000542BR_A5_24953,0
FP200000542BR_A5_24956,2
FP200000542BR_A5_25021,1
FP200000542BR_A5_25034,0
FP200000542BR_A5_25065,0
FP200000542BR_A5_25070,1
FP200000542BR_A5_25185,0
FP200000542BR_A5_25228,5
FP200000542BR_A5_25255,0
FP200000542BR_A5_25261,0
FP200000542BR_A5_25278,2
FP200000542BR_A5_25295,4
FP200000542BR_A5_25301,5
FP200000542BR_A5_25450,5
FP200000542BR_A5_25456,0
FP200000542BR_A5_25487,5
FP200000542BR_A5_25523,0
FP200000542BR_A5_25528,7
FP200000542BR_A5_25554,1
