cell_id,count
FP200000542BR_A5_14055,3
FP200000542BR_A5_14616,4
FP200000542BR_A5_14863,3
FP200000542BR_A5_14894,0
FP200000542BR_A5_15005,1
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,3
FP200000542BR_A5_16049,3
FP200000542BR_A5_16105,2
FP200000542BR_A5_16280,5
FP200000542BR_A5_16676,0
FP200000542BR_A5_16700,2
FP200000542BR_A5_16929,2
FP200000542BR_A5_17549,4
FP200000542BR_A5_17611,3
FP200000542BR_A5_17657,3
FP200000542BR_A5_17860,1
FP200000542BR_A5_17897,0
FP200000542BR_A5_17943,3
FP200000542BR_A5_18037,2
FP200000542BR_A5_18060,6
FP200000542BR_A5_18134,2
FP200000542BR_A5_18221,3
FP200000542BR_A5_18229,1
FP200000542BR_A5_18247,1
FP200000542BR_A5_18381,5
FP200000542BR_A5_18451,0
FP200000542BR_A5_18569,2
FP200000542BR_A5_18639,5
FP200000542BR_A5_18692,3
FP200000542BR_A5_18705,2
FP200000542BR_A5_18713,1
FP200000542BR_A5_18748,6
FP200000542BR_A5_18768,2
FP200000542BR_A5_18789,1
FP200000542BR_A5_18901,3
FP200000542BR_A5_19036,7
FP200000542BR_A5_19063,2
FP200000542BR_A5_19089,2
FP200000542BR_A5_19111,0
FP200000542BR_A5_19120,1
FP200000542BR_A5_19150,5
FP200000542BR_A5_19167,2
FP200000542BR_A5_19332,4
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,2
FP200000542BR_A5_19447,4
FP200000542BR_A5_19454,2
FP200000542BR_A5_19482,3
FP200000542BR_A5_19544,3
FP200000542BR_A5_19545,4
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,4
FP200000542BR_A5_19684,0
FP200000542BR_A5_19793,0
FP200000542BR_A5_19861,0
FP200000542BR_A5_19917,0
FP200000542BR_A5_19983,3
FP200000542BR_A5_20096,0
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,0
FP200000542BR_A5_20219,3
FP200000542BR_A5_20248,0
FP200000542BR_A5_20257,0
FP200000542BR_A5_20258,1
FP200000542BR_A5_20284,2
FP200000542BR_A5_20299,1
FP200000542BR_A5_20323,1
FP200000542BR_A5_20341,2
FP200000542BR_A5_20366,2
FP200000542BR_A5_20377,1
FP200000542BR_A5_20487,7
FP200000542BR_A5_20492,1
FP200000542BR_A5_20524,0
FP200000542BR_A5_20541,3
FP200000542BR_A5_20546,2
FP200000542BR_A5_20571,2
FP200000542BR_A5_20585,1
FP200000542BR_A5_20673,2
FP200000542BR_A5_20676,6
FP200000542BR_A5_20717,2
FP200000542BR_A5_20735,5
FP200000542BR_A5_20754,0
FP200000542BR_A5_20765,1
FP200000542BR_A5_20806,5
FP200000542BR_A5_20846,0
FP200000542BR_A5_20869,4
FP200000542BR_A5_20880,1
FP200000542BR_A5_21049,0
FP200000542BR_A5_21056,2
FP200000542BR_A5_21093,0
FP200000542BR_A5_21122,5
FP200000542BR_A5_21155,6
FP200000542BR_A5_21203,2
FP200000542BR_A5_21213,4
FP200000542BR_A5_21219,7
FP200000542BR_A5_21235,0
FP200000542BR_A5_21266,3
FP200000542BR_A5_21391,2
FP200000542BR_A5_21421,4
FP200000542BR_A5_21529,9
FP200000542BR_A5_21696,0
FP200000542BR_A5_21792,2
FP200000542BR_A5_21841,6
FP200000542BR_A5_21847,1
FP200000542BR_A5_21886,1
FP200000542BR_A5_21964,1
FP200000542BR_A5_21994,1
FP200000542BR_A5_22116,2
FP200000542BR_A5_22150,0
FP200000542BR_A5_22262,0
FP200000542BR_A5_22293,1
FP200000542BR_A5_22339,1
FP200000542BR_A5_22408,0
FP200000542BR_A5_22447,1
FP200000542BR_A5_22543,0
FP200000542BR_A5_22571,5
FP200000542BR_A5_22575,0
FP200000542BR_A5_22732,3
FP200000542BR_A5_22753,6
FP200000542BR_A5_22931,2
FP200000542BR_A5_23123,0
FP200000542BR_A5_23251,5
FP200000542BR_A5_23269,0
FP200000542BR_A5_23309,1
FP200000542BR_A5_23313,0
FP200000542BR_A5_23382,2
FP200000542BR_A5_23604,3
