cell_id,count
FP200000542BR_A5_14055,1
FP200000542BR_A5_14616,4
FP200000542BR_A5_14863,3
FP200000542BR_A5_14894,4
FP200000542BR_A5_15005,14
FP200000542BR_A5_15006,3
FP200000542BR_A5_15016,3
FP200000542BR_A5_16049,4
FP200000542BR_A5_16105,1
FP200000542BR_A5_16280,3
FP200000542BR_A5_16676,0
FP200000542BR_A5_16700,0
FP200000542BR_A5_16929,0
FP200000542BR_A5_17549,4
FP200000542BR_A5_17611,3
FP200000542BR_A5_17657,4
FP200000542BR_A5_17860,7
FP200000542BR_A5_17897,3
FP200000542BR_A5_17943,3
FP200000542BR_A5_18037,2
FP200000542BR_A5_18060,6
FP200000542BR_A5_18134,2
FP200000542BR_A5_18221,6
FP200000542BR_A5_18229,8
FP200000542BR_A5_18247,1
FP200000542BR_A5_18381,3
FP200000542BR_A5_18451,2
FP200000542BR_A5_18569,3
FP200000542BR_A5_18639,9
FP200000542BR_A5_18692,0
FP200000542BR_A5_18705,1
FP200000542BR_A5_18713,2
FP200000542BR_A5_18748,2
FP200000542BR_A5_18768,4
FP200000542BR_A5_18789,11
FP200000542BR_A5_18901,1
FP200000542BR_A5_19036,3
FP200000542BR_A5_19063,2
FP200000542BR_A5_19089,2
FP200000542BR_A5_19111,2
FP200000542BR_A5_19120,1
FP200000542BR_A5_19150,6
FP200000542BR_A5_19167,4
FP200000542BR_A5_19332,2
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,4
FP200000542BR_A5_19447,4
FP200000542BR_A5_19454,8
FP200000542BR_A5_19482,6
FP200000542BR_A5_19544,1
FP200000542BR_A5_19545,2
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,15
FP200000542BR_A5_19684,3
FP200000542BR_A5_19793,6
FP200000542BR_A5_19861,2
FP200000542BR_A5_19917,0
FP200000542BR_A5_19983,2
FP200000542BR_A5_20096,2
FP200000542BR_A5_20176,2
FP200000542BR_A5_20200,2
FP200000542BR_A5_20219,7
FP200000542BR_A5_20248,3
FP200000542BR_A5_20257,3
FP200000542BR_A5_20258,10
FP200000542BR_A5_20284,9
FP200000542BR_A5_20299,4
FP200000542BR_A5_20323,5
FP200000542BR_A5_20341,1
FP200000542BR_A5_20366,4
FP200000542BR_A5_20377,5
FP200000542BR_A5_20487,6
FP200000542BR_A5_20492,2
FP200000542BR_A5_20524,3
FP200000542BR_A5_20541,2
FP200000542BR_A5_20546,3
FP200000542BR_A5_20571,0
FP200000542BR_A5_20585,3
FP200000542BR_A5_20673,4
FP200000542BR_A5_20676,9
FP200000542BR_A5_20717,3
FP200000542BR_A5_20735,12
FP200000542BR_A5_20754,2
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,15
FP200000542BR_A5_20846,14
FP200000542BR_A5_20869,1
FP200000542BR_A5_20880,0
FP200000542BR_A5_21049,3
FP200000542BR_A5_21056,5
FP200000542BR_A5_21093,1
FP200000542BR_A5_21122,4
FP200000542BR_A5_21155,9
FP200000542BR_A5_21203,1
FP200000542BR_A5_21213,7
FP200000542BR_A5_21219,8
FP200000542BR_A5_21235,2
FP200000542BR_A5_21266,9
FP200000542BR_A5_21391,11
FP200000542BR_A5_21421,6
FP200000542BR_A5_21529,7
FP200000542BR_A5_21696,4
FP200000542BR_A5_21792,11
FP200000542BR_A5_21841,11
FP200000542BR_A5_21847,5
FP200000542BR_A5_21886,4
FP200000542BR_A5_21964,7
FP200000542BR_A5_21994,6
FP200000542BR_A5_22116,0
FP200000542BR_A5_22150,3
FP200000542BR_A5_22262,4
FP200000542BR_A5_22293,8
FP200000542BR_A5_22339,2
FP200000542BR_A5_22408,1
FP200000542BR_A5_22447,1
FP200000542BR_A5_22543,3
FP200000542BR_A5_22571,3
FP200000542BR_A5_22575,2
FP200000542BR_A5_22732,4
FP200000542BR_A5_22753,4
FP200000542BR_A5_22931,5
FP200000542BR_A5_23123,5
FP200000542BR_A5_23251,10
FP200000542BR_A5_23269,0
FP200000542BR_A5_23309,5
FP200000542BR_A5_23313,1
FP200000542BR_A5_23382,2
FP200000542BR_A5_23604,5
FP200000542BR_A5_23711,2
FP200000542BR_A5_23816,3
FP200000542BR_A5_23846,14
FP200000542BR_A5_23850,8
FP200000542BR_A5_24093,9
FP200000542BR_A5_24132,3
FP200000542BR_A5_24271,4
FP200000542BR_A5_24272,1
FP200000542BR_A5_24347,11
FP200000542BR_A5_24367,6
FP200000542BR_A5_24370,3
FP200000542BR_A5_24462,8
FP200000542BR_A5_24474,11
FP200000542BR_A5_24500,11
FP200000542BR_A5_24547,4
FP200000542BR_A5_24562,3
FP200000542BR_A5_24564,1
FP200000542BR_A5_24567,3
FP200000542BR_A5_24578,2
FP200000542BR_A5_24604,3
FP200000542BR_A5_24605,4
FP200000542BR_A5_24744,3
FP200000542BR_A5_24757,5
FP200000542BR_A5_24818,4
FP200000542BR_A5_24820,0
FP200000542BR_A5_24871,3
FP200000542BR_A5_24889,4
FP200000542BR_A5_24900,2
FP200000542BR_A5_24911,0
FP200000542BR_A5_24938,14
FP200000542BR_A5_24953,2
FP200000542BR_A5_24956,1
FP200000542BR_A5_25021,1
FP200000542BR_A5_25034,0
FP200000542BR_A5_25065,5
FP200000542BR_A5_25070,0
FP200000542BR_A5_25185,1
FP200000542BR_A5_25228,8
FP200000542BR_A5_25255,8
FP200000542BR_A5_25261,2
FP200000542BR_A5_25278,4
FP200000542BR_A5_25295,4
FP200000542BR_A5_25301,3
FP200000542BR_A5_25450,6
FP200000542BR_A5_25456,2
FP200000542BR_A5_25487,4
FP200000542BR_A5_25523,1
FP200000542BR_A5_25528,12
FP200000542BR_A5_25554,5
FP200000542BR_A5_25620,0
FP200000542BR_A5_25643,5
FP200000542BR_A5_25668,9
FP200000542BR_A5_25714,12
FP200000542BR_A5_25802,3
FP200000542BR_A5_25830,3
FP200000542BR_A5_25915,3
FP200000542BR_A5_26007,15
FP200000542BR_A5_26051,1
FP200000542BR_A5_26094,1
FP200000542BR_A5_26133,7
FP200000542BR_A5_26165,3
FP200000542BR_A5_26180,1
