cell_id,count
FP200000542BR_A5_14055,2
FP200000542BR_A5_14616,0
FP200000542BR_A5_14863,0
FP200000542BR_A5_14894,1
FP200000542BR_A5_15005,0
FP200000542BR_A5_15006,1
FP200000542BR_A5_15016,1
FP200000542BR_A5_16049,2
FP200000542BR_A5_16105,0
FP200000542BR_A5_16280,4
FP200000542BR_A5_16676,7
FP200000542BR_A5_16700,0
FP200000542BR_A5_16929,1
FP200000542BR_A5_17549,1
FP200000542BR_A5_17611,5
FP200000542BR_A5_17657,1
FP200000542BR_A5_17860,8
FP200000542BR_A5_17897,2
FP200000542BR_A5_17943,6
FP200000542BR_A5_18037,1
FP200000542BR_A5_18060,3
FP200000542BR_A5_18134,1
FP200000542BR_A5_18221,2
FP200000542BR_A5_18229,1
FP200000542BR_A5_18247,1
FP200000542BR_A5_18381,4
FP200000542BR_A5_18451,0
FP200000542BR_A5_18569,2
FP200000542BR_A5_18639,4
FP200000542BR_A5_18692,0
FP200000542BR_A5_18705,4
FP200000542BR_A5_18713,1
FP200000542BR_A5_18748,3
FP200000542BR_A5_18768,0
FP200000542BR_A5_18789,6
FP200000542BR_A5_18901,0
FP200000542BR_A5_19036,3
FP200000542BR_A5_19063,0
FP200000542BR_A5_19089,1
FP200000542BR_A5_19111,1
FP200000542BR_A5_19120,0
FP200000542BR_A5_19150,5
FP200000542BR_A5_19167,5
FP200000542BR_A5_19332,8
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,7
FP200000542BR_A5_19447,0
FP200000542BR_A5_19454,7
FP200000542BR_A5_19482,2
FP200000542BR_A5_19544,1
FP200000542BR_A5_19545,2
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,6
FP200000542BR_A5_19684,1
FP200000542BR_A5_19793,1
FP200000542BR_A5_19861,4
FP200000542BR_A5_19917,2
FP200000542BR_A5_19983,1
FP200000542BR_A5_20096,1
FP200000542BR_A5_20176,1
FP200000542BR_A5_20200,1
FP200000542BR_A5_20219,4
FP200000542BR_A5_20248,5
FP200000542BR_A5_20257,2
FP200000542BR_A5_20258,7
FP200000542BR_A5_20284,3
FP200000542BR_A5_20299,0
FP200000542BR_A5_20323,1
FP200000542BR_A5_20341,1
FP200000542BR_A5_20366,0
FP200000542BR_A5_20377,1
FP200000542BR_A5_20487,0
FP200000542BR_A5_20492,1
FP200000542BR_A5_20524,1
FP200000542BR_A5_20541,6
FP200000542BR_A5_20546,4
FP200000542BR_A5_20571,2
FP200000542BR_A5_20585,0
FP200000542BR_A5_20673,2
FP200000542BR_A5_20676,7
FP200000542BR_A5_20717,2
FP200000542BR_A5_20735,7
FP200000542BR_A5_20754,0
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,4
FP200000542BR_A5_20846,1
FP200000542BR_A5_20869,2
FP200000542BR_A5_20880,1
FP200000542BR_A5_21049,1
FP200000542BR_A5_21056,2
FP200000542BR_A5_21093,10
FP200000542BR_A5_21122,4
FP200000542BR_A5_21155,3
FP200000542BR_A5_21203,3
FP200000542BR_A5_21213,1
FP200000542BR_A5_21219,3
FP200000542BR_A5_21235,1
FP200000542BR_A5_21266,0
FP200000542BR_A5_21391,10
FP200000542BR_A5_21421,1
FP200000542BR_A5_21529,2
FP200000542BR_A5_21696,3
FP200000542BR_A5_21792,9
