cell_id,count
FP200000542BR_A5_14055,6
FP200000542BR_A5_14616,10
FP200000542BR_A5_14863,9
FP200000542BR_A5_14894,7
FP200000542BR_A5_15005,5
FP200000542BR_A5_15006,3
FP200000542BR_A5_15016,5
FP200000542BR_A5_16049,13
FP200000542BR_A5_16105,11
FP200000542BR_A5_16280,16
FP200000542BR_A5_16676,3
FP200000542BR_A5_16700,3
FP200000542BR_A5_16929,7
FP200000542BR_A5_17549,9
FP200000542BR_A5_17611,5
FP200000542BR_A5_17657,3
FP200000542BR_A5_17860,15
FP200000542BR_A5_17897,9
FP200000542BR_A5_17943,13
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,5
FP200000542BR_A5_18134,9
FP200000542BR_A5_18221,5
FP200000542BR_A5_18229,8
FP200000542BR_A5_18247,4
FP200000542BR_A5_18381,11
FP200000542BR_A5_18451,6
FP200000542BR_A5_18569,2
FP200000542BR_A5_18639,12
FP200000542BR_A5_18692,3
FP200000542BR_A5_18705,4
FP200000542BR_A5_18713,6
FP200000542BR_A5_18748,4
FP200000542BR_A5_18768,7
FP200000542BR_A5_18789,17
FP200000542BR_A5_18901,2
FP200000542BR_A5_19036,4
FP200000542BR_A5_19063,0
FP200000542BR_A5_19089,5
FP200000542BR_A5_19111,4
FP200000542BR_A5_19120,3
FP200000542BR_A5_19150,9
FP200000542BR_A5_19167,8
FP200000542BR_A5_19332,5
FP200000542BR_A5_19409,1
FP200000542BR_A5_19423,17
FP200000542BR_A5_19447,11
FP200000542BR_A5_19454,6
FP200000542BR_A5_19482,5
FP200000542BR_A5_19544,5
FP200000542BR_A5_19545,15
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,36
FP200000542BR_A5_19684,10
FP200000542BR_A5_19793,5
FP200000542BR_A5_19861,11
FP200000542BR_A5_19917,9
FP200000542BR_A5_19983,12
FP200000542BR_A5_20096,10
FP200000542BR_A5_20176,5
FP200000542BR_A5_20200,0
FP200000542BR_A5_20219,15
FP200000542BR_A5_20248,6
FP200000542BR_A5_20257,4
FP200000542BR_A5_20258,27
FP200000542BR_A5_20284,13
FP200000542BR_A5_20299,7
FP200000542BR_A5_20323,21
FP200000542BR_A5_20341,9
FP200000542BR_A5_20366,16
FP200000542BR_A5_20377,4
FP200000542BR_A5_20487,3
FP200000542BR_A5_20492,1
FP200000542BR_A5_20524,3
FP200000542BR_A5_20541,7
FP200000542BR_A5_20546,22
FP200000542BR_A5_20571,1
FP200000542BR_A5_20585,4
FP200000542BR_A5_20673,13
FP200000542BR_A5_20676,33
FP200000542BR_A5_20717,8
FP200000542BR_A5_20735,19
FP200000542BR_A5_20754,1
