cell_id,count
FP200000542BR_A5_14055,4
FP200000542BR_A5_14616,0
FP200000542BR_A5_14863,4
FP200000542BR_A5_14894,3
FP200000542BR_A5_15005,0
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,6
FP200000542BR_A5_16049,7
FP200000542BR_A5_16105,6
FP200000542BR_A5_16280,3
FP200000542BR_A5_16676,0
FP200000542BR_A5_16700,1
FP200000542BR_A5_16929,5
FP200000542BR_A5_17549,5
FP200000542BR_A5_17611,0
FP200000542BR_A5_17657,5
FP200000542BR_A5_17860,4
FP200000542BR_A5_17897,2
FP200000542BR_A5_17943,3
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,6
FP200000542BR_A5_18134,5
FP200000542BR_A5_18221,1
FP200000542BR_A5_18229,2
FP200000542BR_A5_18247,1
FP200000542BR_A5_18381,2
FP200000542BR_A5_18451,2
FP200000542BR_A5_18569,5
FP200000542BR_A5_18639,0
FP200000542BR_A5_18692,7
FP200000542BR_A5_18705,0
FP200000542BR_A5_18713,2
FP200000542BR_A5_18748,2
FP200000542BR_A5_18768,0
FP200000542BR_A5_18789,3
FP200000542BR_A5_18901,0
FP200000542BR_A5_19036,5
FP200000542BR_A5_19063,1
FP200000542BR_A5_19089,4
FP200000542BR_A5_19111,2
FP200000542BR_A5_19120,2
FP200000542BR_A5_19150,3
FP200000542BR_A5_19167,2
FP200000542BR_A5_19332,6
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,11
FP200000542BR_A5_19447,3
FP200000542BR_A5_19454,2
FP200000542BR_A5_19482,2
FP200000542BR_A5_19544,1
FP200000542BR_A5_19545,6
FP200000542BR_A5_19615,4
FP200000542BR_A5_19627,6
FP200000542BR_A5_19684,2
FP200000542BR_A5_19793,10
FP200000542BR_A5_19861,6
FP200000542BR_A5_19917,2
FP200000542BR_A5_19983,7
FP200000542BR_A5_20096,5
FP200000542BR_A5_20176,1
FP200000542BR_A5_20200,0
FP200000542BR_A5_20219,8
FP200000542BR_A5_20248,2
FP200000542BR_A5_20257,2
FP200000542BR_A5_20258,5
FP200000542BR_A5_20284,8
FP200000542BR_A5_20299,1
FP200000542BR_A5_20323,2
FP200000542BR_A5_20341,2
FP200000542BR_A5_20366,2
FP200000542BR_A5_20377,2
FP200000542BR_A5_20487,1
FP200000542BR_A5_20492,2
FP200000542BR_A5_20524,0
FP200000542BR_A5_20541,8
FP200000542BR_A5_20546,14
FP200000542BR_A5_20571,0
FP200000542BR_A5_20585,2
FP200000542BR_A5_20673,5
FP200000542BR_A5_20676,6
FP200000542BR_A5_20717,2
FP200000542BR_A5_20735,17
FP200000542BR_A5_20754,0
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,6
FP200000542BR_A5_20846,2
FP200000542BR_A5_20869,1
FP200000542BR_A5_20880,1
FP200000542BR_A5_21049,1
FP200000542BR_A5_21056,3
FP200000542BR_A5_21093,2
FP200000542BR_A5_21122,1
FP200000542BR_A5_21155,1
FP200000542BR_A5_21203,5
FP200000542BR_A5_21213,0
FP200000542BR_A5_21219,5
FP200000542BR_A5_21235,1
FP200000542BR_A5_21266,0
FP200000542BR_A5_21391,5
FP200000542BR_A5_21421,6
FP200000542BR_A5_21529,2
FP200000542BR_A5_21696,1
FP200000542BR_A5_21792,5
FP200000542BR_A5_21841,4
FP200000542BR_A5_21847,6
FP200000542BR_A5_21886,4
FP200000542BR_A5_21964,3
FP200000542BR_A5_21994,6
FP200000542BR_A5_22116,6
FP200000542BR_A5_22150,6
FP200000542BR_A5_22262,3
FP200000542BR_A5_22293,5
FP200000542BR_A5_22339,3
FP200000542BR_A5_22408,6
FP200000542BR_A5_22447,2
FP200000542BR_A5_22543,1
FP200000542BR_A5_22571,1
FP200000542BR_A5_22575,5
FP200000542BR_A5_22732,9
FP200000542BR_A5_22753,1
FP200000542BR_A5_22931,0
FP200000542BR_A5_23123,5
FP200000542BR_A5_23251,5
FP200000542BR_A5_23269,2
FP200000542BR_A5_23309,5
FP200000542BR_A5_23313,2
FP200000542BR_A5_23382,5
FP200000542BR_A5_23604,0
FP200000542BR_A5_23711,1
FP200000542BR_A5_23816,4
FP200000542BR_A5_23846,4
FP200000542BR_A5_23850,11
FP200000542BR_A5_24093,4
FP200000542BR_A5_24132,6
FP200000542BR_A5_24271,3
FP200000542BR_A5_24272,0
FP200000542BR_A5_24347,15
FP200000542BR_A5_24367,0
FP200000542BR_A5_24370,4
FP200000542BR_A5_24462,10
FP200000542BR_A5_24474,4
FP200000542BR_A5_24500,9
FP200000542BR_A5_24547,2
FP200000542BR_A5_24562,4
FP200000542BR_A5_24564,4
FP200000542BR_A5_24567,2
FP200000542BR_A5_24578,2
FP200000542BR_A5_24604,3
FP200000542BR_A5_24605,0
FP200000542BR_A5_24744,1
FP200000542BR_A5_24757,0
FP200000542BR_A5_24818,7
FP200000542BR_A5_24820,2
FP200000542BR_A5_24871,1
FP200000542BR_A5_24889,8
FP200000542BR_A5_24900,2
FP200000542BR_A5_24911,0
