cell_id,count
FP200000542BR_A5_14055,0
FP200000542BR_A5_14616,5
FP200000542BR_A5_14863,4
FP200000542BR_A5_14894,0
FP200000542BR_A5_15005,3
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,1
FP200000542BR_A5_16049,5
FP200000542BR_A5_16105,5
FP200000542BR_A5_16280,0
FP200000542BR_A5_16676,0
FP200000542BR_A5_16700,0
FP200000542BR_A5_16929,0
FP200000542BR_A5_17549,1
FP200000542BR_A5_17611,1
FP200000542BR_A5_17657,2
FP200000542BR_A5_17860,4
FP200000542BR_A5_17897,2
FP200000542BR_A5_17943,2
FP200000542BR_A5_18037,1
FP200000542BR_A5_18060,1
FP200000542BR_A5_18134,1
FP200000542BR_A5_18221,2
FP200000542BR_A5_18229,0
FP200000542BR_A5_18247,2
FP200000542BR_A5_18381,0
FP200000542BR_A5_18451,1
FP200000542BR_A5_18569,1
FP200000542BR_A5_18639,2
FP200000542BR_A5_18692,6
FP200000542BR_A5_18705,0
FP200000542BR_A5_18713,2
FP200000542BR_A5_18748,2
FP200000542BR_A5_18768,1
FP200000542BR_A5_18789,3
FP200000542BR_A5_18901,2
FP200000542BR_A5_19036,5
FP200000542BR_A5_19063,0
FP200000542BR_A5_19089,0
FP200000542BR_A5_19111,3
FP200000542BR_A5_19120,0
FP200000542BR_A5_19150,1
FP200000542BR_A5_19167,2
FP200000542BR_A5_19332,4
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,3
FP200000542BR_A5_19447,2
FP200000542BR_A5_19454,1
FP200000542BR_A5_19482,0
FP200000542BR_A5_19544,0
FP200000542BR_A5_19545,2
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,7
FP200000542BR_A5_19684,1
FP200000542BR_A5_19793,3
FP200000542BR_A5_19861,4
FP200000542BR_A5_19917,3
FP200000542BR_A5_19983,6
FP200000542BR_A5_20096,0
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,0
FP200000542BR_A5_20219,8
FP200000542BR_A5_20248,2
FP200000542BR_A5_20257,1
FP200000542BR_A5_20258,1
FP200000542BR_A5_20284,1
FP200000542BR_A5_20299,5
FP200000542BR_A5_20323,1
FP200000542BR_A5_20341,3
FP200000542BR_A5_20366,3
FP200000542BR_A5_20377,2
FP200000542BR_A5_20487,1
FP200000542BR_A5_20492,0
FP200000542BR_A5_20524,1
FP200000542BR_A5_20541,3
FP200000542BR_A5_20546,4
FP200000542BR_A5_20571,0
FP200000542BR_A5_20585,0
FP200000542BR_A5_20673,1
FP200000542BR_A5_20676,4
FP200000542BR_A5_20717,2
FP200000542BR_A5_20735,0
FP200000542BR_A5_20754,0
FP200000542BR_A5_20765,2
FP200000542BR_A5_20806,1
FP200000542BR_A5_20846,2
FP200000542BR_A5_20869,3
FP200000542BR_A5_20880,3
FP200000542BR_A5_21049,0
FP200000542BR_A5_21056,2
FP200000542BR_A5_21093,3
FP200000542BR_A5_21122,1
FP200000542BR_A5_21155,6
FP200000542BR_A5_21203,2
FP200000542BR_A5_21213,2
FP200000542BR_A5_21219,1
FP200000542BR_A5_21235,4
FP200000542BR_A5_21266,0
FP200000542BR_A5_21391,2
FP200000542BR_A5_21421,3
FP200000542BR_A5_21529,2
FP200000542BR_A5_21696,3
FP200000542BR_A5_21792,0
FP200000542BR_A5_21841,6
FP200000542BR_A5_21847,3
FP200000542BR_A5_21886,0
FP200000542BR_A5_21964,1
FP200000542BR_A5_21994,4
FP200000542BR_A5_22116,3
FP200000542BR_A5_22150,1
FP200000542BR_A5_22262,1
FP200000542BR_A5_22293,3
FP200000542BR_A5_22339,7
FP200000542BR_A5_22408,7
FP200000542BR_A5_22447,2
FP200000542BR_A5_22543,0
FP200000542BR_A5_22571,3
FP200000542BR_A5_22575,0
FP200000542BR_A5_22732,3
FP200000542BR_A5_22753,1
FP200000542BR_A5_22931,3
FP200000542BR_A5_23123,1
FP200000542BR_A5_23251,3
FP200000542BR_A5_23269,0
FP200000542BR_A5_23309,0
FP200000542BR_A5_23313,2
FP200000542BR_A5_23382,3
FP200000542BR_A5_23604,4
FP200000542BR_A5_23711,1
FP200000542BR_A5_23816,3
FP200000542BR_A5_23846,1
FP200000542BR_A5_23850,2
FP200000542BR_A5_24093,1
FP200000542BR_A5_24132,4
FP200000542BR_A5_24271,2
FP200000542BR_A5_24272,2
FP200000542BR_A5_24347,4
FP200000542BR_A5_24367,0
FP200000542BR_A5_24370,7
FP200000542BR_A5_24462,4
FP200000542BR_A5_24474,1
FP200000542BR_A5_24500,3
FP200000542BR_A5_24547,0
FP200000542BR_A5_24562,1
FP200000542BR_A5_24564,1
FP200000542BR_A5_24567,1
FP200000542BR_A5_24578,0
FP200000542BR_A5_24604,1
FP200000542BR_A5_24605,0
FP200000542BR_A5_24744,0
FP200000542BR_A5_24757,0
FP200000542BR_A5_24818,5
FP200000542BR_A5_24820,0
FP200000542BR_A5_24871,1
FP200000542BR_A5_24889,5
FP200000542BR_A5_24900,4
FP200000542BR_A5_24911,0
FP200000542BR_A5_24938,1
FP200000542BR_A5_24953,0
FP200000542BR_A5_24956,3
FP200000542BR_A5_25021,0
FP200000542BR_A5_25034,0
FP200000542BR_A5_25065,0
FP200000542BR_A5_25070,1
FP200000542BR_A5_25185,0
FP200000542BR_A5_25228,0
FP200000542BR_A5_25255,0
FP200000542BR_A5_25261,0
FP200000542BR_A5_25278,2
FP200000542BR_A5_25295,3
FP200000542BR_A5_25301,2
FP200000542BR_A5_25450,3
FP200000542BR_A5_25456,5
FP200000542BR_A5_25487,0
FP200000542BR_A5_25523,0
FP200000542BR_A5_25528,3
FP200000542BR_A5_25554,0
FP200000542BR_A5_25620,0
FP200000542BR_A5_25643,0
FP200000542BR_A5_25668,0
FP200000542BR_A5_25714,3
FP200000542BR_A5_25802,0
FP200000542BR_A5_25830,0
FP200000542BR_A5_25915,0
FP200000542BR_A5_26007,2
FP200000542BR_A5_26051,0
FP200000542BR_A5_26094,0
FP200000542BR_A5_26133,1
