cell_id,count
FP200000542BR_A5_14055,2
FP200000542BR_A5_14616,1
FP200000542BR_A5_14863,1
FP200000542BR_A5_14894,3
FP200000542BR_A5_15005,10
FP200000542BR_A5_15006,3
FP200000542BR_A5_15016,3
FP200000542BR_A5_16049,9
FP200000542BR_A5_16105,3
FP200000542BR_A5_16280,7
FP200000542BR_A5_16676,1
FP200000542BR_A5_16700,5
FP200000542BR_A5_16929,1
FP200000542BR_A5_17549,8
FP200000542BR_A5_17611,2
FP200000542BR_A5_17657,5
FP200000542BR_A5_17860,5
FP200000542BR_A5_17897,4
FP200000542BR_A5_17943,8
FP200000542BR_A5_18037,2
FP200000542BR_A5_18060,1
FP200000542BR_A5_18134,4
FP200000542BR_A5_18221,13
FP200000542BR_A5_18229,4
FP200000542BR_A5_18247,3
FP200000542BR_A5_18381,1
FP200000542BR_A5_18451,5
FP200000542BR_A5_18569,5
FP200000542BR_A5_18639,2
FP200000542BR_A5_18692,4
FP200000542BR_A5_18705,2
FP200000542BR_A5_18713,1
FP200000542BR_A5_18748,5
FP200000542BR_A5_18768,0
FP200000542BR_A5_18789,6
FP200000542BR_A5_18901,1
FP200000542BR_A5_19036,7
FP200000542BR_A5_19063,7
FP200000542BR_A5_19089,1
FP200000542BR_A5_19111,1
FP200000542BR_A5_19120,0
FP200000542BR_A5_19150,5
FP200000542BR_A5_19167,3
FP200000542BR_A5_19332,8
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,4
FP200000542BR_A5_19447,7
FP200000542BR_A5_19454,7
FP200000542BR_A5_19482,1
FP200000542BR_A5_19544,1
FP200000542BR_A5_19545,8
FP200000542BR_A5_19615,1
FP200000542BR_A5_19627,12
FP200000542BR_A5_19684,10
FP200000542BR_A5_19793,1
FP200000542BR_A5_19861,4
FP200000542BR_A5_19917,1
FP200000542BR_A5_19983,5
FP200000542BR_A5_20096,3
FP200000542BR_A5_20176,1
FP200000542BR_A5_20200,1
FP200000542BR_A5_20219,8
FP200000542BR_A5_20248,6
FP200000542BR_A5_20257,5
FP200000542BR_A5_20258,6
FP200000542BR_A5_20284,9
FP200000542BR_A5_20299,5
FP200000542BR_A5_20323,7
FP200000542BR_A5_20341,6
FP200000542BR_A5_20366,2
FP200000542BR_A5_20377,3
FP200000542BR_A5_20487,9
FP200000542BR_A5_20492,2
FP200000542BR_A5_20524,4
FP200000542BR_A5_20541,8
FP200000542BR_A5_20546,5
FP200000542BR_A5_20571,3
FP200000542BR_A5_20585,0
FP200000542BR_A5_20673,5
FP200000542BR_A5_20676,7
FP200000542BR_A5_20717,7
FP200000542BR_A5_20735,12
FP200000542BR_A5_20754,4
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,9
FP200000542BR_A5_20846,4
FP200000542BR_A5_20869,1
FP200000542BR_A5_20880,2
FP200000542BR_A5_21049,2
FP200000542BR_A5_21056,4
FP200000542BR_A5_21093,5
FP200000542BR_A5_21122,8
FP200000542BR_A5_21155,6
FP200000542BR_A5_21203,6
FP200000542BR_A5_21213,10
FP200000542BR_A5_21219,0
FP200000542BR_A5_21235,1
FP200000542BR_A5_21266,7
FP200000542BR_A5_21391,9
FP200000542BR_A5_21421,3
FP200000542BR_A5_21529,3
FP200000542BR_A5_21696,3
FP200000542BR_A5_21792,7
FP200000542BR_A5_21841,3
FP200000542BR_A5_21847,5
FP200000542BR_A5_21886,1
FP200000542BR_A5_21964,6
FP200000542BR_A5_21994,9
FP200000542BR_A5_22116,2
FP200000542BR_A5_22150,4
FP200000542BR_A5_22262,4
FP200000542BR_A5_22293,5
FP200000542BR_A5_22339,3
FP200000542BR_A5_22408,5
FP200000542BR_A5_22447,5
FP200000542BR_A5_22543,14
FP200000542BR_A5_22571,5
FP200000542BR_A5_22575,3
FP200000542BR_A5_22732,10
FP200000542BR_A5_22753,3
FP200000542BR_A5_22931,3
FP200000542BR_A5_23123,6
FP200000542BR_A5_23251,6
FP200000542BR_A5_23269,1
FP200000542BR_A5_23309,2
FP200000542BR_A5_23313,2
FP200000542BR_A5_23382,10
FP200000542BR_A5_23604,7
FP200000542BR_A5_23711,4
FP200000542BR_A5_23816,12
FP200000542BR_A5_23846,5
FP200000542BR_A5_23850,9
FP200000542BR_A5_24093,3
FP200000542BR_A5_24132,8
FP200000542BR_A5_24271,6
FP200000542BR_A5_24272,2
FP200000542BR_A5_24347,8
FP200000542BR_A5_24367,5
FP200000542BR_A5_24370,4
FP200000542BR_A5_24462,5
FP200000542BR_A5_24474,5
FP200000542BR_A5_24500,6
FP200000542BR_A5_24547,3
FP200000542BR_A5_24562,0
FP200000542BR_A5_24564,6
FP200000542BR_A5_24567,5
FP200000542BR_A5_24578,4
FP200000542BR_A5_24604,6
FP200000542BR_A5_24605,5
FP200000542BR_A5_24744,1
FP200000542BR_A5_24757,3
FP200000542BR_A5_24818,5
FP200000542BR_A5_24820,0
FP200000542BR_A5_24871,3
FP200000542BR_A5_24889,8
FP200000542BR_A5_24900,1
FP200000542BR_A5_24911,4
FP200000542BR_A5_24938,8
FP200000542BR_A5_24953,2
FP200000542BR_A5_24956,2
FP200000542BR_A5_25021,5
FP200000542BR_A5_25034,0
FP200000542BR_A5_25065,6
FP200000542BR_A5_25070,5
FP200000542BR_A5_25185,4
FP200000542BR_A5_25228,10
FP200000542BR_A5_25255,4
FP200000542BR_A5_25261,2
FP200000542BR_A5_25278,6
FP200000542BR_A5_25295,4
FP200000542BR_A5_25301,10
FP200000542BR_A5_25450,1
FP200000542BR_A5_25456,2
FP200000542BR_A5_25487,9
FP200000542BR_A5_25523,1
FP200000542BR_A5_25528,9
FP200000542BR_A5_25554,2
FP200000542BR_A5_25620,4
FP200000542BR_A5_25643,0
FP200000542BR_A5_25668,6
FP200000542BR_A5_25714,6
FP200000542BR_A5_25802,1
FP200000542BR_A5_25830,0
FP200000542BR_A5_25915,4
FP200000542BR_A5_26007,7
FP200000542BR_A5_26051,4
FP200000542BR_A5_26094,0
FP200000542BR_A5_26133,6
FP200000542BR_A5_26165,2
FP200000542BR_A5_26180,3
FP200000542BR_A5_26284,5
FP200000542BR_A5_26302,10
FP200000542BR_A5_26344,8
FP200000542BR_A5_26369,0
FP200000542BR_A5_26419,0
FP200000542BR_A5_26472,4
FP200000542BR_A5_26483,4
FP200000542BR_A5_26541,1
FP200000542BR_A5_26566,9
FP200000542BR_A5_26576,6
FP200000542BR_A5_26579,1
FP200000542BR_A5_26624,2
FP200000542BR_A5_26677,0
FP200000542BR_A5_26796,1
FP200000542BR_A5_26830,4
FP200000542BR_A5_26843,6
FP200000542BR_A5_26896,13
FP200000542BR_A5_26974,8
FP200000542BR_A5_27002,11
FP200000542BR_A5_27053,13
FP200000542BR_A5_27095,3
FP200000542BR_A5_27197,5
FP200000542BR_A5_27220,7
FP200000542BR_A5_27348,1
FP200000542BR_A5_27349,5
FP200000542BR_A5_27364,6
FP200000542BR_A5_27377,7
FP200000542BR_A5_27383,5
FP200000542BR_A5_27426,3
FP200000542BR_A5_27619,9
FP200000542BR_A5_27620,6
FP200000542BR_A5_27697,2
FP200000542BR_A5_27863,2
FP200000542BR_A5_27876,10
FP200000542BR_A5_27980,8
FP200000542BR_A5_27987,0
FP200000542BR_A5_28079,3
FP200000542BR_A5_28158,10
FP200000542BR_A5_28167,8
FP200000542BR_A5_28170,9
FP200000542BR_A5_28323,5
FP200000542BR_A5_28333,0
FP200000542BR_A5_28344,3
FP200000542BR_A5_28378,5
FP200000542BR_A5_28468,8
FP200000542BR_A5_28511,0
FP200000542BR_A5_28604,4
FP200000542BR_A5_28626,13
FP200000542BR_A5_28632,11
FP200000542BR_A5_28657,1
FP200000542BR_A5_28790,7
FP200000542BR_A5_28814,13
FP200000542BR_A5_28824,3
FP200000542BR_A5_28839,0
FP200000542BR_A5_28846,10
FP200000542BR_A5_28885,9
FP200000542BR_A5_28917,0
FP200000542BR_A5_29048,6
FP200000542BR_A5_29065,6
FP200000542BR_A5_29084,2
FP200000542BR_A5_29089,11
FP200000542BR_A5_29142,5
FP200000542BR_A5_29148,2
FP200000542BR_A5_29254,2
FP200000542BR_A5_29299,7
FP200000542BR_A5_29356,7
FP200000542BR_A5_29361,5
FP200000542BR_A5_29377,14
FP200000542BR_A5_29404,14
FP200000542BR_A5_29418,12
FP200000542BR_A5_29426,6
FP200000542BR_A5_29446,11
FP200000542BR_A5_29455,1
FP200000542BR_A5_29464,5
FP200000542BR_A5_29496,6
FP200000542BR_A5_29518,6
FP200000542BR_A5_29577,13
FP200000542BR_A5_29606,6
FP200000542BR_A5_29615,5
FP200000542BR_A5_29623,2
FP200000542BR_A5_29627,6
FP200000542BR_A5_29683,1
FP200000542BR_A5_29712,4
FP200000542BR_A5_29800,3
FP200000542BR_A5_29878,15
FP200000542BR_A5_29884,8
FP200000542BR_A5_29889,5
FP200000542BR_A5_29890,2
FP200000542BR_A5_29895,7
FP200000542BR_A5_29907,1
FP200000542BR_A5_30038,3
FP200000542BR_A5_30065,1
FP200000542BR_A5_30089,2
FP200000542BR_A5_30095,3
FP200000542BR_A5_30116,12
FP200000542BR_A5_30128,9
FP200000542BR_A5_30191,8
FP200000542BR_A5_30215,12
FP200000542BR_A5_30216,6
FP200000542BR_A5_30225,10
FP200000542BR_A5_30227,3
FP200000542BR_A5_30267,7
FP200000542BR_A5_30341,8
FP200000542BR_A5_30445,3
FP200000542BR_A5_30491,8
FP200000542BR_A5_30492,5
FP200000542BR_A5_30573,4
FP200000542BR_A5_30590,5
FP200000542BR_A5_30599,1
FP200000542BR_A5_30633,5
FP200000542BR_A5_30660,7
FP200000542BR_A5_30684,14
FP200000542BR_A5_30776,7
FP200000542BR_A5_30803,17
FP200000542BR_A5_30860,6
FP200000542BR_A5_30901,4
FP200000542BR_A5_31028,14
FP200000542BR_A5_31220,2
FP200000542BR_A5_31262,4
FP200000542BR_A5_31281,10
FP200000542BR_A5_31464,3
FP200000542BR_A5_31497,11
FP200000542BR_A5_31667,10
FP200000542BR_A5_31719,3
FP200000542BR_A5_31875,3
FP200000542BR_A5_32068,4
FP200000542BR_A5_32257,9
FP200000542BR_A5_32294,1
FP200000542BR_A5_32737,6
FP200000542BR_A5_32817,5
FP200000542BR_A5_32863,8
FP200000542BR_A5_32963,6
FP200000542BR_A5_33131,2
FP200000542BR_A5_33208,0
FP200000542BR_A5_33373,0
FP200000542BR_A5_33594,13
FP200000542BR_A5_34097,9
FP200000542BR_A5_34203,7
FP200000542BR_A5_34480,7
FP200000542BR_A5_34976,6
FP200000542BR_A5_35253,2
FP200000542BR_A5_35361,0
FP200000542BR_A5_35496,2
FP200000542BR_A5_35822,5
FP200000542BR_A3_14894,1
FP200000542BR_A3_14924,5
FP200000542BR_A3_14998,4
FP200000542BR_A3_15163,0
FP200000542BR_A3_15371,0
FP200000542BR_A3_16209,2
FP200000542BR_A3_17188,6
FP200000542BR_A3_17213,1
FP200000542BR_A3_17240,3
FP200000542BR_A3_17260,2
FP200000542BR_A3_17608,4
FP200000542BR_A3_17623,2
FP200000542BR_A3_17652,1
FP200000542BR_A3_17794,1
FP200000542BR_A3_17882,2
FP200000542BR_A3_17941,1
FP200000542BR_A3_17956,2
FP200000542BR_A3_17964,1
FP200000542BR_A3_17992,1
FP200000542BR_A3_18104,4
FP200000542BR_A3_18412,2
FP200000542BR_A3_18606,6
FP200000542BR_A3_18648,2
FP200000542BR_A3_18775,2
FP200000542BR_A3_19330,7
FP200000542BR_A3_19468,4
FP200000542BR_A3_19501,0
FP200000542BR_A3_19586,3
FP200000542BR_A3_19625,1
FP200000542BR_A3_19713,5
FP200000542BR_A3_19738,3
FP200000542BR_A3_19788,2
FP200000542BR_A3_19808,5
FP200000542BR_A3_19819,2
FP200000542BR_A3_19935,1
FP200000542BR_A3_20022,0
FP200000542BR_A3_20039,3
FP200000542BR_A3_20107,5
FP200000542BR_A3_20126,0
FP200000542BR_A3_20127,2
FP200000542BR_A3_20179,2
FP200000542BR_A3_20330,0
FP200000542BR_A3_20399,4
FP200000542BR_A3_20445,4
FP200000542BR_A3_20449,6
FP200000542BR_A3_20530,5
FP200000542BR_A3_20651,2
FP200000542BR_A3_20652,4
FP200000542BR_A3_20661,3
FP200000542BR_A3_20717,4
FP200000542BR_A3_20741,1
FP200000542BR_A3_20752,1
FP200000542BR_A3_20836,3
FP200000542BR_A3_20846,4
FP200000542BR_A3_20899,11
FP200000542BR_A3_21003,4
FP200000542BR_A3_21057,3
FP200000542BR_A3_21073,4
FP200000542BR_A3_21109,0
FP200000542BR_A3_21287,3
FP200000542BR_A3_21307,1
FP200000542BR_A3_21321,4
FP200000542BR_A3_21376,17
FP200000542BR_A3_21379,0
FP200000542BR_A3_21392,8
FP200000542BR_A3_21430,5
FP200000542BR_A3_21447,5
FP200000542BR_A3_21727,3
FP200000542BR_A3_21760,6
FP200000542BR_A3_21812,4
FP200000542BR_A3_21836,6
FP200000542BR_A3_21879,13
FP200000542BR_A3_21906,2
FP200000542BR_A3_21931,1
FP200000542BR_A3_21949,2
FP200000542BR_A3_22049,2
FP200000542BR_A3_22056,1
FP200000542BR_A3_22237,7
FP200000542BR_A3_22245,2
FP200000542BR_A3_22268,1
FP200000542BR_A3_22273,1
FP200000542BR_A3_22378,6
FP200000542BR_A3_22429,6
