cell_id,count
FP200000542BR_A5_14055,2
FP200000542BR_A5_14616,0
FP200000542BR_A5_14863,1
FP200000542BR_A5_14894,7
FP200000542BR_A5_15005,1
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,1
FP200000542BR_A5_16049,1
FP200000542BR_A5_16105,4
FP200000542BR_A5_16280,4
FP200000542BR_A5_16676,0
FP200000542BR_A5_16700,2
FP200000542BR_A5_16929,0
FP200000542BR_A5_17549,6
FP200000542BR_A5_17611,7
FP200000542BR_A5_17657,6
FP200000542BR_A5_17860,3
FP200000542BR_A5_17897,4
FP200000542BR_A5_17943,7
FP200000542BR_A5_18037,1
FP200000542BR_A5_18060,6
FP200000542BR_A5_18134,8
FP200000542BR_A5_18221,8
FP200000542BR_A5_18229,1
FP200000542BR_A5_18247,3
FP200000542BR_A5_18381,4
FP200000542BR_A5_18451,3
FP200000542BR_A5_18569,2
FP200000542BR_A5_18639,6
FP200000542BR_A5_18692,1
FP200000542BR_A5_18705,1
FP200000542BR_A5_18713,4
FP200000542BR_A5_18748,1
FP200000542BR_A5_18768,5
FP200000542BR_A5_18789,4
FP200000542BR_A5_18901,0
FP200000542BR_A5_19036,2
FP200000542BR_A5_19063,1
FP200000542BR_A5_19089,4
FP200000542BR_A5_19111,1
FP200000542BR_A5_19120,1
FP200000542BR_A5_19150,3
FP200000542BR_A5_19167,4
FP200000542BR_A5_19332,11
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,4
FP200000542BR_A5_19447,2
FP200000542BR_A5_19454,7
FP200000542BR_A5_19482,5
FP200000542BR_A5_19544,3
FP200000542BR_A5_19545,2
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,8
FP200000542BR_A5_19684,0
FP200000542BR_A5_19793,0
FP200000542BR_A5_19861,3
FP200000542BR_A5_19917,2
FP200000542BR_A5_19983,5
FP200000542BR_A5_20096,1
FP200000542BR_A5_20176,1
FP200000542BR_A5_20200,0
FP200000542BR_A5_20219,5
FP200000542BR_A5_20248,1
FP200000542BR_A5_20257,1
FP200000542BR_A5_20258,4
FP200000542BR_A5_20284,6
FP200000542BR_A5_20299,3
FP200000542BR_A5_20323,3
FP200000542BR_A5_20341,2
FP200000542BR_A5_20366,5
FP200000542BR_A5_20377,0
FP200000542BR_A5_20487,0
FP200000542BR_A5_20492,1
FP200000542BR_A5_20524,1
FP200000542BR_A5_20541,7
FP200000542BR_A5_20546,5
FP200000542BR_A5_20571,1
FP200000542BR_A5_20585,1
FP200000542BR_A5_20673,6
FP200000542BR_A5_20676,8
FP200000542BR_A5_20717,1
FP200000542BR_A5_20735,8
FP200000542BR_A5_20754,2
FP200000542BR_A5_20765,2
FP200000542BR_A5_20806,8
FP200000542BR_A5_20846,9
FP200000542BR_A5_20869,12
FP200000542BR_A5_20880,1
FP200000542BR_A5_21049,2
FP200000542BR_A5_21056,8
FP200000542BR_A5_21093,1
FP200000542BR_A5_21122,0
FP200000542BR_A5_21155,6
FP200000542BR_A5_21203,2
FP200000542BR_A5_21213,6
FP200000542BR_A5_21219,6
FP200000542BR_A5_21235,4
FP200000542BR_A5_21266,2
FP200000542BR_A5_21391,7
FP200000542BR_A5_21421,2
FP200000542BR_A5_21529,1
FP200000542BR_A5_21696,3
FP200000542BR_A5_21792,4
