cell_id,count
FP200000542BR_A5_14055,3
FP200000542BR_A5_14616,2
FP200000542BR_A5_14863,3
FP200000542BR_A5_14894,4
FP200000542BR_A5_15005,6
FP200000542BR_A5_15006,2
FP200000542BR_A5_15016,4
FP200000542BR_A5_16049,5
FP200000542BR_A5_16105,7
FP200000542BR_A5_16280,5
FP200000542BR_A5_16676,2
FP200000542BR_A5_16700,1
FP200000542BR_A5_16929,4
FP200000542BR_A5_17549,5
FP200000542BR_A5_17611,3
FP200000542BR_A5_17657,2
FP200000542BR_A5_17860,1
FP200000542BR_A5_17897,2
FP200000542BR_A5_17943,8
FP200000542BR_A5_18037,2
FP200000542BR_A5_18060,5
FP200000542BR_A5_18134,2
FP200000542BR_A5_18221,6
FP200000542BR_A5_18229,2
FP200000542BR_A5_18247,2
FP200000542BR_A5_18381,2
FP200000542BR_A5_18451,0
FP200000542BR_A5_18569,2
FP200000542BR_A5_18639,7
FP200000542BR_A5_18692,2
FP200000542BR_A5_18705,0
FP200000542BR_A5_18713,2
FP200000542BR_A5_18748,4
FP200000542BR_A5_18768,0
FP200000542BR_A5_18789,3
FP200000542BR_A5_18901,2
FP200000542BR_A5_19036,4
FP200000542BR_A5_19063,3
FP200000542BR_A5_19089,3
FP200000542BR_A5_19111,1
FP200000542BR_A5_19120,2
FP200000542BR_A5_19150,2
FP200000542BR_A5_19167,4
FP200000542BR_A5_19332,7
FP200000542BR_A5_19409,1
FP200000542BR_A5_19423,5
FP200000542BR_A5_19447,16
FP200000542BR_A5_19454,3
FP200000542BR_A5_19482,1
FP200000542BR_A5_19544,2
FP200000542BR_A5_19545,10
FP200000542BR_A5_19615,2
FP200000542BR_A5_19627,10
FP200000542BR_A5_19684,5
FP200000542BR_A5_19793,6
FP200000542BR_A5_19861,5
FP200000542BR_A5_19917,2
FP200000542BR_A5_19983,5
FP200000542BR_A5_20096,4
FP200000542BR_A5_20176,3
FP200000542BR_A5_20200,5
FP200000542BR_A5_20219,7
FP200000542BR_A5_20248,3
FP200000542BR_A5_20257,1
FP200000542BR_A5_20258,3
FP200000542BR_A5_20284,11
FP200000542BR_A5_20299,7
FP200000542BR_A5_20323,4
FP200000542BR_A5_20341,4
FP200000542BR_A5_20366,11
FP200000542BR_A5_20377,7
FP200000542BR_A5_20487,5
FP200000542BR_A5_20492,2
FP200000542BR_A5_20524,5
FP200000542BR_A5_20541,3
FP200000542BR_A5_20546,5
FP200000542BR_A5_20571,4
FP200000542BR_A5_20585,3
FP200000542BR_A5_20673,7
