cell_id,count
FP200000542BR_A5_14055,3
FP200000542BR_A5_14616,3
FP200000542BR_A5_14863,3
FP200000542BR_A5_14894,4
FP200000542BR_A5_15005,7
FP200000542BR_A5_15006,3
FP200000542BR_A5_15016,1
FP200000542BR_A5_16049,8
FP200000542BR_A5_16105,4
FP200000542BR_A5_16280,6
FP200000542BR_A5_16676,2
FP200000542BR_A5_16700,5
FP200000542BR_A5_16929,3
FP200000542BR_A5_17549,4
FP200000542BR_A5_17611,7
FP200000542BR_A5_17657,11
FP200000542BR_A5_17860,4
FP200000542BR_A5_17897,2
FP200000542BR_A5_17943,4
FP200000542BR_A5_18037,3
FP200000542BR_A5_18060,4
FP200000542BR_A5_18134,4
FP200000542BR_A5_18221,7
FP200000542BR_A5_18229,2
FP200000542BR_A5_18247,1
FP200000542BR_A5_18381,2
FP200000542BR_A5_18451,4
FP200000542BR_A5_18569,4
FP200000542BR_A5_18639,12
FP200000542BR_A5_18692,8
FP200000542BR_A5_18705,1
FP200000542BR_A5_18713,5
FP200000542BR_A5_18748,12
FP200000542BR_A5_18768,1
FP200000542BR_A5_18789,9
FP200000542BR_A5_18901,1
FP200000542BR_A5_19036,6
FP200000542BR_A5_19063,0
FP200000542BR_A5_19089,1
FP200000542BR_A5_19111,3
FP200000542BR_A5_19120,0
FP200000542BR_A5_19150,6
FP200000542BR_A5_19167,3
FP200000542BR_A5_19332,3
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,8
FP200000542BR_A5_19447,10
FP200000542BR_A5_19454,3
FP200000542BR_A5_19482,9
FP200000542BR_A5_19544,3
FP200000542BR_A5_19545,6
FP200000542BR_A5_19615,2
FP200000542BR_A5_19627,12
FP200000542BR_A5_19684,3
FP200000542BR_A5_19793,2
FP200000542BR_A5_19861,7
FP200000542BR_A5_19917,1
FP200000542BR_A5_19983,6
FP200000542BR_A5_20096,5
FP200000542BR_A5_20176,2
FP200000542BR_A5_20200,1
FP200000542BR_A5_20219,4
FP200000542BR_A5_20248,4
FP200000542BR_A5_20257,4
FP200000542BR_A5_20258,7
FP200000542BR_A5_20284,13
FP200000542BR_A5_20299,4
FP200000542BR_A5_20323,7
FP200000542BR_A5_20341,6
FP200000542BR_A5_20366,5
FP200000542BR_A5_20377,3
FP200000542BR_A5_20487,5
FP200000542BR_A5_20492,4
FP200000542BR_A5_20524,5
FP200000542BR_A5_20541,2
FP200000542BR_A5_20546,5
FP200000542BR_A5_20571,1
FP200000542BR_A5_20585,0
FP200000542BR_A5_20673,13
FP200000542BR_A5_20676,6
FP200000542BR_A5_20717,2
FP200000542BR_A5_20735,11
FP200000542BR_A5_20754,2
FP200000542BR_A5_20765,2
FP200000542BR_A5_20806,13
FP200000542BR_A5_20846,3
FP200000542BR_A5_20869,20
FP200000542BR_A5_20880,2
FP200000542BR_A5_21049,5
FP200000542BR_A5_21056,5
FP200000542BR_A5_21093,4
FP200000542BR_A5_21122,3
FP200000542BR_A5_21155,15
FP200000542BR_A5_21203,0
FP200000542BR_A5_21213,5
FP200000542BR_A5_21219,10
FP200000542BR_A5_21235,0
FP200000542BR_A5_21266,1
FP200000542BR_A5_21391,11
FP200000542BR_A5_21421,3
FP200000542BR_A5_21529,8
FP200000542BR_A5_21696,5
FP200000542BR_A5_21792,6
FP200000542BR_A5_21841,1
FP200000542BR_A5_21847,5
FP200000542BR_A5_21886,7
FP200000542BR_A5_21964,4
FP200000542BR_A5_21994,8
FP200000542BR_A5_22116,3
FP200000542BR_A5_22150,8
FP200000542BR_A5_22262,2
FP200000542BR_A5_22293,8
FP200000542BR_A5_22339,0
FP200000542BR_A5_22408,3
FP200000542BR_A5_22447,6
FP200000542BR_A5_22543,1
FP200000542BR_A5_22571,7
FP200000542BR_A5_22575,2
FP200000542BR_A5_22732,14
FP200000542BR_A5_22753,2
FP200000542BR_A5_22931,1
FP200000542BR_A5_23123,4
FP200000542BR_A5_23251,11
FP200000542BR_A5_23269,0
FP200000542BR_A5_23309,3
FP200000542BR_A5_23313,0
FP200000542BR_A5_23382,2
FP200000542BR_A5_23604,7
FP200000542BR_A5_23711,1
FP200000542BR_A5_23816,8
FP200000542BR_A5_23846,10
FP200000542BR_A5_23850,8
FP200000542BR_A5_24093,3
FP200000542BR_A5_24132,4
FP200000542BR_A5_24271,1
FP200000542BR_A5_24272,4
FP200000542BR_A5_24347,12
FP200000542BR_A5_24367,5
FP200000542BR_A5_24370,0
FP200000542BR_A5_24462,8
FP200000542BR_A5_24474,9
FP200000542BR_A5_24500,11
FP200000542BR_A5_24547,1
FP200000542BR_A5_24562,0
FP200000542BR_A5_24564,2
FP200000542BR_A5_24567,0
FP200000542BR_A5_24578,4
FP200000542BR_A5_24604,1
FP200000542BR_A5_24605,4
FP200000542BR_A5_24744,1
FP200000542BR_A5_24757,13
FP200000542BR_A5_24818,9
FP200000542BR_A5_24820,2
FP200000542BR_A5_24871,4
FP200000542BR_A5_24889,6
FP200000542BR_A5_24900,2
FP200000542BR_A5_24911,1
FP200000542BR_A5_24938,3
FP200000542BR_A5_24953,6
FP200000542BR_A5_24956,5
FP200000542BR_A5_25021,4
FP200000542BR_A5_25034,0
FP200000542BR_A5_25065,2
FP200000542BR_A5_25070,3
FP200000542BR_A5_25185,4
FP200000542BR_A5_25228,8
FP200000542BR_A5_25255,4
FP200000542BR_A5_25261,1
FP200000542BR_A5_25278,0
FP200000542BR_A5_25295,4
FP200000542BR_A5_25301,6
FP200000542BR_A5_25450,1
FP200000542BR_A5_25456,2
FP200000542BR_A5_25487,1
FP200000542BR_A5_25523,6
FP200000542BR_A5_25528,7
FP200000542BR_A5_25554,1
FP200000542BR_A5_25620,1
FP200000542BR_A5_25643,5
FP200000542BR_A5_25668,10
FP200000542BR_A5_25714,7
FP200000542BR_A5_25802,1
FP200000542BR_A5_25830,0
FP200000542BR_A5_25915,0
FP200000542BR_A5_26007,0
FP200000542BR_A5_26051,1
FP200000542BR_A5_26094,0
FP200000542BR_A5_26133,2
FP200000542BR_A5_26165,0
FP200000542BR_A5_26180,0
FP200000542BR_A5_26284,10
FP200000542BR_A5_26302,1
FP200000542BR_A5_26344,8
FP200000542BR_A5_26369,4
FP200000542BR_A5_26419,0
FP200000542BR_A5_26472,6
FP200000542BR_A5_26483,4
FP200000542BR_A5_26541,2
FP200000542BR_A5_26566,4
FP200000542BR_A5_26576,3
FP200000542BR_A5_26579,3
FP200000542BR_A5_26624,2
FP200000542BR_A5_26677,0
FP200000542BR_A5_26796,0
FP200000542BR_A5_26830,3
FP200000542BR_A5_26843,6
FP200000542BR_A5_26896,7
FP200000542BR_A5_26974,3
FP200000542BR_A5_27002,3
FP200000542BR_A5_27053,7
FP200000542BR_A5_27095,1
FP200000542BR_A5_27197,4
FP200000542BR_A5_27220,11
FP200000542BR_A5_27348,3
FP200000542BR_A5_27349,12
FP200000542BR_A5_27364,1
FP200000542BR_A5_27377,14
FP200000542BR_A5_27383,3
FP200000542BR_A5_27426,4
FP200000542BR_A5_27619,9
FP200000542BR_A5_27620,7
FP200000542BR_A5_27697,6
FP200000542BR_A5_27863,3
FP200000542BR_A5_27876,3
FP200000542BR_A5_27980,3
FP200000542BR_A5_27987,3
FP200000542BR_A5_28079,3
FP200000542BR_A5_28158,7
FP200000542BR_A5_28167,9
FP200000542BR_A5_28170,10
FP200000542BR_A5_28323,7
FP200000542BR_A5_28333,5
FP200000542BR_A5_28344,5
FP200000542BR_A5_28378,4
FP200000542BR_A5_28468,5
FP200000542BR_A5_28511,2
FP200000542BR_A5_28604,9
FP200000542BR_A5_28626,11
FP200000542BR_A5_28632,1
FP200000542BR_A5_28657,3
FP200000542BR_A5_28790,5
FP200000542BR_A5_28814,5
FP200000542BR_A5_28824,5
FP200000542BR_A5_28839,0
FP200000542BR_A5_28846,9
FP200000542BR_A5_28885,4
FP200000542BR_A5_28917,3
FP200000542BR_A5_29048,5
FP200000542BR_A5_29065,5
FP200000542BR_A5_29084,0
FP200000542BR_A5_29089,5
FP200000542BR_A5_29142,3
FP200000542BR_A5_29148,1
FP200000542BR_A5_29254,2
FP200000542BR_A5_29299,9
FP200000542BR_A5_29356,9
FP200000542BR_A5_29361,2
FP200000542BR_A5_29377,7
FP200000542BR_A5_29404,18
FP200000542BR_A5_29418,14
FP200000542BR_A5_29426,1
FP200000542BR_A5_29446,2
FP200000542BR_A5_29455,0
FP200000542BR_A5_29464,4
FP200000542BR_A5_29496,3
FP200000542BR_A5_29518,4
FP200000542BR_A5_29577,10
FP200000542BR_A5_29606,3
FP200000542BR_A5_29615,5
FP200000542BR_A5_29623,0
FP200000542BR_A5_29627,6
FP200000542BR_A5_29683,1
FP200000542BR_A5_29712,0
