cell_id,count
FP200000542BR_A5_14055,4
FP200000542BR_A5_14616,13
FP200000542BR_A5_14863,3
FP200000542BR_A5_14894,10
FP200000542BR_A5_15005,9
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,3
FP200000542BR_A5_16049,14
FP200000542BR_A5_16105,8
FP200000542BR_A5_16280,16
FP200000542BR_A5_16676,4
FP200000542BR_A5_16700,6
FP200000542BR_A5_16929,7
FP200000542BR_A5_17549,5
FP200000542BR_A5_17611,7
FP200000542BR_A5_17657,13
FP200000542BR_A5_17860,17
FP200000542BR_A5_17897,10
FP200000542BR_A5_17943,19
FP200000542BR_A5_18037,4
FP200000542BR_A5_18060,4
FP200000542BR_A5_18134,4
FP200000542BR_A5_18221,9
FP200000542BR_A5_18229,4
FP200000542BR_A5_18247,5
FP200000542BR_A5_18381,19
FP200000542BR_A5_18451,2
FP200000542BR_A5_18569,6
FP200000542BR_A5_18639,11
FP200000542BR_A5_18692,5
FP200000542BR_A5_18705,8
FP200000542BR_A5_18713,5
FP200000542BR_A5_18748,6
FP200000542BR_A5_18768,4
FP200000542BR_A5_18789,22
FP200000542BR_A5_18901,4
FP200000542BR_A5_19036,16
FP200000542BR_A5_19063,8
FP200000542BR_A5_19089,5
FP200000542BR_A5_19111,9
FP200000542BR_A5_19120,3
FP200000542BR_A5_19150,15
FP200000542BR_A5_19167,11
FP200000542BR_A5_19332,17
FP200000542BR_A5_19409,1
FP200000542BR_A5_19423,14
FP200000542BR_A5_19447,16
FP200000542BR_A5_19454,13
FP200000542BR_A5_19482,12
FP200000542BR_A5_19544,5
FP200000542BR_A5_19545,25
FP200000542BR_A5_19615,4
FP200000542BR_A5_19627,17
FP200000542BR_A5_19684,6
FP200000542BR_A5_19793,7
FP200000542BR_A5_19861,16
FP200000542BR_A5_19917,5
FP200000542BR_A5_19983,16
FP200000542BR_A5_20096,11
FP200000542BR_A5_20176,2
FP200000542BR_A5_20200,0
FP200000542BR_A5_20219,7
FP200000542BR_A5_20248,4
FP200000542BR_A5_20257,13
FP200000542BR_A5_20258,23
FP200000542BR_A5_20284,23
FP200000542BR_A5_20299,7
FP200000542BR_A5_20323,8
FP200000542BR_A5_20341,11
FP200000542BR_A5_20366,12
FP200000542BR_A5_20377,11
FP200000542BR_A5_20487,6
FP200000542BR_A5_20492,5
FP200000542BR_A5_20524,5
FP200000542BR_A5_20541,12
FP200000542BR_A5_20546,19
FP200000542BR_A5_20571,6
FP200000542BR_A5_20585,6
FP200000542BR_A5_20673,5
FP200000542BR_A5_20676,33
FP200000542BR_A5_20717,8
FP200000542BR_A5_20735,11
FP200000542BR_A5_20754,6
FP200000542BR_A5_20765,5
FP200000542BR_A5_20806,22
FP200000542BR_A5_20846,7
FP200000542BR_A5_20869,7
FP200000542BR_A5_20880,9
FP200000542BR_A5_21049,6
FP200000542BR_A5_21056,14
FP200000542BR_A5_21093,15
FP200000542BR_A5_21122,6
FP200000542BR_A5_21155,13
FP200000542BR_A5_21203,6
FP200000542BR_A5_21213,11
FP200000542BR_A5_21219,8
FP200000542BR_A5_21235,9
FP200000542BR_A5_21266,5
FP200000542BR_A5_21391,24
FP200000542BR_A5_21421,8
FP200000542BR_A5_21529,2
FP200000542BR_A5_21696,8
FP200000542BR_A5_21792,20
FP200000542BR_A5_21841,8
FP200000542BR_A5_21847,9
FP200000542BR_A5_21886,9
FP200000542BR_A5_21964,7
FP200000542BR_A5_21994,10
FP200000542BR_A5_22116,15
FP200000542BR_A5_22150,7
FP200000542BR_A5_22262,0
FP200000542BR_A5_22293,9
FP200000542BR_A5_22339,12
FP200000542BR_A5_22408,9
FP200000542BR_A5_22447,7
FP200000542BR_A5_22543,2
FP200000542BR_A5_22571,17
FP200000542BR_A5_22575,5
FP200000542BR_A5_22732,16
FP200000542BR_A5_22753,12
FP200000542BR_A5_22931,7
FP200000542BR_A5_23123,4
FP200000542BR_A5_23251,9
FP200000542BR_A5_23269,0
FP200000542BR_A5_23309,4
FP200000542BR_A5_23313,0
FP200000542BR_A5_23382,14
FP200000542BR_A5_23604,12
FP200000542BR_A5_23711,4
FP200000542BR_A5_23816,15
FP200000542BR_A5_23846,21
FP200000542BR_A5_23850,19
FP200000542BR_A5_24093,13
FP200000542BR_A5_24132,11
FP200000542BR_A5_24271,7
FP200000542BR_A5_24272,2
FP200000542BR_A5_24347,20
FP200000542BR_A5_24367,3
FP200000542BR_A5_24370,7
FP200000542BR_A5_24462,17
FP200000542BR_A5_24474,16
FP200000542BR_A5_24500,16
FP200000542BR_A5_24547,4
FP200000542BR_A5_24562,0
FP200000542BR_A5_24564,21
FP200000542BR_A5_24567,3
FP200000542BR_A5_24578,2
FP200000542BR_A5_24604,4
FP200000542BR_A5_24605,6
FP200000542BR_A5_24744,0
FP200000542BR_A5_24757,6
FP200000542BR_A5_24818,6
FP200000542BR_A5_24820,0
FP200000542BR_A5_24871,1
FP200000542BR_A5_24889,10
FP200000542BR_A5_24900,10
