cell_id,count
FP200000542BR_A5_14055,4
FP200000542BR_A5_14616,7
FP200000542BR_A5_14863,1
FP200000542BR_A5_14894,1
FP200000542BR_A5_15005,7
FP200000542BR_A5_15006,2
FP200000542BR_A5_15016,1
FP200000542BR_A5_16049,7
FP200000542BR_A5_16105,1
FP200000542BR_A5_16280,3
FP200000542BR_A5_16676,1
FP200000542BR_A5_16700,3
FP200000542BR_A5_16929,0
FP200000542BR_A5_17549,2
FP200000542BR_A5_17611,8
FP200000542BR_A5_17657,5
FP200000542BR_A5_17860,8
FP200000542BR_A5_17897,2
FP200000542BR_A5_17943,6
FP200000542BR_A5_18037,2
FP200000542BR_A5_18060,2
FP200000542BR_A5_18134,1
FP200000542BR_A5_18221,4
FP200000542BR_A5_18229,1
FP200000542BR_A5_18247,2
FP200000542BR_A5_18381,1
FP200000542BR_A5_18451,1
FP200000542BR_A5_18569,4
FP200000542BR_A5_18639,2
FP200000542BR_A5_18692,1
FP200000542BR_A5_18705,2
FP200000542BR_A5_18713,1
FP200000542BR_A5_18748,6
FP200000542BR_A5_18768,0
FP200000542BR_A5_18789,3
FP200000542BR_A5_18901,0
FP200000542BR_A5_19036,2
FP200000542BR_A5_19063,3
FP200000542BR_A5_19089,3
FP200000542BR_A5_19111,2
FP200000542BR_A5_19120,0
FP200000542BR_A5_19150,5
FP200000542BR_A5_19167,2
FP200000542BR_A5_19332,5
FP200000542BR_A5_19409,1
FP200000542BR_A5_19423,4
FP200000542BR_A5_19447,3
FP200000542BR_A5_19454,1
FP200000542BR_A5_19482,2
FP200000542BR_A5_19544,1
FP200000542BR_A5_19545,8
FP200000542BR_A5_19615,2
FP200000542BR_A5_19627,4
FP200000542BR_A5_19684,2
FP200000542BR_A5_19793,6
FP200000542BR_A5_19861,7
FP200000542BR_A5_19917,1
FP200000542BR_A5_19983,6
FP200000542BR_A5_20096,1
FP200000542BR_A5_20176,1
FP200000542BR_A5_20200,3
FP200000542BR_A5_20219,1
FP200000542BR_A5_20248,4
FP200000542BR_A5_20257,12
FP200000542BR_A5_20258,6
FP200000542BR_A5_20284,1
FP200000542BR_A5_20299,6
FP200000542BR_A5_20323,4
FP200000542BR_A5_20341,9
FP200000542BR_A5_20366,1
FP200000542BR_A5_20377,3
FP200000542BR_A5_20487,3
FP200000542BR_A5_20492,3
FP200000542BR_A5_20524,2
FP200000542BR_A5_20541,5
FP200000542BR_A5_20546,6
FP200000542BR_A5_20571,1
FP200000542BR_A5_20585,1
FP200000542BR_A5_20673,1
FP200000542BR_A5_20676,6
FP200000542BR_A5_20717,6
FP200000542BR_A5_20735,9
FP200000542BR_A5_20754,5
FP200000542BR_A5_20765,1
FP200000542BR_A5_20806,6
FP200000542BR_A5_20846,3
FP200000542BR_A5_20869,2
FP200000542BR_A5_20880,1
FP200000542BR_A5_21049,1
FP200000542BR_A5_21056,5
FP200000542BR_A5_21093,7
FP200000542BR_A5_21122,2
FP200000542BR_A5_21155,6
FP200000542BR_A5_21203,2
FP200000542BR_A5_21213,3
FP200000542BR_A5_21219,5
FP200000542BR_A5_21235,4
FP200000542BR_A5_21266,1
FP200000542BR_A5_21391,9
FP200000542BR_A5_21421,4
FP200000542BR_A5_21529,10
FP200000542BR_A5_21696,2
FP200000542BR_A5_21792,7
FP200000542BR_A5_21841,2
FP200000542BR_A5_21847,5
FP200000542BR_A5_21886,5
FP200000542BR_A5_21964,3
FP200000542BR_A5_21994,14
FP200000542BR_A5_22116,0
FP200000542BR_A5_22150,3
FP200000542BR_A5_22262,4
FP200000542BR_A5_22293,5
FP200000542BR_A5_22339,5
FP200000542BR_A5_22408,4
FP200000542BR_A5_22447,6
FP200000542BR_A5_22543,5
FP200000542BR_A5_22571,4
