cell_id,count
FP200000542BR_A5_14055,8
FP200000542BR_A5_14616,6
FP200000542BR_A5_14863,2
FP200000542BR_A5_14894,2
FP200000542BR_A5_15005,9
FP200000542BR_A5_15006,1
FP200000542BR_A5_15016,8
FP200000542BR_A5_16049,5
FP200000542BR_A5_16105,10
FP200000542BR_A5_16280,9
FP200000542BR_A5_16676,5
FP200000542BR_A5_16700,10
FP200000542BR_A5_16929,0
FP200000542BR_A5_17549,4
FP200000542BR_A5_17611,5
FP200000542BR_A5_17657,8
FP200000542BR_A5_17860,7
FP200000542BR_A5_17897,11
FP200000542BR_A5_17943,5
FP200000542BR_A5_18037,8
FP200000542BR_A5_18060,2
FP200000542BR_A5_18134,3
FP200000542BR_A5_18221,9
FP200000542BR_A5_18229,4
FP200000542BR_A5_18247,1
FP200000542BR_A5_18381,1
FP200000542BR_A5_18451,11
FP200000542BR_A5_18569,8
FP200000542BR_A5_18639,6
FP200000542BR_A5_18692,7
FP200000542BR_A5_18705,5
FP200000542BR_A5_18713,7
FP200000542BR_A5_18748,5
FP200000542BR_A5_18768,4
FP200000542BR_A5_18789,7
FP200000542BR_A5_18901,3
FP200000542BR_A5_19036,4
FP200000542BR_A5_19063,3
FP200000542BR_A5_19089,3
FP200000542BR_A5_19111,4
FP200000542BR_A5_19120,2
FP200000542BR_A5_19150,5
FP200000542BR_A5_19167,5
FP200000542BR_A5_19332,11
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,5
FP200000542BR_A5_19447,13
FP200000542BR_A5_19454,8
FP200000542BR_A5_19482,12
FP200000542BR_A5_19544,6
FP200000542BR_A5_19545,12
FP200000542BR_A5_19615,2
FP200000542BR_A5_19627,5
FP200000542BR_A5_19684,10
FP200000542BR_A5_19793,5
FP200000542BR_A5_19861,9
FP200000542BR_A5_19917,4
FP200000542BR_A5_19983,10
FP200000542BR_A5_20096,0
FP200000542BR_A5_20176,3
FP200000542BR_A5_20200,3
FP200000542BR_A5_20219,6
FP200000542BR_A5_20248,10
FP200000542BR_A5_20257,8
FP200000542BR_A5_20258,16
FP200000542BR_A5_20284,12
FP200000542BR_A5_20299,8
FP200000542BR_A5_20323,14
FP200000542BR_A5_20341,8
FP200000542BR_A5_20366,5
FP200000542BR_A5_20377,12
FP200000542BR_A5_20487,8
FP200000542BR_A5_20492,6
FP200000542BR_A5_20524,7
FP200000542BR_A5_20541,9
FP200000542BR_A5_20546,2
FP200000542BR_A5_20571,1
FP200000542BR_A5_20585,6
FP200000542BR_A5_20673,10
FP200000542BR_A5_20676,26
FP200000542BR_A5_20717,7
FP200000542BR_A5_20735,14
FP200000542BR_A5_20754,9
FP200000542BR_A5_20765,3
FP200000542BR_A5_20806,21
FP200000542BR_A5_20846,10
FP200000542BR_A5_20869,8
FP200000542BR_A5_20880,1
FP200000542BR_A5_21049,6
FP200000542BR_A5_21056,6
FP200000542BR_A5_21093,13
FP200000542BR_A5_21122,11
FP200000542BR_A5_21155,17
FP200000542BR_A5_21203,13
FP200000542BR_A5_21213,7
FP200000542BR_A5_21219,5
FP200000542BR_A5_21235,9
FP200000542BR_A5_21266,4
FP200000542BR_A5_21391,22
FP200000542BR_A5_21421,11
FP200000542BR_A5_21529,13
FP200000542BR_A5_21696,0
FP200000542BR_A5_21792,13
FP200000542BR_A5_21841,12
FP200000542BR_A5_21847,19
FP200000542BR_A5_21886,12
FP200000542BR_A5_21964,4
FP200000542BR_A5_21994,13
FP200000542BR_A5_22116,9
FP200000542BR_A5_22150,14
FP200000542BR_A5_22262,4
FP200000542BR_A5_22293,9
FP200000542BR_A5_22339,10
FP200000542BR_A5_22408,5
FP200000542BR_A5_22447,10
FP200000542BR_A5_22543,7
FP200000542BR_A5_22571,24
FP200000542BR_A5_22575,9
FP200000542BR_A5_22732,18
FP200000542BR_A5_22753,15
FP200000542BR_A5_22931,13
FP200000542BR_A5_23123,7
FP200000542BR_A5_23251,20
FP200000542BR_A5_23269,5
FP200000542BR_A5_23309,7
FP200000542BR_A5_23313,2
FP200000542BR_A5_23382,14
FP200000542BR_A5_23604,26
FP200000542BR_A5_23711,2
FP200000542BR_A5_23816,31
FP200000542BR_A5_23846,11
FP200000542BR_A5_23850,25
FP200000542BR_A5_24093,4
FP200000542BR_A5_24132,11
FP200000542BR_A5_24271,1
FP200000542BR_A5_24272,7
FP200000542BR_A5_24347,19
FP200000542BR_A5_24367,10
FP200000542BR_A5_24370,9
FP200000542BR_A5_24462,14
FP200000542BR_A5_24474,10
FP200000542BR_A5_24500,8
FP200000542BR_A5_24547,3
FP200000542BR_A5_24562,5
FP200000542BR_A5_24564,14
FP200000542BR_A5_24567,5
FP200000542BR_A5_24578,0
FP200000542BR_A5_24604,14
FP200000542BR_A5_24605,16
FP200000542BR_A5_24744,9
FP200000542BR_A5_24757,8
FP200000542BR_A5_24818,17
FP200000542BR_A5_24820,1
FP200000542BR_A5_24871,10
FP200000542BR_A5_24889,12
FP200000542BR_A5_24900,6
FP200000542BR_A5_24911,4
FP200000542BR_A5_24938,9
FP200000542BR_A5_24953,3
FP200000542BR_A5_24956,8
FP200000542BR_A5_25021,2
FP200000542BR_A5_25034,6
FP200000542BR_A5_25065,6
FP200000542BR_A5_25070,9
FP200000542BR_A5_25185,1
FP200000542BR_A5_25228,8
FP200000542BR_A5_25255,6
FP200000542BR_A5_25261,4
FP200000542BR_A5_25278,11
FP200000542BR_A5_25295,15
FP200000542BR_A5_25301,7
FP200000542BR_A5_25450,2
FP200000542BR_A5_25456,3
FP200000542BR_A5_25487,9
FP200000542BR_A5_25523,1
FP200000542BR_A5_25528,19
FP200000542BR_A5_25554,4
FP200000542BR_A5_25620,3
FP200000542BR_A5_25643,5
FP200000542BR_A5_25668,14
FP200000542BR_A5_25714,12
FP200000542BR_A5_25802,5
FP200000542BR_A5_25830,3
FP200000542BR_A5_25915,12
FP200000542BR_A5_26007,11
FP200000542BR_A5_26051,1
FP200000542BR_A5_26094,3
FP200000542BR_A5_26133,12
FP200000542BR_A5_26165,3
FP200000542BR_A5_26180,10
FP200000542BR_A5_26284,10
FP200000542BR_A5_26302,7
FP200000542BR_A5_26344,15
FP200000542BR_A5_26369,4
FP200000542BR_A5_26419,3
FP200000542BR_A5_26472,7
FP200000542BR_A5_26483,5
FP200000542BR_A5_26541,5
FP200000542BR_A5_26566,13
FP200000542BR_A5_26576,6
FP200000542BR_A5_26579,3
FP200000542BR_A5_26624,1
FP200000542BR_A5_26677,0
FP200000542BR_A5_26796,4
FP200000542BR_A5_26830,6
FP200000542BR_A5_26843,3
FP200000542BR_A5_26896,17
FP200000542BR_A5_26974,13
FP200000542BR_A5_27002,11
FP200000542BR_A5_27053,16
FP200000542BR_A5_27095,3
FP200000542BR_A5_27197,5
FP200000542BR_A5_27220,17
FP200000542BR_A5_27348,2
FP200000542BR_A5_27349,11
FP200000542BR_A5_27364,6
FP200000542BR_A5_27377,21
FP200000542BR_A5_27383,19
FP200000542BR_A5_27426,22
FP200000542BR_A5_27619,25
FP200000542BR_A5_27620,21
FP200000542BR_A5_27697,5
FP200000542BR_A5_27863,9
FP200000542BR_A5_27876,10
FP200000542BR_A5_27980,12
FP200000542BR_A5_27987,4
FP200000542BR_A5_28079,9
FP200000542BR_A5_28158,11
FP200000542BR_A5_28167,19
FP200000542BR_A5_28170,15
FP200000542BR_A5_28323,15
FP200000542BR_A5_28333,3
FP200000542BR_A5_28344,8
FP200000542BR_A5_28378,8
FP200000542BR_A5_28468,11
FP200000542BR_A5_28511,1
FP200000542BR_A5_28604,7
FP200000542BR_A5_28626,25
FP200000542BR_A5_28632,10
FP200000542BR_A5_28657,6
FP200000542BR_A5_28790,13
FP200000542BR_A5_28814,21
FP200000542BR_A5_28824,9
FP200000542BR_A5_28839,1
FP200000542BR_A5_28846,30
FP200000542BR_A5_28885,16
FP200000542BR_A5_28917,4
FP200000542BR_A5_29048,5
FP200000542BR_A5_29065,12
FP200000542BR_A5_29084,8
FP200000542BR_A5_29089,18
FP200000542BR_A5_29142,8
FP200000542BR_A5_29148,4
FP200000542BR_A5_29254,8
FP200000542BR_A5_29299,10
FP200000542BR_A5_29356,9
FP200000542BR_A5_29361,12
FP200000542BR_A5_29377,20
FP200000542BR_A5_29404,33
FP200000542BR_A5_29418,13
FP200000542BR_A5_29426,14
FP200000542BR_A5_29446,8
FP200000542BR_A5_29455,5
FP200000542BR_A5_29464,7
FP200000542BR_A5_29496,11
FP200000542BR_A5_29518,19
FP200000542BR_A5_29577,17
FP200000542BR_A5_29606,15
FP200000542BR_A5_29615,4
