cell_id,count
FP200000542BR_A5_14055,2
FP200000542BR_A5_14616,2
FP200000542BR_A5_14863,3
FP200000542BR_A5_14894,1
FP200000542BR_A5_15005,4
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,3
FP200000542BR_A5_16049,1
FP200000542BR_A5_16105,3
FP200000542BR_A5_16280,0
FP200000542BR_A5_16676,0
FP200000542BR_A5_16700,1
FP200000542BR_A5_16929,1
FP200000542BR_A5_17549,0
FP200000542BR_A5_17611,0
FP200000542BR_A5_17657,3
FP200000542BR_A5_17860,0
FP200000542BR_A5_17897,0
FP200000542BR_A5_17943,2
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,0
FP200000542BR_A5_18134,0
FP200000542BR_A5_18221,2
FP200000542BR_A5_18229,0
FP200000542BR_A5_18247,0
FP200000542BR_A5_18381,0
FP200000542BR_A5_18451,1
FP200000542BR_A5_18569,0
FP200000542BR_A5_18639,1
FP200000542BR_A5_18692,1
FP200000542BR_A5_18705,0
FP200000542BR_A5_18713,0
FP200000542BR_A5_18748,0
FP200000542BR_A5_18768,0
FP200000542BR_A5_18789,0
FP200000542BR_A5_18901,1
FP200000542BR_A5_19036,0
FP200000542BR_A5_19063,0
FP200000542BR_A5_19089,0
FP200000542BR_A5_19111,0
FP200000542BR_A5_19120,7
FP200000542BR_A5_19150,1
FP200000542BR_A5_19167,2
FP200000542BR_A5_19332,2
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,1
FP200000542BR_A5_19447,1
FP200000542BR_A5_19454,1
FP200000542BR_A5_19482,4
FP200000542BR_A5_19544,2
FP200000542BR_A5_19545,2
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,1
FP200000542BR_A5_19684,0
FP200000542BR_A5_19793,0
FP200000542BR_A5_19861,4
FP200000542BR_A5_19917,0
FP200000542BR_A5_19983,1
FP200000542BR_A5_20096,1
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,0
FP200000542BR_A5_20219,0
FP200000542BR_A5_20248,1
FP200000542BR_A5_20257,1
FP200000542BR_A5_20258,1
FP200000542BR_A5_20284,3
FP200000542BR_A5_20299,1
FP200000542BR_A5_20323,0
FP200000542BR_A5_20341,0
FP200000542BR_A5_20366,2
