cell_id,count
FP200000542BR_A5_14055,11
FP200000542BR_A5_14616,8
FP200000542BR_A5_14863,11
FP200000542BR_A5_14894,5
FP200000542BR_A5_15005,13
FP200000542BR_A5_15006,4
FP200000542BR_A5_15016,8
FP200000542BR_A5_16049,9
FP200000542BR_A5_16105,1
FP200000542BR_A5_16280,7
FP200000542BR_A5_16676,1
FP200000542BR_A5_16700,4
FP200000542BR_A5_16929,3
FP200000542BR_A5_17549,10
FP200000542BR_A5_17611,6
FP200000542BR_A5_17657,8
FP200000542BR_A5_17860,9
FP200000542BR_A5_17897,5
FP200000542BR_A5_17943,14
FP200000542BR_A5_18037,2
FP200000542BR_A5_18060,5
FP200000542BR_A5_18134,5
FP200000542BR_A5_18221,12
FP200000542BR_A5_18229,4
FP200000542BR_A5_18247,5
FP200000542BR_A5_18381,0
FP200000542BR_A5_18451,5
FP200000542BR_A5_18569,8
FP200000542BR_A5_18639,6
FP200000542BR_A5_18692,8
FP200000542BR_A5_18705,4
FP200000542BR_A5_18713,2
FP200000542BR_A5_18748,6
FP200000542BR_A5_18768,2
FP200000542BR_A5_18789,7
FP200000542BR_A5_18901,0
FP200000542BR_A5_19036,13
FP200000542BR_A5_19063,4
FP200000542BR_A5_19089,1
FP200000542BR_A5_19111,4
FP200000542BR_A5_19120,0
FP200000542BR_A5_19150,8
FP200000542BR_A5_19167,9
FP200000542BR_A5_19332,12
FP200000542BR_A5_19409,1
FP200000542BR_A5_19423,13
FP200000542BR_A5_19447,7
FP200000542BR_A5_19454,10
FP200000542BR_A5_19482,4
FP200000542BR_A5_19544,2
FP200000542BR_A5_19545,12
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,16
FP200000542BR_A5_19684,6
FP200000542BR_A5_19793,6
FP200000542BR_A5_19861,4
FP200000542BR_A5_19917,2
FP200000542BR_A5_19983,13
FP200000542BR_A5_20096,4
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,0
FP200000542BR_A5_20219,16
FP200000542BR_A5_20248,5
FP200000542BR_A5_20257,3
FP200000542BR_A5_20258,10
FP200000542BR_A5_20284,16
FP200000542BR_A5_20299,9
FP200000542BR_A5_20323,2
FP200000542BR_A5_20341,9
FP200000542BR_A5_20366,8
FP200000542BR_A5_20377,12
FP200000542BR_A5_20487,5
FP200000542BR_A5_20492,9
FP200000542BR_A5_20524,6
FP200000542BR_A5_20541,10
FP200000542BR_A5_20546,14
FP200000542BR_A5_20571,8
FP200000542BR_A5_20585,2
FP200000542BR_A5_20673,7
FP200000542BR_A5_20676,20
FP200000542BR_A5_20717,6
FP200000542BR_A5_20735,18
FP200000542BR_A5_20754,5
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,12
FP200000542BR_A5_20846,7
FP200000542BR_A5_20869,4
FP200000542BR_A5_20880,2
FP200000542BR_A5_21049,3
FP200000542BR_A5_21056,12
FP200000542BR_A5_21093,7
FP200000542BR_A5_21122,6
FP200000542BR_A5_21155,11
FP200000542BR_A5_21203,18
FP200000542BR_A5_21213,6
FP200000542BR_A5_21219,7
FP200000542BR_A5_21235,9
FP200000542BR_A5_21266,3
FP200000542BR_A5_21391,14
FP200000542BR_A5_21421,5
FP200000542BR_A5_21529,14
FP200000542BR_A5_21696,8
FP200000542BR_A5_21792,11
FP200000542BR_A5_21841,5
FP200000542BR_A5_21847,9
FP200000542BR_A5_21886,4
FP200000542BR_A5_21964,4
FP200000542BR_A5_21994,14
FP200000542BR_A5_22116,4
FP200000542BR_A5_22150,8
FP200000542BR_A5_22262,3
FP200000542BR_A5_22293,4
FP200000542BR_A5_22339,5
FP200000542BR_A5_22408,5
FP200000542BR_A5_22447,11
FP200000542BR_A5_22543,10
FP200000542BR_A5_22571,16
FP200000542BR_A5_22575,8
FP200000542BR_A5_22732,19
FP200000542BR_A5_22753,4
FP200000542BR_A5_22931,12
FP200000542BR_A5_23123,6
FP200000542BR_A5_23251,14
FP200000542BR_A5_23269,2
FP200000542BR_A5_23309,8
FP200000542BR_A5_23313,2
FP200000542BR_A5_23382,6
FP200000542BR_A5_23604,9
FP200000542BR_A5_23711,2
FP200000542BR_A5_23816,18
FP200000542BR_A5_23846,18
FP200000542BR_A5_23850,14
FP200000542BR_A5_24093,5
FP200000542BR_A5_24132,12
FP200000542BR_A5_24271,8
FP200000542BR_A5_24272,4
FP200000542BR_A5_24347,21
FP200000542BR_A5_24367,10
FP200000542BR_A5_24370,12
FP200000542BR_A5_24462,12
FP200000542BR_A5_24474,8
FP200000542BR_A5_24500,11
FP200000542BR_A5_24547,6
FP200000542BR_A5_24562,1
FP200000542BR_A5_24564,11
FP200000542BR_A5_24567,6
FP200000542BR_A5_24578,1
FP200000542BR_A5_24604,8
FP200000542BR_A5_24605,8
FP200000542BR_A5_24744,6
FP200000542BR_A5_24757,3
FP200000542BR_A5_24818,11
FP200000542BR_A5_24820,3
FP200000542BR_A5_24871,2
FP200000542BR_A5_24889,16
FP200000542BR_A5_24900,2
FP200000542BR_A5_24911,7
FP200000542BR_A5_24938,16
FP200000542BR_A5_24953,9
FP200000542BR_A5_24956,9
FP200000542BR_A5_25021,4
FP200000542BR_A5_25034,1
FP200000542BR_A5_25065,8
FP200000542BR_A5_25070,8
FP200000542BR_A5_25185,3
FP200000542BR_A5_25228,12
FP200000542BR_A5_25255,10
FP200000542BR_A5_25261,4
FP200000542BR_A5_25278,13
FP200000542BR_A5_25295,10
FP200000542BR_A5_25301,9
FP200000542BR_A5_25450,8
FP200000542BR_A5_25456,5
FP200000542BR_A5_25487,13
FP200000542BR_A5_25523,3
FP200000542BR_A5_25528,15
FP200000542BR_A5_25554,7
FP200000542BR_A5_25620,3
FP200000542BR_A5_25643,3
FP200000542BR_A5_25668,12
FP200000542BR_A5_25714,12
FP200000542BR_A5_25802,5
FP200000542BR_A5_25830,4
FP200000542BR_A5_25915,11
FP200000542BR_A5_26007,12
FP200000542BR_A5_26051,5
FP200000542BR_A5_26094,0
FP200000542BR_A5_26133,9
FP200000542BR_A5_26165,6
FP200000542BR_A5_26180,9
FP200000542BR_A5_26284,4
FP200000542BR_A5_26302,13
FP200000542BR_A5_26344,12
FP200000542BR_A5_26369,0
FP200000542BR_A5_26419,1
FP200000542BR_A5_26472,8
FP200000542BR_A5_26483,6
FP200000542BR_A5_26541,1
FP200000542BR_A5_26566,8
FP200000542BR_A5_26576,11
FP200000542BR_A5_26579,3
FP200000542BR_A5_26624,1
FP200000542BR_A5_26677,0
FP200000542BR_A5_26796,4
FP200000542BR_A5_26830,9
FP200000542BR_A5_26843,3
FP200000542BR_A5_26896,16
FP200000542BR_A5_26974,17
FP200000542BR_A5_27002,9
FP200000542BR_A5_27053,11
FP200000542BR_A5_27095,3
FP200000542BR_A5_27197,15
FP200000542BR_A5_27220,14
FP200000542BR_A5_27348,1
FP200000542BR_A5_27349,18
FP200000542BR_A5_27364,8
FP200000542BR_A5_27377,14
FP200000542BR_A5_27383,9
FP200000542BR_A5_27426,16
FP200000542BR_A5_27619,20
FP200000542BR_A5_27620,22
FP200000542BR_A5_27697,4
FP200000542BR_A5_27863,10
FP200000542BR_A5_27876,9
FP200000542BR_A5_27980,7
FP200000542BR_A5_27987,2
FP200000542BR_A5_28079,4
FP200000542BR_A5_28158,13
FP200000542BR_A5_28167,14
FP200000542BR_A5_28170,12
FP200000542BR_A5_28323,11
FP200000542BR_A5_28333,4
FP200000542BR_A5_28344,6
FP200000542BR_A5_28378,3
FP200000542BR_A5_28468,12
FP200000542BR_A5_28511,1
FP200000542BR_A5_28604,9
FP200000542BR_A5_28626,30
FP200000542BR_A5_28632,18
FP200000542BR_A5_28657,4
FP200000542BR_A5_28790,9
FP200000542BR_A5_28814,21
FP200000542BR_A5_28824,5
FP200000542BR_A5_28839,1
FP200000542BR_A5_28846,20
FP200000542BR_A5_28885,19
FP200000542BR_A5_28917,5
FP200000542BR_A5_29048,9
FP200000542BR_A5_29065,5
FP200000542BR_A5_29084,5
FP200000542BR_A5_29089,8
FP200000542BR_A5_29142,3
FP200000542BR_A5_29148,7
FP200000542BR_A5_29254,2
FP200000542BR_A5_29299,18
FP200000542BR_A5_29356,12
FP200000542BR_A5_29361,10
FP200000542BR_A5_29377,15
FP200000542BR_A5_29404,21
FP200000542BR_A5_29418,32
FP200000542BR_A5_29426,10
FP200000542BR_A5_29446,7
FP200000542BR_A5_29455,5
FP200000542BR_A5_29464,4
FP200000542BR_A5_29496,17
FP200000542BR_A5_29518,17
FP200000542BR_A5_29577,14
FP200000542BR_A5_29606,9
FP200000542BR_A5_29615,3
FP200000542BR_A5_29623,1
FP200000542BR_A5_29627,6
FP200000542BR_A5_29683,2
FP200000542BR_A5_29712,3
FP200000542BR_A5_29800,6
FP200000542BR_A5_29878,19
FP200000542BR_A5_29884,9
FP200000542BR_A5_29889,12
FP200000542BR_A5_29890,5
FP200000542BR_A5_29895,12
FP200000542BR_A5_29907,6
FP200000542BR_A5_30038,3
FP200000542BR_A5_30065,3
FP200000542BR_A5_30089,1
FP200000542BR_A5_30095,2
FP200000542BR_A5_30116,22
FP200000542BR_A5_30128,5
FP200000542BR_A5_30191,11
FP200000542BR_A5_30215,16
FP200000542BR_A5_30216,7
FP200000542BR_A5_30225,14
FP200000542BR_A5_30227,8
FP200000542BR_A5_30267,8
FP200000542BR_A5_30341,12
FP200000542BR_A5_30445,5
FP200000542BR_A5_30491,5
FP200000542BR_A5_30492,9
FP200000542BR_A5_30573,3
FP200000542BR_A5_30590,14
FP200000542BR_A5_30599,3
FP200000542BR_A5_30633,12
FP200000542BR_A5_30660,8
FP200000542BR_A5_30684,16
FP200000542BR_A5_30776,14
FP200000542BR_A5_30803,16
FP200000542BR_A5_30860,16
FP200000542BR_A5_30901,2
