cell_id,count
FP200000542BR_A5_14055,1
FP200000542BR_A5_14616,4
FP200000542BR_A5_14863,2
FP200000542BR_A5_14894,7
FP200000542BR_A5_15005,8
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,0
FP200000542BR_A5_16049,13
FP200000542BR_A5_16105,5
FP200000542BR_A5_16280,2
FP200000542BR_A5_16676,0
FP200000542BR_A5_16700,0
FP200000542BR_A5_16929,1
FP200000542BR_A5_17549,1
FP200000542BR_A5_17611,3
FP200000542BR_A5_17657,3
FP200000542BR_A5_17860,3
FP200000542BR_A5_17897,6
FP200000542BR_A5_17943,3
FP200000542BR_A5_18037,3
FP200000542BR_A5_18060,7
FP200000542BR_A5_18134,6
FP200000542BR_A5_18221,15
FP200000542BR_A5_18229,5
FP200000542BR_A5_18247,3
FP200000542BR_A5_18381,3
FP200000542BR_A5_18451,3
FP200000542BR_A5_18569,1
FP200000542BR_A5_18639,1
FP200000542BR_A5_18692,9
FP200000542BR_A5_18705,0
FP200000542BR_A5_18713,5
FP200000542BR_A5_18748,4
FP200000542BR_A5_18768,0
FP200000542BR_A5_18789,1
FP200000542BR_A5_18901,0
FP200000542BR_A5_19036,10
FP200000542BR_A5_19063,10
FP200000542BR_A5_19089,0
FP200000542BR_A5_19111,6
FP200000542BR_A5_19120,2
FP200000542BR_A5_19150,9
FP200000542BR_A5_19167,15
FP200000542BR_A5_19332,8
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,8
FP200000542BR_A5_19447,9
FP200000542BR_A5_19454,3
FP200000542BR_A5_19482,7
FP200000542BR_A5_19544,2
FP200000542BR_A5_19545,3
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,5
FP200000542BR_A5_19684,0
FP200000542BR_A5_19793,1
FP200000542BR_A5_19861,10
FP200000542BR_A5_19917,3
FP200000542BR_A5_19983,8
FP200000542BR_A5_20096,1
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,1
FP200000542BR_A5_20219,7
FP200000542BR_A5_20248,1
FP200000542BR_A5_20257,2
FP200000542BR_A5_20258,3
FP200000542BR_A5_20284,13
FP200000542BR_A5_20299,1
FP200000542BR_A5_20323,3
FP200000542BR_A5_20341,3
FP200000542BR_A5_20366,8
FP200000542BR_A5_20377,7
FP200000542BR_A5_20487,8
FP200000542BR_A5_20492,1
FP200000542BR_A5_20524,1
FP200000542BR_A5_20541,6
FP200000542BR_A5_20546,4
FP200000542BR_A5_20571,2
FP200000542BR_A5_20585,1
FP200000542BR_A5_20673,2
FP200000542BR_A5_20676,10
FP200000542BR_A5_20717,1
FP200000542BR_A5_20735,6
FP200000542BR_A5_20754,3
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,8
FP200000542BR_A5_20846,2
FP200000542BR_A5_20869,10
FP200000542BR_A5_20880,0
FP200000542BR_A5_21049,0
FP200000542BR_A5_21056,2
FP200000542BR_A5_21093,5
FP200000542BR_A5_21122,7
FP200000542BR_A5_21155,3
FP200000542BR_A5_21203,3
FP200000542BR_A5_21213,5
FP200000542BR_A5_21219,3
FP200000542BR_A5_21235,1
FP200000542BR_A5_21266,4
FP200000542BR_A5_21391,6
FP200000542BR_A5_21421,2
FP200000542BR_A5_21529,14
FP200000542BR_A5_21696,2
FP200000542BR_A5_21792,6
FP200000542BR_A5_21841,4
FP200000542BR_A5_21847,2
FP200000542BR_A5_21886,5
FP200000542BR_A5_21964,0
FP200000542BR_A5_21994,3
FP200000542BR_A5_22116,1
FP200000542BR_A5_22150,2
FP200000542BR_A5_22262,2
FP200000542BR_A5_22293,7
FP200000542BR_A5_22339,2
FP200000542BR_A5_22408,1
FP200000542BR_A5_22447,2
FP200000542BR_A5_22543,0
FP200000542BR_A5_22571,3
FP200000542BR_A5_22575,1
FP200000542BR_A5_22732,2
FP200000542BR_A5_22753,2
FP200000542BR_A5_22931,3
FP200000542BR_A5_23123,1
FP200000542BR_A5_23251,2
FP200000542BR_A5_23269,0
FP200000542BR_A5_23309,5
FP200000542BR_A5_23313,0
FP200000542BR_A5_23382,0
FP200000542BR_A5_23604,4
FP200000542BR_A5_23711,1
FP200000542BR_A5_23816,4
FP200000542BR_A5_23846,1
FP200000542BR_A5_23850,6
FP200000542BR_A5_24093,4
FP200000542BR_A5_24132,0
FP200000542BR_A5_24271,0
FP200000542BR_A5_24272,0
FP200000542BR_A5_24347,4
FP200000542BR_A5_24367,2
FP200000542BR_A5_24370,1
FP200000542BR_A5_24462,2
FP200000542BR_A5_24474,3
FP200000542BR_A5_24500,3
FP200000542BR_A5_24547,1
FP200000542BR_A5_24562,1
FP200000542BR_A5_24564,4
FP200000542BR_A5_24567,3
FP200000542BR_A5_24578,3
FP200000542BR_A5_24604,7
FP200000542BR_A5_24605,2
FP200000542BR_A5_24744,1
FP200000542BR_A5_24757,3
FP200000542BR_A5_24818,2
FP200000542BR_A5_24820,0
FP200000542BR_A5_24871,1
FP200000542BR_A5_24889,5
FP200000542BR_A5_24900,0
FP200000542BR_A5_24911,0
FP200000542BR_A5_24938,1
FP200000542BR_A5_24953,0
FP200000542BR_A5_24956,0
FP200000542BR_A5_25021,0
FP200000542BR_A5_25034,1
FP200000542BR_A5_25065,1
FP200000542BR_A5_25070,0
FP200000542BR_A5_25185,0
FP200000542BR_A5_25228,1
FP200000542BR_A5_25255,0
FP200000542BR_A5_25261,0
FP200000542BR_A5_25278,1
FP200000542BR_A5_25295,0
FP200000542BR_A5_25301,0
FP200000542BR_A5_25450,3
FP200000542BR_A5_25456,0
FP200000542BR_A5_25487,0
FP200000542BR_A5_25523,0
FP200000542BR_A5_25528,4
FP200000542BR_A5_25554,1
FP200000542BR_A5_25620,4
FP200000542BR_A5_25643,0
FP200000542BR_A5_25668,1
FP200000542BR_A5_25714,3
FP200000542BR_A5_25802,1
FP200000542BR_A5_25830,2
FP200000542BR_A5_25915,0
FP200000542BR_A5_26007,1
FP200000542BR_A5_26051,0
FP200000542BR_A5_26094,0
FP200000542BR_A5_26133,3
FP200000542BR_A5_26165,0
FP200000542BR_A5_26180,0
