cell_id,count
FP200000542BR_A5_14055,3
FP200000542BR_A5_14616,9
FP200000542BR_A5_14863,5
FP200000542BR_A5_14894,0
FP200000542BR_A5_15005,3
FP200000542BR_A5_15006,1
FP200000542BR_A5_15016,4
FP200000542BR_A5_16049,7
FP200000542BR_A5_16105,3
FP200000542BR_A5_16280,8
FP200000542BR_A5_16676,1
FP200000542BR_A5_16700,0
FP200000542BR_A5_16929,1
FP200000542BR_A5_17549,6
FP200000542BR_A5_17611,3
FP200000542BR_A5_17657,7
FP200000542BR_A5_17860,2
FP200000542BR_A5_17897,2
FP200000542BR_A5_17943,7
FP200000542BR_A5_18037,1
FP200000542BR_A5_18060,0
FP200000542BR_A5_18134,3
FP200000542BR_A5_18221,5
FP200000542BR_A5_18229,0
FP200000542BR_A5_18247,2
FP200000542BR_A5_18381,2
FP200000542BR_A5_18451,0
FP200000542BR_A5_18569,0
FP200000542BR_A5_18639,5
FP200000542BR_A5_18692,2
FP200000542BR_A5_18705,0
FP200000542BR_A5_18713,6
FP200000542BR_A5_18748,1
FP200000542BR_A5_18768,0
FP200000542BR_A5_18789,4
FP200000542BR_A5_18901,1
FP200000542BR_A5_19036,6
FP200000542BR_A5_19063,2
FP200000542BR_A5_19089,2
FP200000542BR_A5_19111,0
FP200000542BR_A5_19120,3
FP200000542BR_A5_19150,6
FP200000542BR_A5_19167,4
FP200000542BR_A5_19332,4
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,4
FP200000542BR_A5_19447,3
FP200000542BR_A5_19454,2
FP200000542BR_A5_19482,6
FP200000542BR_A5_19544,1
FP200000542BR_A5_19545,4
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,10
FP200000542BR_A5_19684,0
FP200000542BR_A5_19793,2
FP200000542BR_A5_19861,3
FP200000542BR_A5_19917,3
FP200000542BR_A5_19983,2
FP200000542BR_A5_20096,2
FP200000542BR_A5_20176,1
FP200000542BR_A5_20200,0
FP200000542BR_A5_20219,4
FP200000542BR_A5_20248,4
FP200000542BR_A5_20257,3
FP200000542BR_A5_20258,3
FP200000542BR_A5_20284,5
FP200000542BR_A5_20299,2
FP200000542BR_A5_20323,2
FP200000542BR_A5_20341,2
FP200000542BR_A5_20366,4
FP200000542BR_A5_20377,4
FP200000542BR_A5_20487,3
FP200000542BR_A5_20492,1
FP200000542BR_A5_20524,2
FP200000542BR_A5_20541,7
FP200000542BR_A5_20546,4
FP200000542BR_A5_20571,2
FP200000542BR_A5_20585,1
FP200000542BR_A5_20673,5
FP200000542BR_A5_20676,9
FP200000542BR_A5_20717,1
FP200000542BR_A5_20735,6
FP200000542BR_A5_20754,2
FP200000542BR_A5_20765,1
FP200000542BR_A5_20806,7
FP200000542BR_A5_20846,2
FP200000542BR_A5_20869,2
FP200000542BR_A5_20880,6
FP200000542BR_A5_21049,1
FP200000542BR_A5_21056,5
FP200000542BR_A5_21093,4
FP200000542BR_A5_21122,6
FP200000542BR_A5_21155,8
FP200000542BR_A5_21203,3
FP200000542BR_A5_21213,4
FP200000542BR_A5_21219,5
FP200000542BR_A5_21235,1
FP200000542BR_A5_21266,5
FP200000542BR_A5_21391,4
FP200000542BR_A5_21421,9
FP200000542BR_A5_21529,1
FP200000542BR_A5_21696,4
FP200000542BR_A5_21792,7
FP200000542BR_A5_21841,6
FP200000542BR_A5_21847,2
FP200000542BR_A5_21886,4
FP200000542BR_A5_21964,0
FP200000542BR_A5_21994,6
FP200000542BR_A5_22116,5
FP200000542BR_A5_22150,6
FP200000542BR_A5_22262,1
