cell_id,count
FP200000542BR_A5_14055,2
FP200000542BR_A5_14616,5
FP200000542BR_A5_14863,20
FP200000542BR_A5_14894,10
FP200000542BR_A5_15005,38
FP200000542BR_A5_15006,6
FP200000542BR_A5_15016,1
FP200000542BR_A5_16049,19
FP200000542BR_A5_16105,33
FP200000542BR_A5_16280,39
FP200000542BR_A5_16676,24
FP200000542BR_A5_16700,5
FP200000542BR_A5_16929,0
FP200000542BR_A5_17549,5
FP200000542BR_A5_17611,2
FP200000542BR_A5_17657,31
FP200000542BR_A5_17860,16
FP200000542BR_A5_17897,0
FP200000542BR_A5_17943,46
FP200000542BR_A5_18037,4
FP200000542BR_A5_18060,2
FP200000542BR_A5_18134,0
FP200000542BR_A5_18221,18
FP200000542BR_A5_18229,12
FP200000542BR_A5_18247,2
FP200000542BR_A5_18381,4
FP200000542BR_A5_18451,0
FP200000542BR_A5_18569,4
FP200000542BR_A5_18639,8
FP200000542BR_A5_18692,1
FP200000542BR_A5_18705,0
FP200000542BR_A5_18713,14
FP200000542BR_A5_18748,20
FP200000542BR_A5_18768,4
FP200000542BR_A5_18789,10
FP200000542BR_A5_18901,0
FP200000542BR_A5_19036,4
FP200000542BR_A5_19063,0
FP200000542BR_A5_19089,0
FP200000542BR_A5_19111,6
FP200000542BR_A5_19120,24
FP200000542BR_A5_19150,10
FP200000542BR_A5_19167,4
FP200000542BR_A5_19332,29
FP200000542BR_A5_19409,10
FP200000542BR_A5_19423,3
FP200000542BR_A5_19447,2
FP200000542BR_A5_19454,2
FP200000542BR_A5_19482,7
FP200000542BR_A5_19544,1
FP200000542BR_A5_19545,32
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,58
FP200000542BR_A5_19684,0
FP200000542BR_A5_19793,1
FP200000542BR_A5_19861,50
FP200000542BR_A5_19917,17
FP200000542BR_A5_19983,21
FP200000542BR_A5_20096,0
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,0
FP200000542BR_A5_20219,23
FP200000542BR_A5_20248,26
FP200000542BR_A5_20257,2
FP200000542BR_A5_20258,56
FP200000542BR_A5_20284,5
FP200000542BR_A5_20299,6
FP200000542BR_A5_20323,2
FP200000542BR_A5_20341,32
FP200000542BR_A5_20366,53
FP200000542BR_A5_20377,15
FP200000542BR_A5_20487,2
FP200000542BR_A5_20492,0
FP200000542BR_A5_20524,12
FP200000542BR_A5_20541,56
FP200000542BR_A5_20546,26
FP200000542BR_A5_20571,0
FP200000542BR_A5_20585,0
FP200000542BR_A5_20673,32
FP200000542BR_A5_20676,41
FP200000542BR_A5_20717,19
FP200000542BR_A5_20735,56
FP200000542BR_A5_20754,2
FP200000542BR_A5_20765,8
FP200000542BR_A5_20806,7
FP200000542BR_A5_20846,20
FP200000542BR_A5_20869,2
FP200000542BR_A5_20880,3
FP200000542BR_A5_21049,0
FP200000542BR_A5_21056,1
FP200000542BR_A5_21093,23
FP200000542BR_A5_21122,2
FP200000542BR_A5_21155,5
FP200000542BR_A5_21203,17
FP200000542BR_A5_21213,5
FP200000542BR_A5_21219,1
FP200000542BR_A5_21235,23
FP200000542BR_A5_21266,5
FP200000542BR_A5_21391,10
FP200000542BR_A5_21421,28
FP200000542BR_A5_21529,40
FP200000542BR_A5_21696,34
FP200000542BR_A5_21792,8
FP200000542BR_A5_21841,1
FP200000542BR_A5_21847,22
FP200000542BR_A5_21886,10
FP200000542BR_A5_21964,11
FP200000542BR_A5_21994,3
FP200000542BR_A5_22116,1
FP200000542BR_A5_22150,11
FP200000542BR_A5_22262,2
FP200000542BR_A5_22293,0
FP200000542BR_A5_22339,6
FP200000542BR_A5_22408,6
FP200000542BR_A5_22447,12
FP200000542BR_A5_22543,16
FP200000542BR_A5_22571,53
FP200000542BR_A5_22575,7
FP200000542BR_A5_22732,1
FP200000542BR_A5_22753,32
FP200000542BR_A5_22931,0
FP200000542BR_A5_23123,12
FP200000542BR_A5_23251,6
FP200000542BR_A5_23269,12
FP200000542BR_A5_23309,0
FP200000542BR_A5_23313,1
FP200000542BR_A5_23382,1
FP200000542BR_A5_23604,9
FP200000542BR_A5_23711,0
FP200000542BR_A5_23816,10
FP200000542BR_A5_23846,0
FP200000542BR_A5_23850,1
FP200000542BR_A5_24093,5
FP200000542BR_A5_24132,5
FP200000542BR_A5_24271,3
FP200000542BR_A5_24272,0
FP200000542BR_A5_24347,1
FP200000542BR_A5_24367,2
FP200000542BR_A5_24370,28
FP200000542BR_A5_24462,9
FP200000542BR_A5_24474,1
FP200000542BR_A5_24500,5
FP200000542BR_A5_24547,31
FP200000542BR_A5_24562,3
FP200000542BR_A5_24564,3
FP200000542BR_A5_24567,15
FP200000542BR_A5_24578,3
FP200000542BR_A5_24604,7
FP200000542BR_A5_24605,10
FP200000542BR_A5_24744,0
FP200000542BR_A5_24757,3
FP200000542BR_A5_24818,4
FP200000542BR_A5_24820,1
FP200000542BR_A5_24871,7
FP200000542BR_A5_24889,3
FP200000542BR_A5_24900,1
FP200000542BR_A5_24911,8
FP200000542BR_A5_24938,5
FP200000542BR_A5_24953,1
FP200000542BR_A5_24956,2
FP200000542BR_A5_25021,1
FP200000542BR_A5_25034,12
FP200000542BR_A5_25065,6
FP200000542BR_A5_25070,0
FP200000542BR_A5_25185,7
FP200000542BR_A5_25228,7
FP200000542BR_A5_25255,2
FP200000542BR_A5_25261,3
FP200000542BR_A5_25278,9
FP200000542BR_A5_25295,0
FP200000542BR_A5_25301,7
FP200000542BR_A5_25450,2
FP200000542BR_A5_25456,0
FP200000542BR_A5_25487,5
FP200000542BR_A5_25523,1
FP200000542BR_A5_25528,19
FP200000542BR_A5_25554,0
FP200000542BR_A5_25620,16
FP200000542BR_A5_25643,0
FP200000542BR_A5_25668,1
FP200000542BR_A5_25714,5
FP200000542BR_A5_25802,8
FP200000542BR_A5_25830,16
FP200000542BR_A5_25915,1
FP200000542BR_A5_26007,2
FP200000542BR_A5_26051,5
FP200000542BR_A5_26094,14
FP200000542BR_A5_26133,12
FP200000542BR_A5_26165,1
FP200000542BR_A5_26180,4
FP200000542BR_A5_26284,6
FP200000542BR_A5_26302,0
FP200000542BR_A5_26344,4
FP200000542BR_A5_26369,3
FP200000542BR_A5_26419,0
FP200000542BR_A5_26472,4
FP200000542BR_A5_26483,1
FP200000542BR_A5_26541,4
FP200000542BR_A5_26566,1
FP200000542BR_A5_26576,2
FP200000542BR_A5_26579,2
FP200000542BR_A5_26624,1
FP200000542BR_A5_26677,0
FP200000542BR_A5_26796,20
FP200000542BR_A5_26830,13
FP200000542BR_A5_26843,1
FP200000542BR_A5_26896,5
FP200000542BR_A5_26974,25
FP200000542BR_A5_27002,35
FP200000542BR_A5_27053,7
FP200000542BR_A5_27095,1
FP200000542BR_A5_27197,4
FP200000542BR_A5_27220,8
FP200000542BR_A5_27348,6
FP200000542BR_A5_27349,8
FP200000542BR_A5_27364,2
FP200000542BR_A5_27377,8
FP200000542BR_A5_27383,4
FP200000542BR_A5_27426,25
FP200000542BR_A5_27619,10
FP200000542BR_A5_27620,26
FP200000542BR_A5_27697,0
FP200000542BR_A5_27863,6
FP200000542BR_A5_27876,36
FP200000542BR_A5_27980,9
FP200000542BR_A5_27987,1
FP200000542BR_A5_28079,0
FP200000542BR_A5_28158,35
FP200000542BR_A5_28167,8
FP200000542BR_A5_28170,14
FP200000542BR_A5_28323,32
FP200000542BR_A5_28333,0
FP200000542BR_A5_28344,38
FP200000542BR_A5_28378,0
FP200000542BR_A5_28468,1
FP200000542BR_A5_28511,0
FP200000542BR_A5_28604,6
FP200000542BR_A5_28626,22
FP200000542BR_A5_28632,18
FP200000542BR_A5_28657,1
FP200000542BR_A5_28790,13
FP200000542BR_A5_28814,12
FP200000542BR_A5_28824,2
FP200000542BR_A5_28839,13
FP200000542BR_A5_28846,23
FP200000542BR_A5_28885,12
FP200000542BR_A5_28917,1
FP200000542BR_A5_29048,1
FP200000542BR_A5_29065,18
FP200000542BR_A5_29084,39
FP200000542BR_A5_29089,44
FP200000542BR_A5_29142,17
FP200000542BR_A5_29148,4
FP200000542BR_A5_29254,1
FP200000542BR_A5_29299,3
FP200000542BR_A5_29356,18
FP200000542BR_A5_29361,20
FP200000542BR_A5_29377,1
FP200000542BR_A5_29404,54
FP200000542BR_A5_29418,7
FP200000542BR_A5_29426,6
FP200000542BR_A5_29446,9
FP200000542BR_A5_29455,1
FP200000542BR_A5_29464,0
FP200000542BR_A5_29496,5
FP200000542BR_A5_29518,3
FP200000542BR_A5_29577,9
FP200000542BR_A5_29606,10
FP200000542BR_A5_29615,0
FP200000542BR_A5_29623,11
FP200000542BR_A5_29627,0
FP200000542BR_A5_29683,25
FP200000542BR_A5_29712,49
FP200000542BR_A5_29800,6
FP200000542BR_A5_29878,5
FP200000542BR_A5_29884,3
FP200000542BR_A5_29889,0
FP200000542BR_A5_29890,1
FP200000542BR_A5_29895,10
FP200000542BR_A5_29907,0
FP200000542BR_A5_30038,0
FP200000542BR_A5_30065,0
FP200000542BR_A5_30089,3
FP200000542BR_A5_30095,21
FP200000542BR_A5_30116,48
