cell_id,count
FP200000542BR_A5_14055,1
FP200000542BR_A5_14616,4
FP200000542BR_A5_14863,4
FP200000542BR_A5_14894,3
FP200000542BR_A5_15005,7
FP200000542BR_A5_15006,1
FP200000542BR_A5_15016,0
FP200000542BR_A5_16049,11
FP200000542BR_A5_16105,10
FP200000542BR_A5_16280,8
FP200000542BR_A5_16676,3
FP200000542BR_A5_16700,5
FP200000542BR_A5_16929,8
FP200000542BR_A5_17549,2
FP200000542BR_A5_17611,2
FP200000542BR_A5_17657,3
FP200000542BR_A5_17860,6
FP200000542BR_A5_17897,4
FP200000542BR_A5_17943,7
FP200000542BR_A5_18037,5
FP200000542BR_A5_18060,6
FP200000542BR_A5_18134,8
FP200000542BR_A5_18221,15
FP200000542BR_A5_18229,5
FP200000542BR_A5_18247,3
FP200000542BR_A5_18381,6
FP200000542BR_A5_18451,5
FP200000542BR_A5_18569,7
FP200000542BR_A5_18639,3
FP200000542BR_A5_18692,3
FP200000542BR_A5_18705,4
FP200000542BR_A5_18713,6
FP200000542BR_A5_18748,1
FP200000542BR_A5_18768,3
FP200000542BR_A5_18789,3
FP200000542BR_A5_18901,0
FP200000542BR_A5_19036,10
FP200000542BR_A5_19063,1
FP200000542BR_A5_19089,1
FP200000542BR_A5_19111,7
FP200000542BR_A5_19120,3
FP200000542BR_A5_19150,2
FP200000542BR_A5_19167,17
FP200000542BR_A5_19332,5
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,15
FP200000542BR_A5_19447,2
FP200000542BR_A5_19454,6
FP200000542BR_A5_19482,7
FP200000542BR_A5_19544,3
FP200000542BR_A5_19545,6
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,22
FP200000542BR_A5_19684,3
FP200000542BR_A5_19793,2
FP200000542BR_A5_19861,6
FP200000542BR_A5_19917,3
FP200000542BR_A5_19983,7
FP200000542BR_A5_20096,4
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,3
FP200000542BR_A5_20219,15
FP200000542BR_A5_20248,3
FP200000542BR_A5_20257,1
FP200000542BR_A5_20258,9
FP200000542BR_A5_20284,11
FP200000542BR_A5_20299,4
FP200000542BR_A5_20323,5
FP200000542BR_A5_20341,4
FP200000542BR_A5_20366,11
FP200000542BR_A5_20377,8
FP200000542BR_A5_20487,5
FP200000542BR_A5_20492,1
FP200000542BR_A5_20524,2
FP200000542BR_A5_20541,10
FP200000542BR_A5_20546,13
FP200000542BR_A5_20571,0
FP200000542BR_A5_20585,2
FP200000542BR_A5_20673,2
FP200000542BR_A5_20676,2
FP200000542BR_A5_20717,8
FP200000542BR_A5_20735,12
FP200000542BR_A5_20754,1
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,7
FP200000542BR_A5_20846,3
FP200000542BR_A5_20869,8
FP200000542BR_A5_20880,2
FP200000542BR_A5_21049,1
FP200000542BR_A5_21056,8
FP200000542BR_A5_21093,6
FP200000542BR_A5_21122,3
FP200000542BR_A5_21155,8
FP200000542BR_A5_21203,0
FP200000542BR_A5_21213,7
FP200000542BR_A5_21219,8
FP200000542BR_A5_21235,3
FP200000542BR_A5_21266,4
FP200000542BR_A5_21391,11
FP200000542BR_A5_21421,6
FP200000542BR_A5_21529,0
FP200000542BR_A5_21696,5
FP200000542BR_A5_21792,12
FP200000542BR_A5_21841,0
FP200000542BR_A5_21847,0
FP200000542BR_A5_21886,2
FP200000542BR_A5_21964,4
FP200000542BR_A5_21994,1
FP200000542BR_A5_22116,5
FP200000542BR_A5_22150,5
FP200000542BR_A5_22262,0
FP200000542BR_A5_22293,2
FP200000542BR_A5_22339,6
FP200000542BR_A5_22408,6
FP200000542BR_A5_22447,5
FP200000542BR_A5_22543,1
FP200000542BR_A5_22571,5
FP200000542BR_A5_22575,2
FP200000542BR_A5_22732,5
FP200000542BR_A5_22753,2
FP200000542BR_A5_22931,9
FP200000542BR_A5_23123,9
FP200000542BR_A5_23251,9
FP200000542BR_A5_23269,1
FP200000542BR_A5_23309,2
FP200000542BR_A5_23313,0
FP200000542BR_A5_23382,3
FP200000542BR_A5_23604,11
FP200000542BR_A5_23711,2
FP200000542BR_A5_23816,7
FP200000542BR_A5_23846,1
FP200000542BR_A5_23850,3
FP200000542BR_A5_24093,3
FP200000542BR_A5_24132,6
FP200000542BR_A5_24271,1
FP200000542BR_A5_24272,1
FP200000542BR_A5_24347,5
FP200000542BR_A5_24367,0
FP200000542BR_A5_24370,1
FP200000542BR_A5_24462,3
FP200000542BR_A5_24474,1
FP200000542BR_A5_24500,8
FP200000542BR_A5_24547,0
FP200000542BR_A5_24562,0
FP200000542BR_A5_24564,3
FP200000542BR_A5_24567,3
FP200000542BR_A5_24578,0
FP200000542BR_A5_24604,1
FP200000542BR_A5_24605,1
FP200000542BR_A5_24744,5
FP200000542BR_A5_24757,3
FP200000542BR_A5_24818,2
FP200000542BR_A5_24820,0
FP200000542BR_A5_24871,1
FP200000542BR_A5_24889,5
FP200000542BR_A5_24900,0
FP200000542BR_A5_24911,5
FP200000542BR_A5_24938,0
FP200000542BR_A5_24953,2
FP200000542BR_A5_24956,0
FP200000542BR_A5_25021,5
FP200000542BR_A5_25034,1
FP200000542BR_A5_25065,1
FP200000542BR_A5_25070,2
FP200000542BR_A5_25185,0
FP200000542BR_A5_25228,4
FP200000542BR_A5_25255,3
FP200000542BR_A5_25261,8
FP200000542BR_A5_25278,3
FP200000542BR_A5_25295,0
FP200000542BR_A5_25301,1
FP200000542BR_A5_25450,0
FP200000542BR_A5_25456,4
FP200000542BR_A5_25487,4
FP200000542BR_A5_25523,1
FP200000542BR_A5_25528,8
FP200000542BR_A5_25554,0
FP200000542BR_A5_25620,2
FP200000542BR_A5_25643,1
FP200000542BR_A5_25668,8
FP200000542BR_A5_25714,9
FP200000542BR_A5_25802,1
FP200000542BR_A5_25830,1
FP200000542BR_A5_25915,3
FP200000542BR_A5_26007,1
FP200000542BR_A5_26051,0
FP200000542BR_A5_26094,0
FP200000542BR_A5_26133,1
FP200000542BR_A5_26165,1
FP200000542BR_A5_26180,0
