cell_id,count
FP200000542BR_A5_14055,2
FP200000542BR_A5_14616,0
FP200000542BR_A5_14863,4
FP200000542BR_A5_14894,3
FP200000542BR_A5_15005,3
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,2
FP200000542BR_A5_16049,4
FP200000542BR_A5_16105,5
FP200000542BR_A5_16280,14
FP200000542BR_A5_16676,0
FP200000542BR_A5_16700,2
FP200000542BR_A5_16929,2
FP200000542BR_A5_17549,3
FP200000542BR_A5_17611,10
FP200000542BR_A5_17657,2
FP200000542BR_A5_17860,2
FP200000542BR_A5_17897,2
FP200000542BR_A5_17943,9
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,0
FP200000542BR_A5_18134,4
FP200000542BR_A5_18221,4
FP200000542BR_A5_18229,0
FP200000542BR_A5_18247,2
FP200000542BR_A5_18381,5
FP200000542BR_A5_18451,3
FP200000542BR_A5_18569,1
FP200000542BR_A5_18639,5
FP200000542BR_A5_18692,2
FP200000542BR_A5_18705,0
FP200000542BR_A5_18713,1
FP200000542BR_A5_18748,5
FP200000542BR_A5_18768,2
FP200000542BR_A5_18789,3
FP200000542BR_A5_18901,0
FP200000542BR_A5_19036,8
FP200000542BR_A5_19063,1
FP200000542BR_A5_19089,1
FP200000542BR_A5_19111,3
FP200000542BR_A5_19120,2
FP200000542BR_A5_19150,13
FP200000542BR_A5_19167,10
FP200000542BR_A5_19332,6
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,9
FP200000542BR_A5_19447,4
FP200000542BR_A5_19454,1
FP200000542BR_A5_19482,5
FP200000542BR_A5_19544,1
FP200000542BR_A5_19545,12
FP200000542BR_A5_19615,1
FP200000542BR_A5_19627,0
FP200000542BR_A5_19684,2
FP200000542BR_A5_19793,4
FP200000542BR_A5_19861,5
FP200000542BR_A5_19917,0
FP200000542BR_A5_19983,7
FP200000542BR_A5_20096,4
FP200000542BR_A5_20176,2
FP200000542BR_A5_20200,2
FP200000542BR_A5_20219,14
FP200000542BR_A5_20248,0
FP200000542BR_A5_20257,0
FP200000542BR_A5_20258,13
FP200000542BR_A5_20284,7
FP200000542BR_A5_20299,3
FP200000542BR_A5_20323,6
FP200000542BR_A5_20341,3
FP200000542BR_A5_20366,0
FP200000542BR_A5_20377,2
FP200000542BR_A5_20487,1
FP200000542BR_A5_20492,2
FP200000542BR_A5_20524,0
FP200000542BR_A5_20541,0
FP200000542BR_A5_20546,6
FP200000542BR_A5_20571,1
FP200000542BR_A5_20585,0
FP200000542BR_A5_20673,0
FP200000542BR_A5_20676,10
FP200000542BR_A5_20717,2
FP200000542BR_A5_20735,6
FP200000542BR_A5_20754,5
FP200000542BR_A5_20765,1
FP200000542BR_A5_20806,5
FP200000542BR_A5_20846,3
FP200000542BR_A5_20869,4
FP200000542BR_A5_20880,4
FP200000542BR_A5_21049,3
FP200000542BR_A5_21056,4
FP200000542BR_A5_21093,3
FP200000542BR_A5_21122,1
FP200000542BR_A5_21155,1
FP200000542BR_A5_21203,3
FP200000542BR_A5_21213,8
FP200000542BR_A5_21219,3
FP200000542BR_A5_21235,0
FP200000542BR_A5_21266,2
FP200000542BR_A5_21391,13
FP200000542BR_A5_21421,2
FP200000542BR_A5_21529,7
FP200000542BR_A5_21696,2
FP200000542BR_A5_21792,6
