cell_id,count
FP200000542BR_A5_14055,1
FP200000542BR_A5_14616,4
FP200000542BR_A5_14863,4
FP200000542BR_A5_14894,0
FP200000542BR_A5_15005,7
FP200000542BR_A5_15006,6
FP200000542BR_A5_15016,3
FP200000542BR_A5_16049,6
FP200000542BR_A5_16105,3
FP200000542BR_A5_16280,2
FP200000542BR_A5_16676,0
FP200000542BR_A5_16700,0
FP200000542BR_A5_16929,1
FP200000542BR_A5_17549,2
FP200000542BR_A5_17611,4
FP200000542BR_A5_17657,2
FP200000542BR_A5_17860,3
FP200000542BR_A5_17897,1
FP200000542BR_A5_17943,8
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,1
FP200000542BR_A5_18134,6
FP200000542BR_A5_18221,10
FP200000542BR_A5_18229,1
FP200000542BR_A5_18247,5
FP200000542BR_A5_18381,5
FP200000542BR_A5_18451,2
FP200000542BR_A5_18569,4
FP200000542BR_A5_18639,4
FP200000542BR_A5_18692,2
FP200000542BR_A5_18705,0
FP200000542BR_A5_18713,3
FP200000542BR_A5_18748,1
FP200000542BR_A5_18768,2
FP200000542BR_A5_18789,2
FP200000542BR_A5_18901,0
FP200000542BR_A5_19036,4
FP200000542BR_A5_19063,0
FP200000542BR_A5_19089,2
FP200000542BR_A5_19111,3
FP200000542BR_A5_19120,0
FP200000542BR_A5_19150,0
FP200000542BR_A5_19167,1
FP200000542BR_A5_19332,1
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,8
FP200000542BR_A5_19447,8
FP200000542BR_A5_19454,1
FP200000542BR_A5_19482,7
FP200000542BR_A5_19544,2
FP200000542BR_A5_19545,2
FP200000542BR_A5_19615,2
FP200000542BR_A5_19627,5
FP200000542BR_A5_19684,2
FP200000542BR_A5_19793,2
FP200000542BR_A5_19861,3
FP200000542BR_A5_19917,2
FP200000542BR_A5_19983,13
FP200000542BR_A5_20096,1
FP200000542BR_A5_20176,1
FP200000542BR_A5_20200,2
FP200000542BR_A5_20219,7
FP200000542BR_A5_20248,4
FP200000542BR_A5_20257,1
FP200000542BR_A5_20258,13
FP200000542BR_A5_20284,3
FP200000542BR_A5_20299,10
FP200000542BR_A5_20323,4
FP200000542BR_A5_20341,1
FP200000542BR_A5_20366,3
FP200000542BR_A5_20377,0
FP200000542BR_A5_20487,1
FP200000542BR_A5_20492,0
FP200000542BR_A5_20524,0
FP200000542BR_A5_20541,6
FP200000542BR_A5_20546,1
FP200000542BR_A5_20571,0
FP200000542BR_A5_20585,0
FP200000542BR_A5_20673,4
FP200000542BR_A5_20676,10
FP200000542BR_A5_20717,2
FP200000542BR_A5_20735,4
FP200000542BR_A5_20754,2
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,5
FP200000542BR_A5_20846,3
FP200000542BR_A5_20869,2
FP200000542BR_A5_20880,4
FP200000542BR_A5_21049,0
FP200000542BR_A5_21056,9
FP200000542BR_A5_21093,10
FP200000542BR_A5_21122,1
FP200000542BR_A5_21155,3
FP200000542BR_A5_21203,7
FP200000542BR_A5_21213,4
FP200000542BR_A5_21219,0
FP200000542BR_A5_21235,5
FP200000542BR_A5_21266,0
FP200000542BR_A5_21391,3
FP200000542BR_A5_21421,0
FP200000542BR_A5_21529,4
FP200000542BR_A5_21696,5
FP200000542BR_A5_21792,6
FP200000542BR_A5_21841,1
FP200000542BR_A5_21847,4
FP200000542BR_A5_21886,4
FP200000542BR_A5_21964,3
FP200000542BR_A5_21994,5
FP200000542BR_A5_22116,2
FP200000542BR_A5_22150,3
FP200000542BR_A5_22262,0
FP200000542BR_A5_22293,3
FP200000542BR_A5_22339,2
FP200000542BR_A5_22408,0
FP200000542BR_A5_22447,2
FP200000542BR_A5_22543,1
FP200000542BR_A5_22571,2
FP200000542BR_A5_22575,1
FP200000542BR_A5_22732,2
FP200000542BR_A5_22753,1
FP200000542BR_A5_22931,1
FP200000542BR_A5_23123,2
FP200000542BR_A5_23251,4
FP200000542BR_A5_23269,1
FP200000542BR_A5_23309,0
FP200000542BR_A5_23313,2
FP200000542BR_A5_23382,1
FP200000542BR_A5_23604,3
FP200000542BR_A5_23711,5
FP200000542BR_A5_23816,8
FP200000542BR_A5_23846,4
FP200000542BR_A5_23850,5
FP200000542BR_A5_24093,3
FP200000542BR_A5_24132,5
FP200000542BR_A5_24271,6
FP200000542BR_A5_24272,2
FP200000542BR_A5_24347,4
FP200000542BR_A5_24367,3
FP200000542BR_A5_24370,7
FP200000542BR_A5_24462,5
FP200000542BR_A5_24474,5
FP200000542BR_A5_24500,6
FP200000542BR_A5_24547,1
FP200000542BR_A5_24562,0
FP200000542BR_A5_24564,2
FP200000542BR_A5_24567,2
FP200000542BR_A5_24578,1
FP200000542BR_A5_24604,1
FP200000542BR_A5_24605,4
FP200000542BR_A5_24744,1
FP200000542BR_A5_24757,8
FP200000542BR_A5_24818,6
FP200000542BR_A5_24820,1
FP200000542BR_A5_24871,2
FP200000542BR_A5_24889,13
FP200000542BR_A5_24900,2
FP200000542BR_A5_24911,3
FP200000542BR_A5_24938,2
FP200000542BR_A5_24953,1
FP200000542BR_A5_24956,1
FP200000542BR_A5_25021,0
FP200000542BR_A5_25034,0
FP200000542BR_A5_25065,2
FP200000542BR_A5_25070,0
FP200000542BR_A5_25185,5
FP200000542BR_A5_25228,0
FP200000542BR_A5_25255,0
FP200000542BR_A5_25261,1
FP200000542BR_A5_25278,1
FP200000542BR_A5_25295,2
FP200000542BR_A5_25301,2
FP200000542BR_A5_25450,0
FP200000542BR_A5_25456,3
FP200000542BR_A5_25487,1
FP200000542BR_A5_25523,0
FP200000542BR_A5_25528,3
FP200000542BR_A5_25554,1
FP200000542BR_A5_25620,2
FP200000542BR_A5_25643,1
FP200000542BR_A5_25668,7
FP200000542BR_A5_25714,15
FP200000542BR_A5_25802,3
FP200000542BR_A5_25830,9
FP200000542BR_A5_25915,5
FP200000542BR_A5_26007,4
FP200000542BR_A5_26051,1
FP200000542BR_A5_26094,0
FP200000542BR_A5_26133,0
FP200000542BR_A5_26165,1
FP200000542BR_A5_26180,6
