cell_id,count
FP200000542BR_A5_14055,4
FP200000542BR_A5_14616,5
FP200000542BR_A5_14863,5
FP200000542BR_A5_14894,0
FP200000542BR_A5_15005,2
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,2
FP200000542BR_A5_16049,3
FP200000542BR_A5_16105,4
FP200000542BR_A5_16280,2
FP200000542BR_A5_16676,0
FP200000542BR_A5_16700,0
FP200000542BR_A5_16929,2
FP200000542BR_A5_17549,2
FP200000542BR_A5_17611,2
FP200000542BR_A5_17657,3
FP200000542BR_A5_17860,6
FP200000542BR_A5_17897,4
FP200000542BR_A5_17943,6
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,1
FP200000542BR_A5_18134,0
FP200000542BR_A5_18221,1
FP200000542BR_A5_18229,1
FP200000542BR_A5_18247,1
FP200000542BR_A5_18381,1
FP200000542BR_A5_18451,1
FP200000542BR_A5_18569,2
FP200000542BR_A5_18639,8
FP200000542BR_A5_18692,2
FP200000542BR_A5_18705,0
FP200000542BR_A5_18713,1
FP200000542BR_A5_18748,2
FP200000542BR_A5_18768,4
FP200000542BR_A5_18789,4
FP200000542BR_A5_18901,2
FP200000542BR_A5_19036,1
FP200000542BR_A5_19063,0
FP200000542BR_A5_19089,1
FP200000542BR_A5_19111,0
FP200000542BR_A5_19120,1
FP200000542BR_A5_19150,4
FP200000542BR_A5_19167,4
FP200000542BR_A5_19332,1
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,2
FP200000542BR_A5_19447,4
FP200000542BR_A5_19454,2
FP200000542BR_A5_19482,0
FP200000542BR_A5_19544,0
FP200000542BR_A5_19545,0
FP200000542BR_A5_19615,1
FP200000542BR_A5_19627,7
FP200000542BR_A5_19684,2
FP200000542BR_A5_19793,0
FP200000542BR_A5_19861,2
FP200000542BR_A5_19917,0
FP200000542BR_A5_19983,1
FP200000542BR_A5_20096,1
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,0
FP200000542BR_A5_20219,3
FP200000542BR_A5_20248,2
FP200000542BR_A5_20257,0
FP200000542BR_A5_20258,0
FP200000542BR_A5_20284,4
FP200000542BR_A5_20299,5
