cell_id,count
FP200000542BR_A5_14055,4
FP200000542BR_A5_14616,4
FP200000542BR_A5_14863,2
FP200000542BR_A5_14894,1
FP200000542BR_A5_15005,2
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,7
FP200000542BR_A5_16049,1
FP200000542BR_A5_16105,1
FP200000542BR_A5_16280,4
FP200000542BR_A5_16676,2
FP200000542BR_A5_16700,0
FP200000542BR_A5_16929,0
FP200000542BR_A5_17549,2
FP200000542BR_A5_17611,0
FP200000542BR_A5_17657,3
FP200000542BR_A5_17860,0
FP200000542BR_A5_17897,0
FP200000542BR_A5_17943,5
FP200000542BR_A5_18037,2
FP200000542BR_A5_18060,4
FP200000542BR_A5_18134,1
FP200000542BR_A5_18221,9
FP200000542BR_A5_18229,2
FP200000542BR_A5_18247,0
FP200000542BR_A5_18381,3
FP200000542BR_A5_18451,0
FP200000542BR_A5_18569,1
FP200000542BR_A5_18639,2
FP200000542BR_A5_18692,4
FP200000542BR_A5_18705,2
FP200000542BR_A5_18713,2
FP200000542BR_A5_18748,1
FP200000542BR_A5_18768,2
FP200000542BR_A5_18789,6
FP200000542BR_A5_18901,1
FP200000542BR_A5_19036,4
FP200000542BR_A5_19063,2
FP200000542BR_A5_19089,2
FP200000542BR_A5_19111,1
FP200000542BR_A5_19120,0
FP200000542BR_A5_19150,3
FP200000542BR_A5_19167,1
FP200000542BR_A5_19332,2
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,4
FP200000542BR_A5_19447,4
FP200000542BR_A5_19454,1
FP200000542BR_A5_19482,1
FP200000542BR_A5_19544,0
FP200000542BR_A5_19545,3
FP200000542BR_A5_19615,2
FP200000542BR_A5_19627,4
FP200000542BR_A5_19684,1
FP200000542BR_A5_19793,7
FP200000542BR_A5_19861,1
FP200000542BR_A5_19917,0
FP200000542BR_A5_19983,3
FP200000542BR_A5_20096,5
FP200000542BR_A5_20176,1
FP200000542BR_A5_20200,0
FP200000542BR_A5_20219,3
FP200000542BR_A5_20248,1
FP200000542BR_A5_20257,1
FP200000542BR_A5_20258,3
FP200000542BR_A5_20284,8
FP200000542BR_A5_20299,0
FP200000542BR_A5_20323,0
FP200000542BR_A5_20341,4
FP200000542BR_A5_20366,2
FP200000542BR_A5_20377,4
FP200000542BR_A5_20487,5
FP200000542BR_A5_20492,0
FP200000542BR_A5_20524,0
FP200000542BR_A5_20541,3
FP200000542BR_A5_20546,9
FP200000542BR_A5_20571,2
FP200000542BR_A5_20585,0
FP200000542BR_A5_20673,5
FP200000542BR_A5_20676,5
FP200000542BR_A5_20717,0
FP200000542BR_A5_20735,4
FP200000542BR_A5_20754,3
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,4
FP200000542BR_A5_20846,0
FP200000542BR_A5_20869,0
FP200000542BR_A5_20880,4
FP200000542BR_A5_21049,1
FP200000542BR_A5_21056,4
FP200000542BR_A5_21093,2
FP200000542BR_A5_21122,0
FP200000542BR_A5_21155,7
FP200000542BR_A5_21203,0
FP200000542BR_A5_21213,5
FP200000542BR_A5_21219,2
FP200000542BR_A5_21235,1
FP200000542BR_A5_21266,0
FP200000542BR_A5_21391,6
FP200000542BR_A5_21421,0
FP200000542BR_A5_21529,5
FP200000542BR_A5_21696,0
FP200000542BR_A5_21792,7
FP200000542BR_A5_21841,6
FP200000542BR_A5_21847,3
FP200000542BR_A5_21886,7
FP200000542BR_A5_21964,3
FP200000542BR_A5_21994,10
FP200000542BR_A5_22116,6
FP200000542BR_A5_22150,2
FP200000542BR_A5_22262,1
FP200000542BR_A5_22293,1
FP200000542BR_A5_22339,1
FP200000542BR_A5_22408,5
FP200000542BR_A5_22447,5
FP200000542BR_A5_22543,0
FP200000542BR_A5_22571,0
FP200000542BR_A5_22575,11
FP200000542BR_A5_22732,1
FP200000542BR_A5_22753,1
FP200000542BR_A5_22931,5
FP200000542BR_A5_23123,3
FP200000542BR_A5_23251,8
FP200000542BR_A5_23269,3
FP200000542BR_A5_23309,4
FP200000542BR_A5_23313,0
FP200000542BR_A5_23382,1
FP200000542BR_A5_23604,7
FP200000542BR_A5_23711,4
FP200000542BR_A5_23816,9
FP200000542BR_A5_23846,0
FP200000542BR_A5_23850,8
FP200000542BR_A5_24093,1
FP200000542BR_A5_24132,3
FP200000542BR_A5_24271,2
FP200000542BR_A5_24272,1
FP200000542BR_A5_24347,7
FP200000542BR_A5_24367,7
FP200000542BR_A5_24370,3
FP200000542BR_A5_24462,0
FP200000542BR_A5_24474,6
FP200000542BR_A5_24500,5
FP200000542BR_A5_24547,0
FP200000542BR_A5_24562,0
FP200000542BR_A5_24564,6
FP200000542BR_A5_24567,0
FP200000542BR_A5_24578,0
FP200000542BR_A5_24604,3
FP200000542BR_A5_24605,7
FP200000542BR_A5_24744,1
FP200000542BR_A5_24757,3
FP200000542BR_A5_24818,3
FP200000542BR_A5_24820,0
FP200000542BR_A5_24871,3
FP200000542BR_A5_24889,12
FP200000542BR_A5_24900,2
FP200000542BR_A5_24911,1
FP200000542BR_A5_24938,2
FP200000542BR_A5_24953,4
FP200000542BR_A5_24956,1
FP200000542BR_A5_25021,0
FP200000542BR_A5_25034,1
FP200000542BR_A5_25065,2
FP200000542BR_A5_25070,1
FP200000542BR_A5_25185,4
FP200000542BR_A5_25228,8
FP200000542BR_A5_25255,3
FP200000542BR_A5_25261,2
FP200000542BR_A5_25278,1
FP200000542BR_A5_25295,2
FP200000542BR_A5_25301,2
FP200000542BR_A5_25450,0
FP200000542BR_A5_25456,1
