cell_id,count
FP200000542BR_A5_14055,0
FP200000542BR_A5_14616,5
FP200000542BR_A5_14863,1
FP200000542BR_A5_14894,4
FP200000542BR_A5_15005,6
FP200000542BR_A5_15006,2
FP200000542BR_A5_15016,0
FP200000542BR_A5_16049,6
FP200000542BR_A5_16105,4
FP200000542BR_A5_16280,9
FP200000542BR_A5_16676,1
FP200000542BR_A5_16700,2
FP200000542BR_A5_16929,0
FP200000542BR_A5_17549,10
FP200000542BR_A5_17611,4
FP200000542BR_A5_17657,0
FP200000542BR_A5_17860,3
FP200000542BR_A5_17897,1
FP200000542BR_A5_17943,4
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,10
FP200000542BR_A5_18134,4
FP200000542BR_A5_18221,8
FP200000542BR_A5_18229,3
FP200000542BR_A5_18247,0
FP200000542BR_A5_18381,6
FP200000542BR_A5_18451,0
FP200000542BR_A5_18569,0
FP200000542BR_A5_18639,7
FP200000542BR_A5_18692,5
FP200000542BR_A5_18705,3
FP200000542BR_A5_18713,2
FP200000542BR_A5_18748,0
FP200000542BR_A5_18768,2
FP200000542BR_A5_18789,8
FP200000542BR_A5_18901,2
FP200000542BR_A5_19036,6
FP200000542BR_A5_19063,1
FP200000542BR_A5_19089,0
FP200000542BR_A5_19111,1
FP200000542BR_A5_19120,0
FP200000542BR_A5_19150,3
FP200000542BR_A5_19167,2
FP200000542BR_A5_19332,3
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,5
FP200000542BR_A5_19447,1
FP200000542BR_A5_19454,3
FP200000542BR_A5_19482,1
FP200000542BR_A5_19544,1
FP200000542BR_A5_19545,8
FP200000542BR_A5_19615,1
FP200000542BR_A5_19627,2
FP200000542BR_A5_19684,0
FP200000542BR_A5_19793,1
FP200000542BR_A5_19861,7
FP200000542BR_A5_19917,1
FP200000542BR_A5_19983,0
FP200000542BR_A5_20096,8
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,0
FP200000542BR_A5_20219,6
FP200000542BR_A5_20248,3
FP200000542BR_A5_20257,0
FP200000542BR_A5_20258,8
FP200000542BR_A5_20284,6
FP200000542BR_A5_20299,0
FP200000542BR_A5_20323,4
FP200000542BR_A5_20341,3
FP200000542BR_A5_20366,6
FP200000542BR_A5_20377,3
FP200000542BR_A5_20487,1
FP200000542BR_A5_20492,0
FP200000542BR_A5_20524,0
FP200000542BR_A5_20541,6
FP200000542BR_A5_20546,3
FP200000542BR_A5_20571,0
FP200000542BR_A5_20585,0
FP200000542BR_A5_20673,4
FP200000542BR_A5_20676,7
FP200000542BR_A5_20717,5
FP200000542BR_A5_20735,4
FP200000542BR_A5_20754,0
FP200000542BR_A5_20765,1
FP200000542BR_A5_20806,6
FP200000542BR_A5_20846,11
FP200000542BR_A5_20869,4
FP200000542BR_A5_20880,12
FP200000542BR_A5_21049,1
FP200000542BR_A5_21056,7
FP200000542BR_A5_21093,1
FP200000542BR_A5_21122,2
FP200000542BR_A5_21155,11
FP200000542BR_A5_21203,1
FP200000542BR_A5_21213,6
FP200000542BR_A5_21219,2
FP200000542BR_A5_21235,0
FP200000542BR_A5_21266,2
FP200000542BR_A5_21391,9
FP200000542BR_A5_21421,2
FP200000542BR_A5_21529,5
FP200000542BR_A5_21696,6
FP200000542BR_A5_21792,6
FP200000542BR_A5_21841,5
FP200000542BR_A5_21847,6
FP200000542BR_A5_21886,0
FP200000542BR_A5_21964,7
FP200000542BR_A5_21994,4
FP200000542BR_A5_22116,0
FP200000542BR_A5_22150,5
FP200000542BR_A5_22262,0
FP200000542BR_A5_22293,3
FP200000542BR_A5_22339,9
FP200000542BR_A5_22408,1
FP200000542BR_A5_22447,3
FP200000542BR_A5_22543,0
FP200000542BR_A5_22571,1
FP200000542BR_A5_22575,1
FP200000542BR_A5_22732,14
FP200000542BR_A5_22753,9
FP200000542BR_A5_22931,4
FP200000542BR_A5_23123,4
FP200000542BR_A5_23251,9
FP200000542BR_A5_23269,0
FP200000542BR_A5_23309,1
FP200000542BR_A5_23313,0
FP200000542BR_A5_23382,0
FP200000542BR_A5_23604,3
FP200000542BR_A5_23711,0
FP200000542BR_A5_23816,7
FP200000542BR_A5_23846,3
FP200000542BR_A5_23850,4
FP200000542BR_A5_24093,7
FP200000542BR_A5_24132,1
FP200000542BR_A5_24271,5
FP200000542BR_A5_24272,0
FP200000542BR_A5_24347,6
FP200000542BR_A5_24367,1
FP200000542BR_A5_24370,1
FP200000542BR_A5_24462,7
FP200000542BR_A5_24474,4
FP200000542BR_A5_24500,9
FP200000542BR_A5_24547,0
FP200000542BR_A5_24562,2
FP200000542BR_A5_24564,4
FP200000542BR_A5_24567,0
FP200000542BR_A5_24578,0
FP200000542BR_A5_24604,6
FP200000542BR_A5_24605,1
FP200000542BR_A5_24744,6
FP200000542BR_A5_24757,2
FP200000542BR_A5_24818,6
FP200000542BR_A5_24820,2
FP200000542BR_A5_24871,1
FP200000542BR_A5_24889,6
FP200000542BR_A5_24900,1
FP200000542BR_A5_24911,1
FP200000542BR_A5_24938,2
FP200000542BR_A5_24953,2
FP200000542BR_A5_24956,1
FP200000542BR_A5_25021,2
FP200000542BR_A5_25034,1
FP200000542BR_A5_25065,3
FP200000542BR_A5_25070,0
FP200000542BR_A5_25185,0
FP200000542BR_A5_25228,2
FP200000542BR_A5_25255,3
FP200000542BR_A5_25261,0
FP200000542BR_A5_25278,3
FP200000542BR_A5_25295,1
FP200000542BR_A5_25301,0
FP200000542BR_A5_25450,9
FP200000542BR_A5_25456,3
FP200000542BR_A5_25487,1
FP200000542BR_A5_25523,3
FP200000542BR_A5_25528,3
FP200000542BR_A5_25554,0
FP200000542BR_A5_25620,1
FP200000542BR_A5_25643,1
FP200000542BR_A5_25668,6
FP200000542BR_A5_25714,2
FP200000542BR_A5_25802,4
FP200000542BR_A5_25830,1
FP200000542BR_A5_25915,0
FP200000542BR_A5_26007,1
FP200000542BR_A5_26051,1
FP200000542BR_A5_26094,0
FP200000542BR_A5_26133,3
