cell_id,count
FP200000542BR_A5_14055,5
FP200000542BR_A5_14616,4
FP200000542BR_A5_14863,3
FP200000542BR_A5_14894,0
FP200000542BR_A5_15005,9
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,2
FP200000542BR_A5_16049,2
FP200000542BR_A5_16105,2
FP200000542BR_A5_16280,7
FP200000542BR_A5_16676,2
FP200000542BR_A5_16700,2
FP200000542BR_A5_16929,2
FP200000542BR_A5_17549,14
FP200000542BR_A5_17611,6
FP200000542BR_A5_17657,4
FP200000542BR_A5_17860,2
FP200000542BR_A5_17897,1
FP200000542BR_A5_17943,15
FP200000542BR_A5_18037,1
FP200000542BR_A5_18060,7
FP200000542BR_A5_18134,9
FP200000542BR_A5_18221,7
FP200000542BR_A5_18229,1
FP200000542BR_A5_18247,0
FP200000542BR_A5_18381,5
FP200000542BR_A5_18451,2
FP200000542BR_A5_18569,1
FP200000542BR_A5_18639,5
FP200000542BR_A5_18692,2
FP200000542BR_A5_18705,1
FP200000542BR_A5_18713,5
FP200000542BR_A5_18748,3
FP200000542BR_A5_18768,3
FP200000542BR_A5_18789,3
FP200000542BR_A5_18901,0
FP200000542BR_A5_19036,5
FP200000542BR_A5_19063,4
FP200000542BR_A5_19089,0
FP200000542BR_A5_19111,5
FP200000542BR_A5_19120,0
FP200000542BR_A5_19150,7
FP200000542BR_A5_19167,12
FP200000542BR_A5_19332,6
FP200000542BR_A5_19409,1
FP200000542BR_A5_19423,5
FP200000542BR_A5_19447,9
FP200000542BR_A5_19454,3
FP200000542BR_A5_19482,5
FP200000542BR_A5_19544,2
FP200000542BR_A5_19545,9
FP200000542BR_A5_19615,1
FP200000542BR_A5_19627,14
FP200000542BR_A5_19684,6
FP200000542BR_A5_19793,2
FP200000542BR_A5_19861,10
FP200000542BR_A5_19917,1
FP200000542BR_A5_19983,7
FP200000542BR_A5_20096,5
FP200000542BR_A5_20176,4
FP200000542BR_A5_20200,2
FP200000542BR_A5_20219,17
FP200000542BR_A5_20248,1
FP200000542BR_A5_20257,0
FP200000542BR_A5_20258,6
FP200000542BR_A5_20284,14
FP200000542BR_A5_20299,0
FP200000542BR_A5_20323,3
FP200000542BR_A5_20341,5
FP200000542BR_A5_20366,0
FP200000542BR_A5_20377,3
FP200000542BR_A5_20487,3
FP200000542BR_A5_20492,5
FP200000542BR_A5_20524,0
FP200000542BR_A5_20541,4
FP200000542BR_A5_20546,4
FP200000542BR_A5_20571,3
FP200000542BR_A5_20585,1
FP200000542BR_A5_20673,3
FP200000542BR_A5_20676,5
FP200000542BR_A5_20717,9
FP200000542BR_A5_20735,4
FP200000542BR_A5_20754,3
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,21
FP200000542BR_A5_20846,5
FP200000542BR_A5_20869,1
FP200000542BR_A5_20880,3
FP200000542BR_A5_21049,3
FP200000542BR_A5_21056,6
FP200000542BR_A5_21093,3
FP200000542BR_A5_21122,2
FP200000542BR_A5_21155,7
FP200000542BR_A5_21203,2
FP200000542BR_A5_21213,1
FP200000542BR_A5_21219,8
FP200000542BR_A5_21235,5
FP200000542BR_A5_21266,4
FP200000542BR_A5_21391,5
FP200000542BR_A5_21421,4
FP200000542BR_A5_21529,4
FP200000542BR_A5_21696,4
FP200000542BR_A5_21792,5
FP200000542BR_A5_21841,2
FP200000542BR_A5_21847,4
FP200000542BR_A5_21886,6
FP200000542BR_A5_21964,3
FP200000542BR_A5_21994,9
FP200000542BR_A5_22116,6
FP200000542BR_A5_22150,3
FP200000542BR_A5_22262,0
FP200000542BR_A5_22293,10
FP200000542BR_A5_22339,3
FP200000542BR_A5_22408,1
FP200000542BR_A5_22447,0
FP200000542BR_A5_22543,2
FP200000542BR_A5_22571,4
FP200000542BR_A5_22575,2
FP200000542BR_A5_22732,9
FP200000542BR_A5_22753,0
FP200000542BR_A5_22931,3
FP200000542BR_A5_23123,0
FP200000542BR_A5_23251,3
FP200000542BR_A5_23269,1
FP200000542BR_A5_23309,0
FP200000542BR_A5_23313,0
FP200000542BR_A5_23382,6
FP200000542BR_A5_23604,1
FP200000542BR_A5_23711,2
FP200000542BR_A5_23816,4
FP200000542BR_A5_23846,1
FP200000542BR_A5_23850,4
FP200000542BR_A5_24093,4
FP200000542BR_A5_24132,2
FP200000542BR_A5_24271,0
FP200000542BR_A5_24272,0
FP200000542BR_A5_24347,7
FP200000542BR_A5_24367,3
FP200000542BR_A5_24370,2
FP200000542BR_A5_24462,8
FP200000542BR_A5_24474,9
FP200000542BR_A5_24500,9
FP200000542BR_A5_24547,1
FP200000542BR_A5_24562,2
FP200000542BR_A5_24564,3
FP200000542BR_A5_24567,1
FP200000542BR_A5_24578,5
FP200000542BR_A5_24604,1
FP200000542BR_A5_24605,6
FP200000542BR_A5_24744,0
FP200000542BR_A5_24757,6
FP200000542BR_A5_24818,2
FP200000542BR_A5_24820,0
FP200000542BR_A5_24871,8
FP200000542BR_A5_24889,4
FP200000542BR_A5_24900,1
FP200000542BR_A5_24911,5
FP200000542BR_A5_24938,8
FP200000542BR_A5_24953,1
FP200000542BR_A5_24956,5
FP200000542BR_A5_25021,2
FP200000542BR_A5_25034,1
FP200000542BR_A5_25065,0
FP200000542BR_A5_25070,3
FP200000542BR_A5_25185,3
FP200000542BR_A5_25228,0
FP200000542BR_A5_25255,1
FP200000542BR_A5_25261,0
FP200000542BR_A5_25278,3
FP200000542BR_A5_25295,2
FP200000542BR_A5_25301,3
FP200000542BR_A5_25450,2
FP200000542BR_A5_25456,0
FP200000542BR_A5_25487,5
FP200000542BR_A5_25523,1
FP200000542BR_A5_25528,2
FP200000542BR_A5_25554,0
FP200000542BR_A5_25620,1
FP200000542BR_A5_25643,1
FP200000542BR_A5_25668,1
FP200000542BR_A5_25714,11
FP200000542BR_A5_25802,1
FP200000542BR_A5_25830,0
FP200000542BR_A5_25915,2
FP200000542BR_A5_26007,0
FP200000542BR_A5_26051,0
FP200000542BR_A5_26094,2
FP200000542BR_A5_26133,8
FP200000542BR_A5_26165,1
FP200000542BR_A5_26180,1
FP200000542BR_A5_26284,10
FP200000542BR_A5_26302,5
FP200000542BR_A5_26344,1
FP200000542BR_A5_26369,2
FP200000542BR_A5_26419,4
FP200000542BR_A5_26472,3
FP200000542BR_A5_26483,1
FP200000542BR_A5_26541,2
FP200000542BR_A5_26566,2
FP200000542BR_A5_26576,2
FP200000542BR_A5_26579,0
FP200000542BR_A5_26624,0
FP200000542BR_A5_26677,2
FP200000542BR_A5_26796,1
FP200000542BR_A5_26830,0
FP200000542BR_A5_26843,2
FP200000542BR_A5_26896,2
FP200000542BR_A5_26974,1
FP200000542BR_A5_27002,3
FP200000542BR_A5_27053,9
FP200000542BR_A5_27095,0
FP200000542BR_A5_27197,2
FP200000542BR_A5_27220,4
FP200000542BR_A5_27348,0
FP200000542BR_A5_27349,9
FP200000542BR_A5_27364,0
FP200000542BR_A5_27377,8
FP200000542BR_A5_27383,0
FP200000542BR_A5_27426,1
FP200000542BR_A5_27619,10
FP200000542BR_A5_27620,7
FP200000542BR_A5_27697,2
FP200000542BR_A5_27863,1
FP200000542BR_A5_27876,9
FP200000542BR_A5_27980,4
FP200000542BR_A5_27987,3
FP200000542BR_A5_28079,2
FP200000542BR_A5_28158,5
FP200000542BR_A5_28167,2
FP200000542BR_A5_28170,4
FP200000542BR_A5_28323,2
FP200000542BR_A5_28333,2
FP200000542BR_A5_28344,2
FP200000542BR_A5_28378,1
FP200000542BR_A5_28468,3
FP200000542BR_A5_28511,1
FP200000542BR_A5_28604,5
FP200000542BR_A5_28626,8
FP200000542BR_A5_28632,3
FP200000542BR_A5_28657,0
FP200000542BR_A5_28790,2
FP200000542BR_A5_28814,7
FP200000542BR_A5_28824,1
FP200000542BR_A5_28839,0
FP200000542BR_A5_28846,7
FP200000542BR_A5_28885,6
FP200000542BR_A5_28917,0
FP200000542BR_A5_29048,13
FP200000542BR_A5_29065,7
FP200000542BR_A5_29084,0
FP200000542BR_A5_29089,8
FP200000542BR_A5_29142,2
FP200000542BR_A5_29148,1
FP200000542BR_A5_29254,0
FP200000542BR_A5_29299,5
FP200000542BR_A5_29356,0
FP200000542BR_A5_29361,8
FP200000542BR_A5_29377,7
FP200000542BR_A5_29404,4
FP200000542BR_A5_29418,8
FP200000542BR_A5_29426,4
FP200000542BR_A5_29446,4
FP200000542BR_A5_29455,1
FP200000542BR_A5_29464,0
FP200000542BR_A5_29496,3
FP200000542BR_A5_29518,5
FP200000542BR_A5_29577,8
FP200000542BR_A5_29606,5
FP200000542BR_A5_29615,1
FP200000542BR_A5_29623,1
FP200000542BR_A5_29627,5
FP200000542BR_A5_29683,1
FP200000542BR_A5_29712,0
FP200000542BR_A5_29800,4
FP200000542BR_A5_29878,9
FP200000542BR_A5_29884,4
FP200000542BR_A5_29889,3
FP200000542BR_A5_29890,1
FP200000542BR_A5_29895,7
FP200000542BR_A5_29907,1
FP200000542BR_A5_30038,1
FP200000542BR_A5_30065,1
FP200000542BR_A5_30089,6
FP200000542BR_A5_30095,2
FP200000542BR_A5_30116,3
FP200000542BR_A5_30128,3
FP200000542BR_A5_30191,0
FP200000542BR_A5_30215,4
FP200000542BR_A5_30216,1
FP200000542BR_A5_30225,12
FP200000542BR_A5_30227,2
FP200000542BR_A5_30267,3
FP200000542BR_A5_30341,6
FP200000542BR_A5_30445,6
FP200000542BR_A5_30491,1
FP200000542BR_A5_30492,1
FP200000542BR_A5_30573,1
FP200000542BR_A5_30590,7
FP200000542BR_A5_30599,1
FP200000542BR_A5_30633,5
FP200000542BR_A5_30660,2
FP200000542BR_A5_30684,5
FP200000542BR_A5_30776,2
FP200000542BR_A5_30803,2
FP200000542BR_A5_30860,4
FP200000542BR_A5_30901,2
FP200000542BR_A5_31028,10
FP200000542BR_A5_31220,4
FP200000542BR_A5_31262,1
FP200000542BR_A5_31281,2
FP200000542BR_A5_31464,1
FP200000542BR_A5_31497,11
