cell_id,count
FP200000542BR_A5_14055,2
FP200000542BR_A5_14616,3
FP200000542BR_A5_14863,3
FP200000542BR_A5_14894,0
FP200000542BR_A5_15005,5
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,0
FP200000542BR_A5_16049,6
FP200000542BR_A5_16105,2
FP200000542BR_A5_16280,2
FP200000542BR_A5_16676,0
FP200000542BR_A5_16700,1
FP200000542BR_A5_16929,2
FP200000542BR_A5_17549,5
FP200000542BR_A5_17611,3
FP200000542BR_A5_17657,2
FP200000542BR_A5_17860,9
FP200000542BR_A5_17897,4
FP200000542BR_A5_17943,3
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,5
FP200000542BR_A5_18134,1
FP200000542BR_A5_18221,7
FP200000542BR_A5_18229,2
FP200000542BR_A5_18247,4
FP200000542BR_A5_18381,4
FP200000542BR_A5_18451,4
FP200000542BR_A5_18569,1
FP200000542BR_A5_18639,9
FP200000542BR_A5_18692,5
FP200000542BR_A5_18705,4
FP200000542BR_A5_18713,2
FP200000542BR_A5_18748,0
FP200000542BR_A5_18768,4
FP200000542BR_A5_18789,7
FP200000542BR_A5_18901,1
FP200000542BR_A5_19036,4
FP200000542BR_A5_19063,0
FP200000542BR_A5_19089,2
FP200000542BR_A5_19111,1
FP200000542BR_A5_19120,1
FP200000542BR_A5_19150,8
FP200000542BR_A5_19167,5
FP200000542BR_A5_19332,6
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,4
FP200000542BR_A5_19447,10
FP200000542BR_A5_19454,5
FP200000542BR_A5_19482,5
FP200000542BR_A5_19544,7
FP200000542BR_A5_19545,6
FP200000542BR_A5_19615,2
FP200000542BR_A5_19627,5
FP200000542BR_A5_19684,0
FP200000542BR_A5_19793,0
FP200000542BR_A5_19861,3
FP200000542BR_A5_19917,1
FP200000542BR_A5_19983,5
FP200000542BR_A5_20096,1
FP200000542BR_A5_20176,1
FP200000542BR_A5_20200,0
FP200000542BR_A5_20219,21
FP200000542BR_A5_20248,7
FP200000542BR_A5_20257,3
FP200000542BR_A5_20258,9
FP200000542BR_A5_20284,4
FP200000542BR_A5_20299,4
FP200000542BR_A5_20323,2
FP200000542BR_A5_20341,8
FP200000542BR_A5_20366,5
FP200000542BR_A5_20377,6
FP200000542BR_A5_20487,2
FP200000542BR_A5_20492,1
FP200000542BR_A5_20524,3
FP200000542BR_A5_20541,4
FP200000542BR_A5_20546,5
FP200000542BR_A5_20571,1
FP200000542BR_A5_20585,0
FP200000542BR_A5_20673,6
FP200000542BR_A5_20676,9
FP200000542BR_A5_20717,2
FP200000542BR_A5_20735,12
FP200000542BR_A5_20754,1
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,5
FP200000542BR_A5_20846,5
FP200000542BR_A5_20869,10
FP200000542BR_A5_20880,0
FP200000542BR_A5_21049,1
FP200000542BR_A5_21056,3
FP200000542BR_A5_21093,5
FP200000542BR_A5_21122,3
FP200000542BR_A5_21155,13
FP200000542BR_A5_21203,4
FP200000542BR_A5_21213,6
FP200000542BR_A5_21219,1
FP200000542BR_A5_21235,1
FP200000542BR_A5_21266,1
FP200000542BR_A5_21391,13
FP200000542BR_A5_21421,0
FP200000542BR_A5_21529,7
FP200000542BR_A5_21696,12
FP200000542BR_A5_21792,8
FP200000542BR_A5_21841,7
FP200000542BR_A5_21847,1
FP200000542BR_A5_21886,9
FP200000542BR_A5_21964,1
FP200000542BR_A5_21994,5
FP200000542BR_A5_22116,8
FP200000542BR_A5_22150,6
FP200000542BR_A5_22262,2
FP200000542BR_A5_22293,7
FP200000542BR_A5_22339,4
FP200000542BR_A5_22408,1
FP200000542BR_A5_22447,4
FP200000542BR_A5_22543,2
FP200000542BR_A5_22571,7
FP200000542BR_A5_22575,3
FP200000542BR_A5_22732,12
FP200000542BR_A5_22753,1
FP200000542BR_A5_22931,7
FP200000542BR_A5_23123,3
FP200000542BR_A5_23251,11
FP200000542BR_A5_23269,3
FP200000542BR_A5_23309,0
FP200000542BR_A5_23313,3
FP200000542BR_A5_23382,4
FP200000542BR_A5_23604,14
FP200000542BR_A5_23711,0
FP200000542BR_A5_23816,6
FP200000542BR_A5_23846,2
FP200000542BR_A5_23850,5
FP200000542BR_A5_24093,7
FP200000542BR_A5_24132,1
FP200000542BR_A5_24271,4
FP200000542BR_A5_24272,1
FP200000542BR_A5_24347,14
FP200000542BR_A5_24367,5
FP200000542BR_A5_24370,4
FP200000542BR_A5_24462,7
FP200000542BR_A5_24474,8
FP200000542BR_A5_24500,9
FP200000542BR_A5_24547,4
FP200000542BR_A5_24562,0
FP200000542BR_A5_24564,2
FP200000542BR_A5_24567,4
FP200000542BR_A5_24578,2
FP200000542BR_A5_24604,3
FP200000542BR_A5_24605,5
FP200000542BR_A5_24744,2
FP200000542BR_A5_24757,5
FP200000542BR_A5_24818,8
FP200000542BR_A5_24820,1
FP200000542BR_A5_24871,2
FP200000542BR_A5_24889,7
FP200000542BR_A5_24900,0
FP200000542BR_A5_24911,5
FP200000542BR_A5_24938,4
FP200000542BR_A5_24953,10
FP200000542BR_A5_24956,1
FP200000542BR_A5_25021,1
FP200000542BR_A5_25034,1
FP200000542BR_A5_25065,3
FP200000542BR_A5_25070,1
FP200000542BR_A5_25185,0
FP200000542BR_A5_25228,1
FP200000542BR_A5_25255,4
FP200000542BR_A5_25261,2
FP200000542BR_A5_25278,1
FP200000542BR_A5_25295,1
FP200000542BR_A5_25301,2
FP200000542BR_A5_25450,0
FP200000542BR_A5_25456,0
FP200000542BR_A5_25487,2
FP200000542BR_A5_25523,0
FP200000542BR_A5_25528,11
FP200000542BR_A5_25554,0
FP200000542BR_A5_25620,1
FP200000542BR_A5_25643,2
FP200000542BR_A5_25668,4
FP200000542BR_A5_25714,4
FP200000542BR_A5_25802,1
FP200000542BR_A5_25830,3
FP200000542BR_A5_25915,3
FP200000542BR_A5_26007,2
FP200000542BR_A5_26051,0
FP200000542BR_A5_26094,1
FP200000542BR_A5_26133,2
FP200000542BR_A5_26165,3
FP200000542BR_A5_26180,6
FP200000542BR_A5_26284,7
FP200000542BR_A5_26302,0
FP200000542BR_A5_26344,3
FP200000542BR_A5_26369,2
FP200000542BR_A5_26419,3
FP200000542BR_A5_26472,3
FP200000542BR_A5_26483,1
FP200000542BR_A5_26541,6
FP200000542BR_A5_26566,8
FP200000542BR_A5_26576,2
FP200000542BR_A5_26579,1
FP200000542BR_A5_26624,1
FP200000542BR_A5_26677,0
FP200000542BR_A5_26796,1
FP200000542BR_A5_26830,5
FP200000542BR_A5_26843,7
FP200000542BR_A5_26896,4
FP200000542BR_A5_26974,4
FP200000542BR_A5_27002,1
FP200000542BR_A5_27053,8
FP200000542BR_A5_27095,0
FP200000542BR_A5_27197,3
FP200000542BR_A5_27220,5
FP200000542BR_A5_27348,2
FP200000542BR_A5_27349,6
FP200000542BR_A5_27364,0
FP200000542BR_A5_27377,8
FP200000542BR_A5_27383,0
FP200000542BR_A5_27426,3
FP200000542BR_A5_27619,4
FP200000542BR_A5_27620,12
FP200000542BR_A5_27697,6
FP200000542BR_A5_27863,0
FP200000542BR_A5_27876,6
FP200000542BR_A5_27980,10
FP200000542BR_A5_27987,0
FP200000542BR_A5_28079,4
FP200000542BR_A5_28158,11
FP200000542BR_A5_28167,2
FP200000542BR_A5_28170,3
FP200000542BR_A5_28323,8
FP200000542BR_A5_28333,2
FP200000542BR_A5_28344,1
FP200000542BR_A5_28378,5
FP200000542BR_A5_28468,1
FP200000542BR_A5_28511,2
FP200000542BR_A5_28604,6
FP200000542BR_A5_28626,9
FP200000542BR_A5_28632,2
FP200000542BR_A5_28657,0
FP200000542BR_A5_28790,5
FP200000542BR_A5_28814,3
FP200000542BR_A5_28824,2
FP200000542BR_A5_28839,1
FP200000542BR_A5_28846,11
FP200000542BR_A5_28885,16
FP200000542BR_A5_28917,5
FP200000542BR_A5_29048,5
FP200000542BR_A5_29065,3
FP200000542BR_A5_29084,2
FP200000542BR_A5_29089,12
FP200000542BR_A5_29142,2
FP200000542BR_A5_29148,2
FP200000542BR_A5_29254,2
FP200000542BR_A5_29299,8
FP200000542BR_A5_29356,2
FP200000542BR_A5_29361,3
FP200000542BR_A5_29377,5
FP200000542BR_A5_29404,15
FP200000542BR_A5_29418,8
FP200000542BR_A5_29426,1
FP200000542BR_A5_29446,7
FP200000542BR_A5_29455,0
FP200000542BR_A5_29464,1
FP200000542BR_A5_29496,3
FP200000542BR_A5_29518,5
FP200000542BR_A5_29577,6
FP200000542BR_A5_29606,3
FP200000542BR_A5_29615,4
FP200000542BR_A5_29623,1
FP200000542BR_A5_29627,3
FP200000542BR_A5_29683,1
FP200000542BR_A5_29712,1
FP200000542BR_A5_29800,1
FP200000542BR_A5_29878,5
FP200000542BR_A5_29884,1
FP200000542BR_A5_29889,4
FP200000542BR_A5_29890,1
FP200000542BR_A5_29895,3
FP200000542BR_A5_29907,3
FP200000542BR_A5_30038,2
FP200000542BR_A5_30065,3
FP200000542BR_A5_30089,1
FP200000542BR_A5_30095,2
FP200000542BR_A5_30116,8
FP200000542BR_A5_30128,5
FP200000542BR_A5_30191,1
FP200000542BR_A5_30215,9
FP200000542BR_A5_30216,3
FP200000542BR_A5_30225,10
FP200000542BR_A5_30227,1
FP200000542BR_A5_30267,7
FP200000542BR_A5_30341,3
FP200000542BR_A5_30445,3
FP200000542BR_A5_30491,2
FP200000542BR_A5_30492,2
FP200000542BR_A5_30573,2
FP200000542BR_A5_30590,9
FP200000542BR_A5_30599,2
FP200000542BR_A5_30633,3
FP200000542BR_A5_30660,3
FP200000542BR_A5_30684,4
FP200000542BR_A5_30776,4
FP200000542BR_A5_30803,4
FP200000542BR_A5_30860,10
FP200000542BR_A5_30901,0
FP200000542BR_A5_31028,10
FP200000542BR_A5_31220,12
FP200000542BR_A5_31262,4
FP200000542BR_A5_31281,7
FP200000542BR_A5_31464,5
FP200000542BR_A5_31497,12
FP200000542BR_A5_31667,6
FP200000542BR_A5_31719,2
FP200000542BR_A5_31875,2
FP200000542BR_A5_32068,6
FP200000542BR_A5_32257,6
FP200000542BR_A5_32294,3
FP200000542BR_A5_32737,2
FP200000542BR_A5_32817,9
FP200000542BR_A5_32863,0
FP200000542BR_A5_32963,7
FP200000542BR_A5_33131,8
FP200000542BR_A5_33208,0
FP200000542BR_A5_33373,0
FP200000542BR_A5_33594,8
FP200000542BR_A5_34097,6
FP200000542BR_A5_34203,7
FP200000542BR_A5_34480,12
FP200000542BR_A5_34976,7
FP200000542BR_A5_35253,7
FP200000542BR_A5_35361,7
