cell_id,count
FP200000542BR_A5_14055,10
FP200000542BR_A5_14616,9
FP200000542BR_A5_14863,6
FP200000542BR_A5_14894,13
FP200000542BR_A5_15005,12
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,9
FP200000542BR_A5_16049,9
FP200000542BR_A5_16105,6
FP200000542BR_A5_16280,10
FP200000542BR_A5_16676,1
FP200000542BR_A5_16700,4
FP200000542BR_A5_16929,9
FP200000542BR_A5_17549,13
FP200000542BR_A5_17611,3
FP200000542BR_A5_17657,7
FP200000542BR_A5_17860,17
FP200000542BR_A5_17897,7
FP200000542BR_A5_17943,20
FP200000542BR_A5_18037,2
FP200000542BR_A5_18060,10
FP200000542BR_A5_18134,9
FP200000542BR_A5_18221,18
FP200000542BR_A5_18229,7
FP200000542BR_A5_18247,11
FP200000542BR_A5_18381,3
FP200000542BR_A5_18451,6
FP200000542BR_A5_18569,8
FP200000542BR_A5_18639,8
FP200000542BR_A5_18692,4
FP200000542BR_A5_18705,5
FP200000542BR_A5_18713,9
FP200000542BR_A5_18748,11
FP200000542BR_A5_18768,4
FP200000542BR_A5_18789,15
FP200000542BR_A5_18901,4
FP200000542BR_A5_19036,21
FP200000542BR_A5_19063,6
FP200000542BR_A5_19089,4
FP200000542BR_A5_19111,5
FP200000542BR_A5_19120,4
FP200000542BR_A5_19150,9
FP200000542BR_A5_19167,9
FP200000542BR_A5_19332,10
FP200000542BR_A5_19409,1
FP200000542BR_A5_19423,10
FP200000542BR_A5_19447,8
FP200000542BR_A5_19454,8
FP200000542BR_A5_19482,10
FP200000542BR_A5_19544,10
FP200000542BR_A5_19545,18
FP200000542BR_A5_19615,2
FP200000542BR_A5_19627,12
FP200000542BR_A5_19684,14
FP200000542BR_A5_19793,6
FP200000542BR_A5_19861,13
FP200000542BR_A5_19917,3
FP200000542BR_A5_19983,14
FP200000542BR_A5_20096,4
FP200000542BR_A5_20176,5
FP200000542BR_A5_20200,4
FP200000542BR_A5_20219,19
FP200000542BR_A5_20248,11
FP200000542BR_A5_20257,4
FP200000542BR_A5_20258,14
FP200000542BR_A5_20284,13
FP200000542BR_A5_20299,2
FP200000542BR_A5_20323,7
FP200000542BR_A5_20341,8
FP200000542BR_A5_20366,14
FP200000542BR_A5_20377,9
FP200000542BR_A5_20487,7
FP200000542BR_A5_20492,9
FP200000542BR_A5_20524,6
FP200000542BR_A5_20541,6
FP200000542BR_A5_20546,13
FP200000542BR_A5_20571,3
FP200000542BR_A5_20585,4
FP200000542BR_A5_20673,15
FP200000542BR_A5_20676,19
FP200000542BR_A5_20717,4
FP200000542BR_A5_20735,20
FP200000542BR_A5_20754,4
FP200000542BR_A5_20765,1
FP200000542BR_A5_20806,19
FP200000542BR_A5_20846,3
FP200000542BR_A5_20869,12
FP200000542BR_A5_20880,2
FP200000542BR_A5_21049,4
FP200000542BR_A5_21056,15
FP200000542BR_A5_21093,13
FP200000542BR_A5_21122,8
FP200000542BR_A5_21155,25
FP200000542BR_A5_21203,5
FP200000542BR_A5_21213,12
FP200000542BR_A5_21219,3
FP200000542BR_A5_21235,5
FP200000542BR_A5_21266,5
FP200000542BR_A5_21391,23
FP200000542BR_A5_21421,6
FP200000542BR_A5_21529,13
FP200000542BR_A5_21696,14
FP200000542BR_A5_21792,15
FP200000542BR_A5_21841,13
FP200000542BR_A5_21847,14
FP200000542BR_A5_21886,8
FP200000542BR_A5_21964,4
FP200000542BR_A5_21994,25
FP200000542BR_A5_22116,12
FP200000542BR_A5_22150,15
FP200000542BR_A5_22262,4
FP200000542BR_A5_22293,19
FP200000542BR_A5_22339,15
FP200000542BR_A5_22408,4
FP200000542BR_A5_22447,14
FP200000542BR_A5_22543,12
FP200000542BR_A5_22571,14
FP200000542BR_A5_22575,9
FP200000542BR_A5_22732,19
FP200000542BR_A5_22753,9
FP200000542BR_A5_22931,6
FP200000542BR_A5_23123,7
FP200000542BR_A5_23251,10
FP200000542BR_A5_23269,4
FP200000542BR_A5_23309,8
FP200000542BR_A5_23313,1
FP200000542BR_A5_23382,9
FP200000542BR_A5_23604,15
FP200000542BR_A5_23711,2
FP200000542BR_A5_23816,24
FP200000542BR_A5_23846,23
FP200000542BR_A5_23850,19
FP200000542BR_A5_24093,9
FP200000542BR_A5_24132,8
FP200000542BR_A5_24271,15
FP200000542BR_A5_24272,6
FP200000542BR_A5_24347,30
FP200000542BR_A5_24367,7
FP200000542BR_A5_24370,15
FP200000542BR_A5_24462,15
FP200000542BR_A5_24474,28
FP200000542BR_A5_24500,21
FP200000542BR_A5_24547,8
FP200000542BR_A5_24562,8
FP200000542BR_A5_24564,15
FP200000542BR_A5_24567,6
FP200000542BR_A5_24578,10
FP200000542BR_A5_24604,12
FP200000542BR_A5_24605,9
FP200000542BR_A5_24744,14
FP200000542BR_A5_24757,13
FP200000542BR_A5_24818,24
FP200000542BR_A5_24820,3
FP200000542BR_A5_24871,7
FP200000542BR_A5_24889,17
FP200000542BR_A5_24900,7
FP200000542BR_A5_24911,9
FP200000542BR_A5_24938,8
FP200000542BR_A5_24953,9
FP200000542BR_A5_24956,7
FP200000542BR_A5_25021,7
FP200000542BR_A5_25034,12
FP200000542BR_A5_25065,6
FP200000542BR_A5_25070,6
FP200000542BR_A5_25185,6
FP200000542BR_A5_25228,10
FP200000542BR_A5_25255,7
FP200000542BR_A5_25261,9
FP200000542BR_A5_25278,12
FP200000542BR_A5_25295,10
FP200000542BR_A5_25301,3
FP200000542BR_A5_25450,3
FP200000542BR_A5_25456,13
FP200000542BR_A5_25487,18
FP200000542BR_A5_25523,4
FP200000542BR_A5_25528,15
FP200000542BR_A5_25554,7
FP200000542BR_A5_25620,4
FP200000542BR_A5_25643,3
FP200000542BR_A5_25668,14
FP200000542BR_A5_25714,25
FP200000542BR_A5_25802,9
FP200000542BR_A5_25830,10
FP200000542BR_A5_25915,10
FP200000542BR_A5_26007,5
FP200000542BR_A5_26051,2
FP200000542BR_A5_26094,3
FP200000542BR_A5_26133,10
FP200000542BR_A5_26165,5
FP200000542BR_A5_26180,6
FP200000542BR_A5_26284,18
FP200000542BR_A5_26302,8
FP200000542BR_A5_26344,13
FP200000542BR_A5_26369,9
FP200000542BR_A5_26419,5
FP200000542BR_A5_26472,9
FP200000542BR_A5_26483,7
FP200000542BR_A5_26541,5
FP200000542BR_A5_26566,10
FP200000542BR_A5_26576,7
FP200000542BR_A5_26579,2
FP200000542BR_A5_26624,5
FP200000542BR_A5_26677,3
FP200000542BR_A5_26796,4
FP200000542BR_A5_26830,3
FP200000542BR_A5_26843,10
FP200000542BR_A5_26896,17
FP200000542BR_A5_26974,5
FP200000542BR_A5_27002,5
FP200000542BR_A5_27053,19
FP200000542BR_A5_27095,4
FP200000542BR_A5_27197,13
FP200000542BR_A5_27220,13
FP200000542BR_A5_27348,9
FP200000542BR_A5_27349,26
FP200000542BR_A5_27364,10
FP200000542BR_A5_27377,17
FP200000542BR_A5_27383,18
FP200000542BR_A5_27426,10
FP200000542BR_A5_27619,14
FP200000542BR_A5_27620,26
FP200000542BR_A5_27697,13
FP200000542BR_A5_27863,6
FP200000542BR_A5_27876,8
FP200000542BR_A5_27980,7
FP200000542BR_A5_27987,1
FP200000542BR_A5_28079,5
FP200000542BR_A5_28158,16
FP200000542BR_A5_28167,16
FP200000542BR_A5_28170,10
FP200000542BR_A5_28323,10
FP200000542BR_A5_28333,4
FP200000542BR_A5_28344,11
FP200000542BR_A5_28378,12
FP200000542BR_A5_28468,11
FP200000542BR_A5_28511,3
FP200000542BR_A5_28604,12
FP200000542BR_A5_28626,25
FP200000542BR_A5_28632,10
FP200000542BR_A5_28657,4
FP200000542BR_A5_28790,7
FP200000542BR_A5_28814,7
