cell_id,count
FP200000542BR_A5_14055,2
FP200000542BR_A5_14616,7
FP200000542BR_A5_14863,1
FP200000542BR_A5_14894,0
FP200000542BR_A5_15005,0
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,0
FP200000542BR_A5_16049,8
FP200000542BR_A5_16105,3
FP200000542BR_A5_16280,5
FP200000542BR_A5_16676,1
FP200000542BR_A5_16700,1
FP200000542BR_A5_16929,3
FP200000542BR_A5_17549,2
FP200000542BR_A5_17611,1
FP200000542BR_A5_17657,4
FP200000542BR_A5_17860,7
FP200000542BR_A5_17897,1
FP200000542BR_A5_17943,8
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,2
FP200000542BR_A5_18134,0
FP200000542BR_A5_18221,1
FP200000542BR_A5_18229,1
FP200000542BR_A5_18247,1
FP200000542BR_A5_18381,2
FP200000542BR_A5_18451,4
FP200000542BR_A5_18569,3
FP200000542BR_A5_18639,6
FP200000542BR_A5_18692,3
FP200000542BR_A5_18705,1
FP200000542BR_A5_18713,2
FP200000542BR_A5_18748,3
FP200000542BR_A5_18768,1
FP200000542BR_A5_18789,1
FP200000542BR_A5_18901,0
FP200000542BR_A5_19036,1
FP200000542BR_A5_19063,2
FP200000542BR_A5_19089,1
FP200000542BR_A5_19111,2
FP200000542BR_A5_19120,2
FP200000542BR_A5_19150,4
FP200000542BR_A5_19167,2
FP200000542BR_A5_19332,1
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,4
FP200000542BR_A5_19447,3
FP200000542BR_A5_19454,2
FP200000542BR_A5_19482,4
FP200000542BR_A5_19544,0
FP200000542BR_A5_19545,2
FP200000542BR_A5_19615,3
FP200000542BR_A5_19627,11
FP200000542BR_A5_19684,1
FP200000542BR_A5_19793,2
FP200000542BR_A5_19861,4
FP200000542BR_A5_19917,1
FP200000542BR_A5_19983,4
FP200000542BR_A5_20096,3
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,7
FP200000542BR_A5_20219,3
FP200000542BR_A5_20248,5
FP200000542BR_A5_20257,0
FP200000542BR_A5_20258,4
FP200000542BR_A5_20284,4
FP200000542BR_A5_20299,3
FP200000542BR_A5_20323,1
FP200000542BR_A5_20341,8
FP200000542BR_A5_20366,1
FP200000542BR_A5_20377,7
FP200000542BR_A5_20487,0
FP200000542BR_A5_20492,2
FP200000542BR_A5_20524,0
FP200000542BR_A5_20541,5
FP200000542BR_A5_20546,6
FP200000542BR_A5_20571,2
FP200000542BR_A5_20585,0
FP200000542BR_A5_20673,1
FP200000542BR_A5_20676,9
FP200000542BR_A5_20717,3
FP200000542BR_A5_20735,11
FP200000542BR_A5_20754,0
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,9
FP200000542BR_A5_20846,4
FP200000542BR_A5_20869,1
FP200000542BR_A5_20880,1
FP200000542BR_A5_21049,1
FP200000542BR_A5_21056,5
FP200000542BR_A5_21093,2
FP200000542BR_A5_21122,1
FP200000542BR_A5_21155,3
FP200000542BR_A5_21203,2
FP200000542BR_A5_21213,2
FP200000542BR_A5_21219,2
FP200000542BR_A5_21235,1
FP200000542BR_A5_21266,2
FP200000542BR_A5_21391,2
FP200000542BR_A5_21421,0
FP200000542BR_A5_21529,3
FP200000542BR_A5_21696,0
FP200000542BR_A5_21792,2
FP200000542BR_A5_21841,3
FP200000542BR_A5_21847,4
FP200000542BR_A5_21886,1
FP200000542BR_A5_21964,0
FP200000542BR_A5_21994,3
FP200000542BR_A5_22116,3
FP200000542BR_A5_22150,4
FP200000542BR_A5_22262,0
FP200000542BR_A5_22293,3
FP200000542BR_A5_22339,4
FP200000542BR_A5_22408,0
FP200000542BR_A5_22447,8
FP200000542BR_A5_22543,1
FP200000542BR_A5_22571,2
FP200000542BR_A5_22575,0
FP200000542BR_A5_22732,5
FP200000542BR_A5_22753,2
FP200000542BR_A5_22931,1
FP200000542BR_A5_23123,2
FP200000542BR_A5_23251,5
FP200000542BR_A5_23269,0
FP200000542BR_A5_23309,0
FP200000542BR_A5_23313,1
FP200000542BR_A5_23382,3
FP200000542BR_A5_23604,1
FP200000542BR_A5_23711,0
FP200000542BR_A5_23816,8
FP200000542BR_A5_23846,3
FP200000542BR_A5_23850,2
FP200000542BR_A5_24093,1
FP200000542BR_A5_24132,4
FP200000542BR_A5_24271,3
FP200000542BR_A5_24272,0
FP200000542BR_A5_24347,3
FP200000542BR_A5_24367,1
FP200000542BR_A5_24370,2
FP200000542BR_A5_24462,2
FP200000542BR_A5_24474,3
FP200000542BR_A5_24500,3
FP200000542BR_A5_24547,1
FP200000542BR_A5_24562,0
FP200000542BR_A5_24564,1
FP200000542BR_A5_24567,0
FP200000542BR_A5_24578,3
FP200000542BR_A5_24604,1
FP200000542BR_A5_24605,0
FP200000542BR_A5_24744,2
FP200000542BR_A5_24757,3
FP200000542BR_A5_24818,1
FP200000542BR_A5_24820,1
FP200000542BR_A5_24871,1
FP200000542BR_A5_24889,1
FP200000542BR_A5_24900,0
FP200000542BR_A5_24911,2
FP200000542BR_A5_24938,1
FP200000542BR_A5_24953,0
FP200000542BR_A5_24956,1
FP200000542BR_A5_25021,0
FP200000542BR_A5_25034,1
FP200000542BR_A5_25065,1
FP200000542BR_A5_25070,0
FP200000542BR_A5_25185,0
FP200000542BR_A5_25228,1
FP200000542BR_A5_25255,1
FP200000542BR_A5_25261,3
FP200000542BR_A5_25278,0
FP200000542BR_A5_25295,1
FP200000542BR_A5_25301,1
FP200000542BR_A5_25450,2
FP200000542BR_A5_25456,1
FP200000542BR_A5_25487,2
FP200000542BR_A5_25523,0
FP200000542BR_A5_25528,1
FP200000542BR_A5_25554,1
FP200000542BR_A5_25620,0
FP200000542BR_A5_25643,0
FP200000542BR_A5_25668,6
FP200000542BR_A5_25714,3
FP200000542BR_A5_25802,0
FP200000542BR_A5_25830,2
FP200000542BR_A5_25915,2
FP200000542BR_A5_26007,1
FP200000542BR_A5_26051,0
FP200000542BR_A5_26094,0
FP200000542BR_A5_26133,1
FP200000542BR_A5_26165,1
FP200000542BR_A5_26180,2
FP200000542BR_A5_26284,3
FP200000542BR_A5_26302,1
FP200000542BR_A5_26344,3
FP200000542BR_A5_26369,0
