cell_id,count
FP200000542BR_A5_14055,1
FP200000542BR_A5_14616,1
FP200000542BR_A5_14863,3
FP200000542BR_A5_14894,0
FP200000542BR_A5_15005,4
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,2
FP200000542BR_A5_16049,3
FP200000542BR_A5_16105,2
FP200000542BR_A5_16280,3
FP200000542BR_A5_16676,0
FP200000542BR_A5_16700,0
FP200000542BR_A5_16929,4
FP200000542BR_A5_17549,1
FP200000542BR_A5_17611,0
FP200000542BR_A5_17657,1
FP200000542BR_A5_17860,1
FP200000542BR_A5_17897,0
FP200000542BR_A5_17943,4
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,4
FP200000542BR_A5_18134,1
FP200000542BR_A5_18221,0
FP200000542BR_A5_18229,0
FP200000542BR_A5_18247,5
FP200000542BR_A5_18381,0
FP200000542BR_A5_18451,0
FP200000542BR_A5_18569,2
FP200000542BR_A5_18639,1
FP200000542BR_A5_18692,1
FP200000542BR_A5_18705,1
FP200000542BR_A5_18713,5
FP200000542BR_A5_18748,1
FP200000542BR_A5_18768,1
FP200000542BR_A5_18789,0
FP200000542BR_A5_18901,2
FP200000542BR_A5_19036,2
FP200000542BR_A5_19063,1
FP200000542BR_A5_19089,0
FP200000542BR_A5_19111,3
FP200000542BR_A5_19120,0
FP200000542BR_A5_19150,7
FP200000542BR_A5_19167,1
FP200000542BR_A5_19332,2
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,1
FP200000542BR_A5_19447,2
FP200000542BR_A5_19454,1
FP200000542BR_A5_19482,1
FP200000542BR_A5_19544,2
FP200000542BR_A5_19545,4
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,1
FP200000542BR_A5_19684,0
FP200000542BR_A5_19793,1
FP200000542BR_A5_19861,1
FP200000542BR_A5_19917,1
FP200000542BR_A5_19983,2
FP200000542BR_A5_20096,1
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,2
FP200000542BR_A5_20219,6
FP200000542BR_A5_20248,0
FP200000542BR_A5_20257,0
FP200000542BR_A5_20258,5
FP200000542BR_A5_20284,6
FP200000542BR_A5_20299,1
FP200000542BR_A5_20323,2
FP200000542BR_A5_20341,1
FP200000542BR_A5_20366,1
FP200000542BR_A5_20377,1
FP200000542BR_A5_20487,1
FP200000542BR_A5_20492,1
FP200000542BR_A5_20524,2
FP200000542BR_A5_20541,1
FP200000542BR_A5_20546,2
FP200000542BR_A5_20571,1
FP200000542BR_A5_20585,2
FP200000542BR_A5_20673,3
FP200000542BR_A5_20676,6
FP200000542BR_A5_20717,2
FP200000542BR_A5_20735,1
FP200000542BR_A5_20754,0
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,2
FP200000542BR_A5_20846,4
FP200000542BR_A5_20869,4
FP200000542BR_A5_20880,2
FP200000542BR_A5_21049,0
FP200000542BR_A5_21056,5
FP200000542BR_A5_21093,2
FP200000542BR_A5_21122,1
FP200000542BR_A5_21155,5
FP200000542BR_A5_21203,3
FP200000542BR_A5_21213,1
FP200000542BR_A5_21219,1
FP200000542BR_A5_21235,1
FP200000542BR_A5_21266,0
FP200000542BR_A5_21391,5
FP200000542BR_A5_21421,1
FP200000542BR_A5_21529,6
FP200000542BR_A5_21696,0
FP200000542BR_A5_21792,5
FP200000542BR_A5_21841,0
FP200000542BR_A5_21847,11
FP200000542BR_A5_21886,0
FP200000542BR_A5_21964,1
FP200000542BR_A5_21994,4
FP200000542BR_A5_22116,4
FP200000542BR_A5_22150,0
FP200000542BR_A5_22262,1
FP200000542BR_A5_22293,2
FP200000542BR_A5_22339,2
FP200000542BR_A5_22408,2
FP200000542BR_A5_22447,1
FP200000542BR_A5_22543,1
FP200000542BR_A5_22571,3
FP200000542BR_A5_22575,3
FP200000542BR_A5_22732,9
FP200000542BR_A5_22753,0
FP200000542BR_A5_22931,0
