cell_id,count
FP200000542BR_A5_14055,1
FP200000542BR_A5_14616,6
FP200000542BR_A5_14863,2
FP200000542BR_A5_14894,3
FP200000542BR_A5_15005,5
FP200000542BR_A5_15006,2
FP200000542BR_A5_15016,7
FP200000542BR_A5_16049,4
FP200000542BR_A5_16105,2
FP200000542BR_A5_16280,5
FP200000542BR_A5_16676,1
FP200000542BR_A5_16700,2
FP200000542BR_A5_16929,5
FP200000542BR_A5_17549,3
FP200000542BR_A5_17611,5
FP200000542BR_A5_17657,1
FP200000542BR_A5_17860,1
FP200000542BR_A5_17897,1
FP200000542BR_A5_17943,6
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,2
FP200000542BR_A5_18134,3
FP200000542BR_A5_18221,2
FP200000542BR_A5_18229,1
FP200000542BR_A5_18247,1
FP200000542BR_A5_18381,1
FP200000542BR_A5_18451,4
FP200000542BR_A5_18569,4
FP200000542BR_A5_18639,4
FP200000542BR_A5_18692,2
FP200000542BR_A5_18705,2
FP200000542BR_A5_18713,5
FP200000542BR_A5_18748,3
FP200000542BR_A5_18768,1
FP200000542BR_A5_18789,6
FP200000542BR_A5_18901,4
FP200000542BR_A5_19036,4
FP200000542BR_A5_19063,3
FP200000542BR_A5_19089,2
FP200000542BR_A5_19111,3
FP200000542BR_A5_19120,1
FP200000542BR_A5_19150,0
FP200000542BR_A5_19167,1
FP200000542BR_A5_19332,7
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,7
FP200000542BR_A5_19447,2
FP200000542BR_A5_19454,6
FP200000542BR_A5_19482,8
FP200000542BR_A5_19544,0
FP200000542BR_A5_19545,8
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,7
FP200000542BR_A5_19684,5
FP200000542BR_A5_19793,0
FP200000542BR_A5_19861,4
FP200000542BR_A5_19917,0
FP200000542BR_A5_19983,9
FP200000542BR_A5_20096,3
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,0
FP200000542BR_A5_20219,13
FP200000542BR_A5_20248,1
FP200000542BR_A5_20257,2
FP200000542BR_A5_20258,6
FP200000542BR_A5_20284,10
FP200000542BR_A5_20299,1
FP200000542BR_A5_20323,2
FP200000542BR_A5_20341,2
FP200000542BR_A5_20366,4
FP200000542BR_A5_20377,2
FP200000542BR_A5_20487,8
FP200000542BR_A5_20492,3
FP200000542BR_A5_20524,1
FP200000542BR_A5_20541,2
FP200000542BR_A5_20546,2
FP200000542BR_A5_20571,0
FP200000542BR_A5_20585,0
FP200000542BR_A5_20673,1
FP200000542BR_A5_20676,14
FP200000542BR_A5_20717,4
FP200000542BR_A5_20735,5
FP200000542BR_A5_20754,0
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,5
FP200000542BR_A5_20846,2
FP200000542BR_A5_20869,1
FP200000542BR_A5_20880,1
FP200000542BR_A5_21049,1
FP200000542BR_A5_21056,2
FP200000542BR_A5_21093,7
FP200000542BR_A5_21122,4
FP200000542BR_A5_21155,6
FP200000542BR_A5_21203,0
FP200000542BR_A5_21213,1
FP200000542BR_A5_21219,9
FP200000542BR_A5_21235,3
FP200000542BR_A5_21266,2
FP200000542BR_A5_21391,4
FP200000542BR_A5_21421,1
FP200000542BR_A5_21529,1
FP200000542BR_A5_21696,2
FP200000542BR_A5_21792,11
FP200000542BR_A5_21841,3
FP200000542BR_A5_21847,4
FP200000542BR_A5_21886,1
FP200000542BR_A5_21964,2
FP200000542BR_A5_21994,12
FP200000542BR_A5_22116,11
FP200000542BR_A5_22150,5
FP200000542BR_A5_22262,2
FP200000542BR_A5_22293,4
FP200000542BR_A5_22339,0
FP200000542BR_A5_22408,5
FP200000542BR_A5_22447,0
FP200000542BR_A5_22543,1
FP200000542BR_A5_22571,3
FP200000542BR_A5_22575,3
FP200000542BR_A5_22732,0
FP200000542BR_A5_22753,5
FP200000542BR_A5_22931,1
FP200000542BR_A5_23123,3
FP200000542BR_A5_23251,3
FP200000542BR_A5_23269,1
FP200000542BR_A5_23309,6
FP200000542BR_A5_23313,2
FP200000542BR_A5_23382,2
FP200000542BR_A5_23604,12
FP200000542BR_A5_23711,0
FP200000542BR_A5_23816,4
FP200000542BR_A5_23846,4
FP200000542BR_A5_23850,2
FP200000542BR_A5_24093,2
FP200000542BR_A5_24132,3
FP200000542BR_A5_24271,2
FP200000542BR_A5_24272,2
FP200000542BR_A5_24347,16
FP200000542BR_A5_24367,0
FP200000542BR_A5_24370,3
FP200000542BR_A5_24462,5
FP200000542BR_A5_24474,8
FP200000542BR_A5_24500,2
FP200000542BR_A5_24547,0
FP200000542BR_A5_24562,1
FP200000542BR_A5_24564,5
FP200000542BR_A5_24567,3
FP200000542BR_A5_24578,1
FP200000542BR_A5_24604,7
FP200000542BR_A5_24605,2
FP200000542BR_A5_24744,4
FP200000542BR_A5_24757,4
FP200000542BR_A5_24818,8
FP200000542BR_A5_24820,0
FP200000542BR_A5_24871,1
FP200000542BR_A5_24889,6
FP200000542BR_A5_24900,1
FP200000542BR_A5_24911,2
FP200000542BR_A5_24938,5
FP200000542BR_A5_24953,4
FP200000542BR_A5_24956,0
FP200000542BR_A5_25021,1
FP200000542BR_A5_25034,0
FP200000542BR_A5_25065,1
FP200000542BR_A5_25070,2
FP200000542BR_A5_25185,0
FP200000542BR_A5_25228,5
FP200000542BR_A5_25255,2
FP200000542BR_A5_25261,4
FP200000542BR_A5_25278,3
FP200000542BR_A5_25295,3
FP200000542BR_A5_25301,4
FP200000542BR_A5_25450,6
FP200000542BR_A5_25456,1
FP200000542BR_A5_25487,5
FP200000542BR_A5_25523,0
FP200000542BR_A5_25528,1
FP200000542BR_A5_25554,5
FP200000542BR_A5_25620,0
FP200000542BR_A5_25643,0
FP200000542BR_A5_25668,7
FP200000542BR_A5_25714,14
FP200000542BR_A5_25802,0
FP200000542BR_A5_25830,4
FP200000542BR_A5_25915,6
FP200000542BR_A5_26007,4
FP200000542BR_A5_26051,0
FP200000542BR_A5_26094,1
FP200000542BR_A5_26133,0
FP200000542BR_A5_26165,3
FP200000542BR_A5_26180,1
