cell_id,count
FP200000542BR_A5_14055,3
FP200000542BR_A5_14616,7
FP200000542BR_A5_14863,2
FP200000542BR_A5_14894,1
FP200000542BR_A5_15005,6
FP200000542BR_A5_15006,3
FP200000542BR_A5_15016,2
FP200000542BR_A5_16049,14
FP200000542BR_A5_16105,4
FP200000542BR_A5_16280,10
FP200000542BR_A5_16676,0
FP200000542BR_A5_16700,3
FP200000542BR_A5_16929,0
FP200000542BR_A5_17549,5
FP200000542BR_A5_17611,3
FP200000542BR_A5_17657,1
FP200000542BR_A5_17860,7
FP200000542BR_A5_17897,3
FP200000542BR_A5_17943,5
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,2
FP200000542BR_A5_18134,1
FP200000542BR_A5_18221,4
FP200000542BR_A5_18229,3
FP200000542BR_A5_18247,1
FP200000542BR_A5_18381,3
FP200000542BR_A5_18451,2
FP200000542BR_A5_18569,3
FP200000542BR_A5_18639,9
FP200000542BR_A5_18692,3
FP200000542BR_A5_18705,8
FP200000542BR_A5_18713,4
FP200000542BR_A5_18748,6
FP200000542BR_A5_18768,7
FP200000542BR_A5_18789,9
FP200000542BR_A5_18901,3
FP200000542BR_A5_19036,7
FP200000542BR_A5_19063,3
FP200000542BR_A5_19089,3
FP200000542BR_A5_19111,6
FP200000542BR_A5_19120,1
FP200000542BR_A5_19150,9
FP200000542BR_A5_19167,5
FP200000542BR_A5_19332,3
FP200000542BR_A5_19409,1
FP200000542BR_A5_19423,4
FP200000542BR_A5_19447,9
FP200000542BR_A5_19454,2
FP200000542BR_A5_19482,4
FP200000542BR_A5_19544,5
FP200000542BR_A5_19545,10
FP200000542BR_A5_19615,2
FP200000542BR_A5_19627,16
FP200000542BR_A5_19684,2
FP200000542BR_A5_19793,2
FP200000542BR_A5_19861,5
FP200000542BR_A5_19917,10
FP200000542BR_A5_19983,6
FP200000542BR_A5_20096,3
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,2
FP200000542BR_A5_20219,11
FP200000542BR_A5_20248,3
FP200000542BR_A5_20257,1
FP200000542BR_A5_20258,7
FP200000542BR_A5_20284,6
FP200000542BR_A5_20299,3
FP200000542BR_A5_20323,4
FP200000542BR_A5_20341,10
FP200000542BR_A5_20366,8
FP200000542BR_A5_20377,7
FP200000542BR_A5_20487,5
FP200000542BR_A5_20492,4
FP200000542BR_A5_20524,1
FP200000542BR_A5_20541,8
FP200000542BR_A5_20546,9
FP200000542BR_A5_20571,3
FP200000542BR_A5_20585,1
FP200000542BR_A5_20673,5
FP200000542BR_A5_20676,16
FP200000542BR_A5_20717,9
FP200000542BR_A5_20735,7
FP200000542BR_A5_20754,1
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,20
FP200000542BR_A5_20846,2
FP200000542BR_A5_20869,10
FP200000542BR_A5_20880,4
FP200000542BR_A5_21049,4
FP200000542BR_A5_21056,17
FP200000542BR_A5_21093,7
FP200000542BR_A5_21122,5
FP200000542BR_A5_21155,9
FP200000542BR_A5_21203,1
FP200000542BR_A5_21213,1
FP200000542BR_A5_21219,5
FP200000542BR_A5_21235,0
FP200000542BR_A5_21266,0
FP200000542BR_A5_21391,4
FP200000542BR_A5_21421,3
FP200000542BR_A5_21529,8
FP200000542BR_A5_21696,2
FP200000542BR_A5_21792,13
FP200000542BR_A5_21841,3
FP200000542BR_A5_21847,8
FP200000542BR_A5_21886,1
FP200000542BR_A5_21964,2
FP200000542BR_A5_21994,21
FP200000542BR_A5_22116,10
FP200000542BR_A5_22150,9
FP200000542BR_A5_22262,7
FP200000542BR_A5_22293,13
FP200000542BR_A5_22339,8
FP200000542BR_A5_22408,9
FP200000542BR_A5_22447,4
FP200000542BR_A5_22543,0
FP200000542BR_A5_22571,3
FP200000542BR_A5_22575,6
FP200000542BR_A5_22732,5
FP200000542BR_A5_22753,2
FP200000542BR_A5_22931,5
FP200000542BR_A5_23123,4
FP200000542BR_A5_23251,19
FP200000542BR_A5_23269,3
FP200000542BR_A5_23309,6
FP200000542BR_A5_23313,3
FP200000542BR_A5_23382,10
FP200000542BR_A5_23604,10
FP200000542BR_A5_23711,0
FP200000542BR_A5_23816,10
FP200000542BR_A5_23846,17
FP200000542BR_A5_23850,15
FP200000542BR_A5_24093,7
FP200000542BR_A5_24132,9
FP200000542BR_A5_24271,5
FP200000542BR_A5_24272,3
FP200000542BR_A5_24347,14
FP200000542BR_A5_24367,2
FP200000542BR_A5_24370,6
FP200000542BR_A5_24462,8
FP200000542BR_A5_24474,10
FP200000542BR_A5_24500,16
FP200000542BR_A5_24547,4
FP200000542BR_A5_24562,0
FP200000542BR_A5_24564,5
FP200000542BR_A5_24567,4
