cell_id,count
FP200000542BR_A5_14055,7
FP200000542BR_A5_14616,0
FP200000542BR_A5_14863,2
FP200000542BR_A5_14894,3
FP200000542BR_A5_15005,5
FP200000542BR_A5_15006,2
FP200000542BR_A5_15016,2
FP200000542BR_A5_16049,3
FP200000542BR_A5_16105,2
FP200000542BR_A5_16280,3
FP200000542BR_A5_16676,1
FP200000542BR_A5_16700,1
FP200000542BR_A5_16929,1
FP200000542BR_A5_17549,3
FP200000542BR_A5_17611,4
FP200000542BR_A5_17657,3
FP200000542BR_A5_17860,6
FP200000542BR_A5_17897,4
FP200000542BR_A5_17943,4
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,2
FP200000542BR_A5_18134,1
FP200000542BR_A5_18221,2
FP200000542BR_A5_18229,0
FP200000542BR_A5_18247,1
FP200000542BR_A5_18381,3
FP200000542BR_A5_18451,1
FP200000542BR_A5_18569,1
FP200000542BR_A5_18639,4
FP200000542BR_A5_18692,1
FP200000542BR_A5_18705,2
FP200000542BR_A5_18713,0
FP200000542BR_A5_18748,2
FP200000542BR_A5_18768,1
FP200000542BR_A5_18789,3
FP200000542BR_A5_18901,0
FP200000542BR_A5_19036,6
FP200000542BR_A5_19063,0
FP200000542BR_A5_19089,1
FP200000542BR_A5_19111,2
FP200000542BR_A5_19120,0
FP200000542BR_A5_19150,6
FP200000542BR_A5_19167,4
FP200000542BR_A5_19332,2
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,2
FP200000542BR_A5_19447,7
FP200000542BR_A5_19454,3
FP200000542BR_A5_19482,1
FP200000542BR_A5_19544,5
FP200000542BR_A5_19545,9
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,10
FP200000542BR_A5_19684,5
FP200000542BR_A5_19793,1
FP200000542BR_A5_19861,6
FP200000542BR_A5_19917,0
FP200000542BR_A5_19983,2
FP200000542BR_A5_20096,1
FP200000542BR_A5_20176,1
FP200000542BR_A5_20200,1
FP200000542BR_A5_20219,9
FP200000542BR_A5_20248,8
FP200000542BR_A5_20257,1
FP200000542BR_A5_20258,6
FP200000542BR_A5_20284,3
FP200000542BR_A5_20299,1
FP200000542BR_A5_20323,3
FP200000542BR_A5_20341,1
FP200000542BR_A5_20366,9
FP200000542BR_A5_20377,2
FP200000542BR_A5_20487,2
FP200000542BR_A5_20492,1
FP200000542BR_A5_20524,0
FP200000542BR_A5_20541,8
FP200000542BR_A5_20546,0
FP200000542BR_A5_20571,0
FP200000542BR_A5_20585,0
FP200000542BR_A5_20673,2
FP200000542BR_A5_20676,10
FP200000542BR_A5_20717,3
FP200000542BR_A5_20735,7
FP200000542BR_A5_20754,2
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,2
FP200000542BR_A5_20846,1
FP200000542BR_A5_20869,2
FP200000542BR_A5_20880,1
FP200000542BR_A5_21049,3
FP200000542BR_A5_21056,5
FP200000542BR_A5_21093,5
FP200000542BR_A5_21122,3
FP200000542BR_A5_21155,11
FP200000542BR_A5_21203,0
FP200000542BR_A5_21213,3
FP200000542BR_A5_21219,1
FP200000542BR_A5_21235,1
FP200000542BR_A5_21266,1
FP200000542BR_A5_21391,1
FP200000542BR_A5_21421,6
FP200000542BR_A5_21529,2
FP200000542BR_A5_21696,0
FP200000542BR_A5_21792,6
FP200000542BR_A5_21841,3
FP200000542BR_A5_21847,2
FP200000542BR_A5_21886,5
FP200000542BR_A5_21964,3
FP200000542BR_A5_21994,4
FP200000542BR_A5_22116,2
FP200000542BR_A5_22150,3
FP200000542BR_A5_22262,0
FP200000542BR_A5_22293,1
FP200000542BR_A5_22339,3
FP200000542BR_A5_22408,0
FP200000542BR_A5_22447,4
FP200000542BR_A5_22543,4
FP200000542BR_A5_22571,2
FP200000542BR_A5_22575,0
FP200000542BR_A5_22732,5
FP200000542BR_A5_22753,7
FP200000542BR_A5_22931,0
FP200000542BR_A5_23123,3
FP200000542BR_A5_23251,10
FP200000542BR_A5_23269,0
FP200000542BR_A5_23309,1
FP200000542BR_A5_23313,5
FP200000542BR_A5_23382,0
FP200000542BR_A5_23604,3
FP200000542BR_A5_23711,0
FP200000542BR_A5_23816,2
FP200000542BR_A5_23846,7
FP200000542BR_A5_23850,6
FP200000542BR_A5_24093,8
FP200000542BR_A5_24132,5
FP200000542BR_A5_24271,2
FP200000542BR_A5_24272,0
FP200000542BR_A5_24347,4
FP200000542BR_A5_24367,3
FP200000542BR_A5_24370,1
FP200000542BR_A5_24462,8
FP200000542BR_A5_24474,6
