cell_id,count
FP200000542BR_A5_14055,2
FP200000542BR_A5_14616,5
FP200000542BR_A5_14863,2
FP200000542BR_A5_14894,1
FP200000542BR_A5_15005,7
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,1
FP200000542BR_A5_16049,2
FP200000542BR_A5_16105,0
FP200000542BR_A5_16280,4
FP200000542BR_A5_16676,0
FP200000542BR_A5_16700,2
FP200000542BR_A5_16929,0
FP200000542BR_A5_17549,5
FP200000542BR_A5_17611,5
FP200000542BR_A5_17657,4
FP200000542BR_A5_17860,3
FP200000542BR_A5_17897,2
FP200000542BR_A5_17943,6
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,1
FP200000542BR_A5_18134,2
FP200000542BR_A5_18221,1
FP200000542BR_A5_18229,2
FP200000542BR_A5_18247,2
FP200000542BR_A5_18381,3
FP200000542BR_A5_18451,0
FP200000542BR_A5_18569,2
FP200000542BR_A5_18639,2
FP200000542BR_A5_18692,3
FP200000542BR_A5_18705,1
FP200000542BR_A5_18713,4
FP200000542BR_A5_18748,3
FP200000542BR_A5_18768,0
FP200000542BR_A5_18789,2
FP200000542BR_A5_18901,1
FP200000542BR_A5_19036,5
FP200000542BR_A5_19063,2
FP200000542BR_A5_19089,1
FP200000542BR_A5_19111,1
FP200000542BR_A5_19120,2
FP200000542BR_A5_19150,7
FP200000542BR_A5_19167,2
FP200000542BR_A5_19332,0
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,4
FP200000542BR_A5_19447,1
FP200000542BR_A5_19454,3
FP200000542BR_A5_19482,1
FP200000542BR_A5_19544,3
FP200000542BR_A5_19545,4
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,7
FP200000542BR_A5_19684,0
FP200000542BR_A5_19793,4
FP200000542BR_A5_19861,3
FP200000542BR_A5_19917,0
FP200000542BR_A5_19983,2
FP200000542BR_A5_20096,2
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,1
FP200000542BR_A5_20219,2
FP200000542BR_A5_20248,1
FP200000542BR_A5_20257,3
FP200000542BR_A5_20258,6
FP200000542BR_A5_20284,5
FP200000542BR_A5_20299,6
FP200000542BR_A5_20323,2
FP200000542BR_A5_20341,3
FP200000542BR_A5_20366,1
FP200000542BR_A5_20377,0
FP200000542BR_A5_20487,2
FP200000542BR_A5_20492,3
FP200000542BR_A5_20524,1
FP200000542BR_A5_20541,1
FP200000542BR_A5_20546,11
FP200000542BR_A5_20571,2
FP200000542BR_A5_20585,0
FP200000542BR_A5_20673,1
FP200000542BR_A5_20676,9
FP200000542BR_A5_20717,1
FP200000542BR_A5_20735,7
FP200000542BR_A5_20754,3
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,10
FP200000542BR_A5_20846,0
FP200000542BR_A5_20869,3
FP200000542BR_A5_20880,4
FP200000542BR_A5_21049,3
FP200000542BR_A5_21056,1
FP200000542BR_A5_21093,5
FP200000542BR_A5_21122,1
FP200000542BR_A5_21155,6
FP200000542BR_A5_21203,5
FP200000542BR_A5_21213,3
FP200000542BR_A5_21219,4
FP200000542BR_A5_21235,2
FP200000542BR_A5_21266,1
FP200000542BR_A5_21391,5
FP200000542BR_A5_21421,1
FP200000542BR_A5_21529,3
FP200000542BR_A5_21696,1
FP200000542BR_A5_21792,8
FP200000542BR_A5_21841,1
FP200000542BR_A5_21847,1
FP200000542BR_A5_21886,3
FP200000542BR_A5_21964,2
FP200000542BR_A5_21994,3
FP200000542BR_A5_22116,1
FP200000542BR_A5_22150,3
FP200000542BR_A5_22262,4
FP200000542BR_A5_22293,4
FP200000542BR_A5_22339,3
FP200000542BR_A5_22408,0
FP200000542BR_A5_22447,1
FP200000542BR_A5_22543,0
FP200000542BR_A5_22571,4
FP200000542BR_A5_22575,2
FP200000542BR_A5_22732,4
FP200000542BR_A5_22753,0
FP200000542BR_A5_22931,0
FP200000542BR_A5_23123,0
FP200000542BR_A5_23251,3
FP200000542BR_A5_23269,1
FP200000542BR_A5_23309,3
FP200000542BR_A5_23313,1
FP200000542BR_A5_23382,1
FP200000542BR_A5_23604,5
FP200000542BR_A5_23711,1
FP200000542BR_A5_23816,8
FP200000542BR_A5_23846,5
FP200000542BR_A5_23850,4
FP200000542BR_A5_24093,1
FP200000542BR_A5_24132,5
FP200000542BR_A5_24271,1
FP200000542BR_A5_24272,1
FP200000542BR_A5_24347,14
FP200000542BR_A5_24367,0
FP200000542BR_A5_24370,2
FP200000542BR_A5_24462,2
FP200000542BR_A5_24474,5
FP200000542BR_A5_24500,6
FP200000542BR_A5_24547,4
FP200000542BR_A5_24562,1
FP200000542BR_A5_24564,5
FP200000542BR_A5_24567,1
FP200000542BR_A5_24578,0
FP200000542BR_A5_24604,1
FP200000542BR_A5_24605,1
FP200000542BR_A5_24744,2
FP200000542BR_A5_24757,3
FP200000542BR_A5_24818,5
FP200000542BR_A5_24820,0
FP200000542BR_A5_24871,3
FP200000542BR_A5_24889,5
FP200000542BR_A5_24900,1
FP200000542BR_A5_24911,1
FP200000542BR_A5_24938,4
FP200000542BR_A5_24953,2
FP200000542BR_A5_24956,0
FP200000542BR_A5_25021,1
FP200000542BR_A5_25034,5
FP200000542BR_A5_25065,2
FP200000542BR_A5_25070,1
FP200000542BR_A5_25185,1
FP200000542BR_A5_25228,4
FP200000542BR_A5_25255,3
FP200000542BR_A5_25261,6
FP200000542BR_A5_25278,2
FP200000542BR_A5_25295,0
FP200000542BR_A5_25301,0
FP200000542BR_A5_25450,2
FP200000542BR_A5_25456,1
FP200000542BR_A5_25487,5
FP200000542BR_A5_25523,1
FP200000542BR_A5_25528,7
FP200000542BR_A5_25554,1
FP200000542BR_A5_25620,1
FP200000542BR_A5_25643,4
FP200000542BR_A5_25668,5
FP200000542BR_A5_25714,7
FP200000542BR_A5_25802,0
FP200000542BR_A5_25830,0
FP200000542BR_A5_25915,0
FP200000542BR_A5_26007,1
FP200000542BR_A5_26051,0
FP200000542BR_A5_26094,1
FP200000542BR_A5_26133,5
FP200000542BR_A5_26165,0
FP200000542BR_A5_26180,0
FP200000542BR_A5_26284,8
FP200000542BR_A5_26302,2
FP200000542BR_A5_26344,5
FP200000542BR_A5_26369,3
FP200000542BR_A5_26419,1
FP200000542BR_A5_26472,2
FP200000542BR_A5_26483,2
FP200000542BR_A5_26541,3
FP200000542BR_A5_26566,4
FP200000542BR_A5_26576,2
FP200000542BR_A5_26579,0
FP200000542BR_A5_26624,2
FP200000542BR_A5_26677,0
FP200000542BR_A5_26796,2
FP200000542BR_A5_26830,5
FP200000542BR_A5_26843,5
FP200000542BR_A5_26896,2
FP200000542BR_A5_26974,9
FP200000542BR_A5_27002,1
FP200000542BR_A5_27053,3
FP200000542BR_A5_27095,1
FP200000542BR_A5_27197,1
FP200000542BR_A5_27220,6
FP200000542BR_A5_27348,3
FP200000542BR_A5_27349,2
FP200000542BR_A5_27364,6
FP200000542BR_A5_27377,2
FP200000542BR_A5_27383,7
FP200000542BR_A5_27426,2
FP200000542BR_A5_27619,1
FP200000542BR_A5_27620,7
FP200000542BR_A5_27697,4
FP200000542BR_A5_27863,1
FP200000542BR_A5_27876,2
FP200000542BR_A5_27980,2
FP200000542BR_A5_27987,1
FP200000542BR_A5_28079,0
FP200000542BR_A5_28158,1
FP200000542BR_A5_28167,3
FP200000542BR_A5_28170,4
FP200000542BR_A5_28323,1
FP200000542BR_A5_28333,7
FP200000542BR_A5_28344,4
FP200000542BR_A5_28378,2
FP200000542BR_A5_28468,5
FP200000542BR_A5_28511,0
FP200000542BR_A5_28604,5
FP200000542BR_A5_28626,1
FP200000542BR_A5_28632,3
FP200000542BR_A5_28657,2
FP200000542BR_A5_28790,2
FP200000542BR_A5_28814,2
FP200000542BR_A5_28824,2
FP200000542BR_A5_28839,1
FP200000542BR_A5_28846,5
FP200000542BR_A5_28885,2
FP200000542BR_A5_28917,0
FP200000542BR_A5_29048,1
FP200000542BR_A5_29065,0
FP200000542BR_A5_29084,3
FP200000542BR_A5_29089,7
FP200000542BR_A5_29142,3
FP200000542BR_A5_29148,1
FP200000542BR_A5_29254,2
FP200000542BR_A5_29299,1
FP200000542BR_A5_29356,5
FP200000542BR_A5_29361,1
FP200000542BR_A5_29377,1
FP200000542BR_A5_29404,2
FP200000542BR_A5_29418,2
FP200000542BR_A5_29426,3
FP200000542BR_A5_29446,0
FP200000542BR_A5_29455,0
FP200000542BR_A5_29464,1
FP200000542BR_A5_29496,5
FP200000542BR_A5_29518,5
FP200000542BR_A5_29577,4
FP200000542BR_A5_29606,1
FP200000542BR_A5_29615,0
FP200000542BR_A5_29623,0
FP200000542BR_A5_29627,3
FP200000542BR_A5_29683,1
FP200000542BR_A5_29712,1
FP200000542BR_A5_29800,1
FP200000542BR_A5_29878,13
FP200000542BR_A5_29884,6
FP200000542BR_A5_29889,3
FP200000542BR_A5_29890,0
FP200000542BR_A5_29895,3
FP200000542BR_A5_29907,2
FP200000542BR_A5_30038,2
FP200000542BR_A5_30065,2
FP200000542BR_A5_30089,3
FP200000542BR_A5_30095,2
FP200000542BR_A5_30116,4
